SITE,Wisard,Number,Time_Stamp,SoilMoisture
EE,192,1,11/28/06 11:55,0.44
EE,192,2,11/28/06 11:55,0.46
EE,193,1,11/28/06 11:43,0.57
EE,193,2,11/28/06 11:43,0.55
EE,193,1,2/7/07 11:02,0.599
EE,193,2,2/7/07 11:01,0.549
EE,195,1,2/7/07 11:04,0.429
EE,195,2,2/7/07 11:04,0.499
EE,193,1,3/7/07 11:21,0.655
EE,193,2,3/7/07 11:21,0.471
EE,195,1,3/7/07 11:22,0.435
EE,195,2,3/7/07 11:22,0.499
EE,193,1,3/23/07 12:14,0.6
EE,193,2,3/23/07 12:15,0.56
EE,195,1,3/23/07 12:17,0.45
EE,195,2,3/23/07 12:18,0.51
EE,192,1,3/27/07 8:38,0.326
EE,193,1,3/27/07 8:44,0.598
EE,193,2,3/27/07 8:49,0.61
EE,195,1,3/27/07 8:57,0.412
EE,195,2,3/27/07 9:00,0.42
EE,192,1,3/30/07 15:07,0.38
EE,193,1,3/30/07 15:10,0.612
EE,193,2,3/30/07 15:11,0.58
EE,195,1,3/30/07 15:13,0.428
EE,195,2,3/30/07 15:12,0.528
EE,192,1,3/31/07 14:03,0.612
EE,193,1,3/31/07 14:07,0.605
EE,193,2,3/31/07 14:06,0.587
EE,195,1,3/31/07 14:10,0.389
EE,195,2,3/31/07 14:11,0.477
EE,192,1,4/2/07 11:03,0.384
EE,193,1,4/2/07 11:05,0.616
EE,193,2,4/2/07 11:06,0.656
EE,195,1,4/2/07 11:07,0.44
EE,195,2,4/2/07 11:08,0.492
EE,192,1,4/3/07 8:15,0.37
EE,193,1,4/3/07 8:18,0.59
EE,193,2,4/3/07 8:19,0.552
EE,195,1,4/3/07 8:21,0.386
EE,195,2,4/3/07 8:22,0.496
EE,192,1,4/12/07 10:20,0.666
EE,193,1,4/12/07 10:22,0.606
EE,193,2,4/12/07 10:23,0.602
EE,195,1,4/12/07 10:26,0.482
EE,195,2,4/12/07 10:27,0.534
EE,192,1,5/1/07 15:35,0.514
EE,193,1,5/1/07 15:42,0.564
EE,193,2,5/1/07 15:41,0.49
EE,195,1,5/1/07 15:51,0.396
EE,195,2,5/1/07 15:52,0.44
EE,192,1,6/4/07 14:23,0.535
EE,193,1,6/4/07 14:25,0.517
EE,193,2,6/4/07 14:26,0.539
EE,195,1,6/4/07 14:28,0.453
EE,195,2,6/4/07 14:27,0.453
EE,192,1,7/6/07 13:55,0.846
EE,193,1,7/6/07 13:59,0.306
EE,193,2,7/6/07 13:58,0.32
EE,195,1,7/6/07 14:00,0.298
EE,195,2,7/6/07 14:00,0.292
EE,192,1,8/6/07 15:54,0.514
EE,193,1,8/6/07 15:49,0.306
EE,193,2,8/6/07 15:50,0.3
EE,195,1,8/6/07 15:51,0.304
EE,195,2,8/6/07 15:51,0.304
EE,193,1,10/1/07 16:26,0.304
EE,193,2,10/1/07 16:26,0.282
EE,195,1,10/1/07 16:31,0.278
EE,195,2,10/1/07 16:32,0.268
EE,193,1,11/5/07 15:53,0.482
EE,193,2,11/5/07 15:52,0.422
EE,195,1,11/5/07 15:56,0.386
EE,195,2,11/5/07 15:57,0.404
EE,192,1,2/19/08 15:09,0.595
EE,193,1,2/19/08 15:08,0.577
EE,193,2,2/19/08 15:08,0.539
EE,195,1,2/19/08 15:05,0.455
EE,195,2,2/19/08 15:06,0.477
EE,193,1,3/18/08 13:52,0.576
EE,193,2,3/18/08 13:50,0.44
EE,195,1,3/18/08 14:00,0.42
EE,195,2,3/18/08 14:01,0.46
EE,192,1,4/18/08 14:45,0.54
EE,193,1,4/18/08 14:32,0.43
EE,193,2,4/18/08 14:33,0.45
EE,195,1,4/18/08 15:03,0.19
EE,195,2,4/18/08 15:04,0.23
EE,192,1,7/18/08 13:05,0.51
EE,192,2,7/18/08 13:05,0.47
EE,195,1,7/18/08 13:06,0.15
EE,195,2,7/18/08 13:06,0.16
EE,304,1,7/18/08 13:10,0.18857
EE,304,2,7/18/08 13:10,0.144
EE,305,1,7/18/08 13:07,0.25
EE,305,2,7/18/08 13:07,0.28
EE,192,1,7/30/08 9:58,0.47
EE,195,1,7/30/08 10:09,0.16
EE,195,2,7/30/08 10:11,0.23333
EE,305,1,7/30/08 9:47,0.25
EE,305,2,7/30/08 9:48,0.28
EW,304,1,7/30/08 11:39,0.13684
EW,304,2,7/30/08 11:38,0.13
EE,192,1,2/4/09 12:00,0.62
EE,192,2,2/4/09 12:00,0.63
EE,192,3,2/4/09 12:00,0.65
EE,192,4,2/4/09 12:00,0.61
EE,192,5,2/4/09 12:00,0.62
EE,193,1,2/4/09 12:00,0.53
EE,193,2,2/4/09 12:00,0.59
EE,193,3,2/4/09 12:00,0.57
EE,193,4,2/4/09 12:00,0.58
EE,193,5,2/4/09 12:00,0.59
EE,195,1,2/4/09 12:00,0.28
EE,195,2,2/4/09 12:00,0.28
EE,195,3,2/4/09 12:00,0.32
EE,195,4,2/4/09 12:00,0.29
EE,195,5,2/4/09 12:00,0.33
EE,198,1,2/4/09 12:00,0.46
EE,198,2,2/4/09 12:00,0.24
EE,198,3,2/4/09 12:00,0.3
EE,198,4,2/4/09 12:00,0.31
EE,198,5,2/4/09 12:00,0.23
EE,304,1,2/4/09 12:00,0.25
EE,304,2,2/4/09 12:00,0.24
EE,304,3,2/4/09 12:00,0.34
EE,304,4,2/4/09 12:00,0.28
EE,304,5,2/4/09 12:00,0.29
EE,305,1,2/4/09 12:00,0.56
EE,305,2,2/4/09 12:00,0.38
EE,305,3,2/4/09 12:00,0.4
EE,305,4,2/4/09 12:00,0.67
EE,305,5,2/4/09 12:00,0.39
EE,192,1,2/20/09 12:00,NA
EE,192,2,2/20/09 12:00,NA
EE,192,3,2/20/09 12:00,NA
EE,192,4,2/20/09 12:00,NA
EE,192,5,2/20/09 12:00,NA
EE,193,1,2/20/09 14:24,0.48
EE,193,2,2/20/09 14:25,0.55
EE,193,3,2/20/09 14:26,0.65
EE,193,4,2/20/09 14:26,0.6
EE,193,5,2/20/09 14:29,0.58
EE,195,1,2/20/09 14:04,0.26
EE,195,2,2/20/09 14:05,0.28
EE,195,3,2/20/09 14:07,0.22
EE,195,4,2/20/09 14:08,0.31
EE,195,5,2/20/09 14:10,0.22
EE,198,1,2/20/09 14:12,0.35
EE,198,2,2/20/09 14:12,0.2
EE,198,3,2/20/09 14:13,0.3
EE,198,4,2/20/09 14:14,0.28
EE,198,5,2/20/09 14:14,0.3
EE,304,1,2/20/09 13:59,0.19636
EE,304,2,2/20/09 14:00,0.23
EE,304,3,2/20/09 14:01,0.33
EE,304,4,2/20/09 14:01,0.24
EE,304,5,2/20/09 14:02,0.27
EE,305,1,2/20/09 14:17,0.71
EE,305,2,2/20/09 14:18,0.74
EE,305,3,2/20/09 14:21,0.59
