SITE,Wisard,Number,Time_Stamp,SoilMoisture
HW,142,1,6/6/06 10:08,0.532
HW,142,2,6/6/06 10:09,0.598
HW,146,1,6/6/06 15:38,0.454
HW,146,2,6/6/06 15:37,0.508
HW,153,1,6/6/06 15:16,0.598
HW,153,2,6/6/06 15:16,0.54
HW,154,1,6/6/06 15:07,0.53
HW,154,2,6/6/06 15:06,0.494
HW,173,1,6/6/06 10:02,0.426
HW,173,2,6/6/06 9:51,0.422
HW,142,1,11/28/06 9:46,0.66
HW,142,2,11/28/06 9:46,0.71
HW,146,1,11/28/06 9:35,0.53
HW,146,2,11/28/06 9:35,0.5
HW,147,1,11/28/06 10:06,0.62
HW,147,2,11/28/06 10:06,0.56
HW,153,1,11/28/06 10:27,0.64
HW,153,2,11/28/06 10:27,0.61
HW,154,1,11/28/06 9:51,0.62
HW,154,2,11/28/06 9:51,0.69
HW,155,1,11/28/06 10:19,0.63
HW,155,2,11/28/06 10:19,0.64
HW,173,1,11/28/06 9:27,0.54
HW,173,2,11/28/06 9:27,0.41
HW,142,1,1/11/07 11:20,0.694
HW,142,2,1/11/07 11:20,0.764
HW,146,1,1/11/07 11:11,0.58
HW,146,2,1/11/07 11:11,0.524
HW,147,1,1/11/07 11:30,0.664
HW,147,2,1/11/07 11:30,0.62
HW,153,1,1/11/07 11:37,0.713
HW,153,2,1/11/07 11:37,0.637
HW,154,1,1/11/07 11:25,0.666
HW,154,2,1/11/07 11:25,0.626
HW,155,1,1/11/07 11:35,0.662
HW,155,2,1/11/07 11:35,0.677
HW,165,1,1/11/07 11:47,0.545
HW,165,2,1/11/07 11:47,0.519
HW,173,1,1/11/07 11:18,0.594
HW,173,2,1/11/07 11:18,0.456
HW,142,1,2/7/07 11:58,0.636
HW,142,2,2/7/07 12:00,0.696
HW,146,1,2/7/07 11:49,0.536
HW,146,2,2/7/07 11:50,0.492
HW,147,1,2/7/07 12:05,0.656
HW,147,2,2/7/07 12:03,0.592
HW,153,1,2/7/07 12:15,0.632
HW,153,2,2/7/07 12:13,0.628
HW,154,1,2/7/07 12:17,0.66
HW,154,2,2/7/07 12:18,0.664
HW,155,1,2/7/07 12:09,0.64
HW,155,2,2/7/07 12:11,0.632
HW,173,1,2/7/07 11:54,0.504
HW,173,2,2/7/07 11:52,0.528
HW,142,1,3/7/07 12:43,0.668
HW,142,2,3/7/07 12:43,0.712
HW,146,1,3/7/07 12:32,0.508
HW,146,2,3/7/07 12:32,0.52
HW,147,1,3/7/07 12:47,0.66
HW,147,2,3/7/07 12:47,0.596
HW,153,1,3/7/07 12:54,0.652
HW,153,2,3/7/07 12:54,0.636
HW,154,1,3/7/07 12:56,0.624
HW,154,2,3/7/07 12:56,0.48
HW,155,1,3/7/07 12:56,0.624
HW,155,2,3/7/07 12:56,0.668
HW,173,1,3/7/07 12:39,0.548
HW,173,2,3/7/07 12:39,0.54
HW,142,1,3/23/07 14:02,0.62
HW,142,2,3/23/07 14:03,0.648
HW,146,1,3/23/07 14:08,0.496
HW,146,2,3/23/07 14:08,0.5
HW,147,1,3/23/07 14:01,0.62
HW,147,2,3/23/07 14:00,0.488
HW,153,1,3/23/07 12:44,0.66
HW,153,2,3/23/07 12:43,0.58
HW,154,1,3/23/07 12:57,0.568
HW,154,2,3/23/07 12:58,0.66
HW,155,1,3/23/07 12:53,0.6
HW,155,2,3/23/07 12:54,0.612
HW,173,1,3/23/07 14:06,0.552
HW,173,2,3/23/07 14:05,0.548
HW,142,1,3/31/07 13:13,0.488
HW,142,2,3/31/07 13:12,0.544
HW,146,1,3/31/07 12:30,0.456
HW,146,2,3/31/07 12:31,0.428
HW,147,1,3/31/07 13:08,0.492
HW,147,2,3/31/07 13:07,0.408
HW,153,1,3/31/07 12:40,0.584
HW,153,2,3/31/07 12:54,0.52
HW,154,1,3/31/07 13:03,0.492
HW,154,2,3/31/07 13:04,0.6
HW,155,1,3/31/07 12:57,0.576
HW,155,2,3/31/07 12:58,0.56
HW,173,1,3/31/07 12:34,0.512
HW,173,2,3/31/07 12:33,0.508
HW,142,1,4/2/07 10:28,0.49
HW,142,2,4/2/07 10:27,0.552
HW,146,1,4/2/07 10:34,0.464
HW,146,2,4/2/07 10:33,0.444
HW,147,1,4/2/07 10:25,0.5
HW,147,2,4/2/07 10:24,0.424
HW,153,1,4/2/07 10:16,0.596
HW,153,2,4/2/07 10:17,0.5
HW,154,1,4/2/07 10:21,0.512
HW,154,2,4/2/07 10:22,0.556
HW,155,1,4/2/07 10:19,0.58
HW,155,2,4/2/07 10:20,0.576
HW,173,1,4/2/07 10:32,0.524
HW,173,2,4/2/07 10:31,0.532
HW,142,1,4/4/07 15:32,0.436
HW,142,2,4/4/07 15:33,0.518
HW,146,1,4/4/07 14:56,0.44
HW,146,2,4/4/07 14:55,0.45
HW,147,1,4/4/07 15:56,0.442
HW,147,2,4/4/07 15:55,0.39
HW,153,1,4/4/07 16:10,0.596
HW,153,2,4/4/07 16:11,0.45
HW,154,1,4/4/07 15:40,0.468
HW,154,2,4/4/07 15:41,0.532
HW,155,1,4/4/07 16:04,0.59
HW,155,2,4/4/07 16:05,0.582
HW,173,1,4/4/07 15:09,0.502
HW,173,2,4/4/07 15:08,0.214
HW,142,1,4/12/07 12:01,0.586
HW,142,2,4/12/07 12:00,0.63
HW,146,1,4/12/07 12:06,0.51
HW,146,2,4/12/07 12:05,0.574
HW,147,1,4/12/07 11:56,0.594
HW,147,2,4/12/07 11:57,0.53
HW,153,1,4/12/07 11:46,0.642
HW,153,2,4/12/07 11:47,0.61
HW,154,1,4/12/07 11:53,0.566
HW,154,2,4/12/07 11:54,0.622
HW,155,1,4/12/07 11:50,0.67
HW,155,2,4/12/07 11:51,0.63
HW,173,1,4/12/07 12:04,0.618
HW,173,2,4/12/07 12:03,0.586
HW,142,1,5/2/07 16:32,0.408
HW,142,2,5/2/07 16:31,0.442
HW,146,1,5/2/07 15:37,0.32
HW,146,2,5/2/07 15:35,0.35
HW,147,1,5/2/07 16:27,0.392
HW,147,2,5/2/07 16:26,0.348
HW,153,1,5/2/07 16:11,0.494
HW,153,2,5/2/07 16:13,0.442
HW,154,1,5/2/07 16:23,0.442
HW,154,2,5/2/07 16:22,0.466
HW,155,1,5/2/07 16:17,0.448
HW,155,2,5/2/07 16:18,0.458
HW,173,1,5/2/07 16:01,0.432
HW,173,2,5/2/07 15:43,0.45
HW,142,1,6/5/07 13:23,0.402
HW,142,2,6/5/07 13:24,0.482
HW,146,1,6/5/07 13:13,0.37
HW,146,2,6/5/07 13:14,0.37
HW,147,1,6/5/07 13:28,0.47
HW,147,2,6/5/07 13:28,0.344
HW,153,1,6/5/07 13:46,0.568
HW,153,2,6/5/07 13:47,0.422
HW,154,1,6/5/07 13:26,0.388
HW,154,2,6/5/07 13:26,0.462
HW,155,1,6/5/07 13:34,0.408
HW,155,2,6/5/07 13:34,0.486
HW,173,1,6/5/07 13:55,0.4
HW,173,2,6/5/07 13:58,0.47
HW,142,1,7/6/07 12:59,0.334
HW,142,2,7/6/07 13:00,0.324
HW,146,1,7/6/07 12:44,0.258
HW,146,2,7/6/07 12:46,0.244
HW,147,1,7/6/07 13:10,0.278
HW,147,2,7/6/07 13:09,0.238
HW,153,1,7/6/07 13:20,0.388
HW,153,2,7/6/07 13:21,0.288
HW,154,1,7/6/07 13:06,0.298
HW,154,2,7/6/07 13:07,0.296
HW,155,1,7/6/07 13:10,0.298
HW,155,2,7/6/07 13:11,0.348
HW,173,1,7/6/07 12:49,0.31
HW,173,2,7/6/07 12:50,0.294
HW,142,1,8/7/07 10:01,0.344
HW,142,2,8/7/07 10:01,0.374
HW,146,1,8/7/07 9:56,0.272
HW,146,2,8/7/07 9:56,0.256
HW,147,1,8/7/07 10:05,0.24
HW,147,2,8/7/07 10:04,0.302
HW,153,1,8/7/07 10:10,0.392
HW,153,2,8/7/07 10:09,0.296
HW,154,1,8/7/07 10:03,0.322
HW,154,2,8/7/07 10:03,0.308
HW,155,1,8/7/07 10:07,0.298
HW,155,2,8/7/07 10:08,0.38
HW,173,1,8/7/07 9:58,0.34
HW,173,2,8/7/07 9:58,0.308
HW,142,1,10/2/07 14:13,0.326
HW,142,2,10/2/07 14:14,0.378
HW,146,1,10/2/07 13:59,0.264
HW,146,2,10/2/07 14:00,0.254
HW,147,1,10/2/07 14:18,0.274
HW,147,2,10/2/07 14:27,0.248
HW,153,1,10/2/07 14:05,0.354
HW,153,2,10/2/07 14:06,0.282
HW,154,1,10/2/07 14:10,0.28
HW,154,2,10/2/07 14:11,0.306
HW,155,1,10/2/07 14:08,0.28
HW,155,2,10/2/07 14:08,0.344
HW,173,1,10/2/07 14:02,0.32
HW,173,2,10/2/07 14:02,0.288
HW,142,1,11/6/07 13:55,0.424
HW,142,2,11/6/07 13:55,0.496
HW,146,1,11/6/07 13:41,0.354
HW,146,2,11/6/07 13:41,0.338
HW,147,1,11/6/07 13:58,0.426
HW,147,2,11/6/07 13:57,0.39
HW,153,1,11/6/07 13:46,0.472
HW,153,2,11/6/07 13:47,0.374
HW,154,1,11/6/07 13:53,0.356
HW,154,2,11/6/07 13:52,0.442
HW,155,1,11/6/07 13:49,0.46
HW,155,2,11/6/07 13:50,0.504
HW,173,1,11/6/07 13:43,0.464
HW,173,2,11/6/07 13:44,0.424
HW,142,1,1/11/08 15:42,0.548
HW,142,2,1/11/08 15:41,0.56
HW,146,1,1/11/08 15:18,0.476
HW,146,2,1/11/08 15:17,0.46
HW,147,1,1/11/08 15:47,0.54
HW,147,2,1/11/08 15:49,0.52
HW,153,1,1/11/08 15:23,0.592
HW,153,2,1/11/08 15:25,0.484
HW,154,1,1/11/08 15:36,0.496
HW,154,2,1/11/08 15:39,0.572
HW,155,1,1/11/08 15:27,0.572
HW,155,2,1/11/08 15:28,0.624
HW,165,1,1/11/08 15:58,0.388
HW,165,2,1/11/08 15:56,0.508
HW,173,1,1/11/08 15:14,0.52
HW,173,2,1/11/08 15:14,0.52
HW,142,1,2/19/08 15:57,0.612
HW,142,2,2/19/08 15:56,0.656
HW,146,1,2/19/08 15:38,0.48
HW,146,2,2/19/08 15:38,0.476
HW,147,1,2/19/08 15:59,0.62
HW,147,2,2/19/08 15:58,0.584
HW,153,1,2/19/08 15:48,0.688
HW,153,2,2/19/08 15:50,0.568
HW,154,1,2/19/08 15:53,0.608
HW,154,2,2/19/08 15:54,0.664
HW,155,1,2/19/08 15:51,0.604
HW,155,2,2/19/08 15:51,0.644
HW,165,1,2/19/08 16:01,0.428
HW,165,2,2/19/08 16:02,0.588
HW,173,1,2/19/08 15:44,0.548
HW,173,2,2/19/08 15:45,0.536
HW,142,1,3/18/08 11:43,0.64
HW,142,2,3/18/08 11:46,0.71
HW,146,1,3/18/08 11:13,0.48
HW,146,2,3/18/08 11:15,0.492
HW,147,1,3/18/08 11:54,0.746
HW,147,2,3/18/08 11:56,0.598
HW,153,1,3/18/08 11:02,0.74
HW,153,2,3/18/08 11:04,0.564
HW,154,1,3/18/08 11:21,0.576
HW,154,2,3/18/08 11:23,0.632
HW,155,1,3/18/08 11:06,0.608
HW,155,2,3/18/08 11:08,0.68
HW,165,1,3/18/08 12:06,0.466
HW,165,2,3/18/08 12:07,0.502
HW,173,1,3/18/08 10:55,0.544
HW,173,2,3/18/08 10:57,0.56
HW,142,1,4/22/08 14:21,0.61
HW,142,2,4/22/08 14:21,0.72
HW,146,1,4/22/08 13:58,0.33
HW,146,2,4/22/08 13:59,0.38
HW,147,1,4/22/08 14:29,0.58
HW,147,2,4/22/08 14:29,0.57
HW,153,1,4/22/08 14:06,0.73
HW,153,2,4/22/08 14:10,0.75
HW,154,1,4/22/08 14:16,0.82
HW,154,2,4/22/08 14:16,0.65
HW,155,1,4/22/08 14:11,0.65
HW,155,2,4/22/08 14:11,0.75
HW,165,1,4/22/08 14:32,0.49
