,site,genus,species,event,year,doy,GDD0,GDD5,ChillDaysOND,block,plt
39222,clarkharvard,Acer,rubrum,bbd,2010.0,111.0,203.2396667480449,51.256146240232454,41.0,,G01
39223,clarkharvard,Pinus,resinosa,bbd,2010.0,111.0,203.2396667480449,51.256146240232454,41.0,,G01
39224,clarkharvard,Acer,rubrum,bbd,2010.0,105.0,157.60170288085777,35.61818237304533,41.0,,G01
39225,clarkharvard,Betula,sp,bbd,2010.0,111.0,203.2396667480449,51.256146240232454,41.0,,G01
39226,clarkharvard,Fagus,grandifolia,bbd,2010.0,111.0,203.2396667480449,51.256146240232454,41.0,,G01
39227,clarkharvard,Fagus,grandifolia,bbd,2010.0,120.0,271.5466491699191,76.42714843749764,41.0,,G01
39228,clarkharvard,Fagus,grandifolia,bbd,2010.0,111.0,203.2396667480449,51.256146240232454,41.0,,G01
39229,clarkharvard,Liriodendron,tulipifera,bbd,2010.0,111.0,203.2396667480449,51.256146240232454,41.0,,G01
39230,clarkharvard,Acer,rubrum,bbd,2010.0,105.0,157.60170288085777,35.61818237304533,41.0,,G01
39231,clarkharvard,Liquidambar,styraciflua,bbd,2010.0,105.0,157.60170288085777,35.61818237304533,41.0,,G01
39232,clarkharvard,Betula,sp,bbd,2011.0,110.0,,,,,G01
39233,clarkharvard,Acer,rubrum,bbd,2011.0,110.0,,,,,G01
39234,clarkharvard,Pinus,strobus,bbd,2011.0,146.0,,,,,G01
39235,clarkharvard,Betula,alleghaniensis,bbd,2011.0,110.0,,,,,G01
39236,clarkharvard,Pinus,resinosa,bbd,2011.0,146.0,,,,,G01
39237,clarkharvard,Pinus,resinosa,bbd,2011.0,146.0,,,,,G01
39238,clarkharvard,Quercus,alba,bbd,2011.0,146.0,,,,,G01
39239,clarkharvard,Betula,sp,bbd,2011.0,110.0,,,,,G01
39240,clarkharvard,Pinus,strobus,bbd,2011.0,146.0,,,,,G01
39241,clarkharvard,Acer,rubrum,bbd,2011.0,110.0,,,,,G01
39242,clarkharvard,Pinus,palustris,bbd,2011.0,146.0,,,,,G01
39243,clarkharvard,Betula,sp,bbd,2011.0,110.0,,,,,G01
39244,clarkharvard,Nyssa,sylvatica,bbd,2011.0,146.0,,,,,G01
39245,clarkharvard,Pinus,sp,bbd,2011.0,146.0,,,,,G01
39246,clarkharvard,Fagus,grandifolia,bbd,2011.0,110.0,,,,,G01
39247,clarkharvard,Pinus,resinosa,bbd,2011.0,125.0,,,,,G01
39248,clarkharvard,Fagus,grandifolia,bbd,2011.0,125.0,,,,,G01
39249,clarkharvard,Fagus,grandifolia,bbd,2011.0,125.0,,,,,G01
39250,clarkharvard,Liriodendron,tulipifera,bbd,2011.0,110.0,,,,,G01
39251,clarkharvard,Pinus,taeda,bbd,2011.0,125.0,,,,,G01
39252,clarkharvard,Acer,rubrum,bbd,2011.0,110.0,,,,,G01
39253,clarkharvard,Liriodendron,tulipifera,bbd,2011.0,110.0,,,,,G01
39254,clarkharvard,Quercus,alba,bbd,2011.0,110.0,,,,,G01
39255,clarkharvard,Acer,rubrum,bbd,2011.0,110.0,,,,,G01
39256,clarkharvard,Acer,rubrum,bbd,2011.0,110.0,,,,,G01
39257,clarkharvard,Pinus,strobus,bbd,2011.0,146.0,,,,,G01
39258,clarkharvard,Acer,rubrum,bbd,2011.0,110.0,,,,,G01
39259,clarkharvard,Betula,lenta,bbd,2011.0,110.0,,,,,G01
39260,clarkharvard,Acer,rubrum,bbd,2011.0,110.0,,,,,G01
39261,clarkharvard,Acer,rubrum,bbd,2011.0,110.0,,,,,G01
39262,clarkharvard,Acer,rubrum,bbd,2011.0,110.0,,,,,G01
39263,clarkharvard,Betula,lenta,bbd,2011.0,110.0,,,,,G01
39264,clarkharvard,Betula,lenta,bbd,2011.0,110.0,,,,,G01
39265,clarkharvard,Acer,rubrum,bbd,2011.0,110.0,,,,,G01
39266,clarkharvard,Acer,rubrum,bbd,2011.0,110.0,,,,,G01
39267,clarkharvard,Liquidambar,styraciflua,bbd,2011.0,110.0,,,,,G01
39268,clarkharvard,Acer,rubrum,bbd,2011.0,110.0,,,,,G01
39269,clarkharvard,Betula,lenta,bbd,2011.0,110.0,,,,,G01
39270,clarkharvard,Fraxinus,americana,bbd,2011.0,125.0,,,,,G01
39271,clarkharvard,Acer,rubrum,bbd,2011.0,110.0,,,,,G01
39272,clarkharvard,Quercus,alba,bbd,2011.0,125.0,,,,,G01
39273,clarkharvard,Pinus,resinosa,bbd,2011.0,146.0,,,,,G01
39274,clarkharvard,Acer,barbatum,bbd,2011.0,146.0,,,,,G01
39275,clarkharvard,Liriodendron,tulipifera,bbd,2011.0,110.0,,,,,G01
39276,clarkharvard,Pinus,strobus,bbd,2011.0,110.0,,,,,G01
39277,clarkharvard,Betula,lenta,bbd,2011.0,110.0,,,,,G01
39278,clarkharvard,Betula,sp,bbd,2012.0,152.0,,,,,G01
39279,clarkharvard,Betula,sp,bbd,2012.0,152.0,,,,,G01
39280,clarkharvard,Betula,sp,bbd,2012.0,152.0,,,,,G01
39281,clarkharvard,Acer,rubrum,bbd,2012.0,94.0,,,,,G01
39282,clarkharvard,Betula,sp,bbd,2012.0,86.0,,,,,G01
39283,clarkharvard,Betula,sp,bbd,2012.0,103.0,,,,,G01
39284,clarkharvard,Acer,rubrum,bbd,2012.0,108.0,,,,,G01
39285,clarkharvard,Betula,alleghaniensis,bbd,2012.0,103.0,,,,,G01
39286,clarkharvard,Pinus,resinosa,bbd,2012.0,130.0,,,,,G01
39287,clarkharvard,Pinus,resinosa,bbd,2012.0,125.0,,,,,G01
39288,clarkharvard,Quercus,alba,bbd,2012.0,103.0,,,,,G01
39289,clarkharvard,Pinus,strobus,bbd,2012.0,125.0,,,,,G01
39290,clarkharvard,Pinus,palustris,bbd,2012.0,108.0,,,,,G01
39291,clarkharvard,Pinus,sp,bbd,2012.0,86.0,,,,,G01
39292,clarkharvard,Betula,sp,bbd,2012.0,152.0,,,,,G01
39293,clarkharvard,Quercus,rubra,bbd,2012.0,108.0,,,,,G01
39294,clarkharvard,Acer,barbatum,bbd,2012.0,86.0,,,,,G01
39295,clarkharvard,Pinus,resinosa,bbd,2012.0,125.0,,,,,G01
39296,clarkharvard,Quercus,rubra,bbd,2012.0,108.0,,,,,G01
39297,clarkharvard,Betula,papyrifera,bbd,2012.0,86.0,,,,,G01
39298,clarkharvard,Fagus,grandifolia,bbd,2012.0,125.0,,,,,G01
39299,clarkharvard,Liriodendron,tulipifera,bbd,2012.0,94.0,,,,,G01
39300,clarkharvard,Pinus,taeda,bbd,2012.0,125.0,,,,,G01
39301,clarkharvard,Quercus,velutina,bbd,2012.0,108.0,,,,,G01
39302,clarkharvard,Liquidambar,styraciflua,bbd,2012.0,86.0,,,,,G01
39303,clarkharvard,Quercus,alba,bbd,2012.0,103.0,,,,,G01
39304,clarkharvard,Fagus,grandifolia,bbd,2012.0,108.0,,,,,G01
39305,clarkharvard,Liriodendron,tulipifera,bbd,2012.0,94.0,,,,,G01
39306,clarkharvard,Pinus,strobus,bbd,2012.0,108.0,,,,,G01
39307,clarkharvard,Acer,rubrum,bbd,2012.0,94.0,,,,,G01
39308,clarkharvard,Acer,rubrum,bbd,2012.0,103.0,,,,,G01
39309,clarkharvard,Quercus,alba,bbd,2012.0,108.0,,,,,G01
39310,clarkharvard,Betula,alleghaniensis,bbd,2012.0,81.0,,,,,G01
39311,clarkharvard,Quercus,alba,bbd,2012.0,81.0,,,,,G01
39312,clarkharvard,Acer,rubrum,bbd,2012.0,103.0,,,,,G01
39313,clarkharvard,Acer,rubrum,bbd,2012.0,103.0,,,,,G01
39314,clarkharvard,Acer,rubrum,bbd,2012.0,103.0,,,,,G01
39315,clarkharvard,Acer,rubrum,bbd,2012.0,108.0,,,,,G01
39316,clarkharvard,Acer,rubrum,bbd,2012.0,86.0,,,,,G01
39317,clarkharvard,Quercus,rubra,bbd,2012.0,108.0,,,,,G01
39318,clarkharvard,Acer,rubrum,bbd,2012.0,103.0,,,,,G01
39319,clarkharvard,Acer,rubrum,bbd,2012.0,103.0,,,,,G01
39320,clarkharvard,Betula,lenta,bbd,2012.0,103.0,,,,,G01
39321,clarkharvard,Acer,rubrum,bbd,2012.0,108.0,,,,,G01
39322,clarkharvard,Acer,rubrum,bbd,2012.0,103.0,,,,,G01
39323,clarkharvard,Acer,rubrum,bbd,2012.0,103.0,,,,,G01
39324,clarkharvard,Acer,rubrum,bbd,2012.0,103.0,,,,,G01
39325,clarkharvard,Betula,lenta,bbd,2012.0,103.0,,,,,G01
39326,clarkharvard,Liriodendron,tulipifera,bbd,2012.0,103.0,,,,,G01
39327,clarkharvard,Acer,rubrum,bbd,2012.0,86.0,,,,,G01
39328,clarkharvard,Betula,lenta,bbd,2012.0,103.0,,,,,G01
39329,clarkharvard,Pinus,strobus,bbd,2012.0,125.0,,,,,G01
39330,clarkharvard,Liquidambar,styraciflua,bbd,2012.0,86.0,,,,,G01
39331,clarkharvard,Acer,rubrum,bbd,2012.0,108.0,,,,,G01
39332,clarkharvard,Betula,papyrifera,bbd,2012.0,86.0,,,,,G01
39333,clarkharvard,Betula,lenta,bbd,2012.0,75.0,,,,,G01
39334,clarkharvard,Acer,rubrum,bbd,2012.0,108.0,,,,,G01
39335,clarkharvard,Liquidambar,styraciflua,bbd,2012.0,86.0,,,,,G01
39336,clarkharvard,Acer,rubrum,bbd,2012.0,86.0,,,,,G01
39337,clarkharvard,Betula,lenta,bbd,2012.0,108.0,,,,,G01
39338,clarkharvard,Fraxinus,americana,bbd,2012.0,125.0,,,,,G01
39339,clarkharvard,Quercus,alba,bbd,2012.0,94.0,,,,,G01
39340,clarkharvard,Quercus,rubra,bbd,2012.0,125.0,,,,,G01
39341,clarkharvard,Quercus,alba,bbd,2012.0,94.0,,,,,G01
39342,clarkharvard,Quercus,nigra,bbd,2012.0,108.0,,,,,G01
39343,clarkharvard,Pinus,resinosa,bbd,2012.0,125.0,,,,,G01
39344,clarkharvard,Pinus,strobus,bbd,2012.0,125.0,,,,,G01
39345,clarkharvard,Acer,barbatum,bbd,2012.0,108.0,,,,,G01
39346,clarkharvard,Acer,barbatum,bbd,2012.0,103.0,,,,,G01
39347,clarkharvard,Acer,rubrum,bbd,2012.0,108.0,,,,,G01
