,site,genus,species,event,year,doy,GDD0,GDD5,ChillDaysOND,block,plt
64533,ellison,Acer,rubrum,sen,2011.0,294.0,,,,,1
64534,ellison,Acer,rubrum,sen,2011.0,294.0,,,,,10
64535,ellison,Acer,rubrum,sen,2011.0,294.0,,,,,12
64536,ellison,Betula,lenta,sen,2010.0,292.0,3087.06701049805,2044.2520690918016,45.0,,9
64537,ellison,Betula,lenta,sen,2011.0,280.0,,,,,9
64538,ellison,Quercus,rubra,sen,2010.0,320.0,3252.2927612304693,2089.901782226566,45.0,,2
64539,ellison,Quercus,rubra,sen,2011.0,313.0,,,,,2
64540,ellison,Quercus,rubra,sen,2010.0,307.0,3189.131433105471,2079.352850341801,45.0,,3
64541,ellison,Quercus,rubra,sen,2011.0,305.0,,,,,3
64542,ellison,Quercus,rubra,sen,2010.0,307.0,3189.131433105471,2079.352850341801,45.0,,4
64543,ellison,Quercus,rubra,sen,2011.0,280.0,,,,,4
64544,ellison,Quercus,rubra,sen,2010.0,264.0,2760.8843200683623,1858.069378662114,45.0,,5
64545,ellison,Quercus,rubra,sen,2011.0,305.0,,,,,5
64546,ellison,Quercus,rubra,sen,2010.0,307.0,3189.131433105471,2079.352850341801,45.0,,6
64547,ellison,Quercus,rubra,sen,2011.0,294.0,,,,,6
64548,ellison,Quercus,rubra,sen,2010.0,307.0,3189.131433105471,2079.352850341801,45.0,,7
64549,ellison,Quercus,rubra,sen,2011.0,313.0,,,,,7
64550,ellison,Quercus,rubra,sen,2010.0,292.0,3087.06701049805,2044.2520690918016,45.0,,8
64551,ellison,Quercus,rubra,sen,2010.0,292.0,3087.06701049805,2044.2520690918016,45.0,,OUT
64552,ellison,Quercus,rubra,sen,2011.0,280.0,,,,,OUT
64553,ellison,Quercus,rubra,sen,2011.0,271.0,,,,,OUT
64554,ellison,Viburnum,cassinoides,sen,2010.0,264.0,2760.8843200683623,1858.069378662114,45.0,,11
64555,ellison,Viburnum,cassinoides,sen,2011.0,313.0,,,,,11
64556,ellison,Viburnum,cassinoides,sen,2011.0,313.0,,,,,OUT
64557,ellison,Acer,rubrum,sen,2010.0,292.0,3087.06701049805,2044.2520690918016,45.0,,4
64558,ellison,Acer,rubrum,sen,2011.0,271.0,,,,,4
64559,ellison,Fagus,grandifolia,sen,2010.0,320.0,3252.2927612304693,2089.901782226566,45.0,,5
64560,ellison,Fagus,grandifolia,sen,2011.0,313.0,,,,,5
64561,ellison,Fagus,grandifolia,sen,2010.0,307.0,3189.131433105471,2079.352850341801,45.0,,OUT
64562,ellison,Fagus,grandifolia,sen,2011.0,313.0,,,,,OUT
64563,ellison,Quercus,rubra,sen,2010.0,307.0,3189.131433105471,2079.352850341801,45.0,,1
64564,ellison,Quercus,rubra,sen,2011.0,271.0,,,,,1
64565,ellison,Quercus,rubra,sen,2010.0,292.0,3087.06701049805,2044.2520690918016,45.0,,8
64566,ellison,Quercus,rubra,sen,2010.0,307.0,3189.131433105471,2079.352850341801,45.0,,9
64567,ellison,Quercus,rubra,sen,2011.0,305.0,,,,,9
64568,ellison,Vaccinium,sp,sen,2011.0,313.0,,,,,7
64569,ellison,Viburnum,cassinoides,sen,2010.0,307.0,3189.131433105471,2079.352850341801,45.0,,2
64570,ellison,Viburnum,cassinoides,sen,2011.0,313.0,,,,,2
64571,ellison,Viburnum,cassinoides,sen,2010.0,307.0,3189.131433105471,2079.352850341801,45.0,,3
64572,ellison,Viburnum,cassinoides,sen,2011.0,313.0,,,,,3
64573,ellison,Viburnum,cassinoides,sen,2011.0,313.0,,,,,10
64574,ellison,Viburnum,cassinoides,sen,2010.0,320.0,3252.2927612304693,2089.901782226566,45.0,,11
64575,ellison,Viburnum,cassinoides,sen,2011.0,313.0,,,,,11
64576,ellison,Viburnum,cassinoides,sen,2010.0,307.0,3189.131433105471,2079.352850341801,45.0,,12
64577,ellison,Viburnum,cassinoides,sen,2011.0,313.0,,,,,12
64578,ellison,Viburnum,cassinoides,sen,2010.0,307.0,3189.131433105471,2079.352850341801,45.0,,OUT
64579,ellison,Acer,pensylvanicum ,sen,2011.0,294.0,,,,,8
64580,ellison,Acer,pensylvanicum ,sen,2010.0,292.0,3087.06701049805,2044.2520690918016,45.0,,10
64581,ellison,Acer,pensylvanicum ,sen,2011.0,294.0,,,,,10
64582,ellison,Acer,rubrum,sen,2010.0,307.0,3189.131433105471,2079.352850341801,45.0,,1
64583,ellison,Acer,rubrum,sen,2011.0,313.0,,,,,1
64584,ellison,Betula,lenta,sen,2010.0,292.0,3087.06701049805,2044.2520690918016,45.0,,11
64585,ellison,Fagus,grandifolia,sen,2010.0,307.0,3189.131433105471,2079.352850341801,45.0,,9
64586,ellison,Fagus,grandifolia,sen,2011.0,313.0,,,,,9
64587,ellison,Prunus,serotina,sen,2010.0,278.0,2950.001361083988,1977.1864196777394,45.0,,OUT
64588,ellison,Prunus,serotina,sen,2011.0,294.0,,,,,OUT
64589,ellison,Quercus,rubra,sen,2010.0,320.0,3252.2927612304693,2089.901782226566,45.0,,3
64590,ellison,Quercus,rubra,sen,2011.0,305.0,,,,,3
64591,ellison,Quercus,rubra,sen,2010.0,307.0,3189.131433105471,2079.352850341801,45.0,,4
64592,ellison,Quercus,rubra,sen,2011.0,280.0,,,,,4
64593,ellison,Quercus,rubra,sen,2010.0,307.0,3189.131433105471,2079.352850341801,45.0,,OUT
64594,ellison,Quercus,rubra,sen,2011.0,280.0,,,,,OUT
64595,ellison,Viburnum,cassinoides,sen,2010.0,307.0,3189.131433105471,2079.352850341801,45.0,,2
64596,ellison,Viburnum,cassinoides,sen,2011.0,313.0,,,,,2
64597,ellison,Viburnum,cassinoides,sen,2011.0,294.0,,,,,7
64598,ellison,Viburnum,cassinoides,sen,2010.0,320.0,3252.2927612304693,2089.901782226566,45.0,,12
64599,ellison,Viburnum,cassinoides,sen,2011.0,313.0,,,,,12
64600,ellison,Acer,rubrum,sen,2010.0,292.0,3087.06701049805,2044.2520690918016,45.0,,9
64601,ellison,Acer,rubrum,sen,2011.0,271.0,,,,,9
64602,ellison,Betula,lenta,sen,2010.0,307.0,3189.131433105471,2079.352850341801,45.0,,2
64603,ellison,Betula,lenta,sen,2011.0,313.0,,,,,2
64604,ellison,Quercus,rubra,sen,2010.0,264.0,2760.8843200683623,1858.069378662114,45.0,,1
64605,ellison,Quercus,rubra,sen,2011.0,294.0,,,,,1
64606,ellison,Quercus,rubra,sen,2010.0,307.0,3189.131433105471,2079.352850341801,45.0,,3
64607,ellison,Quercus,rubra,sen,2010.0,292.0,3087.06701049805,2044.2520690918016,45.0,,6
64608,ellison,Quercus,rubra,sen,2011.0,313.0,,,,,6
64609,ellison,Quercus,rubra,sen,2011.0,271.0,,,,,8
64610,ellison,Quercus,rubra,sen,2011.0,280.0,,,,,10
64611,ellison,Quercus,rubra,sen,2010.0,307.0,3189.131433105471,2079.352850341801,45.0,,12
64612,ellison,Quercus,rubra,sen,2011.0,313.0,,,,,12
64613,ellison,Quercus,rubra,sen,2010.0,307.0,3189.131433105471,2079.352850341801,45.0,,OUT
64614,ellison,Quercus,rubra,sen,2011.0,313.0,,,,,OUT
