site,plot,event,year,doy,date,genus
clarkharvard,G01,lud,2011,Acer,rubrum,146
clarkharvard,G01,lud,2011,Acer,rubrum,146
clarkharvard,G01,lud,2011,Acer,rubrum,125
clarkharvard,G01,lud,2011,Acer,rubrum,125
clarkharvard,G01,lud,2011,Acer,rubrum,125
clarkharvard,G01,lud,2011,Acer,rubrum,125
clarkharvard,G01,lud,2011,Acer,rubrum,125
clarkharvard,G01,lud,2011,Acer,rubrum,125
clarkharvard,G01,lud,2011,Acer,rubrum,125
clarkharvard,G01,lud,2011,Acer,rubrum,125
clarkharvard,G01,lud,2011,Acer,rubrum,125
clarkharvard,G01,lud,2011,Acer,rubrum,125
clarkharvard,G01,lud,2011,Acer,rubrum,125
clarkharvard,G01,lud,2011,Acer,rubrum,125
clarkharvard,G01,lud,2011,Acer,rubrum,125
clarkharvard,G01,lud,2011,Acer,rubrum,125
clarkharvard,G01,lud,2011,Acer,rubrum,125
clarkharvard,G01,lud,2011,Acer,rubrum,125
clarkharvard,G01,lud,2011,Acer,rubrum,125
clarkharvard,G01,lud,2011,Acer,rubrum,125
clarkharvard,G01,lud,2011,Acer,rubrum,125
clarkharvard,G01,lud,2011,Acer,rubrum,125
clarkharvard,G01,lud,2011,Acer,rubrum,125
clarkharvard,G01,lud,2012,Acer,rubrum,108
clarkharvard,G01,lud,2012,Acer,rubrum,108
clarkharvard,G01,lud,2012,Acer,rubrum,103
clarkharvard,G01,lud,2012,Acer,rubrum,125
clarkharvard,G01,lud,2012,Acer,rubrum,108
clarkharvard,G01,lud,2012,Acer,rubrum,108
clarkharvard,G01,lud,2012,Acer,rubrum,108
clarkharvard,G01,lud,2012,Acer,rubrum,94
clarkharvard,G01,lud,2012,Acer,rubrum,108
clarkharvard,G01,lud,2012,Acer,rubrum,108
clarkharvard,G01,lud,2012,Acer,rubrum,108
clarkharvard,G01,lud,2012,Acer,rubrum,108
clarkharvard,G01,lud,2012,Acer,rubrum,108
clarkharvard,G01,lud,2012,Acer,rubrum,103
clarkharvard,G01,lud,2012,Acer,rubrum,108
clarkharvard,G01,lud,2012,Acer,rubrum,103
clarkharvard,G01,lud,2012,Acer,rubrum,108
clarkharvard,G01,lud,2012,Acer,rubrum,108
clarkharvard,G01,lud,2012,Acer,rubrum,108
clarkharvard,G01,lud,2012,Acer,rubrum,108
clarkharvard,G01,lud,2012,Acer,rubrum,94
clarkharvard,G01,lud,2012,Acer,rubrum,103
clarkharvard,G01,lud,2012,Acer,rubrum,108
clarkharvard,G01,lud,2012,Acer,rubrum,108
clarkharvard,G01,lud,2012,Acer,rubrum,125
clarkharvard,G01,lod,2010,Acer,rubrum,214
clarkharvard,G01,lod,2010,Acer,rubrum,144
clarkharvard,G01,lod,2010,Acer,rubrum,188
clarkharvard,G01,lod,2010,Acer,rubrum,214
clarkharvard,G01,lod,2010,Acer,rubrum,214
clarkharvard,G01,lod,2010,Acer,rubrum,214
clarkharvard,G01,lod,2010,Acer,rubrum,188
clarkharvard,G01,lod,2010,Acer,rubrum,167
clarkharvard,G01,lod,2010,Acer,rubrum,167
clarkharvard,G01,lod,2010,Acer,rubrum,214
clarkharvard,G01,lod,2010,Acer,rubrum,214
clarkharvard,G01,lod,2011,Acer,rubrum,207
clarkharvard,G01,lod,2011,Acer,rubrum,207
clarkharvard,G01,lod,2011,Acer,rubrum,146
clarkharvard,G01,lod,2011,Acer,rubrum,207
clarkharvard,G01,lod,2011,Acer,rubrum,207
clarkharvard,G01,lod,2011,Acer,rubrum,207
clarkharvard,G01,lod,2011,Acer,rubrum,207
clarkharvard,G01,lod,2011,Acer,rubrum,146
clarkharvard,G01,lod,2011,Acer,rubrum,207
clarkharvard,G01,lod,2011,Acer,rubrum,146
clarkharvard,G01,lod,2011,Acer,rubrum,164
clarkharvard,G01,lod,2011,Acer,rubrum,207
clarkharvard,G01,lod,2011,Acer,rubrum,146
clarkharvard,G01,lod,2011,Acer,rubrum,146
clarkharvard,G01,lod,2011,Acer,rubrum,146
clarkharvard,G01,lod,2011,Acer,rubrum,164
clarkharvard,G01,lod,2011,Acer,rubrum,164
clarkharvard,G01,lod,2011,Acer,rubrum,207
clarkharvard,G01,lod,2011,Acer,rubrum,164
clarkharvard,G01,lod,2011,Acer,rubrum,164
clarkharvard,G01,lod,2011,Acer,rubrum,164
clarkharvard,G01,lod,2011,Acer,rubrum,207
clarkharvard,G01,lod,2011,Acer,rubrum,164
clarkharvard,G01,lod,2011,Acer,rubrum,207
clarkharvard,G01,lod,2011,Acer,rubrum,164
clarkharvard,G01,lod,2011,Acer,rubrum,164
clarkharvard,G01,lod,2011,Acer,rubrum,207
clarkharvard,G01,lod,2011,Acer,rubrum,207
clarkharvard,G01,lod,2011,Acer,rubrum,164
clarkharvard,G01,lod,2011,Acer,rubrum,207
clarkharvard,G01,lod,2011,Acer,rubrum,207
clarkharvard,G01,lod,2011,Acer,rubrum,207
clarkharvard,G01,lod,2011,Acer,rubrum,207
clarkharvard,G01,lod,2012,Acer,rubrum,198
clarkharvard,G01,lod,2012,Acer,rubrum,198
clarkharvard,G01,lod,2012,Acer,rubrum,152
clarkharvard,G01,lod,2012,Acer,rubrum,152
clarkharvard,G01,lod,2012,Acer,rubrum,198
clarkharvard,G01,lod,2012,Acer,rubrum,152
clarkharvard,G01,lod,2012,Acer,rubrum,152
clarkharvard,G01,lod,2012,Acer,rubrum,152
clarkharvard,G01,lod,2012,Acer,rubrum,152
clarkharvard,G01,lod,2012,Acer,rubrum,198
clarkharvard,G01,lod,2012,Acer,rubrum,152
clarkharvard,G01,lod,2012,Acer,rubrum,152
clarkharvard,G01,lod,2012,Acer,rubrum,152
clarkharvard,G01,lod,2012,Acer,rubrum,152
clarkharvard,G01,lod,2012,Acer,rubrum,152
clarkharvard,G01,lod,2012,Acer,rubrum,152
clarkharvard,G01,lod,2012,Acer,rubrum,152
clarkharvard,G01,lod,2012,Acer,rubrum,152
clarkharvard,G01,lod,2012,Acer,rubrum,152
clarkharvard,G01,lod,2012,Acer,rubrum,152
clarkharvard,G01,lod,2012,Acer,rubrum,152
clarkharvard,G01,lod,2012,Acer,rubrum,152
clarkharvard,G01,lod,2012,Acer,rubrum,226
clarkharvard,G01,lod,2012,Acer,rubrum,152
clarkharvard,G01,lod,2012,Acer,rubrum,152
clarkharvard,G01,lod,2012,Acer,rubrum,198
clarkharvard,G01,lod,2012,Acer,rubrum,152
clarkharvard,G01,lod,2012,Acer,rubrum,152
clarkharvard,G01,lod,2012,Acer,rubrum,152
clarkharvard,G01,lod,2012,Acer,rubrum,152
clarkharvard,G01,lod,2012,Acer,rubrum,198
clarkharvard,G01,lod,2012,Acer,rubrum,152
clarkharvard,G01,lod,2012,Acer,rubrum,152
clarkharvard,G01,lod,2012,Acer,rubrum,152
clarkharvard,G01,lod,2012,Acer,rubrum,198
clarkharvard,G01,lod,2012,Acer,rubrum,198
clarkharvard,G01,lod,2012,Acer,rubrum,198
clarkharvard,G02,bbd,2010,Acer,rubrum,111
clarkharvard,G02,bbd,2010,Acer,rubrum,105
clarkharvard,G02,bbd,2010,Acer,rubrum,214
clarkharvard,G02,bbd,2010,Acer,rubrum,105
clarkharvard,G02,bbd,2011,Acer,rubrum,110
clarkharvard,G02,bbd,2011,Acer,rubrum,110
clarkharvard,G02,bbd,2011,Acer,rubrum,125
clarkharvard,G02,bbd,2011,Acer,rubrum,110
clarkharvard,G02,bbd,2011,Acer,rubrum,110
clarkharvard,G02,bbd,2011,Acer,rubrum,110
clarkharvard,G02,bbd,2011,Acer,rubrum,110
clarkharvard,G02,bbd,2011,Acer,rubrum,110
clarkharvard,G02,bbd,2011,Acer,rubrum,110
clarkharvard,G02,bbd,2011,Acer,rubrum,110
clarkharvard,G02,bbd,2011,Acer,rubrum,110
clarkharvard,G02,bbd,2011,Acer,rubrum,110
clarkharvard,G02,bbd,2012,Acer,rubrum,86
clarkharvard,G02,bbd,2012,Acer,rubrum,86
clarkharvard,G02,bbd,2012,Acer,rubrum,125
clarkharvard,G02,bbd,2012,Acer,rubrum,103
clarkharvard,G02,bbd,2012,Acer,rubrum,125
clarkharvard,G02,bbd,2012,Acer,rubrum,125
clarkharvard,G02,bbd,2012,Acer,rubrum,108
clarkharvard,G02,bbd,2012,Acer,rubrum,94
clarkharvard,G02,bbd,2012,Acer,rubrum,94
clarkharvard,G02,bbd,2012,Acer,rubrum,94
clarkharvard,G02,bbd,2012,Acer,rubrum,86
clarkharvard,G02,bbd,2012,Acer,rubrum,86
clarkharvard,G02,bbd,2012,Acer,rubrum,86
clarkharvard,G02,bbd,2012,Acer,rubrum,103
clarkharvard,G02,bbd,2012,Acer,rubrum,86
clarkharvard,G02,bbd,2012,Acer,rubrum,94
clarkharvard,G02,bbd,2012,Acer,rubrum,103
clarkharvard,G02,bbd,2012,Acer,rubrum,108
clarkharvard,G02,bbd,2012,Acer,rubrum,125
clarkharvard,G02,bbd,2012,Acer,rubrum,86
clarkharvard,G02,bbd,2012,Acer,rubrum,103
clarkharvard,G02,bbd,2012,Acer,rubrum,86
clarkharvard,G02,bbd,2012,Acer,rubrum,86
clarkharvard,G02,bbd,2012,Acer,rubrum,108
clarkharvard,G02,lud,2010,Acer,rubrum,214
clarkharvard,G02,lud,2010,Acer,rubrum,120
clarkharvard,G02,lud,2010,Acer,rubrum,111
clarkharvard,G02,lud,2010,Acer,rubrum,105
clarkharvard,G02,lud,2010,Acer,rubrum,111
clarkharvard,G02,lud,2010,Acer,rubrum,137
clarkharvard,G02,lud,2010,Acer,rubrum,214
clarkharvard,G02,lud,2010,Acer,rubrum,214
clarkharvard,G02,lud,2010,Acer,rubrum,214
clarkharvard,G02,lud,2010,Acer,rubrum,111
clarkharvard,G02,lud,2010,Acer,rubrum,214
clarkharvard,G02,lud,2010,Acer,rubrum,214
clarkharvard,G02,lud,2010,Acer,rubrum,105
clarkharvard,G02,lud,2010,Acer,rubrum,105
clarkharvard,G02,lud,2010,Acer,rubrum,137
clarkharvard,G02,lud,2010,Acer,rubrum,214
clarkharvard,G02,lud,2010,Acer,rubrum,105
clarkharvard,G02,lud,2010,Acer,rubrum,214
clarkharvard,G02,lud,2010,Acer,rubrum,137
clarkharvard,G02,lud,2011,Acer,rubrum,125
clarkharvard,G02,lud,2011,Acer,rubrum,125
clarkharvard,G02,lud,2011,Acer,rubrum,125
clarkharvard,G02,lud,2011,Acer,rubrum,125
clarkharvard,G02,lud,2011,Acer,rubrum,125
clarkharvard,G02,lud,2011,Acer,rubrum,125
clarkharvard,G02,lud,2011,Acer,rubrum,146
clarkharvard,G02,lud,2011,Acer,rubrum,125
clarkharvard,G02,lud,2011,Acer,rubrum,125
clarkharvard,G02,lud,2011,Acer,rubrum,125
clarkharvard,G02,lud,2011,Acer,rubrum,125
clarkharvard,G02,lud,2011,Acer,rubrum,125
clarkharvard,G02,lud,2011,Acer,rubrum,125
clarkharvard,G02,lud,2011,Acer,rubrum,125
clarkharvard,G02,lud,2011,Acer,rubrum,125
clarkharvard,G02,lud,2011,Acer,rubrum,125
clarkharvard,G02,lud,2011,Acer,rubrum,125
clarkharvard,G02,lud,2011,Acer,rubrum,125
clarkharvard,G02,lud,2011,Acer,rubrum,125
clarkharvard,G02,lud,2011,Acer,rubrum,125
clarkharvard,G02,lud,2011,Acer,rubrum,125
clarkharvard,G02,lud,2011,Acer,rubrum,125
clarkharvard,G02,lud,2011,Acer,rubrum,125
clarkharvard,G02,lud,2011,Acer,rubrum,125
clarkharvard,G02,lud,2011,Acer,rubrum,125
clarkharvard,G02,lud,2011,Acer,rubrum,125
clarkharvard,G02,lud,2012,Acer,rubrum,108
clarkharvard,G02,lud,2012,Acer,rubrum,108
clarkharvard,G02,lud,2012,Acer,rubrum,108
clarkharvard,G02,lud,2012,Acer,rubrum,108
clarkharvard,G02,lud,2012,Acer,rubrum,108
clarkharvard,G02,lud,2012,Acer,rubrum,130
clarkharvard,G02,lud,2012,Acer,rubrum,130
clarkharvard,G02,lud,2012,Acer,rubrum,125
