2003,,Météo Camp Redon,,maxi,,,,,,,,,,mini,,,,,,,,,,,,,moy,,,,,,,,,,,,,,,,,,,,,,,,,
date,janvier ,février,mars,avril,mai,juin,juillet,août,sept,oct,nov,dec,,janvier ,février,mars,avril,mai,juin,juillet,août,sept,oct,nov,dec,,janvier ,février,mars,avril,mai,juin,juillet,août,sept,oct,nov,dec,,janvier ,février,mars,avril,mai,juin,juillet,août,sept,oct,nov,dec,
1,14.5,6,14,22,18.5,27,26.5,31.5,28,20.5,17.5,15,,5.5,0.5,4,6,7.5,16.5,22,15.5,15.5,12,7,7.5,,10,3.25,9,14,13,21.75,24.25,23.5,21.75,16.25,12.25,11.25,,10,3.25,9,14,13,21.75,24.25,23.5,21.75,16.25,12.25,11.25,
2,14,5,16,23,21.5,25.5,29.5,34.5,26,22.5,18.5,15,,6.5,-3,5,7,11,15,18.5,19,12,16,9,9,,10.25,1,10.5,15,16.25,20.25,24,26.75,19,19.25,13.75,12,,10.25,1,10.5,15,16.25,20.25,24,26.75,19,19.25,13.75,12,
3,16.5,12,16,16,22.5,26.5,26.5,36,26,22.5,17,11.5,,6.5,-1,4,7,9,17.5,18.5,19.5,10.5,19.5,4.5,7.5,,11.5,5.5,10,11.5,15.75,22,22.5,27.75,18.25,21,10.75,9.5,,11.5,5.5,10,11.5,15.75,22,22.5,27.75,18.25,21,10.75,9.5,
4,16.5,13.5,16,13,25,23.5,28.5,33.5,26,26.5,18,13,,6,6,5.5,3,9,16.5,17,18,13,17.5,6,6.5,,11.25,9.75,10.75,8,17,20,22.75,25.75,19.5,22,12,9.75,,11.25,9.75,10.75,8,17,20,22.75,25.75,19.5,22,12,9.75,
5,12.5,10,19.5,15,24.5,25,28.5,35.5,25.5,22,19,15,,-0.5,3,5,1,11.5,15.5,13,21,13,12.5,6.5,8,,6,6.5,12.25,8,18,20.25,20.75,28.25,19.25,17.25,12.75,11.5,,6,6.5,12.25,8,18,20.25,20.75,28.25,19.25,17.25,12.75,11.5,
6,6.5,8,13,22,23.5,26,28.5,37,23,16,19.5,13,,-3,-4,6,8,14,14,14.5,20,13,6.5,5,7.5,,1.75,2,9.5,15,18.75,20,21.5,28.5,18,11.25,12.25,10.25,,1.75,2,9.5,15,18.75,20,21.5,28.5,18,11.25,12.25,10.25,
7,1,9.5,16.5,22,25,26,29,38,28,19,20,15,,-6,-4.5,1.5,1,14.5,15,15.5,20,14,8,4,1.5,,-2.5,2.5,9,11.5,19.75,20.5,22.25,29,21,13.5,12,8.25,,0,2.5,9,11.5,19.75,20.5,22.25,29,21,13.5,12,8.25,
8,2,11.5,15,17,21,27,32,36,21.5,20,13.5,16,,-6,-3.5,1.5,2.5,12.5,16,18.5,22.5,13,11.5,3.5,2,,-2,4,8.25,9.75,16.75,21.5,25.25,29.25,17.25,15.75,8.5,9,,0,4,8.25,9.75,16.75,21.5,25.25,29.25,17.25,15.75,8.5,9,
9,0.5,13.5,18,9,20,27.5,32.5,35.5,22,20,10.5,12,,-3,-3,2.5,2.5,13,16.5,18.5,21.5,14,11.5,6,-1,,-1.25,5.25,10.25,5.75,16.5,22,25.5,28.5,18,15.75,8.25,5.5,,0,5.25,10.25,5.75,16.5,22,25.5,28.5,18,15.75,8.25,5.5,
10,7,13.5,17.5,8,25,30,32,35.5,24.5,24,12.5,11,,-4.5,-2,2,5,14,16.5,17.5,18,16,9,10.5,0,,1.25,5.75,9.75,6.5,19.5,23.25,24.75,26.75,20.25,16.5,11.5,5.5,,1.25,5.75,9.75,6.5,19.5,23.25,24.75,26.75,20.25,16.5,11.5,5.5,
11,5,9.5,17,14,24.5,27.5,34,34.5,25,24,19.5,13,,-8,-2,4,3.5,13,16,19,20,17.5,8.5,7,0,,-1.5,3.75,10.5,8.75,18.75,21.75,26.5,27.25,21.25,16.25,13.25,6.5,,0,3.75,10.5,8.75,18.75,21.75,26.5,27.25,21.25,16.25,13.25,6.5,
12,7,11.5,15,12.5,23,28,35,38,27,21,18,15,,-8,-2,7.5,4,10.5,16,18.5,20.5,15,10,8.5,0,,-0.5,4.75,11.25,8.25,16.75,22,26.75,29.25,21,15.5,13.25,7.5,,0,4.75,11.25,8.25,16.75,22,26.75,29.25,21,15.5,13.25,7.5,
13,4,10.5,17,17,25.5,29,35,37.5,28.5,19,13,19.5,,-8.5,-2.5,6,5,15,17,19,22,16,16.5,11.5,3.5,,-2.25,4,11.5,11,20.25,23,27,29.75,22.25,17.75,12.25,11.5,,0,4,11.5,11,20.25,23,27,29.75,22.25,17.75,12.25,11.5,
14,8,8,18.5,16,23,31.5,31.5,35.5,29,19,17.5,18.5,,-8,-2.5,4,8,7,18.5,21.5,22.5,17.5,14.5,5,5,,0,2.75,11.25,12,15,25,26.5,29,23.25,16.75,11.25,11.75,,0,2.75,11.25,12,15,25,26.5,29,23.25,16.75,11.25,11.75,
