2003,,Météo Camp Redon,,mini,,,,,,,,,
date,janvier ,février,mars,avril,mai,juin,juillet,août,sept,octobre,nov,dec,
1,5.5,0.5,4,6,7.5,16.5,22,15.5,15.5,12,7,7.5,
2,6.5,-3,5,7,11,15,18.5,19,12,16,9,9,
3,6.5,-1,4,7,9,17.5,18.5,19.5,10.5,19.5,4.5,7.5,
4,6,6,5.5,3,9,16.5,17,18,13,17.5,6,6.5,
5,-0.5,3,5,1,11.5,15.5,13,21,13,12.5,6.5,8,
6,-3,-4,6,8,14,14,14.5,20,13,6.5,5,7.5,
7,-6,-4.5,1.5,1,14.5,15,15.5,20,14,8,4,1.5,
8,-6,-3.5,1.5,2.5,12.5,16,18.5,22.5,13,11.5,3.5,2,
9,-3,-3,2.5,2.5,13,16.5,18.5,21.5,14,11.5,6,-1,
10,-4.5,-2,2,5,14,16.5,17.5,18,16,9,10.5,0,
11,-8,-2,4,3.5,13,16,19,20,17.5,8.5,7,0,
12,-8,-2,7.5,4,10.5,16,18.5,20.5,15,10,8.5,0,
13,-8.5,-2.5,6,5,15,17,19,22,16,16.5,11.5,3.5,
14,-8,-2.5,4,8,7,18.5,21.5,22.5,17.5,14.5,5,5,
15,-3,-2,6,8,6.5,19.5,20.5,22,13.5,14,4,4.5,
16,0.5,-5.5,0.5,7,10.5,19,22,23.5,11.5,13,12,-1.5,
17,0.5,-4.5,0,7.5,11,22,18,22.5,12,10,10,3,
18,1,-4,1,8.5,11,21.5,19.5,19,12.5,9.5,2,5.5,
19,1,-4,1,9,11.5,17.5,15,19.5,11,8.5,3,8.5,
20,-0.1,-2,2,11,10.5,16.5,22,20,12.5,10.5,7,3,
21,0,3,4,11,13,21.5,22.5,19,13,10,7.5,6,
22,3.5,4.5,8,7,10.5,18.5,21.5,19.5,19.5,3.5,11.5,5,
23,4,5,5.5,7,10.5,19,21,19.5,15,4.5,14.5,2,
24,6.5,4,6.5,6.5,14.5,19,20,19.5,10,4.5,13,-2,
25,-3,6.5,3,9.5,12,19.5,16.5,20.5,11,-3,5.5,-3,
26,-3,7,4.5,14,10,22.5,20,18.5,12,0,4,-2,
27,5.5,7.5,5.5,6.5,9.5,22,23,18.5,14,5,4,-1.5,
28,9,3,8.5,7,12.5,21.5,20.5,19,15.5,4.5,8,5.5,
29,4,,8,13,14.5,17,20,22.5,11.5,8,-1.5,2,
30,4.5,,7.5,14,16,20,17.5,18,10.5,7,2,1.5,
31,0.5,,5.5,,15.5,,21.5,18.5,,8.5,,-1.5,
,,,,,,,,,,,,,
somme,0.4,-2.0,135.5,210.0,361.0,543.0,592.5,619.5,405.0,291.5,200.5,92.0,
moyenne,0.0,-0.1,4.4,7.0,11.6,18.1,19.1,20.0,13.5,9.4,6.7,3.0,
T° mini,-8.5,-5.5,0.0,1.0,6.5,14.0,13.0,15.5,10.0,-3.0,-1.5,-3.0,
