Amaranthus retroflexus,1,France-Hérault,Montpellier,route de Laverune champ d'asperge,06/09/2004?
,3,France-Vendée,La Faute sur Mer,champ nouveau RdP,8/25/04
,4,France-Nord,Lille,Ennevelin,8/20/04
,,,,,
,,,,,
,2,France-Hérault,route de Laverune,champ asperge,06/10/2004?
Setaria viridis,3,France-Vendée,La Faute sur mer,bord de route,8/25/04
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
