plot,block,hum,temp,date,30 cm,15 cm,,plot,block,hum,temp,30 cm,15 cm,,,,temp,,,,,,,,,,,,,,,,,,,,,
a1,A,H,T+,050103,25.5,23.4,,a1,A,H,T+,19.9,19.2,,hum,Données,T,T+,T++,Total,,,,,,,,,,,,,,,,,,
b1,B,H,T,050103,31.6,30.4,,b1,B,H,T,23.1,24.4,,H,Moyenne de 30 cm,23.72066667,22.08,19.106,21.63555556,,,,,,,,,,,,,,,,,,
c1,C,S,T,050103,30.5,30.9,,c1,C,S,T,23.6,22.5,,,Moyenne de 15 cm,23.75933333,21.736,20.01,21.83511111,,,,,,,,,,,,,,,,,,
d1,D,S,T++,050103,25,22.4,,d1,D,S,T++,19.5,20.1,,S,Moyenne de 30 cm,22.86466667,20.822,19.988,21.22488889,,,,,,,,,,,,,,,,,,
e1,E,H,T+,050103,29.1,28.5,,e1,E,H,T+,23.4,23.6,,,Moyenne de 15 cm,22.1,20.73666667,19.60333333,20.81333333,,,,,,,,,,,,,,,,,,
a2,A,S,T++,050103,25.3,20.3,,a2,A,S,T++,19.2,18.5,,Total Moyenne de 30 cm,,23.29266667,21.451,19.547,21.43022222,,,,,,,,,,,,,,,,,,
b2,B,S,T+,050103,24.6,25.2,,b2,B,S,T+,20.2,20.2,,Total Moyenne de 15 cm,,22.92966667,21.23633333,19.80666667,21.32422222,,,,,,,,,,,,,,,,,,
c2,C,H,T++,050103,27.5,22.9,,c2,C,H,T++,18.6,19.2,,,,,,,,,,,,,,,,,,,,,,,,,
d2,D,S,T+,050103,27.9,25.9,,d2,D,S,T+,19.7,21.0,,,,,,,,,,,,,,,,,,,,,,,,,
e2,E,H,T,050103,31.9,29.6,,e2,E,H,T,24.9,23.8,,,,,,,,,,,,,,,,,,,,,,,,,
a3,A,S,T,050103,32.1,27,,a3,A,S,T,23.7,20.8,,,,,,,,,,,,,,,,,,,,,,,,,
b3,B,S,T++,050103,26.8,21.2,,b3,B,S,T++,21.7,18.8,,,,,,,,,,,,,,,,,,,,,,,,,
c3,C,H,T,050103,31,28.2,,c3,C,H,T,24.3,24.7,,,,,,,,,,,,,,,,,,,,,,,,,
d3,D,H,T++,050103,25.3,20.2,,d3,D,H,T++,17.1,19.2,,,,,,,,,,,,,,,,,,,,,,,,,
e3,E,H,T++,050103,25.1,22.2,,e3,E,H,T++,21.7,21.4,,,,,,,,,,,,,,,,,,,,,,,,,
a4,A,H,T++,050103,25.7,22.8,,a4,A,H,T++,18.9,19.4,,,,,,,,,,,,,,,,,,,,,,,,,
b4,B,H,T+,050103,28.4,24.4,,b4,B,H,T+,20.9,20.2,,,,,,,,,,,,,,,,,,,,,,,,,
c4,C,S,T++,050103,26.3,23.3,,c4,C,S,T++,19.9,20.5,,,,,,,,,,,,,,,,,,,,,,,,,
d4,D,S,T,050103,30.4,31.6,,d4,D,S,T,23.6,23.7,,,,,,,,,,,,,,,,,,,,,,,,,
e4,E,S,T++,050103,26.7,24,,e4,E,S,T++,19.6,20.1,,,,,,,,,,,,,,,,,,,,,,,,,
a5,A,H,T,050103,31.2,24.3,,a5,A,H,T,24.3,23.9,,,,,,,,,,,,,,,,,,,,,,,,,
b5,B,S,T,050103,30.7,30.4,,b5,B,S,T,22.6,22.8,,,,,,,,,,,,,,,,,,,,,,,,,
c5,C,H,T+,050103,28.9,27.9,,c5,C,H,T+,22.2,23.0,,,,,,,,,,,,,,,,,,,,,,,,,
d5,D,H,T+,050103,27.7,22.9,,d5,D,H,T+,24.0,22.7,,,,,,,,,,,,,,,,,,,,,,,,,
e5,E,S,T+,050103,27.8,26.1,,e5,E,S,T+,21.9,20.9,,,,,,,,,,,,,,,,,,,,,,,,,
a6,A,S,T+,050103,27.6,25.8,,a6,A,S,T+,20.1,20.4,,,,,,,,,,,,,,,,,,,,,,,,,
b6,B,H,T++,050103,25.9,25.1,,b6,B,H,T++,19.2,21.0,,,,,,,,,,,,,,,,,,,,,,,,,
c6,C,S,T+,050103,26.7,25.2,,c6,C,S,T+,22.2,21.1,,,,,,,,,,,,,,,,,,,,,,,,,
d6,D,H,T,050103,28.8,28.3,,d6,D,H,T,22.0,22.0,,,,,,,,,,,,,,,,,,,,,,,,,
e6,E,S,T,050103,28.1,25.4,,e6,E,S,T,20.8,20.8,,,,,,,,,,,,,,,,,,,,,,,,,
a1,A,H,T+,050110,12.2,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b1,B,H,T,050110,16.5,28.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c1,C,S,T,050110,19.8,28.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d1,D,S,T++,050110,13.9,21.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e1,E,H,T+,050110,17.6,25.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a2,A,S,T++,050110,11.4,19.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b2,B,S,T+,050110,11.5,23.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c2,C,H,T++,050110,12.4,21.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d2,D,S,T+,050110,6.6,19.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e2,E,H,T,050110,20.2,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a3,A,S,T,050110,19.5,27.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b3,B,S,T++,050110,14.6,18.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c3,C,H,T,050110,19.4,30.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d3,D,H,T++,050110,10.2,18.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e3,E,H,T++,050110,17.3,21.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a4,A,H,T++,050110,11.2,19.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b4,B,H,T+,050110,16.1,23.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c4,C,S,T++,050110,13.6,20.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d4,D,S,T,050110,19.5,29.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e4,E,S,T++,050110,13.6,20.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a5,A,H,T,050110,18.8,22.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b5,B,S,T,050110,20,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c5,C,H,T+,050110,16.5,25.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d5,D,H,T+,050110,16,22.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e5,E,S,T+,050110,16.2,23.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a6,A,S,T+,050110,14.5,22.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b6,B,H,T++,050110,11.3,23.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c6,C,S,T+,050110,16,16.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d6,D,H,T,050110,9.1,22.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e6,E,S,T,050110,16.4,24.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a1,A,H,T+,050117,11,20.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b1,B,H,T,050117,15.5,27.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c1,C,S,T,050117,18.2,27.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d1,D,S,T++,050117,12.1,20.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e1,E,H,T+,050117,15.9,23.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a2,A,S,T++,050117,9.6,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b2,B,S,T+,050117,10,23.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c2,C,H,T++,050117,10.2,18.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d2,D,S,T+,050117,14.7,22.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e2,E,H,T,050117,19.6,28.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a3,A,S,T,050117,26.4,17.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b3,B,S,T++,050117,14.6,18.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c3,C,H,T,050117,18.4,30.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d3,D,H,T++,050117,8.5,18.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e3,E,H,T++,050117,14,17.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a4,A,H,T++,050117,9.7,17.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b4,B,H,T+,050117,16.1,23.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c4,C,S,T++,050117,12,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d4,D,S,T,050117,17.6,28.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e4,E,S,T++,050117,11.7,19.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a5,A,H,T,050117,18.2,29.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b5,B,S,T,050117,20,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c5,C,H,T+,050117,15.4,25.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d5,D,H,T+,050117,14.9,21.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e5,E,S,T+,050117,14.9,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a6,A,S,T+,050117,12.3,20.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b6,B,H,T++,050117,11.3,23.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c6,C,S,T+,050117,14.5,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d6,D,H,T,050117,15.9,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e6,E,S,T,050117,8.7,24.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a1,A,H,T+,050126,9.3,14.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b1,B,H,T,050126,13.1,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c1,C,S,T,050126,16.2,23.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d1,D,S,T++,050126,9.9,17.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e1,E,H,T+,050126,14.1,24.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a2,A,S,T++,050126,7.7,16.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b2,B,S,T+,050126,8.9,19.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c2,C,H,T++,050126,8.7,16.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d2,D,S,T+,050126,11.2,21.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
