2004,,Camp Redon,,mini,,,,,,,,
date,janvier ,fevrier,mars,avril,mai,juin,juillet,ao_t,sept,octobre,nov,dec
1,-3.5,6,-1,10.5,4,15.5,18,20,12,9,11,5
2,-2,1.5,-5,10.5,14,17,19.5,22,14,9.5,8,7
3,-2,1.5,-2,3.5,11.5,16.5,14,22.5,16,12,8.5,5.5
4,-5.5,3,-1,5.5,12.5,12,14.5,21.5,17,13.5,14.5,0
5,-3,4,2,9.5,5,17,20.5,20,18,17,13,1.5
6,-3,2,9.5,6.5,9,15,19,17,19,18,6,-0.5
7,-1.5,3,0.5,9,6,14,20,18,17,18,4,2
8,0.5,3,3,1.5,9,13,20,22.5,15,17,7,6
9,3.5,-1,0.5,4,7,12,16,22,14,19.5,3.5,5.5
10,5,-1,-3,5,6,11,18,23,15,15.5,-0.5,3
11,6,-1,-3,4,7.5,14,17,20.5,19,12.5,0.5,-0.5
12,9,0,0,5.5,10,17,17,21,18,13.5,5,0
13,10,2.5,4.5,7.5,8,14,15.5,19,15,12,1,3
14,10.5,0.5,7,4,6.5,14.5,16,16.5,15,12,3,2
15,7,0.5,4,7,12,14.5,13,17,14,10,-3.5,2.5
16,1,0,6,8,10,16.5,16.5,18,12,5.5,-2.5,6.5
17,2.5,0,6,9,13.5,15.5,18.5,19.5,10,6,0,6
18,6,3.5,5,8,12,17,16,18,10,7.5,-0.5,7
19,0,0.5,5,6.5,12,18,17,20,12,10.5,0,6
20,1,0,7,8,16,18,20,18,12.5,17.5,3,6
21,9,1,10,7,11,13,20,15.5,13,17,1,-2.5
22,6.5,11,8.5,10.5,12,17,19.5,11.5,10.5,16.5,3,-3.5
23,5,6.5,7,9.5,7,17.5,19.5,14,10.5,15.5,3,-3
24,4,-0.5,5,8.5,7.5,19.5,22.5,19,16.5,18,2,7
25,2.5,1.5,5.5,9,10,15,21,15.5,13,17,2.5,2
26,0.5,4.5,2,8,8,16.5,19.5,16.5,10,13,6.5,4
27,2,-3.5,-1.5,10,10.5,18,21,15,9.5,5.5,4,4
28,1,-2,0,12,11.5,20,15,14,10,6.5,3,3.5
29,0,-2.5,5,12,12,19.5,17,15,10.5,13.5,4,4.5
30,-5,,8,10,12.5,16,18.5,15,10,5.5,2,-1
31,-4.5,,8,,15,,18.5,14.5,,6.5,,-1
,,,,,,,,,,,,
somme,62.5,44.5,102.5,229.5,308.5,474,558,561.5,408,390.5,112,87.5
moyenne,2.02,1.53,3.31,7.65,9.95,15.8,18,18.11,13.6,12.6,3.73,2.82
TÁ mini,-5.5,-3.5,-5,1.5,4,11,13,11.5,9.5,5.5,-3.5,-3.5
