2002,,Camp Redon,,mini,,,,,,,,
date,janvier ,fevrier,mars,avril,mai,juin,juillet,ao_t,septembre,octobre,novembre,d_cembre
1,0,3.5,6,6,5,11.5,15,15,18,13,9,3
2,0,5,9,7,10,13.5,15.5,13,16.5,11,8,3
3,1,10,1.5,9.5,8.5,16,14,14.5,17.5,12,10,6.5
4,5,9.5,2.5,10.5,11,16.5,17,17.5,16.5,9.5,14,0.5
5,2,10,7,10,8.5,15,12,15.5,16.5,10.5,6,1.5
6,-0.5,10,6.5,7,5,10.5,17.5,18.5,16.5,7,2,0
7,-2.5,7,6,10,9,10.5,13,19,17,8,8,0
8,-2.5,0,5,10,12.5,13,14,18,15,8,8,-2
9,3,0,5,11,13,12,17.5,18.5,17,8.5,8,2
10,3,7,4.5,4.5,11.5,13.5,18,18,14,14.5,9,3.5
11,1,4,4,6,11.5,12,15,15,13,13.5,14,5
12,0,3,10.5,9.5,10.5,11.5,16,17.5,10,11,4.5,7
13,0,3.5,7,10,6.5,14,20,16,15,8,5.5,1
14,1,4,8,7.5,11.5,16,18,15.5,15,9.5,11.5,2
15,0.5,1,14,4,9,15.5,20.5,16,18,9.5,9.5,5
16,1,4.5,10,5,12.5,15,18,21,12,17,12.5,3
17,-3,5,10.5,3,12,14.5,18,18,13,15.5,8.5,3.5
18,-3,3.5,8.5,5,12,14.5,18,18,17,6,5.5,6.5
19,-3,4,9,4,12,14.5,15,20.5,19.5,9,3,6.5
20,-1,5.5,9.5,5.5,12,17,16,17,18.5,6,3.5,5
21,-2,4,7.5,5,11.5,19,21,17,17.5,10,12,3.5
22,-1,-2,12,6,14.5,21,19,19,15,13,3.5,3.5
23,1.5,11.5,9,10,12,19,19,15.5,12.5,11.5,3.5,4
24,4,11,5.5,10.5,11,19,20,19,9.5,7,8.5,6.5
25,3.5,6,2,10.5,14,19.5,20,17,7,7,9.5,4
26,5,6,0,12.5,9,17.5,18,16,4.5,10.5,8.5,4
27,5,7,1,11.5,11.5,18.5,19,15,6,9.5,4,7
28,6,7,6,3,9.5,19,17.5,15.5,10,4,5.5,6.5
29,4,,6,5,14.5,14.5,20,17,7.5,7,6.5,8.5
30,8.5,,8,5,11,16.5,22,18.5,8.5,9,7,5.5
31,9,,4,,14.5,,22,18.5,,13.5,,6.5
,,,,,,,,,,,,
somme,45.5,150.5,205,224,336.5,460,545.5,530,413.5,309,228.5,122
moyenne,1.5,5.4,6.6,7.5,10.9,15.3,17.6,17.1,13.8,10,7.6,3.9
TÁ mini,-3,-2,0,3,5,10.5,12,13,4.5,4,2,-2
