2002,,Météo Camp Redon,,,pluie,,,,,,,,,
date,janvier,février,mars,avril,mai,juin,juillet,août,septembre,octobre,novembre,décembre,total pluie,
1,,,,,,,,5.3,,,,1.3,,
2,,,,,25,,,,,,,5.5,,
3,6.5,,10.5,,0.4,,,,,,5,,,
4,3.0,21.5,,,,5,,,6,,,,,
5,,5.5,2.9,5,,8.5,,,,,,3.5,,
6,,8,24,,,13,3,1.4,2.4,,,,,
7,,,,32,,22,0.6,,,,7,,,
8,4.0,,,13,2.5,0,,,45,,,,,
9,3.5,,,,14.5,19,,,37,22,,,,
10,,,,,4.5,,7,,,100,,21,,
11,0.5,,,19,,,,,,20,,56,,
12,,,,14,,,,,,,,144,,
13,0.4,,,2.5,,,,,,,0.5,55,,
14,,,1.8,,,,,,,,2.5,45,,
15,,2,0.2,,,,,,,,5,,,
16,5,5.5,,,,,1.5,,,0.5,4,,,
17,,8,,,,,,,,0.1,,,,
18,,13.5,0.2,,2.5,,,,0.5,,0.5,,,
19,,,,,,,,,68,,,,,
20,,,,,,,,,12,,2.4,,,
21,,,,,,,,,,,11,0.3,,
22,4,,,,1,,,,,11.5,12,,,
23,2.5,,,,15,,,,,0.25,,,,
24,3.4,,,,0.6,,,,,0.2,1.8,0.5,,
25,,,,,,,,7.5,,,38,,,
26,,,,,,,,82,,0.1,,,,
27,,,,,,,,4.7,,,,0.5,,
28,,,,,,,,,,,,,,
29,,,,,,,,,,,11,,,
30,,,,,,,,,,,,,,
31,,,,,,,,0.9,,18,,1,,
,,,,,,,,,,,,,,
somme,32.8,64.0,39.6,85.5,66.0,67.5,12.1,101.8,170.9,172.7,100.7,333.6,1247.2,
nb. jours,10.0,7.0,6.0,6.0,9.0,6.0,4.0,6.0,7.0,10.0,13.0,12.0,96.0,
Tmin,1.5,5.4,6.6,7.5,10.9,15.3,17.6,17.1,13.8,10.0,7.6,3.9,,
Tmax,12.1,14.1,16.8,18.7,20.3,26.9,28.7,28.3,23.7,20.4,16.9,12.9,,
Tmoy,6.8,9.7,11.7,13.1,15.6,21.1,23.2,22.7,18.8,15.2,12.3,8.4,,
i,1.58,2.74,3.63,4.29,5.58,8.86,10.19,9.89,7.40,5.37,3.90,2.20,65.6,1.52
factor,0.84,0.83,1.03,1.11,1.24,1.25,1.27,1.18,1.04,0.96,0.83,0.81,,
ETP_Thornthw.,14,24,40,51,74,119,139,125,82,55,34,19,776.4,
bilan,19,40,0,35,-8,-51,-127,-23,89,118,66,315,470.7,
Tmoy chauffé,10.8,13.7,15.7,17.1,19.6,25.1,27.2,26.7,22.8,19.2,16.3,12.4,,
i_chauffé,3.19,4.62,5.67,6.42,7.89,11.52,12.96,12.65,9.91,7.65,5.97,3.96,,
Etp_chauffé,29,41,62,76,105,155,177,160,111,79,53,34,,
bilan chauffé,4,23,-23,9,-39,-87,-165,-58,60,94,48,299,,
traitement irigué,32.8,64.0,39.6,85.5,66.0,97.5,43.1,132.8,170.9,172.7,100.7,333.6,1339.2,
bilan,19,40,0,35,-8,-21,-96,8,89,118,66,315,562.7,
,,,,,,,,,,,,,,
chauffé2002,4,23,-23,9,-39,-87,-165,-58,60,94,48,299,166.0,-349.1
témoin2002,19,40,0,35,-8,-51,-127,-23,89,118,66,315,470.7,-209.2
irrigué2002,19,40,0,35,-8,-21,-96,8,89,118,66,315,562.7,-117.2
témoin2003,26,65,-22,42,-47,-135,-156,-104,241,55,236,260,462.4,-441.3
irrigué2003,26,65,-22,42,-47,-105,-125,-73,241,55,236,260,554.4,-349.3
,,,,,,,,,,,,,,
,,,ppm,,,,,,,,,,,
,,,0,0.0000,,,,,,,,,,
,,,50,0.0000,,,,,,,,,,
,,,100,0.0000,,,,,,,,,,
,,,150,0.0000,,,,,,,,,,
,,,200,0.0000,,,,,,,,,,
,,,250,0.0001,,,,,,,,,,
,,,300,0.0001,,,,,,,,,,
,,,350,0.0003,,,,,,,,,,
,,,400,0.0005,,,,,,,,,,
,,,450,0.0010,,,,,,,,,,
,,,500,0.0019,,,,,,,,,,
,,,550,0.0036,,,,,,,,,,
,,,600,0.0069,,,,,,,,,,
,,,650,0.0129,,,,,,,,,,
,,,700,0.0242,,,,,,,,,,
,,,750,0.0449,,,,,,,,,,
,,,800,0.0817,,,,,,,,,,
,,,850,0.1443,,,,,,,,,,
,,,900,0.2421,,,,,,,,,,
,,,950,0.3770,,,,,,,,,,
,,,1000,0.5341,,,,,,,,,,
,,,1050,0.6848,,,,,,,,,,
,,,1100,0.8045,,,,,,,,,,
,,,1150,0.8863,,,,,,,,,,
,,,1200,0.9366,,,,,,,,,,
,,,1250,0.9655,,0.965,,,,,,,,
,,,1300,0.9815,,,,,,,,,,
,,,1350,0.9901,,0.990,,,,,,,,
,,,1400,0.9948,,,,,,,,,,
,,,1450,0.9972,,,,,,,,,,
,,,1500,0.9985,,,,,,,,,,
,,,1550,0.9992,,,,,,,,,,
,,,1600,0.9996,,,,,,,,,,
,,,1650,0.9998,,,,,,,,,,
,,,1700,0.9999,,,,,,,,,,
,,,1750,0.9999,,,,,,,,,,
,,,1800,1.0000,,,,,,,,,,
