Block,Plot,humidity treatment,temperature treatment,line,column,Species,Population,sowing,,55,65,85,91,95,death 
,,,T+,,,aa,,20/03/03,,,,,,,
,,,T+,,,aa,,20/03/03,,,,,,,
,,,T+,,,aa,,20/03/03,,,,,,,
,,,T+,13,,aa,,20/03/03,,,,,,,
,,,T++,,,aa,,20/03/03,,,,,,,
,,,T++,,,aa,,20/03/03,,,,,,,
,,,T++,,,aa,,20/03/03,,,,,,,
,,,T++,13,,aa,,20/03/03,,,,,,,
,,,,,,aa,,20/03/03,,,,,,,
,,,,,,aa,,20/03/03,,,,,,,
,,,,,,aa,,20/03/03,,,,,,,
,,,,13,,aa,,20/03/03,,,,,,,
,,,T++,,,aa,,20/03/03,,,,,,,
,,,T++,,,aa,,20/03/03,,,,,,,
,,,T++,,,aa,,20/03/03,,,,,,,
,,,T++,13,,aa,,20/03/03,,,,,,,
,,,,,,aa,,20/03/03,,,,,,,
,,,,,,aa,,20/03/03,,,,,,,
,,,,,,aa,,20/03/03,,,,,,,
,,,,13,,aa,,20/03/03,,,,,,,
,,,T+,,,aa,,20/03/03,,,,,,,
,,,T+,,,aa,,20/03/03,,,,,,,
,,,T+,,,aa,,20/03/03,,,,,,,
,,,T+,13,,aa,,20/03/03,,,,,,,
,,,,,,aa,,21/03/03,,,,,,,
,,,,,,aa,,21/03/03,,,,,,,
,,,,,,aa,,21/03/03,,,,,,,
,,,,13,,aa,,21/03/03,,,,,,,
,,,T+,,,aa,,21/03/03,,,,,,,
,,,T+,,,aa,,21/03/03,,,,,,,
,,,T+,,,aa,,21/03/03,,,,,,,
,,,T+,13,,aa,,21/03/03,,,,,,,
,,,T++,,,aa,,21/03/03,,,,,,,
,,,T++,,,aa,,21/03/03,,,,,,,
,,,T++,,,aa,,21/03/03,,,,,,,
,,,T++,13,,aa,,21/03/03,,,,,,,
,,,T+,,,aa,,21/03/03,,,,,,,
,,,T+,,,aa,,21/03/03,,,,,,,
,,,T+,,,aa,,21/03/03,,,,,,,
,,,T+,13,,aa,,21/03/03,,,,,,,
,,,,,,aa,,21/03/03,,,,,,,
,,,,,,aa,,21/03/03,,,,,,,
,,,,,,aa,,21/03/03,,,,,,,
,,,,13,,aa,,21/03/03,,,,,,,
,,,T++,,,aa,,21/03/03,,,,,,,
,,,T++,,,aa,,21/03/03,,,,,,,
,,,T++,,,aa,,21/03/03,,,,,,,
,,,T++,13,,aa,,21/03/03,,,,,,,
,,,,,,aa,,25-Mar-03,,,,,,,
,,,,,,aa,,25-Mar-03,,,,,,,
,,,,,,aa,,25-Mar-03,,,,,,,
,,,,13,,aa,,25-Mar-03,,,,,,,
,,,T++,,,aa,,25-Mar-03,,,,,,,
,,,T++,,,aa,,25-Mar-03,,,,,,,
,,,T++,,,aa,,25-Mar-03,,,,,,,
,,,T++,13,,aa,,25-Mar-03,,,,,,,
,,,,,,aa,,25-Mar-03,,,,,,,
,,,,,,aa,,25-Mar-03,,,,,,,
,,,,,,aa,,25-Mar-03,,,,,,,
,,,,13,,aa,,25-Mar-03,,,,,,,
,,,T++,,,aa,,25-Mar-03,,,,,,,
,,,T++,,,aa,,25-Mar-03,,,,,,,
,,,T++,,,aa,,25-Mar-03,,,,,,,
,,,T++,13,,aa,,25-Mar-03,,,,,,,
,,,T+,,,aa,,25-Mar-03,,,,,,,
,,,T+,,,aa,,25-Mar-03,,,,,,,
,,,T+,,,aa,,25-Mar-03,,,,,,,
,,,T+,13,,aa,,25-Mar-03,,,,,,,
,,,T+,,,aa,,25-Mar-03,,,,,,,
,,,T+,,,aa,,25-Mar-03,,,,,,,
,,,T+,,,aa,,25-Mar-03,,,,,,,
,,,T+,13,,aa,,25-Mar-03,,,,,,,
,,,T++,,,aa,,26-Mar,,,,,,,
,,,T++,,,aa,,26-Mar,,,,,,,
,,,T++,,,aa,,26-Mar,,,,,,,
,,,T++,13,,aa,,26-Mar,,,,,,,
,,,T+,,,aa,,26-Mar,,,,,,,
,,,T+,,,aa,,26-Mar,,,,,,,
,,,T+,,,aa,,26-Mar,,,,,,,
,,,T+,13,,aa,,26-Mar,,,,,,,
,,,T++,,,aa,,26-Mar,,,,,,,
,,,T++,,,aa,,26-Mar,,,,,,,
,,,T++,,,aa,,26-Mar,,,,,,,
,,,T++,13,,aa,,26-Mar,,,,,,,
,,,,,,aa,,26-Mar,,,,,,,
,,,,,,aa,,26-Mar,,,,,,,
,,,,,,aa,,26-Mar,,,,,,,
,,,,13,,aa,,26-Mar,,,,,,,
,,,T+,,,aa,,26-Mar,,,,,,,
,,,T+,,,aa,,26-Mar,,,,,,,
,,,T+,,,aa,,26-Mar,,,,,,,
,,,T+,13,,aa,,26-Mar,,,,,,,
,,,,,,aa,,26-Mar,,,,,,,
,,,,,,aa,,26-Mar,,,,,,,
,,,,,,aa,,26-Mar,,,,,,,
,,,,13,,aa,,26-Mar,,,,,,,
,,,T+,,,aa,,27/03/03,,,,,,,
,,,T+,,,aa,,27/03/03,,,,,,,
,,,T+,,,aa,,27/03/03,,,,,,,
,,,T+,13,,aa,,27/03/03,,,,,,,
,,,,,,aa,,27/03/03,,,,,,,
,,,,,,aa,,27/03/03,,,,,,,
,,,,,,aa,,27/03/03,,,,,,,
,,,,13,,aa,,27/03/03,,,,,,,
,,,T++,,,aa,,27/03/03,,,,,,,
,,,T++,,,aa,,27/03/03,,,,,,,
,,,T++,,,aa,,27/03/03,,,,,,,
,,,T++,13,,aa,,27/03/03,,,,,,,
,,,T++,,,aa,,27/03/03,,,,,,,
,,,T++,,,aa,,27/03/03,,,,,,,
,,,T++,,,aa,,27/03/03,,,,,,,
,,,T++,13,,aa,,27/03/03,,,,,,,
,,,T+,,,aa,,27/03/03,,,,,,,
,,,T+,,,aa,,27/03/03,,,,,,,
,,,T+,,,aa,,27/03/03,,,,,,,
,,,T+,13,,aa,,27/03/03,,,,,,,
,,,,,,aa,,27/03/03,,,,,,,
,,,,,,aa,,27/03/03,,,,,,,
,,,,,,aa,,27/03/03,,,,,,,
,,,,13,,aa,,27/03/03,,,,,,,
,,,T+,,,aa,,20/03/03,,,,,,,
,,,T+,,,aa,,20/03/03,,,,,,,
,,,T+,,,aa,,20/03/03,,,,,,,
,,,T+,11,,aa,,20/03/03,,,,,,,
,,,T++,,,aa,,20/03/03,,,,,,,
,,,T++,,,aa,,20/03/03,,,,,,,
,,,T++,,,aa,,20/03/03,,,,,,,
,,,T++,11,,aa,,20/03/03,,,,,,,
,,,,,,aa,,20/03/03,,,,,,,
,,,,,,aa,,20/03/03,,,,,,,
,,,,11,,aa,,20/03/03,,,,,,,
,,,T++,,,aa,,20/03/03,,,,,,,
,,,T++,,,aa,,20/03/03,,,,,,,
,,,T++,,,aa,,20/03/03,,,,,,,
,,,T++,11,,aa,,20/03/03,,,,,,,
,,,,13,,aa,,20/3/03,,,,,,,
,,,,,,aa,,20/03/03,,,,,,,
,,,,,,aa,,20/03/03,,,,,,,
,,,,,,aa,,20/03/03,,,,,,,
,,,,11,,aa,,20/03/03,,,,,,,
,,,T+,,,aa,,20/03/03,,,,,,,
,,,T+,,,aa,,20/03/03,,,,,,,
,,,T+,,,aa,,20/03/03,,,,,,,
,,,T+,11,,aa,,20/03/03,,,,,,,
,,,,,,aa,,21/03/03,,,,,,,
,,,,,,aa,,21/03/03,,,,,,,
,,,,,,aa,,21/03/03,,,,,,,
,,,,11,,aa,,21/03/03,,,,,,,
,,,T+,,,aa,,21/03/03,,,,,,,
,,,T+,,,aa,,21/03/03,,,,,,,
,,,T+,,,aa,,21/03/03,,,,,,,
,,,T+,11,,aa,,21/03/03,,,,,,,
,,,T++,,,aa,,21/03/03,,,,,,,
,,,T++,,,aa,,21/03/03,,,,,,,
,,,T++,,,aa,,21/03/03,,,,,,,
,,,T++,11,,aa,,21/03/03,,,,,,,
,,,T+,,,aa,,21/03/03,,,,,,,
,,,T+,,,aa,,21/03/03,,,,,,,
,,,T+,,,aa,,21/03/03,,,,,,,
,,,T+,11,,aa,,21/03/03,,,,,,,
,,,,,,aa,,21/03/03,,,,,,,
,,,,,,aa,,21/03/03,,,,,,,
,,,,,,aa,,21/03/03,,,,,,,
,,,,11,,aa,,21/03/03,,,,,,,
,,,T++,,,aa,,21/03/03,18-Nov,,,,,,
,,,T++,,,aa,,21/03/03,,,,,,,
,,,T++,,,aa,,21/03/03,,,,,,,
,,,T++,11,,aa,,21/03/03,,,,,,,
,,,,,,aa,,25-Mar-03,,,,,,,
,,,,,,aa,,25-Mar-03,,,,,,,
,,,,,,aa,,25-Mar-03,,,,,,,
,,,,11,,aa,,25-Mar-03,,,,,,,
,,,T++,,,aa,,25-Mar-03,,,,,,,
,,,T++,,,aa,,25-Mar-03,,,,,,,
,,,T++,,,aa,,25-Mar-03,,,,,,,
,,,T++,11,,aa,,25-Mar-03,,,,,,,
,,,,,,aa,,25-Mar-03,,,,,,,
,,,,,,aa,,25-Mar-03,,,,,,,
,,,,,,aa,,25-Mar-03,,,,,,,
,,,,11,,aa,,25-Mar-03,,,,,,,
,,,T++,,,aa,,25-Mar-03,,,,,,,
,,,T++,,,aa,,25-Mar-03,,,,,,,
,,,T++,,,aa,,25-Mar-03,,,,,,,
,,,T++,11,,aa,,25-Mar-03,,,,,,,
,,,T+,,,aa,,25-Mar-03,,,,,,,
,,,T+,,,aa,,25-Mar-03,,,,,,,
,,,T+,,,aa,,25-Mar-03,,,,,,,
,,,T+,11,,aa,,25-Mar-03,,,,,,,
,,,T+,,,aa,,25-Mar-03,,,,,,,
,,,T+,,,aa,,25-Mar-03,,,,,,,
,,,T+,,,aa,,25-Mar-03,,,,,,,
,,,T+,11,,aa,,25-Mar-03,,,,,,,
,,,T++,,,aa,,26-Mar,,,,,,,
,,,T++,,,aa,,26-Mar,,,,,,,
,,,T++,,,aa,,26-Mar,,,,,,,
,,,T++,11,,aa,,26-Mar,,,,,,,
,,,T+,,,aa,,26-Mar,,,,,,,
,,,T+,,,aa,,26-Mar,26-Nov,,,,,,
,,,T+,,,aa,,26-Mar,,,,,,,
,,,T+,11,,aa,,26-Mar,,,,,,,
,,,T++,,,aa,,26-Mar,,,,,,,
,,,T++,,,aa,,26-Mar,,,,,,,
,,,T++,,,aa,,26-Mar,,,,,,,
,,,T++,11,,aa,,26-Mar,,,,,,,
,,,,,,aa,,26-Mar,,,,,,,
,,,,,,aa,,26-Mar,,,,,,,
,,,,,,aa,,26-Mar,,,,,,,
