2002,,Camp Redon,,maxi,,,,,,,,
date,janvier ,fevrier,mars,avril,mai,juin,juillet,ao_t,septembre,octobre,novembre,d_cembre
1,9,13,13.5,17,17,29,27.5,29.5,29,20.5,20.5,12
2,6,17,13,15.5,14.5,24.5,26,24,27.5,20.5,20.5,10.5
3,8.5,13,12.5,15.5,14.5,26.5,27,27,25,21,21,13
4,9,15,16,16,16,25,24.5,28.5,25,22.5,22,13
5,6.5,14,15.5,21,18.5,24.5,28.5,32,25,24.5,17,14
6,10.5,13,9.5,21,17.5,22.5,25.5,29,24,23.5,16.5,11.5
7,11.5,13,15,16,16.5,15.5,26,28,26,24,17.5,13
8,7.5,13,17.5,13,20.5,22.5,29.5,29.5,24,21,15,11.5
9,12.5,19.5,20,20,18,16,28,28.5,23,19.5,14,11
10,10.5,18,18,18.5,17,22,26.5,26.5,22,17,20,10
11,9.5,16,20,14,16,22,29,24.5,26,18.5,21.5,9
12,12.5,18,17,12,21,25.5,29.5,26,25,20,19,11.5
13,11,20,13.5,13,22,26,30,26,23,23,16.5,10
14,10,19.5,17,15,21.5,28.5,26,31.5,20.5,20.5,18.5,13
15,12,12,15.5,16.5,24.5,24.5,24,29,24.5,22.5,17.5,14
16,12,9.5,15,16.5,25,25.5,25,33,27,21.5,16,15.5
17,12.5,6.5,15,17.5,23,27.5,25,33.5,24,20,15.5,14
18,12,7,17,19,19,29,30.5,31,23.5,18,16,11.5
19,12,12.5,17,21.5,16,29.5,33.5,28.5,23.5,18,17,13.5
20,10.5,12,19,19.5,26,31,31,27,24,18.5,14.5,13
21,15,12,23,21.5,26,30,30,28,24.5,18,16.5,14.5
22,12.5,11.5,26.5,22,21,28.5,29.5,30.5,25.5,19.5,14.5,14
23,14.5,12,24,22,19,34,32,27.5,24.5,22,15.5,14
24,12.5,15.5,19.5,25,21,33.5,34.5,28,20,18.5,16.5,10.5
25,13.5,15,18,27,24,33,27.5,28.5,19,17,15,14
26,16,17.5,15.5,28,20.5,33.5,29,26,19.5,18.5,12,15.5
27,19,15,16,21,22.5,32.5,32,24,23,22.5,15.5,14
28,17,15,16.5,19,16,28,32.5,26,21,23.5,17,15.5
29,21,,14,16,23.5,28.5,28,27.5,22,20.5,15,15
30,15,,15,21,26.5,29,30,30,21,19,14.5,15
31,12.5,,17.5,,24.5,,33,30,,18.5,,13
,,,,,,,,,,,,
somme,374,395,522,560.5,628.5,807.5,890.5,878.5,711.5,632,508,399.5
moyenne,12.1,14.1,16.8,18.7,20.3,26.9,28.7,28.3,23.7,20.4,16.9,12.9
TÁ max,21,20,26.5,28,26.5,34,34.5,33.5,29,24.5,22,15.5
