plot,block,hum,temp,date,30 cm,15 cm,,plot,block,hum,temp,30 cm,15 cm,,,,temp,,,,,,,,,,,,,,,,,,,,,
b3,B,S,T++,040202,27.3,23.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c3,C,H,T,040202,29.6,32.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d3,D,H,T++,040202,28.9,26.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e3,E,H,T++,040202,30.5,28.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a4,A,H,T++,040202,28.2,27.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b4,B,H,T+,040202,29.5,26.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c4,C,S,T++,040202,28.8,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d4,D,S,T,040202,31.7,31.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e4,E,S,T++,040202,27.9,28.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a5,A,H,T,040202,32.2,32.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b5,B,S,T,040202,32.2,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c5,C,H,T+,040202,29.8,26.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d5,D,H,T+,040202,31.4,31.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e5,E,S,T+,040202,29.2,28.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a6,A,S,T+,040202,30,31.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b6,B,H,T++,040202,28.7,28.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
c6,C,S,T+,040202,31.5,26.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d6,D,H,T,040202,36.6,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
