"Accepted Symbol","Synonym Symbol","Scientific Name"
"ABAL3","","Abies alba"
"ABAM","","Abies amabilis"
"ABBA","","Abies balsamea"
"ABBAB","","Abies balsamea var. balsamea"
"ABBAP","","Abies balsamea var. phanerolepis"
"ABBR","","Abies bracteata"
"ABCO","","Abies concolor"
"ABFI","","Abies firma"
"ABFR","","Abies fraseri"
"ABGR","","Abies grandis"
"ABGU","","Abies guatemalensis"
"ABHO","","Abies homolepis"
"ABLA","","Abies lasiocarpa"
"ABLAA","","Abies lasiocarpa var. arizonica"
"ABLAL","","Abies lasiocarpa var. lasiocarpa"
"ABLO","","Abies lowiana"
"ABMA","","Abies magnifica"
"ABMAM","","Abies magnifica var. magnifica"
"ABMAS","","Abies magnifica var. shastensis"
"ABPR","","Abies procera"
"ACEM","","Acacia ×emoryana"
"ACAN4","","Acacia anegadensis"
"ACAN10","","Acacia aneura"
"ACAU","","Acacia auriculiformis"
"ACBA","","Acacia baileyana"
"ACBE","","Acacia berlandieri"
"ACCH","","Acacia choriophylla"
"ACCO","","Acacia confusa"
"ACCO2","","Acacia constricta"
"ACCOC","","Acacia constricta var. constricta"
"ACCOP9","","Acacia constricta var. paucispina"
"ACCO5","","Acacia cornigera"
"ACDE3","","Acacia dealbata"
"ACDE","","Acacia decurrens"
"ACEL","","Acacia elata"
"ACFA","","Acacia farnesiana"
"ACGR","","Acacia greggii"
"ACGRG3","","Acacia greggii var. greggii"
"ACGRW","","Acacia greggii var. wrightii"
"ACKO","","Acacia koa"
"ACKO2","","Acacia koaia"
"ACLO","","Acacia longifolia"
"ACMA","","Acacia macracantha"
"ACME80","","Acacia mearnsii"
"ACME","","Acacia melanoxylon"
"ACMI","","Acacia millefolia"
"ACMU","","Acacia muricata"
"ACNI2","","Acacia nilotica"
"ACPA81","","Acacia parramattensis"
"ACPI","","Acacia pinetorum"
"ACPO2","","Acacia podalyriifolia"
"ACPO3","","Acacia polyacantha"
"ACPY3","","Acacia pycnantha"
"ACRE2","","Acacia retinodes"
"ACRE4","","Acacia retusa"
"ACRI","","Acacia rigidula"
"ACRO","","Acacia roemeriana"
"ACSA","","Acacia saligna"
"ACSP4","","Acacia sphaerocephala"
"ACTO","","Acacia tortuosa"
"ACVE2","","Acacia verticillata"
"ACVO","","Acacia vogeliana"
"ACFR","","Acer ×freemanii"
"ACCA5","","Acer campestre"
"ACCI","","Acer circinatum"
"ACFL","","Acer floridanum"
"ACGI","","Acer ginnala"
"ACGL","","Acer glabrum"
"ACGLD3","","Acer glabrum var. diffusum"
"ACGLD4","","Acer glabrum var. douglasii"
"ACGLG2","","Acer glabrum var. glabrum"
"ACGLG","","Acer glabrum var. greenei"
"ACGLN2","","Acer glabrum var. neomexicanum"
"ACGLT2","","Acer glabrum var. torreyi"
"ACGR3","","Acer grandidentatum"
"ACGRG","","Acer grandidentatum var. grandidentatum"
"ACGRS","","Acer grandidentatum var. sinuosum"
"ACJA2","","Acer japonicum"
"ACLE","","Acer leucoderme"
"ACLE2","","Acer leucoderme × saccharum"
"ACMA3","","Acer macrophyllum"
"ACNE2","","Acer negundo"
"ACNEA","","Acer negundo var. arizonicum"
"ACNEC2","","Acer negundo var. californicum"
"ACNEI2","","Acer negundo var. interius"
"ACNEN","","Acer negundo var. negundo"
"ACNET","","Acer negundo var. texanum"
"ACNEV","","Acer negundo var. violaceum"
"ACNI5","","Acer nigrum"
"ACPA2","","Acer palmatum"
"ACPE","","Acer pensylvanicum"
"ACPL","","Acer platanoides"
"ACPS","","Acer pseudoplatanus"
"ACRU","","Acer rubrum"
"ACRUD","","Acer rubrum var. drummondii"
"ACRUR","","Acer rubrum var. rubrum"
"ACRUT","","Acer rubrum var. trilobum"
"ACSA2","","Acer saccharinum"
"ACSA3","","Acer saccharum"
"ACSAS","","Acer saccharum var. saccharum"
"ACSAS2","","Acer saccharum var. schneckii"
"ACSP2","","Acer spicatum"
"ACTA80","","Acer tataricum"
"ACAR","","Acnistus arborescens"
"ACWR4","","Acoelorraphe wrightii"
"ACME2","","Acrocomia media"
"ACTO5","","Acrocomia totai"
"ADDI3","","Adansonia digitata"
"ADRI","","Adelia ricinella"
"ADPA","","Adenanthera pavonina"
"ADSP","","Adenostoma sparsifolium"
"AEIN5","","Aegiphila integrifolia"
"AEMA","","Aegiphila martinicensis"
"AEAR5","","Aesculus ×arnoldiana"
"AEBU","","Aesculus ×bushii"
"AECA2","","Aesculus ×carnea"
"AEHY","","Aesculus ×hybrida"
"AEMA2","","Aesculus ×marylandica"
"AEMU","","Aesculus ×mutabilis"
"AENE","","Aesculus ×neglecta"
"AEWO","","Aesculus ×worlitzensis"
"AECA","","Aesculus californica"
"AEFL","","Aesculus flava"
"AEGL","","Aesculus glabra"
"AEGLA","","Aesculus glabra var. arguta"
"AEGLG","","Aesculus glabra var. glabra"
"AEHI","","Aesculus hippocastanum"
"AEPA2","","Aesculus parviflora"
"AEPA","","Aesculus pavia"
"AEPAF","","Aesculus pavia var. flavescens"
"AEPAP","","Aesculus pavia var. pavia"
"AESY","","Aesculus sylvatica"
"AGRO6","","Agathis robusta"
"AGMA14","","Aglaia mariannensis"
"AIRA2","","Aidia racemosa"
"AIAL","","Ailanthus altissima"
"AIMI","","Aiphanes minima"
"ALAC","","Albizia acle"
"ALAD","","Albizia adinocephala"
"ALCA8","","Albizia carbonaria"
"ALCH2","","Albizia chinensis"
"ALJU","","Albizia julibrissin"
"ALLE","","Albizia lebbeck"
"ALLE2","","Albizia lebbekoides"
"ALPR","","Albizia procera"
"ALRE","","Albizia retusa"
"ALSA10","","Albizia saponaria"
"ALLA","","Alchornea latifolia"
"ALFL3","","Alchorneopsis floribunda"
"ALPO","","Alchorneopsis portoricensis"
"ALMA","","Alectryon macrococcus"
"ALMAA","","Alectryon macrococcus var. auwahiensis"
"ALMAM2","","Alectryon macrococcus var. macrococcus"
"ALMO","","Aleurites moluccanus"
"ALMOK3","","Aleurites moluccanus var. katoi"
"ALCR9","","Allophylus crassinervis"
"ALRA","","Allophylus racemosus"
"ALTE13","","Allophylus ternatus"
"ALTI2","","Allophylus timorensis"
"ALTI3","","Allophylus timoriensis"
"ALFA4","","Alnus ×fallacina"
"ALCO13","","Alnus cordata"
"ALGL2","","Alnus glutinosa"
"ALIN2","","Alnus incana"
"ALINR","","Alnus incana ssp. rugosa"
"ALINT","","Alnus incana ssp. tenuifolia"
"ALMA7","","Alnus maritima"
"ALNE2","","Alnus nepalensis"
"ALOB2","","Alnus oblongifolia"
"ALRH2","","Alnus rhombifolia"
"ALRU2","","Alnus rubra"
"ALSE2","","Alnus serrulata"
"ALVI5","","Alnus viridis"
"ALVIC","","Alnus viridis ssp. crispa"
"ALVIF","","Alnus viridis ssp. fruticosa"
"ALVIS","","Alnus viridis ssp. sinuata"
"ALCA21","","Alphitonia carolinensis"
"ALPO3","","Alphitonia ponderosa"
"ALCA6","","Alpinia carolinensis"
"ALAM5","","Alsophila amintae"
"ALBR4","","Alsophila bryophila"
"ALPO7","","Alsophila portoricensis"
"ALMA16","","Alstonia macrophylla"
"ALAM3","","Alvaradoa amorphoides"
"ALAMP2","","Alvaradoa amorphoides ssp. psilophyllis"
"AMIN4","","Amelanchier ×intermedia"
"AMNE","","Amelanchier ×neglecta"
"AMQU","","Amelanchier ×quinti-martii"
"AMAL2","","Amelanchier alnifolia"
"AMALA","","Amelanchier alnifolia var. alnifolia"
"AMALC","","Amelanchier alnifolia var. cusickii"
"AMALH","","Amelanchier alnifolia var. humptulipensis"
"AMALS","","Amelanchier alnifolia var. semiintegrifolia"
"AMAR3","","Amelanchier arborea"
"AMARA3","","Amelanchier arborea var. alabamensis"
"AMARA4","","Amelanchier arborea var. arborea"
"AMARA5","","Amelanchier arborea var. austromontana"
"AMBA","","Amelanchier bartramiana"
"AMCA4","","Amelanchier canadensis"
"AMIN2","","Amelanchier interior"
"AMLA","","Amelanchier laevis"
"AMPA2","","Amelanchier pallida"
"AMSA","","Amelanchier sanguinea"
"AMSAG","","Amelanchier sanguinea var. gaspensis"
"AMSAS","","Amelanchier sanguinea var. sanguinea"
"AMUT","","Amelanchier utahensis"
"AMUTC2","","Amelanchier utahensis var. covillei"
"AMUTU","","Amelanchier utahensis var. utahensis"
"AMJA","","×Amelasorbus jackii"
"AMLA4","","Amphitecna latifolia"
"AMBA2","","Amyris balsamifera"
"AMEL","","Amyris elemifera"
