"Accepted Symbol","Synonym Symbol","Scientific Name"
"BECU","","Begonia cucullata"
"BEDE2","","Begonia decandra"
"BEHE2","","Begonia heracleifolia"
"BEHI2","","Begonia hirtella"
"BENE3","","Begonia nelumbiifolia"
"BERE2","","Begonia reniformis"
"BECH","","Belamcanda chinensis"
"BETR","","Bellardia trixago"
"BEPE2","","Bellis perennis"
"BECO5","","Beloglottis costaricensis"
"BEHI3","","Benincasa hispida"
"BEOC","","Benitoa occidentalis"
"BEOR","","Bensoniella oregona"
"BETE","","Bergia texana"
"BEHE","","Berkheya heterophylla"
"BEHU","","Berlandiera ×humilis"
"BEBE4","","Berlandiera betonicifolia"
"BELY","","Berlandiera lyrata"
"BEPU2","","Berlandiera pumila"
"BEPUP3","","Berlandiera pumila var. pumila"
"BEPUS","","Berlandiera pumila var. scabrella"
"BESU","","Berlandiera subacaulis"
"BEIN2","","Berteroa incana"
"BEMU","","Berteroa mutabilis"
"BEER","","Berula erecta"
"BEAL","","Besseya alpina"
"BEAR","","Besseya arizonica"
"BEBU","","Besseya bullii"
"BEOB2","","Besseya oblongifolia"
"BEPL","","Besseya plantaginea"
"BERI","","Besseya ritteriana"
"BERU","","Besseya rubra"
"BEWY","","Besseya wyomingensis"
"BEPR","","Beta procumbens"
"BEVU2","","Beta vulgaris"
"BIMU","","Bidens ×multiceps"
"BIAL","","Bidens alba"
"BIALR","","Bidens alba var. radiata"
"BIAM3","","Bidens amplectens"
"BIAM","","Bidens amplissima"
"BIAR","","Bidens aristosa"
"BIAS3","","Bidens asymmetrica"
"BIAU","","Bidens aurea"
"BIBE2","","Bidens beckii"
"BIBI3","","Bidens bidentoides"
"BIBI","","Bidens bigelovii"
"BIBIA","","Bidens bigelovii var. angustiloba"
"BIBIB2","","Bidens bigelovii var. bigelovii"
"BIBI7","","Bidens bipinnata"
"BICA2","","Bidens campylotheca"
"BICAC","","Bidens campylotheca ssp. campylotheca"
"BICAP","","Bidens campylotheca ssp. pentamera"
"BICAW","","Bidens campylotheca ssp. waihoiensis"
"BICE","","Bidens cernua"
"BICE2","","Bidens cervicata"
"BICO4","","Bidens conjuncta"
"BICO5","","Bidens connata"
"BICO","","Bidens coronata"
"BICO6","","Bidens cosmoides"
"BICU","","Bidens cuneata"
"BICY","","Bidens cynapiifolia"
"BIDI","","Bidens discoidea"
"BIEA","","Bidens eatonii"
"BIFE2","","Bidens ferulifolia"
"BIFO","","Bidens forbesii"
"BIFOF","","Bidens forbesii ssp. forbesii"
"BIFOK","","Bidens forbesii ssp. kahiliensis"
"BIFR","","Bidens frondosa"
"BIGA","","Bidens gardneri"
"BIHA","","Bidens hawaiensis"
"BIHE2","","Bidens heterodoxa"
"BIHE","","Bidens heterosperma"
"BIHI","","Bidens hillebrandiana"
"BIHIH","","Bidens hillebrandiana ssp. hillebrandiana"
"BIHIP","","Bidens hillebrandiana ssp. polycephala"
"BIHY","","Bidens hyperborea"
"BIHYH","","Bidens hyperborea var. hyperborea"
"BIHYS","","Bidens hyperborea var. svensonii"
"BILA","","Bidens laevis"
"BILE2","","Bidens lemmonii"
"BILE","","Bidens leptocephala"
"BIMA","","Bidens macrocarpa"
"BIMA4","","Bidens mauiensis"
"BIMI2","","Bidens micrantha"
"BIMIC2","","Bidens micrantha ssp. ctenophylla"
"BIMIK2","","Bidens micrantha ssp. kalealaha"
"BIMIM","","Bidens micrantha ssp. micrantha"
"BIMI","","Bidens mitis"
"BIMO","","Bidens molokaiensis"
"BIPI","","Bidens pilosa"
"BIPO2","","Bidens populifolia"
"BISA2","","Bidens sandvicensis"
"BISAC","","Bidens sandvicensis ssp. confusa"
"BISAS2","","Bidens sandvicensis ssp. sandvicensis"
"BITE","","Bidens tenuisecta"
"BITO","","Bidens torta"
"BITR","","Bidens tripartita"
"BIVA","","Bidens valida"
"BIVU","","Bidens vulgata"
"BIWI","","Bidens wiebkei"
"BIAM2","","Bifora americana"
"BIRA","","Bifora radians"
"BITE3","","Bifora testiculata"
"BINU","","Bigelowia nudata"
"BINUA","","Bigelowia nudata ssp. australis"
"BINUN","","Bigelowia nudata ssp. nudata"
"BINU2","","Bigelowia nuttallii"
"BIPY","","Billbergia pyramidalis"
"BIBI4","","Bituminaria bituminosa"
"BLAP","","Blechnum appendiculatum"
"BLDI","","Blechnum divergens"
"BLFR","","Blechnum fragile"
"BLIN","","Blechnum insularum"
"BLLI","","Blechnum lineatum"
"BLOC","","Blechnum occidentale"
"BLOR","","Blechnum orientale"
"BLPO","","Blechnum polypodioides"
"BLSE","","Blechnum serrulatum"
"BLSP","","Blechnum spicant"
"BLVU","","Blechnum vulcanicum"
"BLPY","","Blechum pyramidatum"
"BLBA","","Blennosperma bakeri"
"BLNA","","Blennosperma nanum"
"BLNAN","","Blennosperma nanum var. nanum"
"BLNAR","","Blennosperma nanum var. robustum"
"BLSC","","Blepharipappus scaber"
"BLSCL","","Blepharipappus scaber ssp. laevis"
"BLSCS","","Blepharipappus scaber ssp. scaber"
"BLLA4","","Blepharizonia laxa"
"BLPL","","Blepharizonia plumosa"
"BLPLP","","Blepharizonia plumosa ssp. plumosa"
"BLPLV","","Blepharizonia plumosa ssp. viscida"
"BLCI","","Blephilia ciliata"
"BLHI","","Blephilia hirsuta"
"BLHIG","","Blephilia hirsuta var. glabrata"
"BLHIH","","Blephilia hirsuta var. hirsuta"
"BLSU","","Blephilia subnuda"
"BLFL","","Bletia florida"
"BLPA","","Bletia patula"
"BLPAA","","Bletia patula var. alba"
"BLPAP","","Bletia patula var. patula"
"BLPU","","Bletia purpurea"
"BLST","","Bletilla striata"
"BLCR","","Bloomeria crocea"
"BLCRA","","Bloomeria crocea var. aurea"
"BLCRC","","Bloomeria crocea var. crocea"
"BLCRM","","Bloomeria crocea var. montana"
"BLHU","","Bloomeria humilis"
"BLHI2","","Blumea hieraciifolia"
"BLLA","","Blumea laciniata"
"BLSE2","","Blumea sessiliflora"
"BLSI","","Blumea sinuata"
"BLVI","","Blumea viscosa"
"BLVE","","Blutaparon vermiculare"
"BLAU","","Blyxa aubertii"
"BOCY","","Boehmeria cylindrica"
"BONI2","","Boehmeria nivea"
"BORE3","","Boehmeria repens"
"BOAC3","","Boerhavia acutifolia"
"BOAL6","","Boerhavia albiflora"
"BOALP","","Boerhavia albiflora var. powelliae"
"BOAN","","Boerhavia anisophylla"
"BOCO","","Boerhavia coccinea"
"BOCO2","","Boerhavia coulteri"
"BODI3","","Boerhavia diffusa"
"BOER","","Boerhavia erecta"
"BOGR","","Boerhavia gracillima"
"BOHE2","","Boerhavia herbstii"
"BOIN","","Boerhavia intermedia"
"BOLI2","","Boerhavia linearifolia"
"BOMA5","","Boerhavia mathisiana"
"BOME","","Boerhavia megaptera"
"BOPT","","Boerhavia pterocarpa"
"BOPU","","Boerhavia purpurascens"
"BORE4","","Boerhavia repens"
"BOSC","","Boerhavia scandens"
"BOSP","","Boerhavia spicata"
"BOTE11","","Boerhavia tetrandra"
"BOTR","","Boerhavia triquetra"
"BOWR","","Boerhavia wrightii"
"BOCA","","Bolandra californica"
"BOOR","","Bolandra oregana"
"BOAL2","","Bolbitis aliena"
"BONI","","Bolbitis nicotianifolia"
"BOPE","","Bolbitis pergamentacea"
"BOPO","","Bolbitis portoricensis"
"BOQU","","Bolbitis quoyana"
"BOAP","","Boltonia apalachicolensis"
"BOAS","","Boltonia asteroides"
"BOASA","","Boltonia asteroides var. asteroides"
"BOASL","","Boltonia asteroides var. latisquama"
"BOASR","","Boltonia asteroides var. recognita"
"BOCA2","","Boltonia caroliniana"
"BODE2","","Boltonia decurrens"
"BODI","","Boltonia diffusa"
"BODID","","Boltonia diffusa var. diffusa"
"BODII","","Boltonia diffusa var. interior"
"BOMO4","","Boltonia montana"
"BOHI","","Bommeria hispida"
"BOGR5","","Bonamia grandiflora"
"BOOV2","","Bonamia ovalifolia"
"BORE9","","Bonamia repens"
"BOOF","","Borago officinalis"
"BOHO","","Boschniakia hookeri"
"BORO","","Boschniakia rossica"
"BOST2","","Boschniakia strobilacea"
"BOTE4","","Bothriospermum tenellum"
"BOWA2","","Botrychium ×watertonense"
"BOAC2","","Botrychium acuminatum"
"BOAL7","","Botrychium alaskense"
"BOAS2","","Botrychium ascendens"
"BOBI","","Botrychium biternatum"
"BOBO4","","Botrychium boreale"
"BOCA5","","Botrychium campestre"
"BOCR","","Botrychium crenulatum"
"BODI2","","Botrychium dissectum"
"BOEC","","Botrychium echo"
"BOGA2","","Botrychium gallicomontanum"
"BOHE5","","Botrychium hesperium"
"BOJE","","Botrychium jenmanii"
"BOLA","","Botrychium lanceolatum"
"BOLAA2","","Botrychium lanceolatum var. angustisegmentum"
"BOLAL","","Botrychium lanceolatum var. lanceolatum"
"BOLI7","","Botrychium lineare"
"BOLU","","Botrychium lunaria"
"BOLU2","","Botrychium lunarioides"
"BOMA2","","Botrychium matricariifolium"
"BOMI","","Botrychium minganense"
"BOMO","","Botrychium montanum"
"BOMO2","","Botrychium mormo"
"BOMU","","Botrychium multifidum"
"BOON","","Botrychium oneidense"
"BOPA12","","Botrychium pallidum"
"BOPA9","","Botrychium paradoxum"
"BOPE4","","Botrychium pedunculosum"
"BOPI","","Botrychium pinnatum"
"BOPS","","Botrychium pseudopinnatum"
"BOPU2","","Botrychium pumicola"
"BORO6","","Botrychium robustum"
"BORU","","Botrychium rugulosum"
"BOSI","","Botrychium simplex"
"BOSP4","","Botrychium spathulatum"
"BOTU3","","Botrychium tunux"
"BOVI","","Botrychium virginianum"
"BOYA","","Botrychium yaaxudakeit"
"BOPR","","Bouchea prismatica"
"BOER3","","Bouchetia erecta"
"BOIN3","","Bowlesia incana"
"BOAC","","Boykinia aconitifolia"
"BOIN4","","Boykinia intermedia"
"BOMA3","","Boykinia major"
"BOOC2","","Boykinia occidentalis"
"BORI2","","Boykinia richardsonii"
"BORO3","","Boykinia rotundifolia"
"BRCI4","","Brachionidium ciliolatum"
"BRSH3","","Brachionidium sherringii"
"BRWR","","Brachystigma wrightii"
"BRBR15","","Bracteantha bracteata"
"BRBI","","Brandegea bigelovii"
"BRSC","","Brasenia schreberi"
"BRCU","","Brassavola cucullata"
"BRNO3","","Brassavola nodosa"
"BRCA7","","Brassia caudata"
"BREL2","","Brassica elongata"
"BRFR3","","Brassica fruticulosa"
"BRJU","","Brassica juncea"
"BRNA","","Brassica napus"
"BRNAN2","","Brassica napus var. napus"
"BRNI","","Brassica nigra"
"BROL","","Brassica oleracea"
"BRRA","","Brassica rapa"
"BRRAA","","Brassica rapa var. amplexicaulis"
"BRRAR","","Brassica rapa var. rapa"
"BRRAS3","","Brassica rapa var. silvestris"
"BRTO","","Brassica tournefortii"
"BRFE3","","Braya fernaldii"
"BRGL","","Braya glabella"
"BRGLG","","Braya glabella ssp. glabella"
"BRGLP2","","Braya glabella ssp. prostrata"
"BRGLP","","Braya glabella ssp. purpurascens"
"BRLI","","Braya linearis"
"BRLO2","","Braya longii"
"BRPI2","","Braya pilosa"
"BRTH","","Braya thorild-wulffii"
"BRTHG","","Braya thorild-wulffii ssp. glabrata"
"BRTHT","","Braya thorild-wulffii ssp. thorild-wulffii"
"BRAR","","Brazoria arenaria"
"BREN","","Brazoria enquistii"
"BRTR","","Brazoria truncata"
"BRTRP","","Brazoria truncata var. pulcherrima"
"BRTRT2","","Brazoria truncata var. truncata"
"BRAM3","","Brickellia amplexicaulis"
"BRAMA","","Brickellia amplexicaulis var. amplexicaulis"
"BRAML","","Brickellia amplexicaulis var. lanceolata"
"BRBE","","Brickellia betonicifolia"
"BRBR2","","Brickellia brachyphylla"
"BRCO7","","Brickellia conduplicata"
"BRCO8","","Brickellia cordifolia"
"BRCY","","Brickellia cylindracea"
"BREU","","Brickellia eupatorioides"
"BREUC2","","Brickellia eupatorioides var. chlorolepis"
"BREUC","","Brickellia eupatorioides var. corymbulosa"
"BREUE","","Brickellia eupatorioides var. eupatorioides"
"BREUF","","Brickellia eupatorioides var. floridana"
"BREUG","","Brickellia eupatorioides var. gracillima"
"BREUT","","Brickellia eupatorioides var. texana"
"BRFL","","Brickellia floribunda"
"BRGR","","Brickellia grandiflora"
"BRGR2","","Brickellia greenei"
"BRHI4","","Brickellia hinckleyi"
"BRHIH","","Brickellia hinckleyi var. hinckleyi"
"BRHIT","","Brickellia hinckleyi var. terlinguensis"
"BRLE","","Brickellia lemmonii"
"BRLEL","","Brickellia lemmonii var. lemmonii"
"BRLEW","","Brickellia lemmonii var. wootonii"
"BRNE","","Brickellia nelsonii"
"BROB","","Brickellia oblongifolia"
"BROBL","","Brickellia oblongifolia var. linifolia"
"BROBO","","Brickellia oblongifolia var. oblongifolia"
"BRPA","","Brickellia parvula"
"BRPR","","Brickellia pringlei"
"BRRU","","Brickellia rusbyi"
"BRSI2","","Brickellia simplex"
"BRVE","","Brickellia venosa"
"BRVE2","","Brickellia veronicifolia"
"BRVEP","","Brickellia veronicifolia var. petrophila"
"BRVEV","","Brickellia veronicifolia var. veronicifolia"
"BRFE2","","Brickelliastrum fendleri"
"BRAP","","Brodiaea appendiculata"
"BRCA4","","Brodiaea californica"
"BRCAC9","","Brodiaea californica ssp. californica"
"BRCAL3","","Brodiaea californica ssp. leptandra"
"BRCO3","","Brodiaea coronaria"
"BRCOC","","Brodiaea coronaria ssp. coronaria"
"BRCOR2","","Brodiaea coronaria ssp. rosea"
"BREL","","Brodiaea elegans"
"BRELE","","Brodiaea elegans ssp. elegans"
"BRELH","","Brodiaea elegans ssp. hooveri"
"BRFI","","Brodiaea filifolia"
"BRIN5","","Brodiaea insignis"
"BRJO","","Brodiaea jolonensis"
"BRKI","","Brodiaea kinkiensis"
"BRMA7","","Brodiaea matsonii"
"BRMI3","","Brodiaea minor"
"BRNA4","","Brodiaea nana"
"BROR","","Brodiaea orcuttii"
"BRPA2","","Brodiaea pallida"
"BRSA","","Brodiaea santarosae"
"BRST","","Brodiaea stellaris"
"BRTE4","","Brodiaea terrestris"
"BRTEK","","Brodiaea terrestris ssp. kernensis"
"BRTET","","Brodiaea terrestris ssp. terrestris"
"BRPI4","","Bromelia pinguin"
"BRDO3","","Broughtonia domingensis"
"BRAM","","Browallia americana"
"BREL5","","Browallia eludens"
"BRMA11","","Brunnera macrophylla"
"BRAL4","","Bryonia alba"
"BRCR2","","Bryonia cretica"
"BRDI5","","Bryonia dioica"
"BUAM","","Buchnera americana"
"BULO","","Buchnera longifolia"
"BUOB3","","Buchnera obliqua"
"BUPU","","Buchnera pusilla"
"BUAR3","","Buglossoides arvensis"
"BUSE5","","Bulbine semibarbata"
"BUBE3","","Bulbophyllum betchei"
"BUHA","","Bulbophyllum hatusimanum"
"BUME5","","Bulbophyllum membranaceum"
"BUMI9","","Bulbophyllum micronesiacum"
"BUPA2","","Bulbophyllum pachyrachis"
"BUPR6","","Bulbophyllum profusum"
"BUER","","Bunias erucago"
"BUOR","","Bunias orientalis"
"BUBU4","","Bunium bulbocastanum"
"BUAM2","","Bupleurum americanum"
"BULA3","","Bupleurum lancifolium"
"BUOD2","","Bupleurum odontites"
"BURO","","Bupleurum rotundifolium"
"BUBI","","Burmannia biflora"
"BUCA3","","Burmannia capitata"
"BUFL2","","Burmannia flava"
"BUUM","","Butomus umbellatus"
"CACA","","Cabomba caroliniana"
"CACAC4","","Cabomba caroliniana var. caroliniana"
"CACAP","","Cabomba caroliniana var. pulcherrima"
"CAFU13","","Cabomba furcata"
"CAHA26","","Cabomba haynesii"
"CAPA40","","Cabomba palaeformis"
"CANA5","","Cacaliopsis nardosmia"
"CACO25","","Cakile constricta"
"CAED","","Cakile edentula"
"CAEDE","","Cakile edentula ssp. edentula"
"CAEDE2","","Cakile edentula ssp. edentula var. edentula"
"CAEDL2","","Cakile edentula ssp. edentula var. lacustris"
"CAEDH","","Cakile edentula ssp. harperi"
"CAGE4","","Cakile geniculata"
"CALA2","","Cakile lanceolata"
"CALAF","","Cakile lanceolata ssp. fusiformis"
"CALAL2","","Cakile lanceolata ssp. lanceolata"
"CALAP","","Cakile lanceolata ssp. pseudoconstricta"
"CAMA","","Cakile maritima"
"CABI11","","Caladium bicolor"
"CANE17","","Calamintha nepeta"
"CANEG","","Calamintha nepeta ssp. glandulosa"
"CANEN","","Calamintha nepeta ssp. nepeta"
"CASY6","","Calamintha sylvatica"
"CASYA","","Calamintha sylvatica ssp. ascendens"
"CASYS","","Calamintha sylvatica ssp. sylvatica"
"CABR3","","Calandrinia breweri"
"CACI2","","Calandrinia ciliata"
"CAAL13","","Calathea allouia"
"CACR19","","Calathea crotalifera"
"CALU11","","Calathea lutea"
"CAZE","","Calathea zebrina"
"CAAR","","Calendula arvensis"
"CAOF","","Calendula officinalis"
"CAIR","","Calepina irregularis"
"CAPA47","","Calibrachoa parviflora"
"CAPA","","Calla palustris"
"CAHU","","Calliandra humilis"
"CAHUH","","Calliandra humilis var. humilis"
"CAHUR","","Calliandra humilis var. reticulata"
"CAAL","","Callirhoe alcaeoides"
"CABU8","","Callirhoe bushii"
"CADI2","","Callirhoe digitata"
"CAIN2","","Callirhoe involucrata"
"CAINI4","","Callirhoe involucrata var. involucrata"
"CAINL","","Callirhoe involucrata var. lineariloba"
"CALE2","","Callirhoe leiocarpa"
"CAPA2","","Callirhoe papaver"
"CAPE23","","Callirhoe pedata"
"CASC4","","Callirhoe scabriuscula"
"CATR","","Callirhoe triangulata"
"CACO19","","Callisia cordifolia"
"CAFR6","","Callisia fragrans"
"CAGR25","","Callisia graminea"
"CAMI25","","Callisia micrantha"
"CAMO25","","Callisia monandra"
"CAOR10","","Callisia ornata"
"CARE8","","Callisia repens"
"CARO18","","Callisia rosea"
"CACH25","","Callistephus chinensis"
"CAFA3","","Callitriche fassettii"
"CAHE2","","Callitriche hermaphroditica"
"CAHE3","","Callitriche heterophylla"
"CAHEB3","","Callitriche heterophylla ssp. bolanderi"
"CAHEH","","Callitriche heterophylla ssp. heterophylla"
"CAIN52","","Callitriche intermedia"
"CAINH","","Callitriche intermedia ssp. hamulata"
"CAINI6","","Callitriche intermedia ssp. intermedia"
"CALO2","","Callitriche longipedunculata"
"CAMA3","","Callitriche marginata"
"CAPA52","","Callitriche palustris"
"CAPE44","","Callitriche pedunculosa"
"CAPE16","","Callitriche peploides"
"CAST","","Callitriche stagnalis"
"CAST11","","Callitriche stenoptera"
"CATE19","","Callitriche terrestris"
"CATR2","","Callitriche trochlearis"
"CAAL2","","Calochortus albus"
"CAAM3","","Calochortus amabilis"
"CAAM4","","Calochortus ambiguus"
"CAAM5","","Calochortus amoenus"
"CAAP","","Calochortus apiculatus"
"CAAR44","","Calochortus argillosus"
"CAAU8","","Calochortus aureus"
"CABR4","","Calochortus bruneaunis"
"CACA5","","Calochortus catalinae"
"CACL","","Calochortus clavatus"
"CACLA","","Calochortus clavatus var. avius"
"CACLC2","","Calochortus clavatus var. clavatus"
"CACLG","","Calochortus clavatus var. gracilis"
"CACLP4","","Calochortus clavatus var. pallidus"
"CACLR3","","Calochortus clavatus var. recurvifolius"
"CACO3","","Calochortus coeruleus"
"CACO4","","Calochortus concolor"
"CACO41","","Calochortus coxii"
"CADU","","Calochortus dunnii"
"CAEL","","Calochortus elegans"
"CAELE","","Calochortus elegans var. elegans"
"CAELN","","Calochortus elegans var. nanus"
"CAELO","","Calochortus elegans var. oreophilus"
"CAELS","","Calochortus elegans var. selwayensis"
"CAEU","","Calochortus eurycarpus"
"CAEX2","","Calochortus excavatus"
"CAFL","","Calochortus flexuosus"
"CAGR","","Calochortus greenei"
"CAGU","","Calochortus gunnisonii"
"CAGUG","","Calochortus gunnisonii var. gunnisonii"
"CAGUP","","Calochortus gunnisonii var. perpulcher"
"CAHO11","","Calochortus howellii"
"CAIN18","","Calochortus indecorus"
"CAIN3","","Calochortus invenustus"
"CAKE","","Calochortus kennedyi"
"CAKEK2","","Calochortus kennedyi var. kennedyi"
"CAKEM","","Calochortus kennedyi var. munzii"
"CALE3","","Calochortus leichtlinii"
"CALO3","","Calochortus longebarbatus"
"CALOL","","Calochortus longebarbatus var. longebarbatus"
"CALOP4","","Calochortus longebarbatus var. peckii"
"CALU9","","Calochortus luteus"
"CALY","","Calochortus lyallii"
"CAMA5","","Calochortus macrocarpus"
"CAMAM9","","Calochortus macrocarpus var. macrocarpus"
"CAMAM","","Calochortus macrocarpus var. maculosus"
"CAMI","","Calochortus minimus"
"CAMO2","","Calochortus monanthus"
"CAMO3","","Calochortus monophyllus"
"CANI","","Calochortus nitidus"
"CANU2","","Calochortus nudus"
"CANU3","","Calochortus nuttallii"
"CAOB","","Calochortus obispoensis"
"CAPA3","","Calochortus palmeri"
"CAPAM","","Calochortus palmeri var. munzii"
"CAPAP4","","Calochortus palmeri var. palmeri"
"CAPA45","","Calochortus panamintensis"
"CAPE","","Calochortus persistens"
"CAPL2","","Calochortus plummerae"
"CAPU2","","Calochortus pulchellus"
"CARA16","","Calochortus raichei"
"CASI7","","Calochortus simulans"
"CASP","","Calochortus splendens"
"CAST2","","Calochortus striatus"
"CASU2","","Calochortus subalpinus"
"CASU3","","Calochortus superbus"
"CASY7","","Calochortus syntrophus"
"CATI3","","Calochortus tiburonensis"
"CATO","","Calochortus tolmiei"
"CAUM","","Calochortus umbellatus"
"CAUM5","","Calochortus umpquaensis"
"CAUN","","Calochortus uniflorus"
"CAVE3","","Calochortus venustus"
"CAVE4","","Calochortus vestae"
"CAWE","","Calochortus weedii"
"CAWEI","","Calochortus weedii var. intermedius"
"CAWEV","","Calochortus weedii var. vestus"
"CAWEW","","Calochortus weedii var. weedii"
"CAWE2","","Calochortus westonii"
"CABA","","Calopogon barbatus"
"CAMU10","","Calopogon multiflorus"
"CAOK2","","Calopogon oklahomensis"
"CAPA4","","Calopogon pallidus"
"CATU5","","Calopogon tuberosus"
"CATUS","","Calopogon tuberosus var. simpsonii"
"CATUT","","Calopogon tuberosus var. tuberosus"
"CACA42","","Calopogonium caeruleum"
"CAMU11","","Calopogonium mucunoides"
"CACU22","","Calotis cuneifolia"
"CAPR","","Calotropis procera"
"CALE4","","Caltha leptosepala"
"CALEH2","","Caltha leptosepala ssp. howellii"
"CALEL7","","Caltha leptosepala ssp. leptosepala"
"CALEL8","","Caltha leptosepala ssp. leptosepala var. leptosepala"
"CALES4","","Caltha leptosepala ssp. leptosepala var. sulfurea"
"CANA","","Caltha natans"
"CAPA5","","Caltha palustris"
"CAPAP6","","Caltha palustris var. palustris"
"CAPAR3","","Caltha palustris var. radicans"
"CAFR","","Calycadenia fremontii"
"CAHO18","","Calycadenia hooveri"
"CAMI53","","Calycadenia micrantha"
"CAMO4","","Calycadenia mollis"
"CAMU3","","Calycadenia multiglandulosa"
"CAOP","","Calycadenia oppositifolia"
"CAPA6","","Calycadenia pauciflora"
"CASP2","","Calycadenia spicata"
"CATR3","","Calycadenia truncata"
"CATRM","","Calycadenia truncata ssp. microcephala"
"CATRS","","Calycadenia truncata ssp. scabrella"
"CATRT","","Calycadenia truncata ssp. truncata"
"CAVI","","Calycadenia villosa"
"CABA22","","Calycera balsamitifolia"
"CAPA7","","Calycoseris parryi"
"CAWR","","Calycoseris wrightii"
"CACO72","","Calydorea coelestina"
"CABE6","","Calylophus berlandieri"
"CABEB2","","Calylophus berlandieri ssp. berlandieri"
"CABEP2","","Calylophus berlandieri ssp. pinifolius"
"CAHA14","","Calylophus hartwegii"
"CAHAF","","Calylophus hartwegii ssp. fendleri"
"CAHAF2","","Calylophus hartwegii ssp. filifolius"
"CAHAH","","Calylophus hartwegii ssp. hartwegii"
"CAHAM","","Calylophus hartwegii ssp. maccartii"
"CAHAP","","Calylophus hartwegii ssp. pubescens"
"CALA38","","Calylophus lavandulifolius"
"CASE12","","Calylophus serrulatus"
"CATO12","","Calylophus toumeyi"
"CATU6","","Calylophus tubicula"
"CABU","","Calypso bulbosa"
"CABUA","","Calypso bulbosa var. americana"
"CABUO","","Calypso bulbosa var. occidentalis"
"CAVI2","","Calyptocarpus vialis"
"CAAT9","","Calystegia atriplicifolia"
"CAATA","","Calystegia atriplicifolia ssp. atriplicifolia"
"CAATB","","Calystegia atriplicifolia ssp. buttensis"
"CACA101","","Calystegia catesbeiana"
"CACO35","","Calystegia collina"
"CACOC2","","Calystegia collina ssp. collina"
"CACOO","","Calystegia collina ssp. oxyphylla"
"CACOT","","Calystegia collina ssp. tridactylosa"
"CACOV","","Calystegia collina ssp. venusta"
"CAFE11","","Calystegia felix"
"CAHE21","","Calystegia hederacea"
"CALO12","","Calystegia longipes"
"CAMA23","","Calystegia macounii"
"CAMA24","","Calystegia macrostegia"
"CAMAA","","Calystegia macrostegia ssp. amplissima"
"CAMAA2","","Calystegia macrostegia ssp. arida"
"CAMAC","","Calystegia macrostegia ssp. cyclostegia"
"CAMAI","","Calystegia macrostegia ssp. intermedia"
"CAMAM3","","Calystegia macrostegia ssp. macrostegia"
"CAMAT2","","Calystegia macrostegia ssp. tenuifolia"
"CAMA38","","Calystegia malacophylla"
"CAMAM4","","Calystegia malacophylla ssp. malacophylla"
"CAMAB3","","Calystegia malacophylla ssp. malacophylla var. berryi"
"CAMAM11","","Calystegia malacophylla ssp. malacophylla var. malacophylla"
"CAMAP","","Calystegia malacophylla ssp. pedicellata"
"CAOC6","","Calystegia occidentalis"
"CAOCF","","Calystegia occidentalis ssp. fulcrata"
"CAOCO","","Calystegia occidentalis ssp. occidentalis"
"CAOCO2","","Calystegia occidentalis ssp. occidentalis var. occidentalis"
"CAOCT2","","Calystegia occidentalis ssp. occidentalis var. tomentella"
"CAPE18","","Calystegia peirsonii"
"CAPU18","","Calystegia purpurata"
"CAPUP2","","Calystegia purpurata ssp. purpurata"
"CAPUS","","Calystegia purpurata ssp. saxicola"
"CAPUS2","","Calystegia purpurata ssp. solanensis"
"CASE13","","Calystegia sepium"
"CASEA2","","Calystegia sepium ssp. americana"
"CASEA3","","Calystegia sepium ssp. angulata"
"CASEA4","","Calystegia sepium ssp. appalachiana"
"CASEB","","Calystegia sepium ssp. binghamiae"
"CASEE","","Calystegia sepium ssp. erratica"
"CASEL","","Calystegia sepium ssp. limnophila"
"CASES","","Calystegia sepium ssp. sepium"
"CASI10","","Calystegia silvatica"
"CASID","","Calystegia silvatica ssp. disjuncta"
"CASIF","","Calystegia silvatica ssp. fraterniflora"
"CASIS","","Calystegia silvatica ssp. silvatica"
"CASO2","","Calystegia soldanella"
"CASP14","","Calystegia spithamaea"
"CASPP","","Calystegia spithamaea ssp. purshiana"
"CASPS2","","Calystegia spithamaea ssp. spithamaea"
"CASPS","","Calystegia spithamaea ssp. stans"
"CAST21","","Calystegia stebbinsii"
"CASU19","","Calystegia subacaulis"
"CASUE","","Calystegia subacaulis ssp. episcopalis"
"CASUS2","","Calystegia subacaulis ssp. subacaulis"
"CAVA","","Calystegia vanzuukiae"
"CAAN2","","Camassia angusta"
"CACU2","","Camassia cusickii"
"CAHO12","","Camassia howellii"
"CALE5","","Camassia leichtlinii"
"CALEL6","","Camassia leichtlinii ssp. leichtlinii"
"CALES2","","Camassia leichtlinii ssp. suksdorfii"
"CAQU2","","Camassia quamash"
"CAQUA","","Camassia quamash ssp. azurea"
"CAQUB2","","Camassia quamash ssp. breviflora"
"CAQUI","","Camassia quamash ssp. intermedia"
"CAQUL2","","Camassia quamash ssp. linearis"
"CAQUM","","Camassia quamash ssp. maxima"
"CAQUQ","","Camassia quamash ssp. quamash"
"CAQUU2","","Camassia quamash ssp. utahensis"
"CAQUW","","Camassia quamash ssp. walpolei"
"CASC5","","Camassia scilloides"
"CAMI2","","Camelina microcarpa"
"CARU15","","Camelina rumelica"
"CASA2","","Camelina sativa"
"CASAA","","Camelina sativa ssp. alyssum"
"CASAS2","","Camelina sativa ssp. sativa"
"CAAN14","","Camissonia andina"
"CAAR20","","Camissonia arenaria"
