"Accepted Symbol","Synonym Symbol","Scientific Name"
"ACCA4","","Acorus calamus"
"ACMI3","","Acourtia microcephala"
"ACNA2","","Acourtia nana"
"ACRU3","","Acourtia runcinata"
"ACTH","","Acourtia thurberi"
"ACWR5","","Acourtia wrightii"
"ACLIL","","Acriopsis liliifolia var. liliifolia"
"ACRE3","","Acroptilon repens"
"ACAU3","","Acrostichum aureum"
"ACDA","","Acrostichum danaeifolium"
"ACSP13","","Acrostichum speciosum"
"ACLU","","Actaea ×ludovici"
"ACAR18","","Actaea arizonica"
"ACEL4","","Actaea elata"
"ACLA12","","Actaea laciniata"
"ACPA","","Actaea pachypoda"
"ACPO11","","Actaea podocarpa"
"ACRA7","","Actaea racemosa"
"ACRAD","","Actaea racemosa var. dissecta"
"ACRAR","","Actaea racemosa var. racemosa"
"ACRU14","","Actaea rubifolia"
"ACRU2","","Actaea rubra"
"ACRUA8","","Actaea rubra ssp. arguta"
"ACRUR2","","Actaea rubra ssp. rubra"
"ACSP10","","Actaea spicata"
"ACDI13","","Actinostachys digitata"
"ACIN13","","Actinostachys inopinata"
"ACPE2","","Actinostachys pennula"
"ACSP14","","Actinostachys spirophylla"
"ADBI","","Adenocaulon bicolor"
"ADAB2","","Adenophorus ×abbottiae"
"ADCA5","","Adenophorus ×carsonii"
"ADAB","","Adenophorus abietinus"
"ADEP","","Adenophorus epigaeus"
"ADHA","","Adenophorus haalilioanus"
"ADHY","","Adenophorus hymenophylloides"
"ADMO3","","Adenophorus montanus"
"ADOA","","Adenophorus oahuensis"
"ADPE2","","Adenophorus periens"
"ADPI","","Adenophorus pinnatifidus"
"ADTA","","Adenophorus tamariscinus"
"ADTR2","","Adenophorus tripinnatifidus"
"ADWR","","Adenophyllum wrightii"
"ADJA","","Adenosma javanica"
"ADLA4","","Adenostemma lanceolatum"
"ADLA2","","Adenostemma lavenia"
"ADVE2","","Adenostemma verbesina"
"ADTR3","","Adiantum ×tracyi"
"ADAL","","Adiantum aleuticum"
"ADAN2","","Adiantum anceps"
"ADCA","","Adiantum capillus-veneris"
"ADCA3","","Adiantum caudatum"
"ADCO","","Adiantum concinnum"
"ADFR","","Adiantum fragile"
"ADFRF","","Adiantum fragile var. fragile"
"ADFRR","","Adiantum fragile var. rigidulum"
"ADHI","","Adiantum hispidulum"
"ADJO","","Adiantum jordanii"
"ADLA","","Adiantum latifolium"
"ADMA","","Adiantum macrophyllum"
"ADME","","Adiantum melanoleucum"
"ADOB","","Adiantum obliquum"
"ADPA3","","Adiantum palaoense"
"ADPE","","Adiantum pedatum"
"ADPE3","","Adiantum petiolatum"
"ADPH","","Adiantum philippense"
"ADPU","","Adiantum pulverulentum"
"ADPY","","Adiantum pyramidale"
"ADRA","","Adiantum raddianum"
"ADSH","","Adiantum shastense"
"ADTE","","Adiantum tenerum"
"ADTE2","","Adiantum tetraphyllum"
"ADTR4","","Adiantum trapeziforme"
"ADTR","","Adiantum tricholepis"
"ADVI","","Adiantum villosum"
"ADVI3","","Adiantum viridimontanum"
"ADVI4","","Adiantum vivesii"
"ADWI","","Adiantum wilsonii"
"ADFU","","Adlumia fungosa"
"ADAE","","Adonis aestivalis"
"ADAN","","Adonis annua"
"ADVE","","Adonis vernalis"
"ADMO","","Adoxa moschatellina"
"AELI","","Aechmea lingulata"
"AENU","","Aechmea nudicaulis"
"AEPO","","Aegopodium podagraria"
"AESE","","Aerva sericea"
"AEAM","","Aeschynomene americana"
"AEEV","","Aeschynomene evenia"
"AEGR","","Aeschynomene gracilis"
"AEHI2","","Aeschynomene histrix"
"AEHII","","Aeschynomene histrix var. incana"
"AEIN","","Aeschynomene indica"
"AEPA3","","Aeschynomene paniculata"
"AEPR","","Aeschynomene pratensis"
"AERU","","Aeschynomene rudis"
"AESE2","","Aeschynomene sensitiva"
"AESES","","Aeschynomene sensitiva var. sensitiva"
"AEVI2","","Aeschynomene villosa"
"AEVI3","","Aeschynomene virginica"
"AEVI","","Aeschynomene viscidula"
"AECY2","","Aethusa cynapium"
"AGAC","","Agalinis acuta"
"AGAP3","","Agalinis aphylla"
"AGAS2","","Agalinis aspera"
"AGAU3","","Agalinis auriculata"
"AGCA8","","Agalinis caddoensis"
"AGCA7","","Agalinis calycina"
"AGDE6","","Agalinis densiflora"
"AGDI2","","Agalinis divaricata"
"AGED","","Agalinis edwardsiana"
"AGFA2","","Agalinis fasciculata"
"AGFI","","Agalinis filicaulis"
"AGFI2","","Agalinis filifolia"
"AGFL2","","Agalinis flexicaulis"
"AGGA","","Agalinis gattingeri"
"AGHA3","","Agalinis harperi"
"AGHE4","","Agalinis heterophylla"
"AGHO4","","Agalinis homalantha"
"AGLA10","","Agalinis laxa"
"AGLI2","","Agalinis linifolia"
"AGMA3","","Agalinis maritima"
"AGMAG","","Agalinis maritima var. grandiflora"
"AGMAM","","Agalinis maritima var. maritima"
"AGNA","","Agalinis navasotensis"
"AGNE5","","Agalinis neoscotica"
"AGNU","","Agalinis nuttallii"
"AGOB","","Agalinis obtusifolia"
"AGOL","","Agalinis oligophylla"
"AGPA12","","Agalinis paupercula"
"AGPAB","","Agalinis paupercula var. borealis"
"AGPAP3","","Agalinis paupercula var. paupercula"
"AGPL","","Agalinis plukenetii"
"AGPU4","","Agalinis pulchella"
"AGPU5","","Agalinis purpurea"
"AGSE3","","Agalinis setacea"
"AGSK","","Agalinis skinneriana"
"AGST4","","Agalinis strictifolia"
"AGTE3","","Agalinis tenuifolia"
"AGTEL","","Agalinis tenuifolia var. leucanthera"
"AGTEM","","Agalinis tenuifolia var. macrophylla"
"AGTEP2","","Agalinis tenuifolia var. parviflora"
"AGTEP3","","Agalinis tenuifolia var. polyphylla"
"AGTET","","Agalinis tenuifolia var. tenuifolia"
"AGVI5","","Agalinis viridis"
"AGPR5","","Agapanthus praecox"
"AGBR","","Agastache breviflora"
"AGCA","","Agastache cana"
"AGCU","","Agastache cusickii"
"AGFO","","Agastache foeniculum"
"AGME2","","Agastache mearnsii"
"AGMI","","Agastache micrantha"
"AGNE2","","Agastache nepetoides"
"AGOC","","Agastache occidentalis"
"AGPA11","","Agastache pallida"
"AGPA","","Agastache pallidiflora"
"AGPAN","","Agastache pallidiflora ssp. neomexicana"
"AGPAH3","","Agastache pallidiflora ssp. neomexicana var. havardii"
"AGPAN2","","Agastache pallidiflora ssp. neomexicana var. neomexicana"
"AGPAP2","","Agastache pallidiflora ssp. pallidiflora"
"AGPAG3","","Agastache pallidiflora ssp. pallidiflora var. gilensis"
"AGPAG4","","Agastache pallidiflora ssp. pallidiflora var. greenei"
"AGPAP4","","Agastache pallidiflora ssp. pallidiflora var. pallidiflora"
"AGPA2","","Agastache parvifolia"
"AGPR3","","Agastache pringlei"
"AGPRV","","Agastache pringlei var. verticillata"
"AGRU","","Agastache rupestris"
"AGSC","","Agastache scrophulariifolia"
"AGUR","","Agastache urticifolia"
"AGURG","","Agastache urticifolia var. glaucifolia"
"AGURU","","Agastache urticifolia var. urticifolia"
"AGWR","","Agastache wrightii"
"AGAJ","","Agave ×ajoensis"
"AGAR8","","Agave ×arizonica"
"AGAM","","Agave americana"
"AGAMA","","Agave americana ssp. americana"
"AGAMA2","","Agave americana ssp. americana var. americana"
"AGAME","","Agave americana ssp. americana var. expansa"
"AGAMP","","Agave americana ssp. protamericana"
"AGAS3","","Agave asperrima"
"AGCH2","","Agave chrysantha"
"AGDE3","","Agave decipiens"
"AGDE10","","Agave delamateri"
"AGDE","","Agave deserti"
"AGDED","","Agave deserti ssp. deserti"
"AGDES","","Agave deserti ssp. simplex"
"AGDE4","","Agave desmettiana"
"AGEG","","Agave eggersiana"
"AGGL2","","Agave glomeruliflora"
"AGGR4","","Agave gracilipes"
"AGHA","","Agave havardiana"
"AGLE","","Agave lechuguilla"
"AGMI8","","Agave minor"
"AGMI4","","Agave missionum"
"AGMU","","Agave murpheyi"
"AGNE3","","Agave neglecta"
"AGPA3","","Agave palmeri"
"AGPA4","","Agave parryi"
"AGPAN6","","Agave parryi ssp. neomexicana"
"AGPAP5","","Agave parryi ssp. parryi"
"AGPA5","","Agave parviflora"
"AGPH","","Agave phillipsiana"
"AGRI6","","Agave rigida"
"AGRIR","","Agave rigida var. rigida"
"AGSC3","","Agave schottii"
"AGSCS2","","Agave schottii var. schottii"
"AGSCT","","Agave schottii var. treleasei"
"AGSH","","Agave shawii"
"AGSI2","","Agave sisalana"
"AGTO","","Agave toumeyana"
"AGTOB","","Agave toumeyana var. bella"
"AGTOT","","Agave toumeyana var. toumeyana"
"AGUN2","","Agave univittata"
