Code,Latin name,Common name,N,bb50mdoy,L75mdoy,L95mdoy
ACSA,Acer saccharum,Sugar maple,2,131,139,141
AMSP,Amelanchier sp.,Juneberry,1,88,130,134
BEAL,Betula alleghaniensis,Yellow Birch,2,128,138,142
BEPA,Betula papyrifera,Paper birch,2,108,133,139
CACA,Carpinus caroliniana,Musclewood,1,107,138,141
CACO,Carya cordiformis,Yellowbud hickory,2,131,144,148
CAOV,Carya ovata,Shagbark hickory,2,132,142,144
COAL,Cornus alternifolia,Pagoda dogwood,1,105,136,140
CORA,Cornus racemosa,Grey Dogwood,3,93,137,140
COSE,Cornus sericea,Red Osier Dogwood,2,87,138,141
CRSP,Crataegus spp.,Hawthorn,2,122,136,139
DIPA,Dirca palustris,Leatherwood,2,79,131,135
FAAM,Fagus americana,Beech,2,129,139,141
FRAM,Fraxinus americana,White ash,3,132,142,144
FRNI,Fraxinus nigra,Black ash,2,135,144,148
HAVI,Hamamelis virginiana,Witch hazel,2,126,140,142
ILVE,Ilex verticillata,Winterberry,1,133,139,145
LALA,Larix laricina,Tamarack,2,87,111,125
OSVI,Ostrya virginiana,Ironwood,3,106,136,139
POTR,Populus tremuloides,Quaking aspen,2,106,127,135
PRSE,Prunus serotina,Black cherry,3,86,135,139
QURU,Quercus rubra,Red oak,2,123,139,141
TIAM,Tilia americana,Basswood,3,127,138,141
ULAM,Ulmus americana,American elm,2,132,141,144
VILE,Viburnum lentago,Nannyberry,1,81,132,134
VIOP,Viburnum opulus,Highbush cranberry,1,106,138,141
,,,51,,,
