,No flowering during the years 1997 and 1999,,,,,,,,,,,,,,,,No male flowers in 1998,,,,
,,,,Female flowers ( ff),,,,,,,,,,,,Male flowers ( mf),,,,,
sort order,year,phenotype,"1= B.pendula, 2= B.pubescens","ff,   start julianday","ff, start date","ff, start dd","ff, partly receptive julian day","ff, partly receptive , date","ff, partly receptive , dd",,,,"ff, closed julian day","ff, closed date","ff, closed dd","mf, pollen start julianday","mf, pollen, start date","mf, pollen start dd","m, pollen end julian day"," mf, pollen end date","mf,pollen end dd"
järj,vuosi,puu,"raudus =1, hies =2",emialkujul,emialkupvm,emialkudd5,emi1jul,emi1pvm,emi1plusdd5,emi2jul,emi2pvm,emi2plusdd5,emiloppujul,emiloppupvm,emiloppudd5,hedealkujul,hedealkupvm,hedealkudd5,hedeloppujul,hedeloppupvm,hedeloppudd5
1,1998,1,2,,,,,,,,,,,,,138,18/5/98,89.3,,,
2,1998,1a,1,130,#VALUE!,40.6,130,#VALUE!,40.6,131,#VALUE!,48.3,138,#VALUE!,89.3,129,9/5/98,35.8,,,
3,1998,2,1,130,#VALUE!,40.6,132,#VALUE!,49.3,133,#VALUE!,51.4,139,#VALUE!,99.1,132,12/5/98,49.3,,,
4,1998,3,1,127,#VALUE!,27.5,129,#VALUE!,35.8,131,#VALUE!,48.3,138,#VALUE!,89.3,131,11/5/98,48.3,,,
5,1998,4,1,129,#VALUE!,35.8,130,#VALUE!,40.6,132,#VALUE!,49.3,138,#VALUE!,89.3,132,12/5/98,49.3,,,
6,1998,5,1,129,#VALUE!,35.8,131,#VALUE!,48.3,132,#VALUE!,49.3,138,#VALUE!,89.3,132,12/5/98,49.3,,,
7,1998,6,1,,,,,,,,,,,,,132,12/5/98,49.3,,,
8,1998,7a,1,129,#VALUE!,35.8,130,#VALUE!,40.6,133,#VALUE!,51.4,138,#VALUE!,89.3,131,11/5/98,48.3,,,
9,1998,8,1,130,#VALUE!,40.6,131,#VALUE!,48.3,133,#VALUE!,51.4,137,#VALUE!,77.3,131,11/5/98,48.3,,,
10,1998,9,1,130,#VALUE!,40.6,131,#VALUE!,48.3,133,#VALUE!,51.4,138,#VALUE!,89.3,131,11/5/98,48.3,,,
11,1998,10,1,129,#VALUE!,35.8,132,#VALUE!,49.3,134,#VALUE!,52.7,136,#VALUE!,65.8,131,11/5/98,48.3,,,
12,1998,11,1,129,#VALUE!,35.8,131,#VALUE!,48.3,132,#VALUE!,49.3,137,#VALUE!,77.3,131,11/5/98,48.3,,,
13,1998,12,1,129,#VALUE!,35.8,131,#VALUE!,48.3,132,#VALUE!,49.3,138,#VALUE!,89.3,132,12/5/98,49.3,,,
14,1998,13,1,133,#VALUE!,51.4,135,#VALUE!,56.9,136,#VALUE!,65.8,141,#VALUE!,104.4,132,12/5/98,49.3,,,
15,1998,14,1,130,#VALUE!,40.6,131,#VALUE!,48.3,134,#VALUE!,52.7,138,#VALUE!,89.3,133,13/5/98,51.4,,,
16,1998,15,1,,,,,,,,,,,,,,,,,,
17,1998,16,1,127,#VALUE!,27.5,131,#VALUE!,48.3,132,#VALUE!,49.3,139,#VALUE!,99.1,132,12/5/98,49.3,,,
18,1998,17,1,128,#VALUE!,31.0,130,#VALUE!,40.6,131,#VALUE!,48.3,139,#VALUE!,99.1,132,12/5/98,49.3,,,
19,1998,18,1,130,#VALUE!,40.6,131,#VALUE!,48.3,132,#VALUE!,49.3,140,#VALUE!,102.3,132,12/5/98,49.3,,,
20,1998,19,1,,,,,,,,,,,,,,,,,,
21,1998,20,1,127,#VALUE!,27.5,129,#VALUE!,35.8,131,#VALUE!,48.3,138,#VALUE!,89.3,131,11/5/98,48.3,,,
22,1998,21,1,130,#VALUE!,40.6,131,#VALUE!,48.3,133,#VALUE!,51.4,139,#VALUE!,99.1,132,12/5/98,49.3,,,
23,1998,22,1,131,#VALUE!,48.3,132,#VALUE!,49.3,133,#VALUE!,51.4,137,#VALUE!,77.3,132,12/5/98,49.3,,,
24,1998,23,1,131,#VALUE!,48.3,133,#VALUE!,51.4,135,#VALUE!,56.9,137,#VALUE!,77.3,131,11/5/98,48.3,,,
