,,birch,,,buds,,,,,,,,,,,,,,,,,,,,
,year,phenotype,d/mo/yr,julian date,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,total
157,1997,puu20,11/5/97,131.00,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,20
165,1997,puu21,11/5/97,131.00,1,1,0,1,0,0,1,0,0,0,1,0,0,1,1,1,0,0,0,0,8
166,1997,puu21,12/5/97,132.00,1,1,1,1,1,0,1,1,1,0,1,0,1,1,1,1,1,1,1,0,16
167,1997,puu21,13/5/97,133.00,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,20
171,1997,puu22,9/5/97,129.00,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
172,1997,puu22,10/5/97,130.00,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3
173,1997,puu22,11/5/97,131.00,1,1,1,1,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,8
174,1997,puu22,12/5/97,132.00,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,20
181,1997,puu23,11/5/97,131.00,1,1,0,1,1,1,1,0,0,0,1,0,1,1,0,1,0,0,1,0,11
182,1997,puu23,12/5/97,132.00,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,17
183,1997,puu23,13/5/97,133.00,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,20
189,1997,puu24,11/5/97,131.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,2
190,1997,puu24,12/5/97,132.00,1,0,1,1,1,1,0,0,0,0,1,0,0,0,0,1,1,1,1,1,11
191,1997,puu24,13/5/97,133.00,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,20
197,1997,puu25,11/5/97,131.00,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
198,1997,puu25,12/5/97,132.00,1,1,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,6
