,,birch,,,buds,,,,,,,,,,,,,,,,,,,,
,year,phenotype,d/mo/yr,julian date,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,total
629,1998,puu27A,8/5/98,128.00,1,1,1,1,1,1,0,1,1,1,,,,,,,,,,,9
630,1998,puu27A,9/5/98,129.00,1,1,1,1,1,1,0,1,1,1,,,,,,,,,,,9
631,1998,puu27A,10/5/98,130.00,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,10
632,1998,puu27A,11/5/98,131.00,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,10
633,1998,puu28,28/4/98,118.00,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,0
634,1998,puu28,29/4/98,119.00,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,0
635,1998,puu28,30/4/98,120.00,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,0
636,1998,puu28,1/5/98,121.00,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,0
637,1998,puu28,2/5/98,122.00,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,0
638,1998,puu28,3/5/98,123.00,0,0,0,0,0,0,0,0,0,1,,,,,,,,,,,1
639,1998,puu28,4/5/98,124.00,1,0,0,0,0,0,0,0,0,1,,,,,,,,,,,2
640,1998,puu28,5/5/98,125.00,1,0,0,0,0,0,0,0,0,1,,,,,,,,,,,2
641,1998,puu28,6/5/98,126.00,1,0,0,0,1,0,0,0,0,1,,,,,,,,,,,3
642,1998,puu28,7/5/98,127.00,1,0,0,0,1,0,0,0,0,1,,,,,,,,,,,3
643,1998,puu28,8/5/98,128.00,1,0,0,0,1,0,0,0,0,1,,,,,,,,,,,3
644,1998,puu28,9/5/98,129.00,1,1,1,1,1,0,0,0,0,1,,,,,,,,,,,6
645,1998,puu28,10/5/98,130.00,1,1,1,1,1,0,0,0,0,1,,,,,,,,,,,6
646,1998,puu28,11/5/98,131.00,1,1,1,1,1,,,,,1,,,,,,,,,,,6
647,1998,puu29,28/4/98,118.00,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,0
648,1998,puu29,29/4/98,119.00,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,0
649,1998,puu29,30/4/98,120.00,1,0,0,0,0,0,0,0,0,0,,,,,,,,,,,1
650,1998,puu29,1/5/98,121.00,1,1,1,1,1,1,1,0,0,0,,,,,,,,,,,7
651,1998,puu29,2/5/98,122.00,1,1,1,1,1,1,1,0,0,0,,,,,,,,,,,7
652,1998,puu29,3/5/98,123.00,1,1,1,1,1,1,1,1,1,0,,,,,,,,,,,9
653,1998,puu29,4/5/98,124.00,1,1,1,1,1,1,1,1,1,0,,,,,,,,,,,9
654,1998,puu29,5/5/98,125.00,1,1,1,1,1,1,1,1,1,0,,,,,,,,,,,9
655,1998,puu29,6/5/98,126.00,1,1,1,1,1,1,1,1,1,0,,,,,,,,,,,9
656,1998,puu29,7/5/98,127.00,1,1,1,1,1,1,1,1,1,0,,,,,,,,,,,9
657,1998,puu29,8/5/98,128.00,1,1,1,1,1,1,1,1,1,0,,,,,,,,,,,9
658,1998,puu29,9/5/98,129.00,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,10
659,1998,puu29,10/5/98,130.00,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,10
660,1998,puu29,11/5/98,131.00,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,10
661,1998,puu30,28/4/98,118.00,0,0,0,1,0,0,0,0,0,0,,,,,,,,,,,1
662,1998,puu30,29/4/98,119.00,0,0,1,0,0,0,0,0,0,1,,,,,,,,,,,2
663,1998,puu30,30/4/98,120.00,0,0,1,0,0,0,0,0,0,1,,,,,,,,,,,2
664,1998,puu30,1/5/98,121.00,0,0,1,0,0,0,0,0,0,1,,,,,,,,,,,2
665,1998,puu30,2/5/98,122.00,0,0,1,0,0,0,0,1,0,2,,,,,,,,,,,4
666,1998,puu30,3/5/98,123.00,0,1,1,0,0,0,1,1,0,0,,,,,,,,,,,4
667,1998,puu30,4/5/98,124.00,,1,1,1,1,1,0,1,1,0,,,,,,,,,,,7
668,1998,puu30,5/5/98,125.00,,1,1,1,1,1,0,1,1,0,,,,,,,,,,,7
669,1998,puu30,6/5/98,126.00,,1,1,1,1,1,0,1,1,0,,,,,,,,,,,7
670,1998,puu30,7/5/98,127.00,,1,1,1,1,1,0,1,1,0,,,,,,,,,,,7
671,1998,puu30,8/5/98,128.00,,1,1,1,1,1,0,1,1,1,,,,,,,,,,,8
672,1998,puu30,9/5/98,129.00,,1,1,1,1,1,0,1,1,1,,,,,,,,,,,8
673,1998,puu30,10/5/98,130.00,,1,1,1,1,1,0,1,1,1,,,,,,,,,,,8
674,1998,puu30,11/5/98,131.00,,1,1,1,1,1,1,1,1,1,,,,,,,,,,,9
702,1999,puu 1A,21/4/99,111.00,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,18
703,1999,puu 1A,22/4/99,112.00,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,19
704,1999,puu 1A,23/4/99,113.00,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,20
728,1999,puu 2,21/4/99,111.00,1,1,1,1,1,1,0,0,1,1,1,1,1,0,0,1,0,1,1,1,15
729,1999,puu 2,22/4/99,112.00,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,0,1,1,1,17
730,1999,puu 2,23/4/99,113.00,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,20
754,1999,puu 3,21/4/99,111.00,1,0,0,0,0,1,1,1,1,1,1,0,0,1,1,1,1,0,0,1,12
755,1999,puu 3,22/4/99,112.00,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,17
756,1999,puu 3,23/4/99,113.00,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,20
780,1999,puu 4,21/4/99,111.00,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,4
781,1999,puu 4,22/4/99,112.00,0,0,0,0,1,0,1,1,1,1,1,1,0,0,0,1,1,0,0,1,10
782,1999,puu 4,23/4/99,113.00,0,0,0,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,15
783,1999,puu 4,24/4/99,114.00,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,17
784,1999,puu 4,25/4/99,115.00,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,17
785,1999,puu 4,26/4/99,116.00,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,19
786,1999,puu 4,27/4/99,117.00,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,19
787,1999,puu 4,28/4/99,118.00,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,19
788,1999,puu 4,29/4/99,119.00,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,20
806,1999,puu 5,21/4/99,111.00,1,0,0,0,1,0,1,0,0,1,0,1,1,1,1,0,1,1,1,1,12
807,1999,puu 5,22/4/99,112.00,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,18
808,1999,puu 5,23/4/99,113.00,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,20
833,1999,puu 6,22/4/99,112.00,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
834,1999,puu 6,23/4/99,113.00,1,0,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,1,0,10
835,1999,puu 6,24/4/99,114.00,1,0,0,0,0,1,1,1,1,1,0,0,0,1,1,1,1,1,1,0,12
836,1999,puu 6,25/4/99,115.00,1,0,0,0,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,0,13
837,1999,puu 6,26/4/99,116.00,1,0,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,0,14
838,1999,puu 6,27/4/99,117.00,1,0,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,15
839,1999,puu 6,28/4/99,118.00,1,0,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,16
840,1999,puu 6,29/4/99,119.00,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,18
841,1999,puu 6,30/4/99,120.00,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,18
842,1999,puu 6,3/5/99,123.00,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,18
843,1999,puu 6,4/5/99,124.00,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,18
844,1999,puu 6,5/5/99,125.00,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,18
845,1999,puu 6,6/5/99,126.00,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,18
846,1999,puu 6,7/5/99,127.00,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,18
847,1999,puu 6,10/5/99,130.00,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,18
848,1999,puu 6,11/5/99,131.00,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,18
849,1999,puu 6,12/5/99,132.00,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,18
850,1999,puu 6,14/5/99,134.00,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,18
851,1999,puu 6,17/5/99,137.00,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,19
857,1999,puu 7A,20/4/99,110.00,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,4
858,1999,puu 7A,21/4/99,111.00,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,17
859,1999,puu 7A,22/4/99,112.00,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,20
883,1999,puu 8,20/4/99,110.00,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,4
884,1999,puu 8,21/4/99,111.00,1,0,0,1,0,1,1,1,1,1,0,1,1,1,0,0,1,1,1,1,14
885,1999,puu 8,22/4/99,112.00,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,18
886,1999,puu 8,23/4/99,113.00,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,19
887,1999,puu 8,24/4/99,114.00,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,19
888,1999,puu 8,25/4/99,115.00,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,19
889,1999,puu 8,26/4/99,116.00,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,19
890,1999,puu 8,27/4/99,117.00,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,19
891,1999,puu 8,28/4/99,118.00,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,19
892,1999,puu 8,29/4/99,119.00,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,20
910,1999,puu 9,21/4/99,111.00,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2
911,1999,puu 9,22/4/99,112.00,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,4
912,1999,puu 9,23/4/99,113.00,1,0,0,1,1,1,1,1,1,1,0,0,0,1,1,0,1,1,1,1,14
913,1999,puu 9,24/4/99,114.00,1,0,0,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,15
914,1999,puu 9,25/4/99,115.00,1,0,0,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,15
915,1999,puu 9,26/4/99,116.00,1,0,0,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,16
916,1999,puu 9,27/4/99,117.00,1,0,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,17
936,1999,puu 10,21/4/99,111.00,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,6
937,1999,puu 10,22/4/99,112.00,1,0,0,0,1,1,1,1,1,0,1,0,0,0,1,1,1,0,1,1,12
938,1999,puu 10,23/4/99,113.00,1,0,0,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,16
939,1999,puu 10,24/4/99,114.00,1,0,0,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,16
940,1999,puu 10,25/4/99,115.00,1,0,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,17
941,1999,puu 10,26/4/99,116.00,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,19
942,1999,puu 10,27/4/99,117.00,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,20
961,1999,puu 11,20/4/99,110.00,1,0,0,0,0,1,0,1,1,1,1,0,0,0,0,0,0,0,1,0,7
962,1999,puu 11,21/4/99,111.00,1,1,0,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,17
963,1999,puu 11,22/4/99,112.00,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,20
988,1999,puu 12,21/4/99,111.00,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,3
989,1999,puu 12,22/4/99,112.00,1,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,1,1,1,1,9
990,1999,puu 12,23/4/99,113.00,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,18
991,1999,puu 12,24/4/99,114.00,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,20
1014,1999,puu 13,21/4/99,111.00,1,1,0,1,1,1,1,1,0,1,1,0,1,1,0,1,1,1,1,1,16
1015,1999,puu 13,22/4/99,112.00,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,19
1016,1999,puu 13,23/4/99,113.00,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,20
1040,1999,puu 14,21/4/99,111.00,1,1,0,0,1,0,1,1,1,1,0,0,0,1,0,1,1,1,1,1,13
1041,1999,puu 14,22/4/99,112.00,1,1,1,1,1,1,1,1,1,1,0,0,0,1,0,1,1,1,1,1,16
1042,1999,puu 14,23/4/99,113.00,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,19
1043,1999,puu 14,24/4/99,114.00,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,19
1044,1999,puu 14,25/4/99,115.00,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,20
1066,1999,puu 15,21/4/99,111.00,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,19
1067,1999,puu 15,22/4/99,112.00,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,20
1092,1999,puu 16,21/4/99,111.00,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,3
1093,1999,puu 16,22/4/99,112.00,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,3
1094,1999,puu 16,23/4/99,113.00,1,0,0,0,0,0,0,1,1,1,0,0,0,1,0,1,1,1,1,1,10
1095,1999,puu 16,24/4/99,114.00,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,18
1096,1999,puu 16,25/4/99,115.00,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,18
1097,1999,puu 16,26/4/99,116.00,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,20
1117,1999,puu 17,20/4/99,110.00,1,0,0,1,0,1,1,0,1,1,0,0,0,1,0,1,0,0,1,1,10
1118,1999,puu 17,21/4/99,111.00,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,20
1144,1999,puu 18,21/4/99,111.00,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,3
1145,1999,puu 18,22/4/99,112.00,1,0,1,1,0,1,0,1,0,0,1,0,0,0,1,0,1,1,1,1,11
1146,1999,puu 18,23/4/99,113.00,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,20
1169,1999,puu 19,20/4/99,110.00,0,0,0,1,1,1,1,1,0,0,0,0,1,1,1,1,1,1,1,1,13
1170,1999,puu 19,21/4/99,111.00,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,20
1195,1999,puu 20,20/4/99,110.00,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,3
1196,1999,puu 20,21/4/99,111.00,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,17
1197,1999,puu 20,22/4/99,112.00,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,20
1222,1999,puu 21,21/4/99,111.00,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,3
1223,1999,puu 21,22/4/99,112.00,0,0,0,0,0,0,0,1,1,0,0,0,1,1,1,1,1,1,1,0,9
1224,1999,puu 21,23/4/99,113.00,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,20
1248,1999,puu 22,21/4/99,111.00,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
1249,1999,puu 22,22/4/99,112.00,1,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,5
1250,1999,puu 22,23/4/99,113.00,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,18
1251,1999,puu 22,24/4/99,114.00,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,20
1273,1999,puu 23,20/4/99,110.00,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1274,1999,puu 23,21/4/99,111.00,1,0,1,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,6
1275,1999,puu 23,22/4/99,112.00,1,0,1,1,1,1,1,0,1,0,1,0,0,1,0,1,0,0,0,0,10
1276,1999,puu 23,23/4/99,113.00,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,20
1301,1999,puu 24,22/4/99,112.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
1302,1999,puu 24,23/4/99,113.00,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,1,0,0,1,7
1303,1999,puu 24,24/4/99,114.00,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,1,0,0,1,8
1304,1999,puu 24,25/4/99,115.00,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,1,0,0,1,8
1305,1999,puu 24,26/4/99,116.00,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,1,0,0,1,8
1306,1999,puu 24,27/4/99,117.00,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,1,0,1,1,9
1307,1999,puu 24,28/4/99,118.00,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,19
1308,1999,puu 24,29/4/99,119.00,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,20
1327,1999,puu 25,22/4/99,112.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2
1328,1999,puu 25,23/4/99,113.00,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,1,5
1329,1999,puu 25,24/4/99,114.00,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,1,5
1330,1999,puu 25,25/4/99,115.00,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,1,6
1331,1999,puu 25,26/4/99,116.00,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,1,1,7
1332,1999,puu 25,27/4/99,117.00,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,1,1,7
1333,1999,puu 25,28/4/99,118.00,1,0,0,0,0,1,0,1,1,1,1,0,0,0,1,1,1,1,1,1,12
1334,1999,puu 25,29/4/99,119.00,1,0,0,0,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,15
1335,1999,puu 25,30/4/99,120.00,1,0,0,0,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,15
1336,1999,puu 25,3/5/99,123.00,1,0,0,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,16
1337,1999,puu 25,4/5/99,124.00,1,0,0,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,16
1338,1999,puu 25,5/5/99,125.00,1,0,0,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,16
1339,1999,puu 25,6/5/99,126.00,1,0,0,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,16
1340,1999,puu 25,7/5/99,127.00,1,0,0,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,16
1341,1999,puu 25,10/5/99,130.00,1,0,0,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,16
1342,1999,puu 25,11/5/99,131.00,1,0,0,0,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,16
1343,1999,puu 25,12/5/99,132.00,1,0,0,0,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,16
1344,1999,puu 25,14/5/99,134.00,1,0,0,0,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,16
1345,1999,puu 25,17/5/99,137.00,1,0,0,0,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,16
1346,1999,puu 25,18/5/99,138.00,1,0,0,0,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,16
1347,1999,puu 25,19/5/99,139.00,1,0,0,0,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,16
1348,1999,puu 25,20/5/99,140.00,1,0,0,0,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,16
1349,1999,puu 25,21/5/99,141.00,1,0,0,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,17
1350,1999,puu 25,22/5/99,142.00,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,19
1351,1999,puu 26,20/4/99,110.00,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2
1352,1999,puu 26,21/4/99,111.00,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,20
1403,1999,puu 27A,20/4/99,110.00,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,3
1404,1999,puu 27A,21/4/99,111.00,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,1,1,1,0,8
1405,1999,puu 27A,22/4/99,112.00,1,0,0,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,.,15
1406,1999,puu 27A,23/4/99,113.00,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,17
1407,1999,puu 27A,24/4/99,114.00,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,18
1408,1999,puu 27A,25/4/99,115.00,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,18
1409,1999,puu 27A,26/4/99,116.00,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,18
1410,1999,puu 27A,27/4/99,117.00,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,20
1429,1999,puu 28,20/4/99,110.00,0,0,0,0,1,1,1,1,1,0,1,0,0,0,0,0,0,1,1,0,8
1430,1999,puu 28,21/4/99,111.00,1,0,0,1,1,1,1,1,1,1,1,0,0,0,1,0,1,1,1,0,13
1431,1999,puu 28,22/4/99,112.00,1,0,0,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,15
1432,1999,puu 28,23/4/99,113.00,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,20
1455,1999,puu 29,20/4/99,110.00,1,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,1,0,1,8
1456,1999,puu 29,21/4/99,111.00,1,1,0,0,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,16
1457,1999,puu 29,22/4/99,112.00,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,18
1458,1999,puu 29,23/4/99,113.00,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,20
1482,1999,puu 30,21/4/99,111.00,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2
1483,1999,puu 30,22/4/99,112.00,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2
1484,1999,puu 30,23/4/99,113.00,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,1,0,0,6
1485,1999,puu 30,24/4/99,114.00,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,1,0,0,6
1486,1999,puu 30,25/4/99,115.00,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,1,1,1,1,9
1487,1999,puu 30,26/4/99,116.00,1,0,0,0,0,0,1,1,1,1,1,0,0,0,1,1,1,1,1,1,12
1488,1999,puu 30,27/4/99,117.00,1,0,0,0,0,0,1,1,1,1,1,0,0,0,1,1,1,1,1,1,12
1489,1999,puu 30,28/4/99,118.00,1,0,0,0,0,0,1,1,1,1,1,0,0,0,1,1,1,1,1,1,12
1490,1999,puu 30,29/4/99,119.00,1,0,0,0,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,14
1491,1999,puu 30,30/4/99,120.00,1,0,0,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,15
1492,1999,puu 30,3/5/99,123.00,1,0,0,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,16
1493,1999,puu 30,4/5/99,124.00,1,0,0,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,16
1494,1999,puu 30,5/5/99,125.00,1,0,0,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,16
1495,1999,puu 30,6/5/99,126.00,1,0,0,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,16
1496,1999,puu 30,7/5/99,127.00,1,0,0,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,16
1497,1999,puu 30,10/5/99,130.00,1,0,0,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,16
1498,1999,puu 30,11/5/99,131.00,1,0,0,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,16
1499,1999,puu 30,12/5/99,132.00,1,0,0,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,16
1500,1999,puu 30,14/5/99,134.00,1,0,0,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,16
1501,1999,puu 30,17/5/99,137.00,1,0,0,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,16
1502,1999,puu 30,18/5/99,138.00,1,0,0,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,16
1503,1999,puu 30,19/5/99,139.00,1,0,0,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,16
1504,1999,puu 30,20/5/99,140.00,1,0,0,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,16
