Name,Year,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,,,,,,,,,,,,,,,
Acer campestre,10-May,11-May,16-May,1-May,8-May,9-May,9-May,9-May,12-May,4-May,9-May,9-May, ,12-May,3-May,11-May,11-May,13-May,9-May, ,8-May,15-May,8-May,10-May, ,20-May,9-May,3-May,4-May,7-May,8-May,12-May,16-May,4-May,30-Apr,30-Apr,,18-May,1-May,24-Apr,24-Apr,1-May,13-May,27-Apr, ,8-Apr,22-Apr,,,,,,,,,,,,,,,
Acer platanoides, , , , ,28-Apr, ,30-Apr, , ,21-Apr, , ,2-Apr,31-Mar, ,23-Apr,24-Apr,21-Apr,11-Apr,8-Apr,8-Apr,7-Apr,2-Apr,13-Apr, ,22-Apr,14-Apr,31-Mar,2-Apr,29-Apr,24-Apr,14-Apr,28-Apr,17-Apr,12-Apr,27-Mar,19-Mar,2-Apr,4-Apr, ,29-Mar,14-Apr, ,25-Mar,30-Mar,4-Apr, ,,,,,,,,,,,,,,,
Acer pseudoplatanus,2-May,3-May,6-May,27-Apr,8-May,7-May,20-May, ,24-Apr,24-Apr,27-Apr,16-Apr,9-May,9-May,29-Apr,6-May,6-May,23-Apr,14-Apr, ,21-Apr, ,11-Apr,30-Apr, ,4-May,9-May,26-Apr,21-Apr,2-May,27-Apr,4-May,11-May,3-May,1-May,24-Apr,11-Apr,4-May,19-Apr,18-Apr,27-Apr,5-May,9-May,27-Apr, ,13-Apr, ,,,,,,,,,,,,,,,
Achillea millefolium,31-May,23-Jun,16-Jun,25-Jun,19-Jun,23-Jun,7-Jun,7-Jun,29-Jun,15-Jun,2-Jul, ,8-Jun, ,28-Jun,27-Jun,15-Jun,20-Jun, ,23-Jun, ,23-Jun,13-Jun, ,30-Jun,18-Jun,17-Jun,23-Jun,11-Jun,28-Jun,24-Jun, ,19-Jun, ,3-Jul,20-Jun,3-Jun, ,18-Jun, ,18-May, ,19-Jun,21-Jun,21-Jun,17-May,21-Jun,,,,,,,,,,,,,,,
Achillea ptarmica, ,28-Jul,31-Jul,14-Jul,23-Jul,2-Jul, , ,20-Jul,16-Jul, , , , , , ,21-Jun,12-Jul, ,28-Jul, , , ,10-Jul, ,4-Aug, , ,10-Jul,16-Jul, ,11-Jul,4-Aug, ,26-Jul, ,9-Jul,28-Jul,1-Aug,20-Jul,21-Jul, ,3-Aug,30-Jul, ,18-Jul, ,,,,,,,,,,,,,,,
Adoxa moschatellina,26-Mar, ,4-Apr,9-Mar,8-Mar,30-Mar,12-Apr,8-Mar,12-Apr,14-Apr,11-Apr,2-Apr,22-Mar,11-Mar,8-Apr,13-Apr,16-Apr,26-Mar,25-Mar,17-Mar,25-Mar,23-Feb,20-Mar,10-Apr,7-Apr,16-Apr,28-Mar,21-Mar,2-Apr, ,13-Apr,13-Mar,25-May,12-Apr,31-Mar,22-Mar,14-Mar,6-Apr,19-Mar,19-Mar,20-Feb,11-Mar,22-Apr,18-Mar,19-Mar, ,22-Mar,,,,,,,,,,,,,,,
Aegopodium podagraria,9-Jun,6-Jun,1-Jun,12-May, ,23-May,22-May,17-May, ,11-Jun,3-Jun,1-Jun,21-May,27-May,5-Jun,10-Jun,30-May,26-May, ,7-Jun,24-May,7-Jun,12-Jun,1-Jun,5-Jun,8-Jun,6-Jun,10-Jun,25-May,31-May,7-Jun,1-Jun,6-Jun,9-Jun,13-Jun,30-May,28-May,9-Jun,20-May,26-May,6-Jun,8-Jun, , ,27-May,28-May,1-Jun,,,,,,,,,,,,,,,
Aesculus hippocastanum, , , ,23-Apr,7-May,16-Apr,3-May, ,12-May,10-May, , ,6-May, ,2-May,12-May,12-May, ,20-Apr,25-Apr,25-Apr,13-May,5-May,9-May, ,14-May,9-May,22-Apr,26-Apr,3-May,11-May,6-May,12-May,3-May,1-May,25-Apr,4-Apr,8-May,2-May,27-Apr, ,4-May,11-May,12-Apr, , , ,,,,,,,,,,,,,,,
Aethusa cynapium,9-Jul,30-Jun,8-Jul,17-Jun,17-Jun,16-Jul,2-Jul,11-Jul,12-Jul,22-Jul,7-Jul,5-Jul,18-May,28-Jun,2-Jul,18-Jul,1-Jul,18-Jun, ,27-Jun,23-May,22-Jun,4-Jul,5-Jul,4-Jun,12-Jul,9-Jun,29-Jun,22-May,4-May,16-Jul,8-Jul,16-Jul,14-Jul,7-Jul,22-Jun,9-Jun,15-Jul,2-Jul,4-Jul,16-Jul, ,20-Jul,17-Jun,17-Jul,28-Jun,6-Jul,,,,,,,,,,,,,,,
Agrimonia eupatoria,28-Jun,20-Jun,4-Jul,17-Jun,1-Jul,19-Jun,28-Jun, ,30-Jun, ,3-Jul,5-Jul,8-Jul,30-Jun, ,3-Jul,30-Jun,8-Jul, ,28-Jun,24-Jun,27-Jun,24-Jun,8-Jul,3-Jul,27-Jun,22-Jun,24-Jun,13-Jun,8-Jul,25-Jun,16-Jun,2-Jul, ,21-Jun,3-Jun,17-Jun,6-Jul,18-Jun, ,10-Jun, ,2-Jul,8-Jun, ,26-Jun,20-Jun,,,,,,,,,,,,,,,
Ajuga reptans,28-Apr,13-May,16-May,19-Apr,7-May,22-Apr,8-May,25-Apr,27-May,12-May,10-May,23-Apr,13-May,21-Apr,4-May,7-May,22-May,7-May,5-May,18-May,2-May,17-May,8-May,20-May,9-May,18-May,10-May,3-May,1-May,6-May,11-May,15-May,23-May,7-May,3-May,7-May,19-May, ,7-May, ,3-May,23-Apr,15-May,11-Apr,4-Jul,29-Apr,1-May,,,,,,,,,,,,,,,
