"Sp. Code","Plant Name"
200,"Cornus florida"
600,"Juglans nigra"
603,"Carya ovata"
607,"Carya glabra"
615,"Populus tremuloides"
617,"Populus deltoides"
618,"Salix nigra"
644,"Ostrya virginiana"
660,"Quercus velutina"
666,"Q. alba"
667,"Q. macrocarpa"
668,"Q. bicolor"
672,"Ulmus americana"
678,"Maclura pomifera"
869,"Sassafras albidum"
972,"Hamamelis virginiana"
974,"Platanus occidentalis"
1060,"Gymnocladus dioica"
1184,"Rhus typhina"
1198,"Acer saccharinum"
1200,"A. saccharum"
1204,"A. negundo"
1205,"Aesculus glabra"
1416,"Diospyros virginiana"
1417,"Fraxinus americana"
1421,"F. nigra"
