"","V1","V2","V3","V4","V5","V6"
"53065","fargo","Acer","ginnala","ffd",1931,150
"53066","fargo","Acer","ginnala","ffd",1948,145
"53067","fargo","Acer","ginnala","ffd",1949,141
"53068","fargo","Acer","ginnala","ffd",1952,141
"53069","fargo","Acer","ginnala","ffd",1954,159
"53070","fargo","Acer","ginnala","ffd",1955,136
"53071","fargo","Acer","ginnala","ffd",1956,158
"53072","fargo","Acer","ginnala","ffd",1957,147
"53073","fargo","Acer","ginnala","ffd",1958,142
"53074","fargo","Acer","ginnala","ffd",1959,150
"53075","fargo","Acer","ginnala","ffd",1960,157
"53076","fargo","Acer","ginnala","ffd",2009,153
"53077","fargo","Acer","negundo","ffd",1910,93
"53078","fargo","Acer","negundo","ffd",1911,115
"53079","fargo","Acer","negundo","ffd",1912,113
"53080","fargo","Acer","negundo","ffd",1914,122
"53081","fargo","Acer","negundo","ffd",1915,104
"53082","fargo","Acer","negundo","ffd",1916,126
"53083","fargo","Acer","negundo","ffd",1917,128
"53084","fargo","Acer","negundo","ffd",1918,104
"53085","fargo","Acer","negundo","ffd",1919,121
"53086","fargo","Acer","negundo","ffd",1920,127
"53087","fargo","Acer","negundo","ffd",1921,111
"53088","fargo","Acer","negundo","ffd",1922,118
"53089","fargo","Acer","negundo","ffd",1923,121
"53090","fargo","Acer","negundo","ffd",1924,123
"53091","fargo","Acer","negundo","ffd",1925,101
"53092","fargo","Acer","negundo","ffd",1926,113
"53093","fargo","Acer","negundo","ffd",1927,116
"53094","fargo","Acer","negundo","ffd",1928,123
"53095","fargo","Acer","negundo","ffd",1929,115
"53096","fargo","Acer","negundo","ffd",1930,105
"53097","fargo","Acer","negundo","ffd",1931,106
"53098","fargo","Acer","negundo","ffd",1932,114
"53099","fargo","Acer","negundo","ffd",1933,113
"53100","fargo","Acer","negundo","ffd",1934,119
"53101","fargo","Acer","negundo","ffd",1935,126
"53102","fargo","Acer","negundo","ffd",1936,125
"53103","fargo","Acer","negundo","ffd",1937,122
"53104","fargo","Acer","negundo","ffd",1938,105
"53105","fargo","Acer","negundo","ffd",1939,118
"53106","fargo","Acer","negundo","ffd",1940,125
"53107","fargo","Acer","negundo","ffd",1941,116
"53108","fargo","Acer","negundo","ffd",1942,111
"53109","fargo","Acer","negundo","ffd",1943,114
"53110","fargo","Acer","negundo","ffd",1944,120
"53111","fargo","Acer","negundo","ffd",1945,98
