year,plot_code,plant_id,1st_snowfree,1st_leaf,1st_flower,1st_flower_open,1st_petal_shed,last_petal_shed,1st_seed_disp,1st_red_leaf
1993,104C,BB4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1993,104C,BB5,NaN,NaN,NaN,NaN,200,NaN,NaN,NaN
1993,105E,AR1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1993,105E,AR2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1993,105E,AR3,NaN,NaN,NaN,NaN,202,215,NaN,NaN
1993,105E,AR4,NaN,NaN,NaN,NaN,197,215,NaN,NaN
1993,105E,AR5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1993,105E,BB1,NaN,NaN,NaN,197,202,NaN,NaN,NaN
1993,105E,BB2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1993,105E,BB3,NaN,NaN,NaN,197,197,NaN,NaN,NaN
1993,105E,BB4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1993,105E,BB5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1993,105C,AR1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1993,105C,AR2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1993,105C,AR3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1993,105C,AR4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1993,105C,AR5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1993,105C,BB1,NaN,NaN,NaN,NaN,201,NaN,NaN,NaN
1993,105C,BB2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1993,105C,BB3,NaN,NaN,NaN,NaN,202,NaN,NaN,NaN
1993,105C,BB4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1993,105C,BB5,NaN,NaN,NaN,202,215,NaN,NaN,NaN
1993,255E,AR1,NaN,NaN,NaN,NaN,NaN,197,NaN,NaN
1993,255E,AR2,NaN,NaN,NaN,NaN,197,210,NaN,NaN
1993,255E,AR3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1993,255E,AR4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1993,255E,AR5,NaN,NaN,NaN,NaN,NaN,215,NaN,NaN
1993,255E,BB1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1993,255E,BB2,NaN,NaN,NaN,NaN,197,NaN,NaN,NaN
1993,255E,BB3,NaN,NaN,NaN,NaN,202,NaN,NaN,NaN
1993,255E,BB4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1993,255E,BB5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1993,255C,AR1,NaN,NaN,NaN,NaN,NaN,201,NaN,NaN
1993,255C,AR2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1993,255C,AR3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1993,255C,AR4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1993,255C,AR5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1993,255C,BB1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1993,255C,BB2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1993,255C,BB3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1993,255C,BB4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1993,255C,BB5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1993,254E,AR1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1993,254E,AR2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1993,254E,AR3,NaN,NaN,NaN,NaN,197,NaN,NaN,NaN
1993,254E,AR4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1993,254E,AR5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1993,254E,BB1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1993,254E,BB2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1993,254E,BB3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1993,254E,BB4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1993,254E,BB5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1993,254C,AR1,NaN,NaN,NaN,NaN,215,NaN,NaN,NaN
1993,254C,AR2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1993,254C,AR3,NaN,NaN,NaN,NaN,202,230,NaN,NaN
1993,254C,AR4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1993,254C,AR5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1993,254C,BB1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1993,254C,BB2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1993,254C,BB3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1993,254C,BB4,NaN,NaN,NaN,200,230,NaN,NaN,NaN
1993,254C,BB5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1993,253E,AR1,NaN,NaN,NaN,NaN,NaN,197,NaN,NaN
1993,253E,AR2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1993,253E,AR3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1993,253E,AR4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1993,253E,AR5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1993,253E,BB1,NaN,NaN,NaN,197,NaN,NaN,NaN,NaN
1993,253E,BB2,NaN,NaN,NaN,197,215,222,NaN,NaN
1993,253E,BB3,NaN,NaN,NaN,197,204,NaN,NaN,NaN
1993,253E,BB4,NaN,NaN,NaN,197,204,NaN,NaN,NaN
1993,253E,BB5,NaN,NaN,NaN,197,210,230,NaN,NaN
1993,253C,AR1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1993,253C,AR2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1993,253C,AR3,NaN,NaN,NaN,NaN,NaN,210,NaN,NaN
1993,253C,AR4,NaN,NaN,NaN,NaN,NaN,210,NaN,NaN
1993,253C,AR5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1993,253C,BB1,NaN,NaN,NaN,NaN,200,NaN,NaN,NaN
1993,253C,BB2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1993,253C,BB3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1993,253C,BB4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1993,253C,BB5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1993,252E,AR1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1993,252E,AR2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1993,252E,AR3,NaN,NaN,NaN,NaN,NaN,197,NaN,NaN
1993,252E,AR4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1993,252E,AR5,NaN,NaN,NaN,NaN,NaN,200,NaN,NaN
1993,252E,BB1,NaN,NaN,NaN,202,232,NaN,NaN,NaN
1993,252E,BB2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1993,252E,BB3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1993,252E,BB4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1993,252E,BB5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
