Code,Latin name,Common name,N,bbm50doy,L75mdoy,L95mdoy
ACSA,Acer saccharum,Sugar maple,2,132,147,149
AMSP,Amelanchier sp.,Juneberry,1,118,146,149
BEAL,Betula alleghaniensis,Yellow Birch,2,142,156,158
BEPA,Betula papyrifera,Paper birch,2,119,149,156
CACA,Carpinus caroliniana,Musclewood,1,124,149,158
CACO,Carya cordiformis,Yellowbud hickory,2,136,160,162
CAOV,Carya ovata,Shagbark hickory,2,145,156,158
COAL,Cornus alternifolia,Pagoda dogwood,3,118,152,158
CORA,Cornus racemosa,Grey Dogwood,3,121,155,158
COSE,Cornus sericea,Red Osier Dogwood,2,118,157,160
CRSP,Crataegus spp.,Hawthorn,2,131,151,157
DIPA,Dirca palustris,Leatherwood,2,102,149,155
FAAM,Fagus americana,Beech,2,138,147,156
FRAM,Fraxinus americana,White ash,3,137,159,162
FRNI,Fraxinus nigra,Black ash,2,147,158,162
HAVI,Hamamelis virginiana,Witch hazel,2,145,156,158
ILVE,Ilex verticillata,Winterberry,1,141,156,158
LALA,Larix laricina,Tamarack,2,119,144,149
OSVI,Ostrya virginiana,Ironwood,3,113,151,157
POTR,Populus tremuloides,Quaking aspen,2,119,136,153
PRSE,Prunus serotina,Black cherry,3,112,153,161
QURU,Quercus rubra,Red oak,2,126,156,158
TIAM,Tilia americana,Basswood,3,143,156,158
ULAM,Ulmus americana,American elm,2,134,151,157
VILE,Viburnum lentago,Nannyberry,1,103,144,149
VISP,Viburnum sp.,Maple-leaved Viburnum ,1,131,156,158
,,,53,,,
