Code,Latin Name,Common Name,N,bb50mdoy,L75mdoy,L95mdoy,,
ACSA,Acer saccharum,Sugar maple,2,126,152,162,,
AMSP,Amelanchier sp.,Juneberry,1,999,140,175,,
BEAL,Betula alleghaniensis,Yellow Birch,2,128,148,154,,
BEPA,Betula papyrifera,Paper birch,2,123,144,158,,
CACA,Carpinus caroliniana,Musclewood,1,126,156,164,,
CACO,Carya cordiformis,Yellowbud hickory,2,126,157,164,,
CAOV,Carya ovata,Shagbark hickory,2,126,154,159,,
COAL,Cornus alternifolia,Pagoda dogwood,3,124,150,154,,
CORA,Cornus racemosa,Grey Dogwood,3,122,161,173,,
COSE,Cornus sericea,Red Osier Dogwood,2,121,158,172,,
CRSP,Crataegus spp.,Hawthorn,2,126,152,159,,
DIPA,Dirca palustris,Leatherwood,2,117,143,162,,
FAAM,Fagus americana,Beech,2,126,138,153,,
FRAM,Fraxinus americana,White ash,3,129,155,163,,
FRNI,Fraxinus nigra,Black ash,2,131,156,163,,
HAVI,Hamamelis virginiana,Witch hazel,2,126,150,154,,
ILVE,Ilex verticillata,Winterberry,1,130,161,187,,
LALA,Larix laricina,Tamarack,2,112,134,153,,
OSVI,Ostrya virginiana,Ironwood,3,125,158,172,,
POTR,Populus tremuloides,Quaking aspen,2,126,139,149,,
PRSE,Prunus serotina,Black cherry,3,117,148,159,,
QURU,Quercus rubra,Red oak,2,126,148,153,,
TIAM,Tilia americana,Basswood,3,126,153,169,,
ULAM,Ulmus americana,American elm,2,128,156,163,,
VILE,Viburnum lentago,Nannyberry,1,108,144,157,,
VISP,Viburnum sp.,Maple-leaved Viburnum ,1,126,160,167,,
,,,53,,,,,
