"sp.name","form"
"Abies.alba","tree"
"Abies.amabilis","tree"
"Abies.balsamea","tree"
"Abies.balsamea.var..balsamea","tree"
"Abies.balsamea.var..phanerolepis","tree"
"Abies.bracteata","tree"
"Abies.concolor","tree"
"Abies.firma","tree"
"Abies.fraseri","tree"
"Abies.grandis","tree"
"Abies.guatemalensis","tree"
"Abies.homolepis","tree"
"Abies.lasiocarpa","tree"
"Abies.lasiocarpa.var..arizonica","tree"
"Abies.lasiocarpa.var..lasiocarpa","tree"
"Abies.lowiana","tree"
"Abies.magnifica","tree"
"Abies.magnifica.var..magnifica","tree"
"Abies.magnifica.var..shastensis","tree"
"Abies.procera","tree"
"Acacia.×emoryana","tree"
"Acacia.anegadensis","tree"
"Acacia.aneura","tree"
"Acacia.auriculiformis","tree"
"Acacia.baileyana","tree"
"Acacia.berlandieri","tree"
"Acacia.choriophylla","tree"
"Acacia.confusa","tree"
"Acacia.constricta","tree"
"Acacia.constricta.var..constricta","tree"
"Acacia.constricta.var..paucispina","tree"
"Acacia.cornigera","tree"
"Acacia.dealbata","tree"
"Acacia.decurrens","tree"
"Acacia.elata","tree"
"Acacia.farnesiana","tree"
"Acacia.greggii","tree"
"Acacia.greggii.var..greggii","tree"
"Acacia.greggii.var..wrightii","tree"
"Acacia.koa","tree"
"Acacia.koaia","tree"
"Acacia.longifolia","tree"
"Acacia.macracantha","tree"
"Acacia.mearnsii","tree"
"Acacia.melanoxylon","tree"
"Acacia.millefolia","tree"
"Acacia.muricata","tree"
"Acacia.nilotica","tree"
"Acacia.parramattensis","tree"
"Acacia.pinetorum","tree"
"Acacia.podalyriifolia","tree"
"Acacia.polyacantha","tree"
"Acacia.pycnantha","tree"
"Acacia.retinodes","tree"
"Acacia.retusa","tree"
"Acacia.rigidula","tree"
"Acacia.roemeriana","tree"
"Acacia.saligna","tree"
"Acacia.sphaerocephala","tree"
"Acacia.tortuosa","tree"
"Acacia.verticillata","tree"
"Acacia.vogeliana","tree"
"Acer.×freemanii","tree"
"Acer.campestre","tree"
"Acer.circinatum","tree"
"Acer.floridanum","tree"
"Acer.ginnala","tree"
"Acer.glabrum","tree"
"Acer.glabrum.var..diffusum","tree"
"Acer.glabrum.var..douglasii","tree"
"Acer.glabrum.var..glabrum","tree"
"Acer.glabrum.var..greenei","tree"
"Acer.glabrum.var..neomexicanum","tree"
"Acer.glabrum.var..torreyi","tree"
"Acer.grandidentatum","tree"
"Acer.grandidentatum.var..grandidentatum","tree"
"Acer.grandidentatum.var..sinuosum","tree"
"Acer.japonicum","tree"
"Acer.leucoderme","tree"
"Acer.leucoderme.×.saccharum","tree"
"Acer.macrophyllum","tree"
"Acer.negundo","tree"
"Acer.negundo.var..arizonicum","tree"
"Acer.negundo.var..californicum","tree"
"Acer.negundo.var..interius","tree"
"Acer.negundo.var..negundo","tree"
"Acer.negundo.var..texanum","tree"
"Acer.negundo.var..violaceum","tree"
"Acer.nigrum","tree"
"Acer.palmatum","tree"
"Acer.pensylvanicum","tree"
"Acer.platanoides","tree"
"Acer.pseudoplatanus","tree"
"Acer.rubrum","tree"
"Acer.rubrum.var..drummondii","tree"
"Acer.rubrum.var..rubrum","tree"
"Acer.rubrum.var..trilobum","tree"
"Acer.saccharinum","tree"
"Acer.saccharum","tree"
"Acer.saccharum.var..saccharum","tree"
"Acer.saccharum.var..schneckii","tree"
"Acer.spicatum","tree"
"Acer.tataricum","tree"
"Acnistus.arborescens","tree"
"Acoelorraphe.wrightii","tree"
"Acrocomia.media","tree"
