"site","plot","event","year","doy","date","genus","species","scrub","varetc","cult"
"harvard",NA,"bbd","1990",132,1990-05-12,"Quercus","alba","0",NA,NA
"harvard",NA,"bbd","1991",129.666666666667,1991-05-09,"Quercus","alba","0",NA,NA
"harvard",NA,"bbd","1992",141.333333333333,1992-05-20,"Quercus","alba","0",NA,NA
"harvard",NA,"bbd","1993",128,1993-05-08,"Quercus","alba","0",NA,NA
"harvard",NA,"bbd","1994",139,1994-05-19,"Quercus","alba","0",NA,NA
"harvard",NA,"bbd","1995",132,1995-05-12,"Quercus","alba","0",NA,NA
"harvard",NA,"bbd","1996",142.333333333333,1996-05-21,"Quercus","alba","0",NA,NA
"harvard",NA,"bbd","1997",137.666666666667,1997-05-17,"Quercus","alba","0",NA,NA
"harvard",NA,"bbd","1998",126.666666666667,1998-05-06,"Quercus","alba","0",NA,NA
"harvard",NA,"bbd","1999",131,1999-05-11,"Quercus","alba","0",NA,NA
"harvard",NA,"bbd","2000",131,2000-05-10,"Quercus","alba","0",NA,NA
"harvard",NA,"bbd","2001",125,2001-05-05,"Quercus","alba","0",NA,NA
"harvard",NA,"bbd","2002",129.333333333333,2002-05-09,"Quercus","alba","0",NA,NA
"harvard",NA,"bbd","2003",138.333333333333,2003-05-18,"Quercus","alba","0",NA,NA
"harvard",NA,"bbd","2004",132.333333333333,2004-05-11,"Quercus","alba","0",NA,NA
"harvard",NA,"bbd","2005",136.333333333333,2005-05-16,"Quercus","alba","0",NA,NA
"harvard",NA,"bbd","2006",132,2006-05-12,"Quercus","alba","0",NA,NA
"harvard",NA,"bbd","2007",131,2007-05-11,"Quercus","alba","0",NA,NA
"harvard",NA,"bbd","2008",132,2008-05-11,"Quercus","alba","0",NA,NA
"harvard",NA,"bbd","2009",123,2009-05-03,"Quercus","alba","0",NA,NA
"harvard",NA,"bbd","2010",124,2010-05-04,"Quercus","alba","0",NA,NA
"harvard",NA,"bbd","2011",130,2011-05-10,"Quercus","alba","0",NA,NA
"harvard",NA,"bbd","2012",127,2012-05-06,"Quercus","alba","0",NA,NA
"harvard",NA,"bbd","2013",127.333333333333,2013-05-07,"Quercus","alba","0",NA,NA
