datetime,date,jd,doy,flux,se,soilt,vsm,time,site,drainage
NA,6/9/95,160,160,NA,NA,NA,NA,NA,Charlton,well drained
NA,6/9/95,160,160,NA,NA,NA,NA,NA,Dry Down,well drained
NA,6/9/95,160,160,NA,NA,NA,NA,NA,Montauk,well drained
NA,6/9/95,160,160,111.51,16.16,NA,0.69,NA,NWF,swamp
NA,6/9/95,160,160,159.08,20,NA,0.47,NA,NWM,moderately well drained
NA,6/9/95,160,160,188.89,25.87,NA,0.33,NA,NWN,well drained
NA,6/9/95,160,160,201.4,8.29,NA,0.34,NA,SWF,very well drained
NA,6/9/95,160,160,159.17,13.8,NA,0.53,NA,SWM,moderately well drained
NA,6/9/95,160,160,146.82,28.78,NA,0.63,NA,SWN,poorly drained
NA,6/13/95,164,164,NA,NA,NA,NA,NA,Charlton,well drained
NA,6/13/95,164,164,NA,NA,NA,NA,NA,Dry Down,well drained
NA,6/13/95,164,164,NA,NA,NA,NA,NA,Montauk,well drained
NA,6/13/95,164,164,100.37,18.43,13,0.67,NA,NWF,swamp
NA,6/13/95,164,164,149.04,8.68,12.1,0.48,NA,NWM,moderately well drained
NA,6/13/95,164,164,186.87,13.24,13,0.32,NA,NWN,well drained
NA,6/13/95,164,164,240.28,26.96,13.5,0.35,NA,SWF,very well drained
NA,6/13/95,164,164,182.46,20.32,13.1,0.51,NA,SWM,moderately well drained
NA,6/13/95,164,164,171.51,33.64,13.1,0.67,NA,SWN,poorly drained
NA,6/23/95,174,174,NA,NA,NA,NA,NA,Charlton,well drained
NA,6/23/95,174,174,NA,NA,NA,NA,NA,Dry Down,well drained
NA,6/23/95,174,174,NA,NA,NA,NA,NA,Montauk,well drained
NA,6/23/95,174,174,142.21,10.72,14.5,0.55,NA,NWF,swamp
NA,6/23/95,174,174,132.52,25.33,13.2,0.36,NA,NWM,moderately well drained
NA,6/23/95,174,174,169.33,81.54,11.9,0.22,NA,NWN,well drained
NA,6/23/95,174,174,173.1,2.07,15.6,0.21,NA,SWF,very well drained
NA,6/23/95,174,174,163.43,88.45,15.2,0.37,NA,SWM,moderately well drained
NA,6/23/95,174,174,221.94,34.48,14.6,0.44,NA,SWN,poorly drained
NA,6/28/95,179,179,NA,NA,NA,NA,NA,Charlton,well drained
NA,6/28/95,179,179,NA,NA,NA,NA,NA,Dry Down,well drained
NA,6/28/95,179,179,NA,NA,NA,NA,NA,Montauk,well drained
NA,6/28/95,179,179,129.41,30.63,13.4,0.54,NA,NWF,swamp
NA,6/28/95,179,179,111.8,5.7,12.2,0.34,NA,NWM,moderately well drained
NA,6/28/95,179,179,156.47,16.59,13.3,0.15,NA,NWN,well drained
NA,6/28/95,179,179,189.72,22.77,14.2,0.17,NA,SWF,very well drained
