Year,Treatment,Species,Block,Plot,Function,Flowering_function,LOD,FFD
2013,C,En,A,2,grass,mid,115.3333333,198.1666667
2013,C,En,B,11,grass,mid,116,197.8333333
2013,C,En,C,22,grass,mid,116,200
2013,C,En,D,25,grass,mid,115.6666667,200.3333333
2013,C,En,E,36,grass,mid,115.3333333,199
2013,W,En,A,1,grass,mid,111,NA
2013,W,En,B,12,grass,mid,112.6666667,192.8333333
2013,W,En,C,23,grass,mid,113.6666667,190.5
2013,W,En,D,28,grass,mid,112,188
2013,W,En,E,33,grass,mid,113,190
2013,WW,En,A,90,grass,mid,112.6666667,189.5
2013,WW,En,B,91,grass,mid,111,192
2013,WW,En,C,92,grass,mid,113.6666667,192
2013,WW,En,D,93,grass,mid,115,190
2013,WW,En,E,94,grass,mid,113,187
2013,C,Sa,A,2,grass,mid,NA,206.6666667
2013,C,Sa,B,11,grass,mid,NA,206.6666667
2013,C,Sa,C,22,grass,mid,NA,209.5
2013,C,Sa,D,25,grass,mid,NA,203.5
2013,C,Sa,E,36,grass,mid,NA,202.3333333
2013,W,Sa,A,1,grass,mid,NA,187.6
2013,W,Sa,B,12,grass,mid,NA,189
2013,W,Sa,C,23,grass,mid,NA,191.5
2013,W,Sa,D,28,grass,mid,NA,189
2013,W,Sa,E,33,grass,mid,NA,190.5
2013,WW,Sa,A,90,grass,mid,NA,195.3333333
2013,WW,Sa,B,91,grass,mid,NA,195.3333333
2013,WW,Sa,C,92,grass,mid,NA,190.6666667
2013,WW,Sa,D,93,grass,mid,NA,189.5
2013,WW,Sa,E,94,grass,mid,NA,190
2013,C,Pp,A,2,grass,mid,NA,195
2013,C,Pp,B,11,grass,mid,NA,197.1666667
2013,C,Pp,C,22,grass,mid,NA,196.1666667
2013,C,Pp,D,25,grass,mid,NA,196.3333333
2013,C,Pp,E,36,grass,mid,NA,196.4
2013,W,Pp,A,1,grass,mid,NA,185
2013,W,Pp,B,12,grass,mid,NA,187.6
2013,W,Pp,C,23,grass,mid,NA,188
2013,W,Pp,D,28,grass,mid,NA,187.8333333
2013,W,Pp,E,33,grass,mid,NA,187
2013,WW,Pp,A,90,grass,mid,NA,188
2013,WW,Pp,B,91,grass,mid,NA,190
2013,WW,Pp,C,92,grass,mid,NA,191.1666667
2013,WW,Pp,D,93,grass,mid,NA,190
2013,WW,Pp,E,94,grass,mid,NA,191.1666667
2013,C,Kh,A,2,sedge,early,111,144
2013,C,Kh,B,11,sedge,early,108,143.5
2013,C,Kh,C,22,sedge,early,108,144.6666667
2013,C,Kh,D,25,sedge,early,108,147
2013,C,Kh,E,36,sedge,early,108,143.8
2013,W,Kh,A,1,sedge,early,104,141
2013,W,Kh,B,12,sedge,early,108,142
2013,W,Kh,C,23,sedge,early,108,139
2013,W,Kh,D,28,sedge,early,108,144.1666667
2013,W,Kh,E,33,sedge,early,108,139
2013,WW,Kh,A,90,sedge,early,106.6666667,146.8
2013,WW,Kh,B,91,sedge,early,97,143.8333333
2013,WW,Kh,C,92,sedge,early,97,140.5
2013,WW,Kh,D,93,sedge,early,97,140
2013,WW,Kh,E,94,sedge,early,97,139
2013,C,Th,A,2,legume,mid,154.3333333,184.5
2013,C,Th,B,11,legume,mid,157,181
2013,C,Th,C,22,legume,mid,155.6666667,181.2
2013,C,Th,D,25,legume,mid,157,182.4
2013,C,Th,E,36,legume,mid,155.6666667,183
2013,W,Th,A,1,legume,mid,146,171.4
2013,W,Th,B,12,legume,mid,147.6666667,172.1666667
2013,W,Th,C,23,legume,mid,147.6666667,175.5
2013,W,Th,D,28,legume,mid,145,163.6666667
2013,W,Th,E,33,legume,mid,145.6666667,175.6666667
2013,WW,Th,A,90,legume,mid,148.3333333,175.2
2013,WW,Th,B,91,legume,mid,145,166
2013,WW,Th,C,92,legume,mid,145,171.2
2013,WW,Th,D,93,legume,mid,145,173.75
2013,WW,Th,E,94,legume,mid,145.6666667,174.4
2013,C,Ma,A,2,legume,mid,141.6666667,195.25
2013,C,Ma,B,11,legume,mid,145,193
2013,C,Ma,C,22,legume,mid,147.6666667,192.4
2013,C,Ma,D,25,legume,mid,147.6666667,193.3333333
2013,C,Ma,E,36,legume,mid,145,196.8
2013,W,Ma,A,1,legume,mid,129,180.1666667
2013,W,Ma,B,12,legume,mid,129,174.3333333
2013,W,Ma,C,23,legume,mid,131.8333333,175.1666667
2013,W,Ma,D,28,legume,mid,129,172.6666667
2013,W,Ma,E,33,legume,mid,129,181.8333333
2013,WW,Ma,A,90,legume,mid,NA,NA
2013,WW,Ma,B,91,legume,mid,129,172
2013,WW,Ma,C,92,legume,mid,130.5,177.3333333
2013,WW,Ma,D,93,legume,mid,133.3333333,185.6666667
2013,WW,Ma,E,94,legume,mid,129,178.5
2013,C,Pn,A,2,forb,mid,108,188.5
2013,C,Pn,B,11,forb,mid,108,184.8
2013,C,Pn,C,22,forb,mid,112,182
2013,C,Pn,D,25,forb,mid,108,187
2013,C,Pn,E,36,forb,mid,119,177
2013,W,Pn,A,1,forb,mid,106,NA
2013,W,Pn,B,12,forb,mid,110,172.6666667
2013,W,Pn,C,23,forb,mid,109.5,NA
2013,W,Pn,D,28,forb,mid,112,176
2013,W,Pn,E,33,forb,mid,NA,NA
2013,WW,Pn,A,90,forb,mid,107.3333333,NA
2013,WW,Pn,B,91,forb,mid,105.3333333,172.8333333
2013,WW,Pn,C,92,forb,mid,108,176.6
2013,WW,Pn,D,93,forb,mid,107.3333333,175.5
2013,WW,Pn,E,94,forb,mid,106,179.4
2013,C,Gs,A,2,forb,late,123,210
2013,C,Gs,B,11,forb,late,127.6666667,220.6666667
2013,C,Gs,C,22,forb,late,126.5,221
2013,C,Gs,D,25,forb,late,122,220.75
2013,C,Gs,E,36,forb,late,127,222.3333333
2013,W,Gs,A,1,forb,late,116.1666667,207.2
2013,W,Gs,B,12,forb,late,114,203
2013,W,Gs,C,23,forb,late,117.1666667,210
2013,W,Gs,D,28,forb,late,120.8333333,203
2013,W,Gs,E,33,forb,late,118,206.5
2013,WW,Gs,A,90,forb,late,114.8333333,203
2013,WW,Gs,B,91,forb,late,108,203
2013,WW,Gs,C,92,forb,late,108,206.5
2013,WW,Gs,D,93,forb,late,108,NA
2013,WW,Gs,E,94,forb,late,111,203
2013,C,Ss,A,2,forb,late,114,NA
2013,C,Ss,B,11,forb,late,122,NA
2013,C,Ss,C,22,forb,late,114,NA
2013,C,Ss,D,25,forb,late,116.5,NA
2013,C,Ss,E,36,forb,late,114,NA
2013,W,Ss,A,1,forb,late,111,NA
2013,W,Ss,B,12,forb,late,114,NA
2013,W,Ss,C,23,forb,late,113,NA
2013,W,Ss,D,28,forb,late,112,NA
2013,W,Ss,E,33,forb,late,108,NA
2013,WW,Ss,A,90,forb,late,NA,NA
2013,WW,Ss,B,91,forb,late,109.8333333,NA
2013,WW,Ss,C,92,forb,late,105.3333333,NA
2013,WW,Ss,D,93,forb,late,108,NA
2013,WW,Ss,E,94,forb,late,104,NA
2013,C,Gl,A,2,forb,late,108,245
2013,C,Gl,B,11,forb,late,108,251.6666667
2013,C,Gl,C,22,forb,late,108,252.2
2013,C,Gl,D,25,forb,late,108,251
2013,C,Gl,E,36,forb,late,108,249.3333333
2013,W,Gl,A,1,forb,late,104,235.6666667
2013,W,Gl,B,12,forb,late,104,239.25
2013,W,Gl,C,23,forb,late,104,238.6
2013,W,Gl,D,28,forb,late,104,235.6666667
2013,W,Gl,E,33,forb,late,104,237.8
2013,WW,Gl,A,90,forb,late,100,241
2013,WW,Gl,B,91,forb,late,97,237.2
2013,WW,Gl,C,92,forb,late,97,235.6
2013,WW,Gl,D,93,forb,late,97,235.2
2013,WW,Gl,E,94,forb,late,97,240
2013,C,Ad,A,2,forb,late,153,NA
2013,C,Ad,B,11,forb,late,145,NA
2013,C,Ad,C,22,forb,late,145,NA
2013,C,Ad,D,25,forb,late,153,NA
2013,C,Ad,E,36,forb,late,147,NA
2013,W,Ad,A,1,forb,late,135,NA
2013,W,Ad,B,12,forb,late,145,NA
2013,W,Ad,C,23,forb,late,156.1666667,NA
