Year,Month,Date,Treatment,Plot,Season,Year_Season,at,st5,soilmoisture
2012,10,1,C,15,ng,2013,1.921666662,8.599999984,0.237201896
2012,10,2,C,15,ng,2013,2.334999966,7.941666722,0.236275877
2012,10,3,C,15,ng,2013,1.818333341,7.816666722,0.235594451
2012,10,4,C,15,ng,2013,0.404999996,7.316666702,0.235042492
2012,10,5,C,15,ng,2013,-0.513333374,6.775000016,0.234096595
2012,10,6,C,15,ng,2013,2.680000033,7.287499964,0.233411377
2012,10,7,C,15,ng,2013,2.116666624,7.570833306,0.233556924
2012,10,8,C,15,ng,2013,1.285000014,7.112500012,0.234138619
2012,10,9,C,15,ng,2013,1.491666712,7.129166683,0.237403147
2012,10,10,C,15,ng,2013,2.30833333,7.60833327,0.238298357
2012,10,11,C,15,ng,2013,1.096666692,6.933333417,0.238039055
2012,10,12,C,15,ng,2013,2.759999985,7.3125,0.238241078
2012,10,13,C,15,ng,2013,1.341666682,6.883333425,0.237577126
2012,10,14,C,15,ng,2013,1.103333318,6.516666651,0.237028107
2012,10,15,C,15,ng,2013,1.521666647,6.541666627,0.236767841
2012,10,16,C,15,ng,2013,-3.893333297,5.183333327,0.236275708
2012,10,17,C,15,ng,2013,-3.696666752,4.391666691,0.235796744
2012,10,18,C,15,ng,2013,-1.166666692,4.658333302,0.236000444
2012,10,19,C,15,ng,2013,-2.624999985,4.65,0.236202478
2012,10,20,C,15,ng,2013,-0.856666644,4.779166698,0.237936935
2012,10,21,C,15,ng,2013,-0.798333257,5.387499988,0.238586187
2012,10,22,C,15,ng,2013,-2.841666616,4.195833286,0.237851041
2012,10,23,C,15,ng,2013,-3.230000024,4.016666671,0.237692532
2012,10,24,C,15,ng,2013,-4.363333403,3.300000012,0.237100512
2012,10,25,C,15,ng,2013,-4.120000054,2.549999977,0.236580125
2012,10,26,C,15,ng,2013,-3.806666697,2.966666629,0.236926737
2012,10,27,C,15,ng,2013,-3.901666726,3.066666688,0.236926322
2012,10,28,C,15,ng,2013,-3.081666643,3.262500018,0.237042076
2012,10,29,C,15,ng,2013,-3.726666634,3.212500001,0.236984657
2012,10,30,C,15,ng,2013,-5.670000025,2.824999993,0.236709468
2012,10,31,C,15,ng,2013,-5.62999999,2.266666666,0.236057475
2012,11,1,C,15,ng,2013,-6.43833333,1.870833342,0.235855168
2012,11,2,C,15,ng,2013,-9.753333331,0.908333336,0.234416137
2012,11,3,C,15,ng,2013,-11.17166667,0.470833337,0.221495615
2012,11,4,C,15,ng,2013,-7.291666704,0.416666671,0.213097064
2012,11,5,C,15,ng,2013,-6.713333371,0.520833347,0.222161856
2012,11,6,C,15,ng,2013,-5.216666708,0.616666685,0.231123685
2012,11,7,C,15,ng,2013,-5.490000052,0.720833344,0.233468453
2012,11,8,C,15,ng,2013,-7.806666682,0.591666677,0.227964402
2012,11,9,C,15,ng,2013,-3.113333328,0.641666676,0.22987849
2012,11,10,C,15,ng,2013,-8.575000058,0.566666675,0.223740231
2012,11,11,C,15,ng,2013,-8.264999951,0.404166673,0.204443163
2012,11,12,C,15,ng,2013,-7.519999919,0.404166669,0.200017874
2012,11,13,C,15,ng,2013,-5.593333463,0.391666669,0.196987435
2012,11,14,C,15,ng,2013,-6.571666688,0.416666669,0.199653897
