YEAR,JD,Plot, Air 15 cm,7.5cm,Air_SD,7.5_SD
2004,321,1,13.033,12.768,0.00917,0.00499
2004,321,2,13.06,13.327,0.01136,0.00504
2004,321,3,13.05,13.448,0.00936,0.00563
2004,321,4,13.255,13.487,0.01132,0.00453
2004,321,5,-99999,-99999,0,0
2004,321,6,13.026,12.831,0.00985,0.00514
2004,321,7,-99999,13.383,0,0.00491
2004,321,8,13.091,13.07,0.00626,0.01336
2004,321,9,13.095,12.985,0.00918,0.00455
2004,321,10,13.083,13.067,0.01055,0.00504
2004,321,11,13.104,12.766,0.01556,0.00534
2004,321,12,13.039,13.045,0.00501,0.00473
2004,321,13,13.078,13.429,0.01435,0.00469
2004,321,14,13.084,12.82,0.01863,0.00481
2004,321,15,12.841,13.033,0.00507,0.01335
2004,321,16,13.068,12.851,0.01336,0.00434
2004,321,17,13.093,-99999,0.01239,0
2004,321,18,13.042,13.056,0.00607,0.0041
2004,321,19,13.057,12.678,0.01296,0.00463
2004,321,20,12.995,13.022,0.01387,0.00572
2004,321,1,13.094,12.774,0.0294,0.00465
2004,321,2,13.119,13.332,0.02975,0.00815
2004,321,3,13.1,13.454,0.02771,0.01064
2004,321,4,13.315,13.489,0.03676,0.00752
2004,321,5,-99999,-99999,0,0
2004,321,6,13.055,12.838,0.01494,0.0051
2004,321,7,-99999,13.39,0,0.00621
2004,321,8,13.11,13.118,0.00793,0.02039
2004,321,9,13.133,12.989,0.01944,0.00439
2004,321,10,13.119,13.075,0.02158,0.00513
2004,321,11,13.151,12.778,0.01732,0.00475
2004,321,12,13.045,13.051,0.01192,0.00569
2004,321,13,13.131,13.435,0.01855,0.00446
2004,321,14,13.128,12.828,0.02486,0.00492
2004,321,15,12.853,13.076,0.00532,0.02143
2004,321,16,13.097,12.859,0.01264,0.0046
2004,321,17,13.144,-99999,0.02553,0
2004,321,18,13.087,13.066,0.0289,0.0066
2004,321,19,13.118,12.688,0.03177,0.00466
2004,321,20,13.07,13.028,0.03684,0.00719
2004,321,1,13.195,12.781,0.04202,0.00478
2004,321,2,13.226,13.342,0.03186,0.00528
2004,321,3,13.19,13.465,0.02428,0.0053
2004,321,4,13.408,13.498,0.01749,0.00465
2004,321,5,-99999,-99999,0,0
2004,321,6,13.11,12.846,0.01766,0.0049
2004,321,7,-99999,13.401,0,0.00449
2004,321,8,13.134,13.19,0.00973,0.026
2004,321,9,13.217,12.994,0.02595,0.00417
2004,321,10,13.195,13.087,0.02742,0.00529
2004,321,11,13.214,12.787,0.01641,0.0048
2004,321,12,13.057,13.059,0.00519,0.00468
2004,321,13,13.193,13.439,0.02175,0.00435
2004,321,14,13.215,12.834,0.03412,0.00399
2004,321,15,12.863,13.138,0.00494,0.01742
2004,321,16,13.175,12.865,0.02841,0.00454
2004,321,17,13.225,-99999,0.02708,0
2004,321,18,13.168,13.075,0.02252,0.00435
2004,321,19,13.2,12.696,0.01976,0.00529
2004,321,20,13.151,13.038,0.01797,0.00642
