JULIAN DAY,TIME,Plot,air,7.5
70,15,1,15.145,14.097
70,15,2,6.3162,8.4526
70,15,3,17.184999,13.712
70,15,4,-99999,8.5436
70,15,5,-99999,12.988
70,15,6,5.6394,8.349
70,15,7,-99999,13.105
70,15,8,7.1614,3.9425
70,15,9,16.93,12.296
70,15,10,7.5759,8.3381
70,15,11,6.9406,7.5172
70,15,12,13.472,11.822
70,15,13,15.892,11.51
70,15,14,7.7075,8.1455
70,15,15,12.839,14.714
70,15,16,5.7258,8.132
70,15,17,-99999,-99999
70,15,18,5.0643,8.3346
70,15,19,13.924,13.202
70,15,20,5.3993,8.0147
70,30,1,15.214,14.081
70,30,2,6.2632,8.4098
70,30,3,15.826,13.695
70,30,4,-99999,8.5273
70,30,5,-99999,12.968
70,30,6,5.2262,8.3072
70,30,7,-99999,13.086
70,30,8,6.9065,3.534
70,30,9,16.287001,12.296
70,30,10,7.4122,8.2889
70,30,11,6.7647,7.3911
70,30,12,13.447,11.826
70,30,13,15.848,11.519
70,30,14,7.5143,8.0991
70,30,15,12.826,14.584
70,30,16,5.4762,8.0838
70,30,17,-99999,-99999
70,30,18,4.4704,8.3127
70,30,19,13.846,13.183
70,30,20,5.052,7.9707
70,45,1,15.248,14.063
70,45,2,6.6444,8.3538
70,45,3,17.153,13.678
70,45,4,-99999,8.507
70,45,5,-99999,12.943
70,45,6,6.0825,8.2583
70,45,7,-99999,13.06
70,45,8,7.0459,4.9337
70,45,9,17.978001,12.261
70,45,10,7.4372,8.233
70,45,11,6.8459,7.3068
70,45,12,13.416,11.825
70,45,13,15.887,11.525
70,45,14,7.4154,8.0438
70,45,15,12.776,14.652
70,45,16,6.0684,8.0327
70,45,17,-99999,-99999
70,45,18,5.3972,8.2859
70,45,19,13.983,13.156
70,45,20,5.9337,7.9262
70,100,1,15.238,14.067
70,100,2,6.2805,8.3041
70,100,3,16.774,13.662
70,100,4,-99999,8.4864
70,100,5,-99999,12.917
70,100,6,5.6534,8.2126
70,100,7,-99999,13.047
70,100,8,6.9774,3.9258
70,100,9,16.997999,12.229
70,100,10,7.3618,8.1815
70,100,11,6.6804,7.2552
70,100,12,13.386,11.825
70,100,13,15.914,11.529
70,100,14,7.3337,7.994
70,100,15,12.812,14.524
70,100,16,5.5061,7.9867
70,100,17,-99999,-99999
70,100,18,4.6522,8.257
70,100,19,13.925,13.13
70,100,20,5.2718,7.8855
70,115,1,14.975,14.037
70,115,2,4.9339,8.265
70,115,3,13.93,13.648
70,115,4,-99999,8.4648
70,115,5,-99999,12.902
70,115,6,3.3607,8.1704
70,115,7,-99999,13.028
70,115,8,6.2594,0.327
70,115,9,14.177,12.24
70,115,10,6.9703,8.1283
70,115,11,6.1041,7.1322
70,115,12,13.359,11.829
70,115,13,15.584,11.538
70,115,14,7.0914,7.948
70,115,15,12.702,14.156
70,115,16,3.2727,7.9371
70,115,17,-99999,-99999
70,115,18,1.8924,8.2283
70,115,19,13.446,13.109
70,115,20,2.7657,7.8464
70,130,1,15.046,14.015
70,130,2,6.0088,8.2084
70,130,3,16.719,13.632
70,130,4,-99999,8.4412
70,130,5,-99999,12.883
70,130,6,5.14,8.1168
70,130,7,-99999,12.987
70,130,8,6.4922,4.0099
70,130,9,17.384001,12.212
70,130,10,7.0259,8.0665
70,130,11,6.3242,7.0092
70,130,12,13.326,11.828
70,130,13,15.461,11.545
70,130,14,6.935,7.887
70,130,15,12.584,14.143
70,130,16,5.2468,7.8745
70,130,17,-99999,-99999
70,130,18,4.1785,8.1982
70,130,19,13.657,13.082
70,130,20,5.0988,7.7999
70,145,1,15.212,13.996
70,145,2,6.8276,8.1394
70,145,3,17.952,13.61
70,145,4,-99999,8.4136
70,145,5,-99999,12.843
70,145,6,6.669,8.0609
70,145,7,-99999,12.957
70,145,8,6.9942,5.8501
70,145,9,19.219,12.117
70,145,10,7.271,8.0046
70,145,11,6.6153,7.0248
70,145,12,13.289,11.819
70,145,13,15.753,11.544
70,145,14,7.029,7.8237
70,145,15,12.643,14.277
70,145,16,6.351,7.8262
70,145,17,-99999,-99999
70,145,18,5.7885,8.1651
70,145,19,14.009,13.037
70,145,20,6.3489,7.7518
70,200,1,15.247,13.989
70,200,2,6.8164,8.0957
70,200,3,18.948999,13.593
70,200,4,-99999,8.3882
70,200,5,-99999,12.81
70,200,6,7.2292,8.0222
70,200,7,-99999,12.953
70,200,8,7.2653,6.4732
70,200,9,19.579,12.069
70,200,10,7.391,7.9686
70,200,11,6.7109,7.0634
70,200,12,13.263,11.815
70,200,13,16.018,11.544
70,200,14,7.1338,7.787
70,200,15,12.727,14.607
70,200,16,6.8938,7.799
70,200,17,-99999,-99999
70,200,18,6.3466,8.1325
70,200,19,14.172,13.005
70,200,20,6.7918,7.7209
70,215,1,15.395,14.023
70,215,2,6.7691,8.0719
70,215,3,19.406,13.586
70,215,4,-99999,8.3669
70,215,5,-99999,12.794
70,215,6,7.4008,7.9981
70,215,7,-99999,12.965
70,215,8,7.3534,6.8651
70,215,9,18.801001,12.052
70,215,10,7.4553,7.9503
70,215,11,6.7621,7.1003
70,215,12,13.249,11.814
70,215,13,16.136,11.545
70,215,14,7.2203,7.7654
70,215,15,12.857,14.908
70,215,16,7.3814,7.7865
70,215,17,-99999,-99999
70,215,18,6.9304,8.1053
70,215,19,14.372,12.989
70,215,20,7.0114,7.703
70,230,1,15.556,14.073
70,230,2,6.7663,8.0623
70,230,3,20.566999,13.587
70,230,4,-99999,8.3485
70,230,5,-99999,12.794
70,230,6,7.71,7.9854
70,230,7,-99999,12.989
70,230,8,7.513,7.3418
70,230,9,19.839001,12.047
70,230,10,7.5254,7.9443
70,230,11,6.8459,7.1379
70,230,12,13.247,11.814
70,230,13,16.245001,11.549
70,230,14,7.2941,7.7557
70,230,15,12.975,15.115
70,230,16,7.652,7.7821
70,230,17,-99999,-99999
70,230,18,7.4028,8.0846
70,230,19,14.406,12.977
70,230,20,7.3257,7.6942
70,245,1,15.604,14.103
70,245,2,6.8288,8.0605
70,245,3,20.702999,13.593
70,245,4,-99999,8.3336
70,245,5,-99999,12.804
70,245,6,7.9116,7.9768
70,245,7,-99999,13.016
70,245,8,7.6387,7.5609
70,245,9,20.386999,12.058
70,245,10,7.5712,7.9441
70,245,11,6.9224,7.1714
70,245,12,13.245,11.814
70,245,13,16.43,11.553
70,245,14,7.3667,7.7556
70,245,15,13.085,15.132
