BACE spring 2012 tree phenology,,,,,,,,,,,
Plot,TP,loc,Tr_id,species,1st bud break,">= 3 buds
 broken",1st leaf unfolded,">= 3 leaves
unfolded","full leaf
expansion",dead?,comments
26,S,2,6702,U. americana,93,107,111,111,115,,
26,S,3,6703,U. americana,100,.,107,109,111,,
26,S,4,6502,P. serotina,xxx,xxx,xxx,xxx,xxx,y,
26,S,5,6102,B. popul,93,100,107,107,115,,
26,S,6,6302,P. grand,121,.,127,132,137,,healthy bud near top and half way up
26,S,7,6503,P. serotina,xxx,xxx,xxx,xxx,xxx,y,
26,S,8,6103,B. popul,88,93,104,107,111,,
27,N,1,6505,P. serotina,xxx,xxx,xxx,xxx,xxx,y,
27,N,2,6105,B. popul,xxx,xxx,xxx,xxx,xxx,y,
27,N,3,6305,P. grand,xxx,xxx,xxx,xxx,xxx,y,gone
27,N,4,6104,B. popul,xxx,xxx,xxx,xxx,xxx,y,gone
27,N,5,6304,P. grand,xxx,xxx,xxx,xxx,xxx,y,gone
27,N,6,6504,P. serotina,xxx,xxx,xxx,xxx,xxx,y,
27,N,7,6705,U. americana,.,<100,100,102,102,,
27,N,8,6704,U. americana,93,100,107,107,115,,
27,S,1,6307,P. grand,xxx,xxx,xxx,xxx,xxx,y,gone
27,S,2,6707,U. americana,107,107,111,111,117,,
27,S,3,6106,B. popul,100,107,109,111,124,,
27,S,4,6506,P. serotina,93,.,100,111,107,,
27,S,5,6706,U. americana,107,.,115,115,117,,sprout at base
27,S,6,6107,B. popul,xxx,xxx,xxx,xxx,xxx,y,
27,S,7,6306,P. grand,xxx,xxx,xxx,xxx,xxx,y,gone
27,S,8,6507,P. serotina,xxx,xxx,xxx,xxx,xxx,y,
28,N,1,6108,B. popul,xxx,xxx,xxx,xxx,xxx,y,
28,N,2,6109,B. popul,93,93,93,102,124,,
28,N,3,6509,P. serotina,xxx,xxx,xxx,xxx,xxx,y,
28,N,4,6708,U. americana,102,.,.,107,107,,
28,N,5,6508,P. serotina,88,.,88,93,107,,
28,N,6,6308,P. grand,xxx,xxx,xxx,xxx,xxx,y,gone
28,N,7,6309,P. grand,xxx,xxx,xxx,xxx,xxx,y,gone
28,N,8,6709,U. americana,100,111,.,107,111,,
28,S,1,6511,P. serotina,xxx,xxx,xxx,xxx,xxx,y,gone
28,S,2,6310,P. grand,xxx,xxx,xxx,xxx,xxx,y,
28,S,3,6311,P. grand,xxx,xxx,xxx,xxx,xxx,y,
28,S,4,6111,B. popul,xxx,xxx,xxx,xxx,xxx,y,
28,S,5,6711,U. americana,.,93,93,100,102,,
28,S,6,6158,B. popul,xxx,xxx,xxx,xxx,xxx,y,
28,S,7,6510,P. serotina,xxx,xxx,xxx,xxx,xxx,y,gone
28,S,8,6710,U. americana,93,.,104,107,111,,
29,N,1,6513,P. serotina,xxx,xxx,xxx,xxx,xxx,y,
29,N,2,6712,U. americana,107,109,111,111,121,,
29,N,3,6512,P. serotina,xxx,xxx,xxx,xxx,xxx,y,gone
29,N,4,6312,P. grand,xxx,xxx,xxx,xxx,xxx,y,gone
29,N,5,6112,B. popul,xxx,xxx,xxx,xxx,xxx,y,chewed below ground
29,N,6,6371,P. grand,xxx,xxx,xxx,xxx,xxx,y,gone
29,N,7,6713,U. americana,107,107,107,107,115,,
29,N,8,6113,B. popul,xxx,xxx,xxx,xxx,xxx,y,
29,S,1,6115,B. popul,xxx,xxx,xxx,xxx,xxx,y,gone
29,S,2,6715,U. americana,xxx,xxx,xxx,xxx,xxx,y,gone
29,S,4,6714,U. americana,102,.,111,111,111,,
29,S,5,6514,P. serotina,xxx,xxx,xxx,xxx,xxx,y,gone
29,S,6,6515,P. serotina,83,83,83,.,93,,
29,S,7,6114,B. popul,xxx,xxx,xxx,xxx,xxx,y,gone
29,S,8,6314,P. grand,xxx,xxx,xxx,xxx,xxx,y,
29,S,-,6361,P. grand,xxx,xxx,xxx,xxx,xxx,y,gone
30,N,1,6516,P. serotina,.,93,93,100,107,,
30,N,2,6117,B. popul,xxx,xxx,xxx,xxx,xxx,y,
30,N,3,6717,U. americana,86,93,102,107,111,,
30,N,4,6716,U. americana,104,.,.,107,111,,
30,N,5,6517,P. serotina,88,.,88,93,95,,
30,N,6,6316,P. grand,xxx,xxx,xxx,xxx,xxx,y,
30,N,7,6317,P. grand,xxx,xxx,xxx,xxx,xxx,y,
30,N,8,6116,B. popul,xxx,xxx,xxx,xxx,xxx,y,
30,S,1,6318,P. grand,xxx,xxx,xxx,xxx,xxx,y,
30,S,2,6719,U. americana,100,107,107,109,115,,
30,S,3,6519,P. serotina,83,.,83,93,100,,
30,S,4,6119,B. popul,.,.,.,.,152,,152- missed all the phenology.  Resprout.
30,S,5,6118,B. popul,88,88,100,104,107,,
30,S,6,6518,P. serotina,xxx,xxx,xxx,xxx,xxx,y,
30,S,7,6319,P. grand,xxx,xxx,xxx,xxx,xxx,y,
30,S,8,6718,U. americana,.,.,.,152,156,,Day 152- missed all the phenology- resprout
31,N,1,6721,U. americana,.,.,.,.,152,,Day 152- missed all the phenology- resprout
31,N,2,6560,P. serotina,xxx,xxx,xxx,xxx,xxx,y,gone
31,N,3,6121,B. popul,88,88,.,107,115,,
31,N,4,6120,B. popul,.,107,107,109,111,,
31,N,5,6521,P. serotina,xxx,xxx,xxx,xxx,xxx,y,gone
31,N,6,6362,P. grand,xxx,xxx,xxx,xxx,xxx,y,gone
31,N,7,6320,P. grand,xxx,xxx,xxx,xxx,xxx,y,gone
31,N,8,6720,U. americana,93,100,.,107,109,,
31,S,1,6122,B. popul,.,.,.,.,152,,single sprout near top- missed phenology.
31,S,2,6323,P. grand,xxx,xxx,xxx,xxx,xxx,y,
31,S,3,6322,P. grand,xxx,xxx,xxx,xxx,xxx,y,gone
31,S,4,6723,U. americana,107,107,109,109,117,,
31,S,5,6123,B. popul,86,86,93,95,107,,
31,S,6,6522,P. serotina,xxx,xxx,xxx,xxx,xxx,y,gone
31,S,7,6722,U. americana,107,111,109,109,121,,
31,S,8,6523,P. serotina,<100,.,100,104,107,,resprout at base
32,N,1,6725,U. americana,100,111,111,111,115,,
32,N,2,6325,P. grand,xxx,xxx,xxx,xxx,xxx,y,gone
32,N,3,6124,B. popul,88,100,.,107,117,,
32,N,4,6125,B. popul,88,88,.,107,109,,
32,N,5,6372,P. grand,xxx,xxx,xxx,xxx,xxx,y,gone
32,N,6,6724,U. americana,107,109,111,111,124,,
32,N,7,6525,P. serotina,93,.,93,102,111,,
32,N,8,6524,P. serotina,.,93,100,102,107,,
32,S,1,6527,P. serotina,88,.,93,100,107,,
32,S,2,6526,P. serotina,xxx,xxx,xxx,xxx,xxx,y,gone
32,S,3,6726,U. americana,107,.,117,117,121,,"buds at base, chewed down"
32,S,4,6126,B. popul,.,109,115,115,121,,"buds at base, chewed down"
32,S,5,6327,P. grand,xxx,xxx,xxx,xxx,xxx,y,
32,S,6,6127,B. popul,107,109,107,109,117,,
32,S,7,6326,P. grand,<117,.,117,117,124,,resprout from base
32,S,8,6727,U. americana,107,107,109,109,117,,
33,N,1,6529,P. serotina,93,100,107,109,115,,
33,N,2,6329,P. grand,xxx,xxx,xxx,xxx,xxx,y,gone
33,N,3,6528,P. serotina,93,100,107,107,117,,
33,N,4,6129,B. popul,xxx,xxx,xxx,xxx,xxx,y,
33,N,5,6128,B. popul,xxx,xxx,xxx,xxx,xxx,y,
33,N,6,6328,P. grand,xxx,xxx,xxx,xxx,xxx,y,
33,N,7,6728,U. americana,93,100,107,107,111,,
33,N,8,6729,U. americana,111,111,115,115,124,,
33,S,1,6331,P. grand,xxx,xxx,xxx,xxx,xxx,y,gone
33,S,2,6530,P. serotina,xxx,xxx,xxx,xxx,xxx,y,gone
33,S,3,6730,U. americana,109,109,111,111,121,,
33,S,4,6531,P. serotina,xxx,xxx,xxx,xxx,xxx,y,
33,S,5,6731,U. americana,100,107,107,111,115,,
33,S,6,6330,P. grand,xxx,xxx,xxx,xxx,xxx,y,gone
33,S,7,6131,B. popul,xxx,xxx,xxx,xxx,xxx,y,
33,S,8,6130,B. popul,xxx,xxx,xxx,xxx,xxx,y,gone
34,N,1,6333,P. grand,xxx,xxx,xxx,xxx,xxx,y,gone
34,N,2,6132,B. popul,xxx,xxx,xxx,xxx,xxx,y,
34,N,3,6733,U. americana,100,107,107,111,115,,resprout
34,N,4,6133,B. popul,xxx,xxx,xxx,xxx,xxx,y,
34,N,5,6533,P. serotina,xxx,xxx,xxx,xxx,xxx,y,
34,N,6,6732,U. americana,115,117,115,115,124,,resprout
34,N,7,6532,P. serotina,xxx,xxx,xxx,xxx,xxx,y,
34,N,8,6332,P. grand,xxx,xxx,xxx,xxx,xxx,y,dried
34,S,1,6135,B. popul,xxx,xxx,xxx,xxx,xxx,y,
34,S,2,6334,P. grand,xxx,xxx,xxx,xxx,xxx,y,
34,S,3,6734,U. americana,100,.,107,115,115,,tiny near base (top of old chewed off)
34,S,4,6535,P. serotina,xxx,xxx,xxx,xxx,xxx,y,
34,S,5,6335,P. grand,xxx,xxx,xxx,xxx,xxx,y,
34,S,6,6534,P. serotina,xxx,xxx,xxx,xxx,xxx,y,
34,S,7,6735,U. americana,107,115,109,111,121,,
34,S,8,6134,B. popul,xxx,xxx,xxx,xxx,xxx,y,
35,N,1,6136,B. popul,xxx,xxx,xxx,xxx,xxx,y,
35,N,2,6736,U. americana,107,115,109,109,115,,
35,N,3,6137,B. popul,xxx,xxx,xxx,xxx,xxx,y,
35,N,4,6337,P. grand,xxx,xxx,xxx,xxx,xxx,y,
35,N,5,6737,U. americana,88,93,95,100,107,,
35,N,6,6536,P. serotina,xxx,xxx,xxx,xxx,xxx,y,
35,N,7,6537,P. serotina,86,86,86,86,93,,
35,N,8,6336,P. grand,xxx,xxx,xxx,xxx,xxx,y,gone
35,S,1,6738,U. americana,93,104,.,100,107,,lots of tiny resprouts from base
35,S,2,6538,P. serotina,xxx,xxx,xxx,xxx,xxx,y,
35,S,3,6139,B. popul,xxx,xxx,xxx,xxx,xxx,y,
35,S,4,6739,U. americana,<100,104,100,102,107,,lots of tiny resprouts from base
35,S,5,6138,B. popul,xxx,xxx,xxx,xxx,xxx,y,
35,S,6,6338,P. grand,xxx,xxx,xxx,xxx,xxx,y,gone
35,S,7,6539,P. serotina,xxx,xxx,xxx,xxx,xxx,y,
35,S,8,6339,P. grand,xxx,xxx,xxx,xxx,xxx,y,gone
36,N,1,6340,P. grand,xxx,xxx,xxx,xxx,xxx,y,gone
36,N,2,6540,P. serotina,xxx,xxx,xxx,xxx,xxx,y,gone
36,N,3,6541,P. serotina,xxx,xxx,xxx,xxx,xxx,y,gone
36,N,4,6141,B. popul,xxx,xxx,xxx,xxx,xxx,y,
36,N,5,6140,B. popul,xxx,xxx,xxx,xxx,xxx,y,eaten
36,N,6,6741,U. americana,xxx,xxx,xxx,xxx,xxx,y,(14 Jan 2013- One of the elms is alive- CEG)
36,N,7,6740,U. americana,xxx,xxx,xxx,xxx,xxx,y,(14 Jan 2013- One of the elms is alive- CEG)
36,N,8,6341,P. grand,xxx,xxx,xxx,xxx,xxx,y,gone
36,S,1,6342,P. grand,xxx,xxx,xxx,xxx,xxx,y,gone
36,S,2,6743,U. americana,83,.,88,93,100,,
36,S,3,6142,B. popul,xxx,xxx,xxx,xxx,xxx,y,
36,S,4,6742,U. americana,xxx,xxx,xxx,xxx,xxx,y,
36,S,5,6343,P. grand,xxx,xxx,xxx,xxx,xxx,y,gone
36,S,6,6543,P. serotina,xxx,xxx,xxx,xxx,xxx,y,gone
36,S,7,6542,P. serotina,xxx,xxx,xxx,xxx,xxx,y,gone
36,S,8,6143,B. popul,xxx,xxx,xxx,xxx,xxx,y,gone
40,N,1,6744,U. americana,104,107,109,111,127,,
40,N,2,6344,P. grand,xxx,xxx,xxx,xxx,xxx,y,gone
40,N,3,6745,U. americana,115,115,115,121,127,,
40,N,4,6145,B. popul,93,100,107,107,109,,
40,N,5,6545,P. serotina,93,100,104,107,109,,
40,N,6,6544,P. serotina,88,93,107,109,109,,
40,N,7,6144,B. popul,117,.,117,.,124,,
40,N,8,6345,P. grand,115,.,117,121,137,,
40,S,1,6347,P. grand,111,.,117,121,135,,
40,S,2,6746,U. americana,xxx,xxx,xxx,xxx,xxx,y,gone
40,S,3,6546,P. serotina,xxx,xxx,xxx,xxx,xxx,y,gone
40,S,4,6547,P. serotina,xxx,xxx,xxx,xxx,xxx,y,
40,S,5,6147,B. popul,xxx,xxx,xxx,xxx,xxx,y,
40,S,6,6346,P. grand,135,.,135,135,146,,tiny resprout
40,S,7,6747,U. americana,xxx,xxx,xxx,xxx,xxx,y,gone
40,S,8,6146,B. popul,100,100,107,107,109,,
41,N,1,6749,U. americana,107,109,111,115,124,,
41,N,2,6348,P. grand,xxx,xxx,xxx,xxx,xxx,y,gone
41,N,3,6548,P. serotina,xxx,xxx,xxx,xxx,xxx,y,gone
41,N,4,6748,U. americana,107,107,109,111,121,,
41,N,5,6349,P. grand,117,117,127,127,135,,
41,N,6,6549,P. serotina,86,93,102,107,109,,
41,N,7,6148,B. popul,xxx,xxx,xxx,xxx,xxx,y,gone
41,N,8,6149,B. popul,xxx,xxx,xxx,xxx,xxx,y,eaten below ground
41,S,1,6351,P. grand,xxx,xxx,xxx,xxx,xxx,y,
41,S,2,6350,P. grand,xxx,xxx,xxx,xxx,xxx,y,
41,S,3,6150,B. popul,88,88,107,107,111,,
41,S,4,6751,U. americana,107,109,111,115,117,,
41,S,5,6750,U. americana,109,109,115,115,124,,
41,S,6,6151,B. popul,107,107,109,109,111,,
41,S,7,6550,P. serotina,83,93,100,107,109,,
41,S,8,6551,P. serotina,83,93,100,107,109,,
42,N,1,6153,B. popul,xxx,xxx,xxx,xxx,xxx,y,pulled up by frost?
42,N,2,6352,P. grand,xxx,xxx,xxx,xxx,xxx,y,
42,N,3,6752,U. americana,.,93,.,107,121,,
42,N,4,6553,P. serotina,86,93,104,109,115,,
42,N,5,6552,P. serotina,<83,83,86,86,104,,
42,N,6,6353,P. grand,xxx,xxx,xxx,xxx,xxx,y,
42,N,7,6753,U. americana,107,111,111,115,132,,
42,N,8,6152,B. popul,107,109,115,115,139,,
42,S,1,6154,B. popul,<100,107,107,107,115,,
42,S,2,6355,P. grand,xxx,xxx,xxx,xxx,xxx,y,
42,S,3,6354,P. grand,xxx,xxx,xxx,xxx,xxx,y,
42,S,4,6555,P. serotina,<107,.,107,117,124,,look at base- resprout
42,S,5,6554,P. serotina,xxx,xxx,xxx,xxx,xxx,y,
42,S,6,6754,U. americana,.,.,.,152,163,,tiny bud at base.  Rest is pretty chewed.
42,S,7,6755,U. americana,109,111,115,115,137,,
42,S,8,6162,B. popul,xxx,xxx,xxx,xxx,xxx,y,girdled
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
