BACE spring 2012 tree phenology,,,,,,,,,,,
Plot,TP,loc,Tr_id,species,1st bud break,">= 3 buds
 broken",1st leaf unfolded,">= 3 leaves
unfolded","full leaf
expansion",dead?,comments
6,S,2,6223,P. grand,xxx,xxx,xxx,xxx,xxx,y,day 93- notice aboveground (chewed down)
6,S,3,6022,B. popul,83,83,86,86,100,,
6,S,4,6423,P. serotina,xxx,xxx,xxx,xxx,xxx,y,
6,S,5,6623,U. americana,<102,102,102,102,111,,
6,S,6,6622,U. americana,107,107,109,109,115,,
6,S,7,6222,P. grand,xxx,xxx,xxx,xxx,xxx,y,
6,S,8,6023,B. popul,xxx,xxx,xxx,xxx,xxx,y,gone
7,N,1,6356,P. grand,xxx,xxx,xxx,xxx,xxx,y,gone
7,N,2,6024,B. popul,86,86,86,100,107,,
7,N,3,6624,U. americana,107,109,109,111,121,,
7,N,4,6425,P. serotina,xxx,xxx,xxx,xxx,xxx,y,gone
7,N,5,6625,U. americana,107,107,109,109,117,,
7,N,6,6025,B. popul,86,86,100,104,109,,
7,N,7,6225,P. grand,xxx,xxx,xxx,xxx,xxx,y,gone
7,N,8,6424,P. serotina,107,107,109,109,115,,
7,S,1,6227,P. grand,<117,.,117,117,121,,tiny resprout
7,S,2,6627,U. americana,115,115,117,121,130,,
7,S,3,6556,P. serotina,xxx,xxx,xxx,xxx,xxx,y,gone
7,S,4,6027,B. popul,83,86,86,86,107,,
7,S,5,6426,P. serotina,93,.,.,100,107,,tiny resprout near base
7,S,6,6226,P. grand,111,115,115,115,124,,
7,S,7,6626,U. americana,107,107,109,109,115,,
7,S,8,6026,B. popul,83,86,86,88,107,,
8,N,1,6228,P. grand,xxx,xxx,xxx,xxx,xxx,y,gone
8,N,2,6428,P. serotina,86,.,86,100,107,,
8,N,3,6157,B. popul,93,95,.,107,109,,
8,N,4,6229,P. grand,121,.,124,130,139,,tiny resprout near base
8,N,5,6029,B. popul,86,86,95,100,107,,
8,N,6,6629,U. americana,107,107,109,109,117,,
8,N,7,6429,P. serotina,104,.,107,111,111,,resprout from base
8,N,8,6628,U. americana,117,.,124,130,135,,bud resprout near base
8,S,1,6230,P. grand,xxx,xxx,xxx,xxx,xxx,y,gone
8,S,2,6431,P. serotina,xxx,xxx,xxx,xxx,xxx,y,gone
8,S,3,6630,U. americana,<107,.,107,111,115,,
8,S,4,6031,B. popul,107,109,109,109,127,,
8,S,5,6559,P. serotina,xxx,xxx,xxx,xxx,xxx,y,gone
8,S,6,6631,U. americana,107,109,111,111,115,,
8,S,7,6030,B. popul,107,107,107,109,124,,
