year,month,doy,plot #,warming treatment,precip treatment,avg temp,min temp,max temp
2013,January,1,1,0,0,-1.833814,-10.973519,1.763787
2013,January,1,4,3,0,-1.437518,-10.016514,2.219218
2013,January,1,5,3,1,-0.112518,-10.064632,3.829308
2013,January,1,8,0,1,-2.820901,-13.885534,1.411844
2013,January,1,9,3,2,-2.689724,-13.363411,1.254311
2013,January,1,12,0,2,-4.357845,-15.738266,0.193171
2013,January,1,13,3,1,-3.056477,-14.635084,1.123057
2013,January,1,16,0,1,-3.073496,-14.083658,1.099445
2013,January,1,17,0,2,-1.721413,-13.461820,2.633153
2013,January,1,20,3,2,1.534847,-7.372738,6.174567
2013,January,1,21,3,0,-1.665333,-10.382513,2.101922
2013,January,1,24,0,0,-2.196195,-10.793160,1.751929
2013,January,1,25,0,2,-3.171868,-14.535253,1.011699
2013,January,1,28,3,2,-2.875722,-13.810101,1.213154
2013,January,1,29,3,1,-3.194845,-14.377795,1.165934
2013,January,1,32,0,1,-1.820466,-11.977050,2.275758
2013,January,1,33,0,0,-2.152799,-11.575553,1.484105
2013,January,1,36,3,0,-1.777426,-10.363388,2.038573
2013,January,2,1,0,0,-11.830816,-13.258116,-7.840988
2013,January,2,4,3,0,-11.059189,-12.324735,-7.261775
2013,January,2,5,3,1,-11.436627,-12.660329,-7.832156
2013,January,2,8,0,1,-15.053876,-16.359825,-10.133188
2013,January,2,9,3,2,-14.518125,-15.781523,-9.689762
2013,January,2,12,0,2,-16.582702,-17.667677,-11.580168
2013,January,2,13,3,1,-15.689215,-17.144229,-10.488991
2013,January,2,16,0,1,-15.270855,-17.048470,-10.352093
2013,January,2,17,0,2,-14.623215,-15.967927,-9.558611
2013,January,2,20,3,2,-9.284788,-10.572465,-5.559776
2013,January,2,21,3,0,-11.367033,-12.311557,-7.942006
2013,January,2,24,0,0,-11.671214,-12.611162,-7.609642
2013,January,2,25,0,2,-15.453723,-17.264407,-9.644414
2013,January,2,28,3,2,-14.994840,-16.499506,-9.953884
2013,January,2,29,3,1,-15.442988,-16.906577,-10.545566
2013,January,2,32,0,1,-12.924375,-14.357227,-8.381156
2013,January,2,33,0,0,-12.648322,-13.769223,-8.557649
2013,January,2,36,3,0,-11.257062,-12.302891,-6.852254
2013,March,81,1,0,0,1.513530,-1.596751,4.717261
2013,March,81,4,3,0,4.647394,-0.035905,10.390491
2013,March,81,5,3,1,6.993550,1.311266,16.672910
2013,March,81,8,0,1,0.940657,-3.332768,4.225718
2013,March,81,9,3,2,4.846626,-0.403777,14.322538
2013,March,81,12,0,2,-0.605089,-5.020951,2.158775
2013,March,81,13,3,1,2.143388,-1.637882,4.289143
2013,March,81,16,0,1,0.222964,-4.113777,3.381007
2013,March,81,17,0,2,2.048241,-2.293347,5.443069
2013,March,81,20,3,2,6.123593,2.010925,10.259435
2013,March,81,21,3,0,8.371566,0.052136,20.237838
2013,March,81,24,0,0,3.210632,-1.525125,12.175098
2013,March,81,25,0,2,0.044408,-4.259104,3.307261
2013,March,81,28,3,2,6.714502,0.590104,20.444165
2013,March,81,29,3,1,6.356144,1.676645,16.745126
2013,March,81,32,0,1,1.685677,-2.008106,5.023960
2013,March,81,33,0,0,1.676948,-1.653217,5.175940
2013,March,81,36,3,0,5.731298,1.233352,16.776263
2013,March,82,1,0,0,2.703652,-2.345376,12.829751
2013,March,82,4,3,0,6.519153,1.239342,18.076088
2013,March,82,5,3,1,4.885227,-0.682039,14.768306
2013,March,82,8,0,1,-0.187372,-5.275031,4.301609
2013,March,82,9,3,2,3.193308,-2.817161,14.100016
2013,March,82,12,0,2,-1.837270,-6.957393,2.222802
2013,March,82,13,3,1,3.017400,-2.299333,11.122615
2013,March,82,16,0,1,-0.972892,-6.270152,3.414487
2013,March,82,17,0,2,0.875039,-4.229226,5.333579
2013,March,82,20,3,2,4.900142,-0.322862,9.956742
2013,March,82,21,3,0,4.341959,-1.413923,18.089542
2013,March,82,24,0,0,4.084988,-2.451201,21.732539
2013,March,82,25,0,2,-0.968225,-6.281535,3.404453
2013,March,82,28,3,2,4.312399,-2.152322,18.974837
2013,March,82,29,3,1,5.231383,-0.208575,16.477303
2013,March,82,32,0,1,0.724185,-4.317673,5.201915
2013,March,82,33,0,0,2.767997,-2.565486,14.295313
2013,March,82,36,3,0,6.946972,1.357652,20.259009
2013,March,83,1,0,0,6.790566,-1.851142,23.816833
2013,March,83,4,3,0,10.109527,1.864481,24.894557
2013,March,83,5,3,1,7.647197,-0.095914,20.039336
2013,March,83,8,0,1,1.778837,-4.201571,8.622663
2013,March,83,9,3,2,6.278661,-1.392399,19.509827
2013,March,83,12,0,2,0.228513,-5.480772,7.623806
2013,March,83,13,3,1,6.658950,-1.760413,20.962408
2013,March,83,16,0,1,0.817276,-5.732782,7.770629
2013,March,83,17,0,2,2.549318,-3.373060,8.750479
2013,March,83,20,3,2,7.106472,0.660262,14.752055
