BACE spring 2012 Tree Phenology,,,,,,,,,,,,,,
Plot,TP,loc,Tr_id,species,1st bud break,">= 3 buds
 broken",1st leaf unfolded,">= 3 leaves
unfolded","full leaf
expansion",dead?,Comments,,,
1,W,1,4201,A. rubrum,.,.,.,.,.,y,gone,,,
1,W,2,4601,Q. rubra,.,.,.,.,.,y,chewed to base,,,
1,W,3,4200,A. rubrum,.,.,.,.,.,y,chewed to base,,,
1,W,5,4600,Q. rubra,.,.,.,.,.,y,,,,
1,W,6,4001,B. lenta,.,.,.,.,.,y,,,,
1,W,8,4000,B. lenta,.,.,.,.,.,y,,,,
1,E,2,4603,Q. rubra,.,.,.,.,.,y,,,,
1,E,4,4202,A. rubrum,.,.,.,.,.,y,gone,,,
1,E,5,4003,B. lenta,.,.,.,.,.,y,,,,
1,E,6,4602,Q. rubra,121,.,127,127,139,,,,,
1,E,7,4002,B. lenta,121,.,127,127,132,,,,,
1,E,8,4203,A. rubrum,.,.,.,.,.,y,gone,,,
2,W,1,4004,B. lenta,.,.,.,.,.,y,,,,
2,W,2,4604,Q. rubra,.,.,.,.,.,y,,,,
2,W,4,4204,A. rubrum,.,.,.,.,.,y,eaten from below,,,
2,W,5,4205,A. rubrum,.,.,.,.,.,y,gone,,,
2,W,6,4605,Q. rubra,.,.,.,.,.,y,,,,
2,W,7,4005,B. lenta,.,.,.,.,.,y,,,,
2,E,2,4607,Q. rubra,.,.,.,.,.,y,,,,
2,E,3,4207,A. rubrum,.,.,.,.,.,y,gone,,,
2,E,4,4206,A. rubrum,.,.,.,.,.,y,gone,,,
2,E,5,4606,Q. rubra,.,.,.,.,.,y,gone,,,
2,E,7,4007,B. lenta,.,.,.,.,.,y,died from voles belowground,,,
2,E,8,4006,B. lenta,.,.,.,.,.,y,died from voles belowground,,,
3,W,1,4009,B. lenta,.,.,.,.,.,y,gone,,,
3,W,2,4608,Q. rubra,.,.,.,.,.,y,,,,
3,W,3,4609,Q. rubra,.,.,.,.,.,y,gone,,,
3,W,4,4208,A. rubrum,.,.,.,.,.,y,,,,
3,W,6,4209,A. rubrum,.,.,.,.,.,y,gone,,,
3,W,8,4008,B. lenta,.,.,.,.,.,y,dry,,,
3,E,1,4611,Q. rubra,.,.,.,.,.,y,died from voles belowground,,,
3,E,2,4211,A. rubrum,.,.,.,.,.,y,gone,,,
3,E,3,4010,B. lenta,.,.,.,.,.,y,died from voles belowground,,,
3,E,4,4610,Q. rubra,.,.,.,.,.,y,gone,,,
3,E,5,4210,A. rubrum,.,.,.,.,.,y,gone,,,
3,E,7,4011,B. lenta,.,.,.,.,.,y,uprooted,,,
4,W,1,4212,A. rubrum,.,.,.,.,.,y,gone,,,
4,W,2,4612,Q. rubra,.,.,.,.,.,y,eaten from below,,,
4,W,4,4213,A. rubrum,.,.,.,.,.,y,gone,,,
4,W,5,4013,B. lenta,.,.,.,.,.,y,dry,,,
4,W,6,4613,Q. rubra,.,.,.,.,.,y,died from voles belowground,,,
4,W,8,4012,B. lenta,.,.,.,.,.,y,dry and died from belowground activity,,,
4,E,3,4014,B. lenta,.,.,.,.,.,y,gone,,,
4,E,4,4214,A. rubrum,.,.,.,.,.,y,gone,,,
4,E,5,4614,Q. rubra,.,.,.,.,.,y,chewed off belowground and uprooted,,,
4,E,6,4769,Q. rubra,.,.,.,.,.,y,uprooted,,,
4,E,7,4015,B. lenta,.,.,.,.,.,y,uprooted,,,
4,E,8,4215,A. rubrum,.,.,.,.,.,y,gone,,,
5,W,1,4616,Q. rubra,115,121,115,117,127,,,,,
5,W,2,4617,Q. rubra,.,.,.,.,.,y,gone,,,
5,W,3,4016,B. lenta,121,.,.,.,.,,"dying from top? Old buds dried, new open 152, Day 150 bud may be drying",,,
5,W,4,4217,A. rubrum,121,121,124,127,132,,,,,
5,W,5,4216,A. rubrum,107,107,107,109,115,,,,,
5,W,7,4017,B. lenta,107,109,109,109,121,,,,,
5,E,1,4218,A. rubrum,.,.,.,.,.,y,,,,
5,E,3,4019,B. lenta,.,.,.,.,.,y,,,,
5,E,4,4618,Q. rubra,121,.,121,121,142,,Tiny stump with resprout,,,
5,E,5,4619,Q. rubra,.,.,.,.,.,y,,,,
5,E,7,4018,B. lenta,.,.,.,.,.,y,,,,
5,E,8,4219,A. rubrum,.,.,.,.,.,y,gone,,,
6,W,1,4221,A. rubrum,107,.,107,111,115,,,,,
6,W,3,4020,B. lenta,.,.,.,.,.,y,,,,
6,W,4,4021,B. lenta,102,107,109,109,115,,,,,
6,W,5,4620,Q. rubra,.,.,.,.,.,y,gone,,,
6,W,7,4220,A. rubrum,.,.,.,.,.,y,,,,
6,W,8,4770,Q. rubra,.,.,.,.,.,y,,,,
6,E,1,4223,A. rubrum,.,.,.,.,.,y,gone,,,
6,E,3,4623,Q. rubra,.,.,.,.,.,y,gone,,,
6,E,4,4023,B. lenta,115,117,121,121,132,,,,,
6,E,6,4022,B. lenta,107,107,111,115,117,,,,,
6,E,7,4622,Q. rubra,111,.,115,115,137,,,,,
6,E,8,4222,A. rubrum,109,109,111,111,124,,,,,
7,W,1,4225,A. rubrum,115,117,121,121,135,,,,,
7,W,2,4024,B. lenta,107,109,109,109,115,,,,,
7,W,3,4224,A. rubrum,107,109,109,115,124,,,,,
7,W,5,4624,Q. rubra,115,.,117,117,139,,,,,
7,W,6,4625,Q. rubra,115,.,115,115,127,,,,,
7,W,7,4025,B. lenta,107,109,115,115,121,,,,,
7,E,1,4226,A. rubrum,.,.,.,.,.,y,eaten,,,
7,E,3,4027,B. lenta,107,109,111,111,121,,,,,
7,E,4,4227,A. rubrum,.,.,.,.,.,y,,,,
7,E,5,4627,Q. rubra,121,.,.,152,165,,look for resprout at base.  Can't find it day 152. 165- eaten off (vole?) but leaves look mature,,,
7,E,7,4026,B. lenta,107,109,115,115,124,,sideways,,,
7,E,8,4626,Q. rubra,.,.,.,.,.,y,gone,,,
8,W,2,4228,A. rubrum,121,124,127,130,139,,,,,
8,W,4,4629,Q. rubra,.,.,.,.,.,y,gone,,,
8,W,5,4229,A. rubrum,.,.,.,.,.,y,gone,,,
8,W,6,4628,Q. rubra,111,115,115,115,127,,,,,
8,W,7,4028,B. lenta,107,107,109,109,121,,,,,
8,W,8,4029,B. lenta,107,107,111,111,124,,,,,
8,E,1,4230,A. rubrum,.,.,.,.,.,y,gone,,,
8,E,3,4030,B. lenta,107,107,109,109,117,,,,,
8,E,4,4031,B. lenta,107,107,109,109,117,,,,,
8,E,5,4630,Q. rubra,121,.,124,132,146,,resprout,,,
8,E,7,4631,Q. rubra,.,.,.,.,.,y,,,,
8,E,8,4231,A. rubrum,152,.,.,.,.,,resprout near base. Gone day 158,,,
9,W,1,4632,Q. rubra,111,111,111,111,121,,,,,
9,W,2,4233,A. rubrum,.,.,.,.,.,,,,,
9,W,3,4633,Q. rubra,107,.,109,109,121,,126-color is not that of normal leaves (purple) but are big + rigid like them. Color normal green <146,,,
9,W,4,4033,B. lenta,107,107,109,109,115,,,,,
9,W,6,4032,B. lenta,107,107,109,109,115,,,,,
9,W,7,4232,A. rubrum,.,.,.,.,.,y,gone,,,
9,E,1,4635,Q. rubra,109,111,109,109,124,,,,,
9,E,3,4234,A. rubrum,121,.,121,121,130,,resprout,,,
9,E,5,4035,B. lenta,107,107,109,109,115,,,,,
9,E,6,4634,Q. rubra,.,.,.,.,.,y,,,,
9,E,7,4034,B. lenta,107,107,111,111,130,,,,,
9,E,8,4235,A. rubrum,121,121,124,124,135,,,,,
10,W,1,4237,A. rubrum,109,115,111,115,121,,,,,
10,W,2,4037,B. lenta,107,109,111,115,121,,,,,
10,W,3,4636,Q. rubra,109,.,117,117,127,,,,,
10,W,5,4236,A. rubrum,121,.,124,.,135,,"tiny stump with resprout, 2 leaves day 135",,,
10,W,6,4637,Q. rubra,107,107,109,111,137,,,,,
10,W,7,4036,B. lenta,107,107,109,109,115,,,,,
10,E,1,4639,Q. rubra,117,117,127,127,142,,,,,
10,E,2,4238,A. rubrum,121,.,127,127,137,,,,,
10,E,3,4239,A. rubrum,.,.,.,.,.,y,tiny stump,,,
10,E,5,4638,Q. rubra,111,.,115,115,132,,,,,
10,E,7,4039,B. lenta,109,109,111,111,124,,,,,
10,E,8,4038,B. lenta,107,107,111,111,121,,,,,
11,W,2,4241,A. rubrum,.,.,.,.,.,y,gone,,,
11,W,3,4641,Q. rubra,.,.,.,.,.,y,gone,,,
11,W,4,4040,B. lenta,107,115,109,121,132,,,,,
11,W,5,4640,Q. rubra,.,.,.,.,.,y,stump (chewed),,,
11,W,7,4041,B. lenta,109,115,109,115,124,,,,,
11,W,8,4240,A. rubrum,.,.,.,.,.,y,gone,,,
11,E,1,4242,A. rubrum,107,.,111,121,142,,tiny sprout at base,,,
11,E,2,4042,B. lenta,107,107,111,111,117,,,,,
11,E,4,4243,A. rubrum,<111,.,11,.,121,,"tiny sprout at base, 1 leaf",,,
11,E,5,4043,B. lenta,107,109,115,115,124,,,,,
11,E,6,4642,Q. rubra,109,115,115,115,127,,,,,
11,E,8,4643,Q. rubra,115,.,117,117,142,,,,,
12,W,1,4244,A. rubrum,.,.,.,.,.,y,gone,,,
12,W,3,4644,Q. rubra,115,.,117,121,.,,"chewed down to stump, 124-resprout dying? -dry.",,,
12,W,4,4044,B. lenta,107,109,109,111,117,,,,,
12,W,6,4045,B. lenta,132,135,137,137,142,,,,,
12,W,7,4645,Q. rubra,117,127,121,135,.,,leaves dried and fell off 142. tiny bud may open again. Buds open 160.,,,
12,W,8,4245,A. rubrum,.,.,.,.,.,y,gone,,,
12,E,1,4046,B. lenta,107,109,109,109,121,,,,,
12,E,2,4646,Q. rubra,111,.,115,115,146,,127- many of leaves dying/drying. 146- looks fine,,,
12,E,4,4647,Q. rubra,111,115,115,117,132,,,,,
12,E,5,4246,A. rubrum,.,.,.,.,.,y,gone,,,
12,E,7,4247,A. rubrum,.,.,.,.,.,y,gone,,,
12,E,8,4047,B. lenta,109,109,115,115,124,,,,,
13,W,1,4249,A. rubrum,.,.,.,.,.,y,,,,
13,W,3,4648,Q. rubra,111,.,115,115,127,,,,,
13,W,4,4649,Q. rubra,.,.,.,.,.,y,,,,
13,W,5,4248,A. rubrum,.,.,.,.,.,y,,,,
13,W,6,4048,B. lenta,.,.,.,.,.,y,,,,
13,W,8,4049,B. lenta,.,.,.,.,.,y,,,,
13,E,1,4250,A. rubrum,.,.,.,.,.,y,gone,,,
13,E,2,4651,Q. rubra,121,132,130,132,139,,bud at base,,,
13,E,3,4251,A. rubrum,.,.,.,.,.,y,gone,,,
13,E,5,4050,B. lenta,.,.,.,.,.,y,,,,
13,E,6,4650,Q. rubra,.,.,.,.,.,y,,,,
13,E,7,4051,B. lenta,.,.,.,.,.,y,gone,,,
14,W,2,4653,Q. rubra,107,115,111,111,127,,tiny bud at base/resprout,,,
14,W,4,4053,B. lenta,.,.,.,.,.,y,,,,
14,W,5,4253,A. rubrum,.,.,.,.,.,y,gone,,,
14,W,6,4652,Q. rubra,.,.,.,.,.,y,,,,
14,W,7,4052,B. lenta,.,.,.,.,.,y,,,,
14,W,8,4252,A. rubrum,.,.,.,.,.,y,gone,,,
14,E,1,4655,Q. rubra,.,.,.,.,.,y,,,,
14,E,2,4255,A. rubrum,.,.,.,.,.,y,,,,
14,E,4,4654,Q. rubra,.,.,.,.,.,y,,,,
14,E,5,4055,B. lenta,.,.,.,.,.,y,,,,
14,E,7,4054,B. lenta,.,.,.,.,.,y,,,,
14,E,8,4254,A. rubrum,121,124,127,127,137,,,,,
15,W,1,4257,A. rubrum,121,.,127,130,150,,,,,
15,W,2,4056,B. lenta,.,.,.,.,.,y,very chewed,,,
