BACE 2013 herbaceous phenology,,,,,,,,,,
Plot,Species,% cover ,"# of 
plants",floral buds,"buds and 
flowers",open flowers,"flowers and 
dry flowers",dry flowers,Comment,general comments
21,Capsella bursa-pastoris ,5,,,,,112,150,,
21,Cerastium fontanum ,2,,128,,134,,143,,
21,Chenopodium album,,,,,,,,,
21,Conyza canadensis,,,,,,,<300,,
21,Dactylis glomerata ,,,,,,,,,
21,Draba verna ,?,,,105,,112,<300,,
21,Elymus repens ,,,,,,,,,
21,Erigeron annuus ,,,,,179,<300,308,,
21,Festuca spp. ,,,134,,,179,<300,,
21,Lepidium virginicum,,,,,179,,<300,,
21,Oxalis stricta ,5,,,128,134,,179,,
21,Phleum pratense ,,,,,,,,,
21,Plantago lanceolata ,,,134,143,,150,179,,
21,Poa trivialis,,,,143,,,179,,
21,Polygonum aviculare,,,,,,,,,
21,Potentilla argentea ,3,,,143,,179,<300,,
21,Rumex crispus ,3,,128,,,,143,,
21,Setaria glauca,,,,,,,<300,,
21,Silene alba ,2,,,128,134,,179,,
21,Tanacetum vulgare ,,,,,,,,,
21,Taraxacum officinale ,2,,,112,,128,179,,
