block,rainfall,temp,plot,treepl2,treeplot,treeloc,tree_id,species,dead,tree_form,first_bud,three_buds,first_leaf,three_leaves,leaf_expansion,first_bud_doy,third_buds_doy,first_leaf_doy,third_leaf_doy,leaf_expansion_doy
1,0,0,1,1,N     ,1,1,B. lenta  ,0,3,11-May-09,11-May-09,18-May-09,18-May-09,25-May-09,131,131,138,138,145
1,0,0,1,1,N     ,2,419,Q. rubra  ,1,0,,,,,,,,,,
1,0,0,1,1,N     ,4,145,A. rubrum ,0,2,20-Apr-09,8-May-09,2-May-09,11-May-09,23-May-09,110,128,122,131,143
1,0,0,1,2,W     ,1,2,B. lenta  ,0,3,2-May-09,2-May-09,8-May-09,8-May-09,13-May-09,122,122,128,128,133
1,0,0,1,2,W     ,3,146,A. rubrum ,0,2,24-Apr-09,2-May-09,8-May-09,8-May-09,15-May-09,114,122,128,128,135
1,0,0,1,2,W     ,4,420,Q. rubra  ,0,2,27-Apr-09,27-Apr-09,29-Apr-09,29-Apr-09,8-May-09,117,117,119,119,128
1,0,0,1,3,S     ,1,421,Q. rubra  ,0,4,27-Apr-09,29-Apr-09,2-May-09,4-May-09,15-May-09,117,119,122,124,135
1,0,0,1,3,S     ,2,147,A. rubrum ,0,4,13-Apr-09,13-Apr-09,4-May-09,11-May-09,20-May-09,103,103,124,131,140
1,0,0,1,3,S     ,4,3,B. lenta  ,1,4,,,,,,,,,,
1,0,0,1,4,E     ,1,148,A. rubrum ,0,2,27-Apr-09,27-Apr-09,2-May-09,2-May-09,13-May-09,117,117,122,122,133
1,0,0,1,4,E     ,2,422,Q. rubra  ,0,3,29-Apr-09,29-Apr-09,2-May-09,4-May-09,15-May-09,119,119,122,124,135
1,0,0,1,4,E     ,4,4,B. lenta  ,0,2,27-Apr-09,29-Apr-09,4-May-09,6-May-09,11-May-09,117,119,124,126,131
1,0,1,2,1,N     ,1,149,A. rubrum ,0,2,27-Apr-09,8-May-09,11-May-09,13-May-09,1-Jun-09,117,128,131,133,152
1,0,1,2,1,N     ,3,5,B. lenta  ,0,2,27-Apr-09,27-Apr-09,29-Apr-09,2-May-09,6-May-09,117,117,119,122,126
1,0,1,2,1,N     ,4,423,Q. rubra  ,0,3,20-Apr-09,24-Apr-09,29-Apr-09,29-Apr-09,6-May-09,110,114,119,119,126
1,0,1,2,2,W     ,1,424,Q. rubra  ,0,3,27-Apr-09,29-Apr-09,2-May-09,2-May-09,11-May-09,117,119,122,122,131
1,0,1,2,2,W     ,2,150,A. rubrum ,0,2,22-Apr-09,29-Apr-09,29-Apr-09,29-Apr-09,11-May-09,112,119,119,119,131
1,0,1,2,2,W     ,3,6,B. lenta  ,0,4,27-Apr-09,29-Apr-09,2-May-09,4-May-09,6-May-09,117,119,122,124,126
1,0,1,2,3,S     ,2,7,B. lenta  ,1,4,,,,,,,,,,
1,0,1,2,3,S     ,3,425,Q. rubra  ,0,2,27-Apr-09,27-Apr-09,29-Apr-09,29-Apr-09,8-May-09,117,117,119,119,128
1,0,1,2,3,S     ,4,151,A. rubrum ,0,2,12-Apr-09,20-Apr-09,20-Apr-09,27-Apr-09,2-May-09,102,110,110,117,122
1,0,1,2,4,E     ,1,426,Q. rubra  ,0,3,27-Apr-09,27-Apr-09,2-May-09,2-May-09,8-May-09,117,117,122,122,128
1,0,1,2,4,E     ,2,152,A. rubrum ,0,0,24-Apr-09,27-Apr-09,2-May-09,11-May-09,15-May-09,114,117,122,131,135
1,0,1,2,4,E     ,4,8,B. lenta  ,0,2,24-Apr-09,2-May-09,4-May-09,11-May-09,15-May-09,114,122,124,131,135
1,0,2,3,1,N     ,1,427,Q. rubra  ,0,4,20-Apr-09,20-Apr-09,2-May-09,2-May-09,8-May-09,110,110,122,122,128
1,0,2,3,1,N     ,2,9,B. lenta  ,0,4,13-Apr-09,20-Apr-09,24-Apr-09,27-Apr-09,27-Apr-09,103,110,114,117,117
1,0,2,3,1,N     ,4,153,A. rubrum ,0,2,11-Apr-09,17-Apr-09,27-Apr-09,27-Apr-09,2-May-09,101,107,117,117,122
1,0,2,3,2,W     ,1,154,A. rubrum ,0,2,15-Apr-09,20-Apr-09,22-Apr-09,27-Apr-09,29-Apr-09,105,110,112,117,119
1,0,2,3,2,W     ,2,10,B. lenta  ,0,4,13-Apr-09,20-Apr-09,22-Apr-09,27-Apr-09,27-Apr-09,103,110,112,117,117
