block,rainfall,temp,plot,treepl2,treeplot,treeloc,tree_id,species,dead,top_intact,branches_intact,Date_green_b,Date_green_t,Date_emerge_b,Date_emerge_t,bud_extension,Date_green_b2,Date_green_t2,Date_emerge_b2,Date_emerge_t2,Date_green,Date_emerge,Time_b_eg,Time_t_eg,Time_eg
1,0,0,1,1,N,3,275,P. strobus,0,1,0,29-Apr-2009,,25-May-2009,,0,119,,145,,,,26.00,,
1,0,0,1,2,W,2,276,P. strobus,0,0,0,29-Apr-2009,08-May-2009,11-May-2009,15-May-2009,0,119,128,131,135,123.50,133.00,12.00,7.00,9.50
1,0,0,1,3,S,3,277,P. strobus,1,1,2,,,,,0,,,,,,,,,
1,0,0,1,4,E,3,278,P. strobus,0,0,0,15-May-2009,15-May-2009,25-May-2009,25-May-2009,0,135,135,145,145,135.00,145.00,10.00,10.00,10.00
1,0,1,2,1,N,2,279,P. strobus,0,0,0,24-Apr-2009,11-May-2009,01-Jun-2009,01-Jun-2009,0,114,131,152,152,122.50,152.00,38.00,21.00,29.50
1,0,1,2,2,W,4,280,P. strobus,0,0,0,27-Apr-2009,27-Apr-2009,08-May-2009,08-May-2009,0,117,117,128,128,117.00,128.00,11.00,11.00,11.00
1,0,1,2,3,S,1,281,P. strobus,1,1,1,,,,,0,,,,,,,,,
1,0,1,2,4,E,3,282,P. strobus,0,0,0,27-Apr-2009,27-Apr-2009,13-May-2009,20-May-2009,0,117,117,133,140,117.00,136.50,16.00,23.00,19.50
1,0,2,3,1,N,3,283,P. strobus,0,0,0,11-May-2009,13-May-2009,08-Jun-2009,25-May-2009,0,131,133,159,145,132.00,152.00,28.00,12.00,20.00
1,0,2,3,2,W,4,284,P. strobus,1,1,1,,,,,0,,,,,,,,,
1,0,2,3,3,S,2,285,P. strobus,0,2,0,27-Apr-2009,,01-Jun-2009,,0,117,,152,,,,35.00,,
1,0,2,3,4,E,4,286,P. strobus,0,0,0,24-Apr-2009,24-Apr-2009,11-May-2009,11-May-2009,0,114,114,131,131,114.00,131.00,17.00,17.00,17.00
