BACE spring 2012 tree phenology,,,,,,,,,,
Plot,loc,Tr_id,species,1st bud break,">= 3 buds
 broken",1st leaf unfolded,">= 3 leaves
unfolded","full leaf
expansion",dead?,comments
2,6,9313,U. americana,95,.,107,109,111,,
2,7,9314,U. americana,107,107,109,109,111,,
2,8,9315,U. americana,107,107,109,111,115,,
3,1,9016,Q. rubra,111,.,115,121,127,,121- leaf herbivory and not in correct orientation because bound by silk.  127- leaves skeletonized
3,2,9017,Q. rubra,109,111,115,117,132,,
3,3,9018,Q. rubra,109,.,111,111,127,,
3,4,9019,Q. rubra,109,.,111,111,124,,
3,1,9316,U. americana,109,109,.,111,17,,
3,2,9317,U. americana,<88,<88,95,102,109,,new buds opening (111)
3,3,9318,U. americana,107,107,109,111,115,,
3,4,9319,U. americana,100,107,109,109,115,,
3,1,9616,A. rubrum,111,115,115,115,127,,
3,2,9617,A. rubrum,111,115,115,115,137,,
3,3,9618,A. rubrum,111,117,117,121,137,,
3,4,9619,A. rubrum,111,111,111,115,163,,
3,5,9020,Q. rubra,111,.,115,115,127,,
3,6,9021,Q. rubra,111,.,115,115,127,,
3,7,9022,Q. rubra,124,124,124,124,152,,
3,8,9023,Q. rubra,109,111,115,115,127,,
3,5,9620,A. rubrum,109,115,111,115,121,,
3,6,9621,A. rubrum,109,111,111,115,124,,
3,7,9622,A. rubrum,109,115,109,111,117,,
3,8,9623,A. rubrum,109,109,109,111,117,,
3,5,9320,U. americana,107,107,109,109,111,,
3,6,9321,U. americana,100,100,.,107,109,,
3,7,9322,U. americana,107,107,107,107,111,,
3,8,9323,U. americana,<88,93,93,102,107,,
4,1,9024,Q. rubra,109,.,111,111,121,,
4,2,9025,Q. rubra,111,111,115,115,127,,
4,3,9026,Q. rubra,109,.,.,.,111,,121- looks like sprout from base leafed out a while ago
4,4,9027,Q. rubra,111,115,115,115,127,,
4,1,9324,U. americana,95,102,107,107,111,,
4,2,9325,U. americana,104,107,107,107,111,,
4,3,9326,U. americana,104,107,107,109,111,,
4,4,9327,U. americana,107,107,109,111,115,,
4,1,9624,A. rubrum,107,115,115,115,127,,
4,2,9625,A. rubrum,107,107,107,111,117,,
4,3,9626,A. rubrum,111,115,115,115,127,,
4,4,9627,A. rubrum,117,117,121,121,127,,
4,5,9028,Q. rubra,109,121,111,115,137,,
4,6,9029,Q. rubra,109,109,111,115,127,,
4,7,9030,Q. rubra,109,.,115,115,132,,
4,8,9031,Q. rubra,109,121,109,111,124,,
4,5,9628,A. rubrum,107,111,109,111,121,,
4,6,9629,A. rubrum,109,.,111,115,121,,
4,7,9630,A. rubrum,107,107,107,111,117,,
4,8,9631,A. rubrum,111,117,115,117,132,,
4,5,9328,U. americana,109,.,109,111,117,,
4,6,9329,U. americana,104,107,109,109,115,,
4,7,9330,U. americana,107,107,109,111,115,,
4,8,9331,U. americana,109,109,115,115,121,,
5,1,9032,Q. rubra,124,.,127,127,152,,
5,2,9033,Q. rubra,109,.,111,111,124,,
5,3,9034,Q. rubra,107,117,111,11,121,,
5,4,9035,Q. rubra,109,.,111,111,127,,
5,1,9332,U. americana,104,107,109,109,111,,
5,2,9333,U. americana,109,109,111,111,121,,
5,3,9334,U. americana,107,107,109,109,111,,
5,4,9335,U. americana,107,107,109,111,115,,
5,1,9632,A. rubrum,111,115,115,115,135,,
5,2,9633,A. rubrum,109,117,109,111,121,,
5,3,9634,A. rubrum,109,111,111,115,127,,
5,4,9635,A. rubrum,117,.,121,.,139,,
5,5,9036,Q. rubra,124,.,127,127,114,,
5,6,9037,Q. rubra,115,130,121,121,137,,
5,7,9038,Q. rubra,111,.,115,115,127,,
5,8,9039,Q. rubra,109,111,115,115,142,,
5,5,9636,A. rubrum,111,115,115,117,127,,
5,6,9637,A. rubrum,109,109,109,111,121,,
5,7,9638,A. rubrum,<107,109,107,109,115,,
5,8,9639,A. rubrum,109,109,111,111,124,,
5,5,9336,U. americana,107,109,109,111,115,,
5,6,9337,U. americana,100,104,107,107,115,,
5,7,9338,U. americana,95,100,104,107,111,,
5,8,9339,U. americana,102,104,.,107,111,,
8,1,9040,Q. rubra,115,115,115,115,137,,
8,2,9041,Q. rubra,111,117,115,121,139,,1 leaf only day 135
8,3,9042,Q. rubra,111,.,115,115,132,,
8,4,9043,Q. rubra,115,117,115,117,137,,
8,1,9340,U. americana,107,109,115,115,117,,
8,2,9341,U. americana,107,109,111,115,121,,
8,3,9342,U. americana,107,107,109,109,115,,
8,4,9343,U. americana,109,111,115,115,121,,
8,1,9640,A. rubrum,111,111,115,117,146,,
8,2,9641,A. rubrum,107,109,115,115,137,,
8,3,9642,A. rubrum,111,.,121,124,139,,
8,4,9643,A. rubrum,111,115,115,117,137,,
8,5,9044,Q. rubra,111,.,115,115,150,,
8,6,9045,Q. rubra,109,111,115,117,127,,skeletonized by caterpillar 127
8,7,9046,Q. rubra,117,.,124,124,158,,
8,8,9047,Q. rubra,.,.,.,.,.,y,dead day 121. Replaced day 135
8,5,9644,A. rubrum,111,117,117,121,135,,
8,6,9645,A. rubrum,107,107,111,111,124,,
8,7,9646,A. rubrum,107,107,109,109,121,,
8,8,9647,A. rubrum,111,117,121,124,135,,
8,5,9344,U. americana,107,109,111,115,124,,
8,6,9345,U. americana,107,107,111,115,121,,
8,7,9346,U. americana,107,109,111,115,121,,
8,8,9347,U. americana,109,109,115,115,121,,
9,1,9048,Q. rubra,130,.,132,132,150,,
9,2,9049,Q. rubra,111,.,115,115,124,,
9,3,9050,Q. rubra,109,.,111,115,127,,
9,4,9051,Q. rubra,109,.,111,111,127,,
9,1,9348,U. americana,95,100,104,107,109,,
9,2,9349,U. americana,95,95,104,107,107,,
9,3,9350,U. americana,107,109,111,111,121,,
9,4,9351,U. americana,109,107,109,109,111,,
9,1,9648,A. rubrum,111,115,115,115,127,,
9,2,9649,A. rubrum,132,.,135,137,137,,
9,3,9650,A. rubrum,117,121,124,124,137,,
9,4,9651,A. rubrum,115,117,117,121,130,,
9,5,9052,Q. rubra,132,.,135,135,150,,
9,6,9053,Q. rubra,121,.,132,.,.,,sprout gone day 139. Replaced day 143
9,7,9054,Q. rubra,109,.,111,111,124,,
9,8,9055,Q. rubra,115,121,121,121,137,,
9,5,9652,A. rubrum,115,115,115,117,132,,
9,6,9653,A. rubrum,111,115,115,115,121,,
9,7,9654,A. rubrum,117,121,124,130,132,,
9,8,9655,A. rubrum,117,117,121,121,124,,
9,5,9352,U. americana,107,107,109,109,115,,
9,6,9353,U. americana,95,104,102,107,109,,
9,7,9354,U. americana,107,107,107,107,111,,
9,8,9355,U. americana,<88,<88,102,102,111,,
12,1,9056,Q. rubra,109,.,111,111,127,,
12,2,9057,Q. rubra,115,117,121,121,135,,
12,3,9058,Q. rubra,109,.,111,115,127,,
12,4,9059,Q. rubra,124,.,127,127,142,,
12,1,9356,U. americana,100,104,109,109,117,,
12,2,9357,U. americana,111,115,115,117,127,,
12,3,9358,U. americana,<88,93,102,104,115,,
12,4,9359,U. americana,109,111,115,115,127,,
12,1,9656,A. rubrum,121,.,127,135,158,,
12,2,9657,A. rubrum,117,117,124,127,144,,
12,3,9658,A. rubrum,117,121,124,127,144,,
12,4,9659,A. rubrum,132,.,137,144,.,,
12,5,9060,Q. rubra,115,127,121,121,137,,
12,6,9061,Q. rubra,115,115,115,117,137,,
12,7,9062,Q. rubra,109,.,111,111,127,,
12,8,9063,Q. rubra,111,.,115,121,150,,
12,5,9660,A. rubrum,115,121,121,127,142,,
12,6,9661,A. rubrum,121,124,127,132,142,,
12,7,9662,A. rubrum,124,.,132,135,144,,
12,8,9663,A. rubrum,117,139,127,132,142,,
12,5,9360,U. americana,95,100,107,109,111,,
12,6,9361,U. americana,109,111,115,117,127,,
12,7,9362,U. americana,107,107,109,111,121,,
12,8,9363,U. americana,109,109,111,115,124,,
13,1,9064,Q. rubra,109,.,111,111,127,,leaves drying 142
13,2,9065,Q. rubra,.,.,.,.,.,m,replaced day 135
13,3,9066,Q. rubra,111,.,115,115,127,,
13,4,9067,Q. rubra,115,124,121,121,137,,
13,1,9364,U. americana,107,107,109,111,117,,
13,2,9365,U. americana,100,100,107,109,117,,
13,3,9366,U. americana,100,107,109,111,124,,
13,4,9367,U. americana,107,107,109,109,111,,
13,1,9664,A. rubrum,117,117,121,121,132,,
13,2,9665,A. rubrum,115,117,121,121,139,,
13,3,9666,A. rubrum,107,107,111,111,139,,
13,4,9667,A. rubrum,<111,111,115,115,127,,
13,5,9068,Q. rubra,115,.,121,127,.,,156- leaves dried. Tree looks kind of dead
13,6,9069,Q. rubra,111,.,115,115,127,,
13,7,9070,Q. rubra,109,117,111,115,127,,
13,8,9071,Q. rubra,115,130,124,124,127,,
13,5,9668,A. rubrum,111,115,115,115,135,,
13,6,9669,A. rubrum,.,.,.,.,.,m,replaced day 143
13,7,9670,A. rubrum,111,115,117,117,135,,
13,8,9671,A. rubrum,109,109,111,115,127,,
13,5,9368,U. americana,107,107,109,109,115,,
13,6,9369,U. americana,107,107,109,109,115,,
13,7,9370,U. americana,107,107,109,109,111,,
13,8,9371,U. americana,130,132,135,135,139,,
16,1,9072,Q. rubra,115,.,121,124,144,,
16,2,9073,Q. rubra,115,115,121,121,137,,
16,3,9074,Q. rubra,117,124,124,127,.,,day 158- not sure if leaves will grow any bigger. They are mature colored and haven't grown bigger in a while
16,4,9075,Q. rubra,111,.,115,115,137,,
16,1,9372,U. americana,107,109,115,115,124,,
16,2,9373,U. americana,107,109,109,111,121,,
16,3,9374,U. americana,100,.,115,121,127,,
16,4,9375,U. americana,100,100,107,109,111,,
16,1,9672,A. rubrum,.,.,.,.,.,m,replaced day 143
16,2,9673,A. rubrum,132,.,135,139,142,,
16,3,9674,A. rubrum,.,.,.,.,.,m,replaced day 143
16,4,9675,A. rubrum,127,132,130,132,139,,
16,5,9076,Q. rubra,121,.,124,124,144,,
16,6,9077,Q. rubra,127,.,132,135,146,,
16,7,9078,Q. rubra,115,.,117,117,135,,
16,8,9079,Q. rubra,115,.,121,121,156,,
16,5,9676,A. rubrum,127,.,130,135,139,,
16,6,9677,A. rubrum,111,117,121,121,144,,
16,7,9678,A. rubrum,132,.,137,.,142,,(at base) 2 leaves day 142
16,8,9679,A. rubrum,111,111,115,115,130,,
16,5,9376,U. americana,100,107,109,111,121,,
16,6,9377,U. americana,107,109,111,115,124,,
16,7,9378,U. americana,109,109,115,115,124,,
16,8,9379,U. americana,107,130,109,117,130,,
17,1,9080,Q. rubra,111,.,115,115,127,,
17,2,9081,Q. rubra,117,.,121,121,.,y,replaced day 135.  The phenology data were from a different kind of oak that was accidentally sent in the tree bundle
17,3,9082,Q. rubra,111,.,115,115,156,,
17,4,9083,Q. rubra,115,.,124,124,142,,
17,1,9380,U. americana,93,95,107,109,117,,
17,2,9381,U. americana,109,109,111,111,124,,
17,3,9382,U. americana,100,107,109,111,121,,
17,4,9383,U. americana,107,111,111,115,124,,
17,1,9680,A. rubrum,132,146,137,139,146,,
17,2,9681,A. rubrum,.,.,.,.,.,m,replaced day 143
17,3,9682,A. rubrum,117,135,121,127,142,,(bud at base of tree)
17,4,9683,A. rubrum,.,.,.,.,.,y,replaced day 143
17,5,9084,Q. rubra,115,115,117,117,139,,but lots of herbivory
17,6,9085,Q. rubra,115,.,121,124,156,,
17,7,9086,Q. rubra,115,115,124,124,150,,
17,8,9087,Q. rubra,115,.,112,117,137,,
17,5,9684,A. rubrum,117,121,121,124,139,,
17,6,9685,A. rubrum,111,115,117,121,146,,
17,7,9686,A. rubrum,.,.,.,.,.,y,resprout. Replaced day 143
17,8,9687,A. rubrum,117,121,121,124,139,,
17,5,9384,U. americana,107,107,109,109,117,,
17,6,9385,U. americana,95,100,107,107,111,,
17,7,9386,U. americana,100,104,107,107,111,,replaced day 143
17,8,9387,U. americana,.,.,.,.,.,m,replaced day 135
20,1,9088,Q. rubra,.,.,.,.,.,m,replaced day 135
20,2,9089,Q. rubra,109,.,111,111,121,,
20,3,9090,Q. rubra,115,115,115,115,127,,
20,4,9091,Q. rubra,135,.,137,137,150,,
20,1,9388,U. americana,95,100,102,102,109,,111 new bud bursting
20,2,9389,U. americana,<88,<88,100,102,107,,
20,3,9390,U. americana,100,102,107,107,111,,
20,4,9391,U. americana,100,100,107,107,111,,
20,1,9688,A. rubrum,111,115,111,117,127,,
20,2,9689,A. rubrum,111,.,115,117,124,,lots of herbivory on poor baby leaves
20,3,9690,A. rubrum,115,.,115,121,127,,
20,4,9691,A. rubrum,111,.,115,121,127,,
20,5,9092,Q. rubra,111,121,111,115,127,,
20,6,9093,Q. rubra,109,111,115,115,127,,
20,7,9094,Q. rubra,109,111,115,115,127,,"replaced.  These pheno data are from old oak, which seems to be a different speces.  Replaced day 135."
20,8,9095,Q. rubra,109,.,111,111,124,,
20,5,9692,A. rubrum,121,.,124,124,132,,
20,6,9693,A. rubrum,117,121,132,132,132,,
20,7,9694,A. rubrum,111,.,115,117,127,,
20,8,9695,A. rubrum,109,.,111,115,124,,
20,5,9392,U. americana,104,107,109,109,111,,
20,6,9393,U. americana,100,107,107,109,111,,
20,7,9394,U. americana,93,100,102,107,115,,
20,8,9395,U. americana,<88,95,102,107,109,,
21,1,9096,Q. rubra,111,.,111,115,127,,
21,2,9097,Q. rubra,109,.,111,111,127,,
21,3,9098,Q. rubra,111,115,115,115,127,,
21,4,9099,Q. rubra,115,.,124,124,146,,
21,1,9396,U. americana,100,102,107,107,111,,
21,2,9397,U. americana,95,100,102,102,111,,
21,3,9398,U. americana,.,102,107,107,111,,
21,4,9399,U. americana,95,100,102,107,111,,
21,1,9696,A. rubrum,111,115,111,115,124,,
21,2,9697,A. rubrum,111,115,115,117,132,,
21,3,9698,A. rubrum,111,115,121,121,127,,
21,4,9699,A. rubrum,109,115,115,115,130,,
21,5,9100,Q. rubra,115,.,121,121,150,,127- much herbivory on leaves
21,6,9101,Q. rubra,111,.,115,115,127,,
21,7,9102,Q. rubra,115,121,115,115,127,,
21,8,9103,Q. rubra,109,115,115,115,127,,
21,5,9700,A. rubrum,.,.,.,.,.,y,121- no sign of life or budÉ 111 on bud break probably mistake.  Tree replaced 143
21,6,9701,A. rubrum,111,115,115,115,124,,
21,7,9702,A. rubrum,<117,.,117,.,124,,
21,8,9703,A. rubrum,.,.,.,.,.,y,replaced day 143. dead 160
21,5,9400,U. americana,93,95,100,102,107,,
21,6,9401,U. americana,<88,93,95,100,102,,
21,7,9402,U. americana,95,100,104,107,111,,
21,8,9403,U. americana,93,.,102,104,111,,
22,1,9104,Q. rubra,109,.,115,115,142,,160- dried dead. No trees to replace with
22,2,9105,Q. rubra,109,.,111,115,132,,132- much herbivory on leaves
22,3,9106,Q. rubra,111,115,111,111,132,,dead day 160. no trees to replace with
22,4,9107,Q. rubra,.,.,.,.,.,y,replaced day 135
22,1,9404,U. americana,107,107,109,109,115,,
22,2,9405,U. americana,<88,<88,102,102,115,,
22,3,9406,U. americana,109,109,111,115,117,,microleaf elm?
22,4,9407,U. americana,107,107,109,109,111,,
22,1,9704,A. rubrum,111,.,117,127,130,,
22,2,9705,A. rubrum,135,.,137,137,152,,resprout at base
22,3,9706,A. rubrum,111,117,121,121,132,,
22,4,9707,A. rubrum,137,.,142,150,.,,"leaves tiny but dark green 156, 160, 163, 165 (not sure what this comment means.)"
22,5,9108,Q. rubra,109,.,115,115,127,,
22,6,9109,Q. rubra,127,.,130,130,165,,
22,7,9110,Q. rubra,109,111,111,111,127,,
22,8,9111,Q. rubra,124,124,127,127,165,,158- not sure if leaves will grow any bigger- are mature colored and haven't grown in a while
22,5,9708,A. rubrum,111,.,115,117,135,,
22,6,9709,A. rubrum,111,117,121,121,132,,
22,7,9710,A. rubrum,109,115,111,115,124,,
22,8,9711,A. rubrum,111,115,111,115,121,,
22,5,9408,U. americana,<88,<88,102,102,107,,
22,6,9409,U. americana,95,100,104,107,111,,
22,7,9410,U. americana,<107,<107,107,109,111,,
22,8,9411,U. americana,104,107,109,109,115,,
23,1,9112,Q. rubra,111,.,115,115,146,,
23,2,9113,Q. rubra,109,127,111,115,130,,
23,3,9114,Q. rubra,111,.,115,117,130,,
23,4,9115,Q. rubra,144,.,.,.,146,,
23,1,9412,U. americana,100,107,107,109,115,,
23,2,9413,U. americana,107,107,109,109,115,,
23,3,9414,U. americana,100,100,107,109,115,,
23,4,9415,U. americana,107,107,109,109,115,,
23,1,9712,A. rubrum,132,137,135,137,139,,
23,2,9713,A. rubrum,127,.,132,137,139,,
23,3,9714,A. rubrum,121,137,130,132,142,,
23,4,9715,A. rubrum,.,.,.,.,.,m,replaced day 143
23,5,9116,Q. rubra,115,.,115,115,135,,
23,6,9117,Q. rubra,127,137,130,132,144,,
23,7,9118,Q. rubra,111,117,115,115,137,,
23,8,9119,Q. rubra,111,.,115,115,135,,
23,5,9716,A. rubrum,.,.,.,.,.,y,replaced day 143
23,6,9717,A. rubrum,111,137,115,121,142,,
23,7,9718,A. rubrum,111,137,115,121,150,,
23,8,9719,A. rubrum,111,117,117,121,132,,
23,5,9416,U. americana,107,107,109,111,117,,
23,6,9417,U. americana,107,107,109,109,111,,
23,7,9418,U. americana,107,107,109,109,115,,
23,8,9419,U. americana,100,107,109,109,115,,
24,1,9120,Q. rubra,117,121,121,124,139,,
24,2,9121,Q. rubra,115,115,117,121,137,,
24,3,9122,Q. rubra,111,115,115,115,142,,
24,4,9123,Q. rubra,111,115,117,121,135,,
24,1,9420,U. americana,107,107,109,109,115,,
24,2,9421,U. americana,93,95,104,107,111,,
24,3,9422,U. americana,107,107,109,111,115,,
24,4,9423,U. americana,107,107,109,109,111,,
24,1,9720,A. rubrum,111,115,121,121,139,,
24,2,9721,A. rubrum,111,115,117,121,165,,
24,3,9722,A. rubrum,111,.,121,124,137,,
24,4,9723,A. rubrum,109,111,111,115,.,,
24,5,9124,Q. rubra,121,.,127,132,137,,
24,6,9125,Q. rubra,115,115,117,117,137,,
24,7,9126,Q. rubra,115,115,115,115,137,,
24,8,9127,Q. rubra,115,115,121,121,139,,
24,5,9724,A. rubrum,111,111,115,117,150,,
24,6,9725,A. rubrum,111,117,121,124,160,,
24,7,9726,A. rubrum,111,115,121,121,163,,
24,8,9727,A. rubrum,111,111,115,115,137,,
24,5,9424,U. americana,100,107,107,109,115,,
24,6,9425,U. americana,100,107,107,109,115,,
24,7,9426,U. americana,104,107,109,111,121,,
24,8,9427,U. americana,124,127,130,130,139,,
25,1,9128,Q. rubra,121,121,124,127,156,,
25,2,9129,Q. rubra,115,.,117,117,158,,leaves drying 127
25,3,9130,Q. rubra,124,.,130,132,152,,
25,4,9131,Q. rubra,111,117,115,115,158,,leaves drying 127
25,1,9428,U. americana,109,109,115,115,121,,
25,2,9429,U. americana,107,111,115,115,127,,
25,3,9430,U. americana,93,.,104,117,.,,158- not sure leaf will grow any bigger. Very dark green for a while now
25,4,9431,U. americana,109,109,117,117,121,,
25,1,9728,A. rubrum,111,.,121,124,152,,
25,2,9729,A. rubrum,111,111,115,115,135,,
25,3,9730,A. rubrum,111,121,121,132,144,,
25,4,9731,A. rubrum,111,111,121,121,144,,
25,5,9132,Q. rubra,132,.,135,135,150,,
25,6,9133,Q. rubra,115,.,124,124,137,,
25,7,9134,Q. rubra,121,121,127,127,156,,
25,8,9135,Q. rubra,139,.,140,142,.,,"leaves drying 142 160- leaves not dry, but very small and thin"
25,5,9732,A. rubrum,109,111,111,115,127,,
25,6,9733,A. rubrum,111,111,121,121,142,,
25,7,9734,A. rubrum,111,121,117,121,152,,
25,8,9735,A. rubrum,111,115,117,117,137,,
25,5,9432,U. americana,100,104,107,107,117,,
25,6,9433,U. americana,100,107,109,111,117,,
25,7,9434,U. americana,107,107,109,111,117,,
25,8,9435,U. americana,104,107,109,111,111,,
28,1,9136,Q. rubra,111,.,115,115,150,,
28,2,9137,Q. rubra,109,.,111,111,127,,
28,3,9138,Q. rubra,111,.,115,115,142,,
28,4,9139,Q. rubra,135,139,137,137,152,,
28,1,9436,U. americana,107,111,111,111,115,,
28,2,9437,U. americana,95,102,104,107,111,,
28,3,9438,U. americana,107,107,111,111,115,,
28,4,9439,U. americana,107,107,109,111,115,,
28,1,9736,A. rubrum,111,111,115,115,132,,
28,2,9737,A. rubrum,117,.,121,124,142,,
28,3,9738,A. rubrum,111,111,115,117,130,,
28,4,9739,A. rubrum,109,111,109,111,124,,
28,5,9140,Q. rubra,111,.,115,115,132,,
28,6,9141,Q. rubra,111,117,115,115,150,,150- 1 set of leaves dried
28,7,9142,Q. rubra,111,117,115,115,127,,
28,8,9143,Q. rubra,111,.,115,115,135,,
28,5,9740,A. rubrum,111,111,111,115,124,,
28,6,9741,A. rubrum,111,115,117,121,132,,
28,7,9742,A. rubrum,111,115,117,121,135,,
28,8,9743,A. rubrum,109,115,111,115,132,,
28,5,9440,U. americana,93,95,102,104,111,,
28,6,9441,U. americana,93,100,102,107,109,,
28,7,9442,U. americana,109,109,115,115,121,,
28,8,9443,U. americana,100,102,107,109,115,,
29,1,9144,Q. rubra,111,.,115,117,135,,
29,2,9145,Q. rubra,109,111,111,115,127,,leaves skeletonized (127)
29,3,9146,Q. rubra,.,.,.,.,.,m,replaced day 135
29,4,9147,Q. rubra,111,115,115,115,132,,
29,1,9444,U. americana,107,107,109,109,115,,
29,2,9445,U. americana,107,107,109,109,111,,
29,3,9446,U. americana,95,100,104,107,111,,
29,4,9447,U. americana,107,107,109,109,115,,
29,1,9744,A. rubrum,124,.,132,135,142,,
29,2,9745,A. rubrum,111,117,115,121,.,,
29,3,9746,A. rubrum,111,111,115,115,130,,
29,4,9747,A. rubrum,109,111,115,115,139,,
29,5,9148,Q. rubra,111,.,115,115,127,,
29,6,9149,Q. rubra,117,121,121,124,150,,127- leaves are skinny + flat + shiny + green
29,7,9150,Q. rubra,132,139,135,135,152,,
29,8,9151,Q. rubra,117,139,137,137,150,,
29,5,9748,A. rubrum,109,109,111,111,117,,
29,6,9749,A. rubrum,111,111,115,115,135,,
29,7,9750,A. rubrum,117,.,121,124,135,,
29,8,9751,A. rubrum,115,117,117,121,130,,
29,5,9448,U. americana,107,107,109,109,111,,
29,6,9449,U. americana,107,107,109,111,115,,
29,7,9450,U. americana,100,107,107,109,115,,
29,8,9451,U. americana,93,100,102,107,111,,
32,1,9152,Q. rubra,121,135,132,132,150,,"121- I think 115 bud break is error.  Only 1 bud approaches burst (I think the pheno data is correct, 115 was erased on the data sheet)"
32,2,9153,Q. rubra,117,117,121,121,152,,
32,3,9154,Q. rubra,109,.,111,111,152,,
32,4,9155,Q. rubra,111,115,117,121,142,,
32,1,9452,U. americana,102,107,109,109,115,,
32,2,9453,U. americana,111,115,121,121,127,,
32,3,9454,U. americana,107,109,111,111,124,,
32,4,9455,U. americana,100,107,107,109,111,,
32,1,9752,A. rubrum,117,121,124,127,150,,
32,2,9753,A. rubrum,117,127,127,132,165,,
32,3,9754,A. rubrum,121,124,132,135,150,,
32,4,9755,A. rubrum,109,111,111,117,.,,
32,5,9156,Q. rubra,115,115,115,121,142,,127- leaves spun up by caterpillar
32,6,9157,Q. rubra,115,115,115,115,137,,
32,7,9158,Q. rubra,111,121,115,115,142,,
32,8,9159,Q. rubra,121,.,127,127,156,,
32,5,9756,A. rubrum,.,.,.,.,.,m,replaced day 143
32,6,9757,A. rubrum,.,.,.,.,.,m,replaced day 143
32,7,9758,A. rubrum,.,.,.,.,.,m,replaced day 143
32,8,9759,A. rubrum,111,115,117,121,139,,
32,5,9456,U. americana,<88,<88,102,104,107,,
32,6,9457,U. americana,.,.,.,.,.,m,replaced day 135
32,7,9458,U. americana,107,107,109,111,117,,
32,8,9459,U. americana,107,111,111,111,127,,
33,1,9160,Q. rubra,111,.,115,115,132,,
33,2,9161,Q. rubra,111,.,115,115,150,,
33,3,9162,Q. rubra,107,.,109,111,142,,
33,4,9163,Q. rubra,124,.,130,130,156,,
33,1,9460,U. americana,100,107,111,111,121,,
33,2,9461,U. americana,102,107,109,109,111,,
33,3,9462,U. americana,<88,<88,102,104,111,,
33,4,9463,U. americana,<88,<88,102,104,107,,
33,1,9760,A. rubrum,132,.,135,137,142,,
33,2,9761,A. rubrum,.,.,.,.,.,m,replaced day 143
33,3,9762,A. rubrum,115,121,124,127,142,,
33,4,9763,A. rubrum,.,.,.,.,.,m,replaced day 143
33,5,9164,Q. rubra,115,.,121,121,135,,
33,6,9165,Q. rubra,121,121,127,127,137,,
33,7,9166,Q. rubra,132,.,142,142,.,,
33,8,9167,Q. rubra,115,.,124,124,156,,
33,5,9764,A. rubrum,115,117,121,124,135,,
33,6,9765,A. rubrum,.,.,.,.,.,m,replaced day 143
33,7,9766,A. rubrum,111,117,121,121,139,,
33,8,9767,A. rubrum,124,132,132,135,142,,
33,5,9464,U. americana,107,109,111,111,115,,
33,6,9465,U. americana,<88,<88,104,107,111,,
33,7,9466,U. americana,<88,<88,104,107,107,,
33,8,9467,U. americana,<88,<88,93,104,107,,
34,1,9168,Q. rubra,109,111,111,115,158,,
34,2,9169,Q. rubra,135,160,135,135,.,,"121- no bud break- mistake @ 115? Maybe, but definitely bud break day 135"
34,3,9170,Q. rubra,109,.,115,115,150,,
34,4,9171,Q. rubra,124,135,130,130,.,,
34,1,9468,U. americana,<88,93,107,107,111,,
34,2,9469,U. americana,<88,<88,102,107,111,,
