year,month,DOY,plot #,warming treatment,precip treatment,"avg temp, 2 cm","avg temp, 10 cm","min temp, 2 cm","min temp, 10 cm","max temp, 2 cm","max temp, 10 cm"
2013,January,1,1,0,0,1.819103,2.115852,1.461712,2.048865,1.961604,2.144113
2013,January,1,2,1,0,1.663057,3.014776,1.001516,2.929655,2.040949,3.048673
2013,January,1,3,2,0,2.271234,2.893278,1.874319,2.778879,2.469435,2.921715
2013,January,1,4,3,0,1.183180,3.227521,0.747600,3.072467,1.414099,3.302565
2013,January,1,5,3,1,3.089826,5.805957,2.921715,5.690899,3.159752,5.881324
2013,January,1,6,2,1,2.374882,2.944856,1.088801,2.651945,2.644005,3.009000
2013,January,1,7,1,1,1.523871,2.099317,1.120535,2.025071,1.620403,2.136198
2013,January,1,8,0,1,0.906461,1.700083,0.747600,1.644221,0.945964,1.747361
2013,January,1,9,3,2,2.165604,2.932786,1.461712,2.723351,2.318683,3.001061
2013,January,1,10,2,2,1.617927,3.175616,1.239553,3.104201,1.699749,3.207365
2013,January,1,11,1,2,0.474854,1.379891,0.398484,1.350632,0.517502,1.398244
2013,January,1,12,0,2,0.803478,1.145490,0.414363,1.064983,0.906292,1.199880
2013,January,1,13,3,1,1.036888,2.692931,0.176325,2.493253,1.691809,2.810636
2013,January,1,14,2,1,4.054868,2.542505,3.905597,2.493253,4.111901,2.572599
2013,January,1,15,1,1,1.306164,1.613633,1.017371,1.509324,1.358572,1.652136
2013,January,1,16,0,1,0.770418,0.831583,0.485769,0.787273,0.819007,0.850764
2013,January,1,17,0,2,1.265499,1.105320,1.184002,1.049128,1.303020,1.136389
2013,January,1,18,1,2,1.642886,2.466137,1.255408,2.358356,1.707688,2.493253
2013,January,1,19,2,2,2.051539,3.226530,1.739421,3.048673,2.136198,3.294626
2013,January,1,20,3,2,1.642227,3.967916,1.152268,3.794518,1.787034,4.032555
2013,January,1,21,3,0,2.975763,3.098916,2.778879,2.953449,3.104201,3.231159
2013,January,1,22,2,0,3.898495,4.128444,3.016916,3.857985,4.183331,4.199210
2013,January,1,23,1,0,4.500385,3.295958,3.881803,3.151813,4.683223,3.350177
2013,January,1,24,0,0,1.762407,3.275458,0.739661,3.096262,2.144113,3.350177
2013,January,1,25,0,2,0.768766,1.515438,0.446096,1.453772,0.906292,1.556936
2013,January,1,26,1,2,1.639087,1.928699,1.049128,1.858440,1.787034,1.969519
2013,January,1,27,2,2,1.255417,2.040609,0.628582,1.906052,1.390305,2.072683
2013,January,1,28,3,2,2.846495,2.314384,2.588454,2.239338,2.913776,2.342477
2013,January,1,29,3,1,3.000891,3.197604,2.739206,3.112140,3.096262,3.254953
2013,January,1,30,2,1,1.979611,2.185286,1.723567,2.112380,2.025071,2.215543
2013,January,1,31,1,1,0.875220,1.014075,0.604787,0.953904,0.969782,1.041189
2013,January,1,32,0,1,1.189298,1.314596,1.104656,1.247492,1.263347,1.382366
2013,January,1,33,0,0,1.879275,1.961431,1.437917,1.921931,2.001277,1.993337
2013,January,1,34,1,0,2.353066,2.208591,1.755300,2.120319,2.453580,2.223459
2013,January,1,35,2,0,2.028895,2.917247,0.699988,2.707472,2.310744,2.953449
2013,January,1,36,3,0,2.662348,3.249839,2.144113,3.120080,2.770963,3.278771
2013,January,2,1,0,0,1.204077,1.940591,1.104656,1.858440,1.390305,2.040949
2013,January,2,2,1,0,0.690663,2.841900,0.517502,2.763024,0.953904,2.921715
2013,January,2,3,2,0,1.499058,2.645868,1.255408,2.509108,1.834646,2.770963
2013,January,2,4,3,0,0.576776,2.964185,0.438157,2.850309,0.747600,3.064528
2013,January,2,5,3,1,2.734083,5.619494,2.596393,5.532208,2.905837,5.690899
2013,January,2,6,2,1,0.847488,2.434901,0.652400,2.286950,1.152268,2.620187
2013,January,2,7,1,1,0.830219,1.884115,0.612727,1.755300,1.104656,2.009192
2013,January,2,8,0,1,0.371876,1.677350,0.136653,1.588669,0.707927,1.747361
2013,January,2,9,3,2,0.859622,2.445169,0.557175,2.215543,1.390305,2.699533
2013,January,2,10,2,2,0.668726,2.913310,0.303259,2.723351,1.160207,3.096262
2013,January,2,11,1,2,0.281796,1.296490,0.144568,1.239553,0.390545,1.342693
2013,January,2,12,0,2,0.136639,1.062189,0.041404,0.993577,0.366750,1.160207
2013,January,2,13,3,1,0.916099,2.476909,0.263587,2.437702,1.120535,2.501169
2013,January,2,14,2,1,3.573278,2.437236,3.294626,2.310744,3.873864,2.524987
2013,January,2,15,1,1,0.582846,1.450981,0.406423,1.334754,0.945964,1.596609
2013,January,2,16,0,1,0.087620,0.671058,-0.093493,0.565115,0.430217,0.795212
2013,January,2,17,0,2,0.817150,1.013647,0.557175,0.890437,1.152268,1.112595
2013,January,2,18,1,2,0.807346,2.167449,0.549236,2.025071,1.191941,2.342477
2013,January,2,19,2,2,1.253087,2.815762,0.985637,2.604333,1.683894,3.024855
2013,January,2,20,3,2,0.730337,3.626486,0.493708,3.453317,1.104656,3.778639
2013,January,2,21,3,0,2.350414,2.795225,2.025071,2.612272,2.747145,2.953449
2013,January,2,22,2,0,2.459634,3.606884,2.072683,3.397790,2.953449,3.826252
2013,January,2,23,1,0,3.620423,3.000123,3.413644,2.874103,3.865924,3.128019
2013,January,2,24,0,0,0.550640,2.939447,0.438157,2.826491,0.707927,3.072467
2013,January,2,25,0,2,0.171644,1.393107,-0.006208,1.350632,0.414363,1.445857
2013,January,2,26,1,2,0.587046,1.648879,0.438157,1.485530,0.961843,1.850501
2013,January,2,27,2,2,-0.156029,1.558331,-0.387058,1.334754,0.517502,1.858440
2013,January,2,28,3,2,1.889261,1.988675,1.358572,1.707688,2.524987,2.215543
2013,January,2,29,3,1,2.191251,2.896975,1.739421,2.651945,2.675739,3.096262
2013,January,2,30,2,1,1.198008,1.924260,0.834885,1.715627,1.668015,2.096525
2013,January,2,31,1,1,0.304669,0.841418,0.152507,0.739661,0.557175,0.945964
2013,January,2,32,0,1,0.896958,1.296023,0.699988,1.207820,1.160207,1.366511
2013,January,2,33,0,0,0.986111,1.780033,0.803152,1.668015,1.366511,1.906052
2013,January,2,34,1,0,1.247948,1.946662,1.017371,1.810828,1.660076,2.104440
2013,January,2,35,2,0,0.358812,2.497447,0.160447,2.350417,0.644460,2.667800
2013,January,2,36,3,0,1.585869,2.902573,1.287165,2.723351,2.064744,3.096262
2013,March,81,1,0,0,2.241249,1.884412,1.620403,1.699749,2.874103,2.064744
2013,March,81,2,1,0,2.199652,2.504544,1.445857,2.271071,2.691618,2.739206
2013,March,81,3,2,0,4.199911,2.647595,1.921931,1.763239,5.667105,3.445402
2013,March,81,4,3,0,4.003710,2.758439,0.596848,1.612464,6.428853,3.699294
2013,March,81,5,3,1,6.135016,6.804414,2.770963,5.944815,10.253373,7.642832
2013,March,81,6,2,1,4.338886,NULL,1.406184,NULL,10.792938,NULL
2013,March,81,7,1,1,1.141691,1.415310,0.684133,1.334754,1.556936,1.501384
2013,March,81,8,0,1,0.763716,1.185690,0.438157,1.144329,1.247492,1.231614
2013,March,81,9,3,2,4.530284,2.832981,1.184002,1.271287,9.348813,3.953209
2013,March,81,10,2,2,1.780554,1.924332,0.144568,1.660076,3.373972,2.112380
2013,March,81,11,1,2,0.765878,0.996944,0.231853,0.930110,1.295081,1.057044
2013,March,81,12,0,2,1.192182,1.100332,0.890437,1.033249,1.644221,1.160207
2013,March,81,13,3,1,1.823342,1.985879,1.620403,1.945725,2.096525,2.017131
2013,March,81,14,2,1,3.668042,1.766840,3.231159,1.723567,4.111901,1.802912
2013,March,81,15,1,1,1.277779,1.246043,1.080862,1.207820,1.493445,1.287165
2013,March,81,16,0,1,0.875520,0.710817,0.731745,0.668254,1.049128,0.763479
