YEAR,JD,Plot, Air 15 cm,7.5cm,Air_SD,7.5_SD
2004,287,1,7.5146,16.714001,0.15664,0.0271
2004,287,2,7.5995,17.142,0.08978,0.02278
2004,287,3,7.9364,17.798,0.06146,0.01983
2004,287,4,9.0123,18.160999,0.10902,0.0173
2004,287,5,-99999,-99999,0,0
2004,287,6,9.9447,16.624001,0.06583,0.02604
2004,287,7,-99999,17.35,0,0.01913
2004,287,8,12.039,7.5784,0.05386,0.04479
2004,287,9,9.0653,16.806999,0.12797,0.02917
2004,287,10,7.7954,17.143999,0.10523,0.02561
2004,287,11,7.8539,15.547,0.12082,0.02731
2004,287,12,17.049,18.235001,0.02265,0.00963
2004,287,13,8.4735,18.620001,0.077,0.00561
2004,287,14,7.6829,16.655001,0.07207,0.02584
2004,287,15,15.533,8.3127,0.02434,0.0506
2004,287,16,7.9888,16.608,0.02472,0.02511
2004,287,17,7.2648,-99999,0.10374,0
2004,287,18,7.5789,17.6,0.04109,0.01908
2004,287,19,7.0147,16.999001,0.09308,0.02378
2004,287,20,7.6263,17.388,0.08965,0.0239
2004,287,1,7.3992,16.628,0.14159,0.02461
2004,287,2,7.3837,17.066999,0.13676,0.02214
2004,287,3,7.8984,17.737,0.08708,0.01929
2004,287,4,8.6971,18.106001,0.12046,0.01641
2004,287,5,-99999,-99999,0,0
2004,287,6,9.7847,16.535999,0.09459,0.02605
2004,287,7,-99999,17.291,0,0.01694
2004,287,8,11.952,7.4867,0.07013,0.04174
2004,287,9,9.2396,16.716999,0.09957,0.02611
2004,287,10,7.6538,17.061001,0.05981,0.02452
2004,287,11,7.9911,15.454,0.07279,0.02871
2004,287,12,16.976,18.208,0.02127,0.00935
2004,287,13,8.39,18.611,0.12824,0.00478
2004,287,14,7.598,16.570999,0.12183,0.02394
2004,287,15,15.455,8.2859,0.02239,0.03456
2004,287,16,7.9645,16.521999,0.02312,0.02488
2004,287,17,7.0069,-99999,0.10121,0
2004,287,18,7.5338,17.539,0.05453,0.01906
2004,287,19,6.9197,16.921,0.08876,0.02305
2004,287,20,7.645,17.313,0.14388,0.02245
2004,287,1,7.259,16.547001,0.22445,0.02355
2004,287,2,7.2155,16.997,0.1772,0.02012
2004,287,3,7.7355,17.677999,0.07582,0.01627
2004,287,4,8.4974,18.052999,0.17553,0.01536
2004,287,5,-99999,-99999,0,0
2004,287,6,9.7263,16.451,0.09055,0.02465
2004,287,7,-99999,17.231001,0,0.01744
2004,287,8,11.806,7.3663,0.09762,0.05213
2004,287,9,9.096,16.628,0.12982,0.0243
2004,287,10,7.5419,16.979,0.08027,0.02303
2004,287,11,7.9153,15.36,0.09152,0.0234
2004,287,12,16.905001,18.181,0.02039,0.00822
2004,287,13,8.0706,18.603001,0.15932,0.00478
2004,287,14,7.4192,16.49,0.13344,0.02407
2004,287,15,15.375,8.1821,0.02343,0.03627
2004,287,16,7.9637,16.438999,0.01804,0.02352
2004,287,17,6.8248,-99999,0.14522,0
2004,287,18,7.4466,17.476999,0.05405,0.01796
2004,287,19,6.8558,16.844999,0.08173,0.0214
2004,287,20,7.4789,17.242001,0.11764,0.02024
2004,287,1,7.006,16.469,0.14386,0.0225
2004,287,2,7.0884,16.927,0.21801,0.02052
2004,287,3,7.596,17.621,0.08026,0.01636
2004,287,4,8.5432,17.999001,0.09938,0.01614
2004,287,5,-99999,-99999,0,0
2004,287,6,9.506,16.370001,0.10864,0.02397
2004,287,7,-99999,17.174,0,0.01692
2004,287,8,11.761,7.2576,0.11295,0.03529
2004,287,9,8.9705,16.542999,0.11845,0.02628
2004,287,10,7.4675,16.900999,0.12764,0.02287
2004,287,11,7.727,15.282,0.18274,0.02326
2004,287,12,16.834999,18.153,0.02068,0.01053
2004,287,13,7.9117,18.594,0.18079,0.00438
2004,287,14,7.3144,16.410999,0.12518,0.02244
2004,287,15,15.308,8.0946,0.01755,0.07422
2004,287,16,7.9608,16.358,0.02729,0.02234
2004,287,17,6.8664,-99999,0.11047,0
2004,287,18,7.3043,17.417999,0.0751,0.01763
2004,287,19,6.6334,16.771999,0.09201,0.02122
2004,287,20,7.2734,17.172001,0.09225,0.02082
2004,287,1,7.086,16.393,0.13267,0.02318
2004,287,2,7.1072,16.862,0.09356,0.01973
2004,287,3,7.4439,17.563999,0.11086,0.019
