YEAR,JD,Plot, Air 15 cm,7.5cm,Air_SD,7.5_SD
2004,326,1,10.238,13.332,0.03501,0.0044
2004,326,2,10.189,13.996,0.02844,0.00548
2004,326,3,10.06,14.284,0.03466,0.00602
2004,326,4,10.458,14.37,0.08982,0.00528
2004,326,5,-99999,-99999,0,0
2004,326,6,10.669,13.35,0.02422,0.00545
2004,326,7,-99999,13.934,0,0.00519
2004,326,8,12.354,10.54,0.01146,0.02287
2004,326,9,10.573,13.382,0.07001,0.00543
2004,326,10,10.712,13.689,0.04973,0.00553
2004,326,11,10.415,12.905,0.04867,0.00423
2004,326,12,13.609,14.129,0.00595,0.00466
2004,326,13,10.01,14.468,0.05913,0.00367
2004,326,14,10.309,13.375,0.07347,0.00436
2004,326,15,13.103,10.375,0.00377,0.03214
2004,326,16,10.494,13.388,0.0341,0.00583
2004,326,17,10.44,-99999,0.02292,0
2004,326,18,10.189,13.842,0.02509,0.00561
2004,326,19,10.228,13.401,0.03339,0.00521
2004,326,20,9.981,13.917,0.03462,0.00546
2004,326,1,10.167,13.325,0.02564,0.00476
2004,326,2,10.118,13.987,0.02299,0.00569
2004,326,3,9.9537,14.275,0.02246,0.00866
2004,326,4,10.321,14.36,0.04393,0.00574
2004,326,5,-99999,-99999,0,0
2004,326,6,10.584,13.339,0.02093,0.00495
2004,326,7,-99999,13.924,0,0.00495
2004,326,8,12.328,10.442,0.0066,0.02402
2004,326,9,10.487,13.373,0.04642,0.00468
2004,326,10,10.623,13.677,0.03676,0.00462
2004,326,11,10.34,12.906,0.05513,0.00407
2004,326,12,13.592,14.118,0.01037,0.00406
2004,326,13,9.9113,14.466,0.02578,0.00458
2004,326,14,10.17,13.372,0.06144,0.00445
2004,326,15,13.099,10.233,0.00545,0.02473
2004,326,16,10.381,13.376,0.04208,0.0057
2004,326,17,10.359,-99999,0.02209,0
2004,326,18,10.107,13.831,0.02811,0.00593
2004,326,19,10.149,13.392,0.03034,0.00543
2004,326,20,9.8682,13.907,0.03581,0.00579
2004,326,1,9.9954,13.316,0.08182,0.00468
2004,326,2,9.9494,13.978,0.07761,0.00511
2004,326,3,9.8008,14.268,0.07856,0.00532
2004,326,4,10.125,14.348,0.10399,0.00611
2004,326,5,-99999,-99999,0,0
2004,326,6,10.471,13.332,0.07423,0.00575
2004,326,7,-99999,13.922,0,0.00412
2004,326,8,12.276,10.321,0.04717,0.08063
2004,326,9,10.274,13.371,0.11911,0.00433
2004,326,10,10.43,13.667,0.09695,0.0053
2004,326,11,10.17,12.904,0.1393,0.00446
2004,326,12,13.587,14.112,0.00558,0.00402
2004,326,13,9.7103,14.466,0.07662,0.00388
2004,326,14,9.9381,13.368,0.10479,0.00413
2004,326,15,13.083,10.044,0.00803,0.08624
2004,326,16,10.23,13.364,0.07917,0.00536
2004,326,17,10.197,-99999,0.06907,0
2004,326,18,9.9385,13.819,0.05752,0.00501
2004,326,19,9.961,13.382,0.09579,0.00413
2004,326,20,9.6661,13.898,0.0775,0.00537
2004,326,1,9.8028,13.305,0.04634,0.00517
2004,326,2,9.735,13.967,0.03951,0.00555
2004,326,3,9.6194,14.252,0.03812,0.00687
2004,326,4,9.9652,14.33,0.03838,0.00711
2004,326,5,-99999,-99999,0,0
2004,326,6,10.225,13.323,0.03485,0.00504
2004,326,7,-99999,13.926,0,0.00468
2004,326,8,12.165,10.159,0.00895,0.02622
2004,326,9,10.155,13.383,0.06267,0.005
2004,326,10,10.23,13.657,0.04616,0.00593
2004,326,11,9.9463,12.893,0.05031,0.00578
2004,326,12,13.577,14.105,0.00486,0.00473
2004,326,13,9.5563,14.465,0.03209,0.00399
2004,326,14,9.7989,13.369,0.05176,0.00446
2004,326,15,13.054,9.8501,0.00988,0.02789
2004,326,16,10.025,13.351,0.04412,0.00574
2004,326,17,9.9903,-99999,0.04122,0
2004,326,18,9.7608,13.81,0.03921,0.00516
2004,326,19,9.7281,13.372,0.05352,0.0051
2004,326,20,9.5159,13.888,0.03341,0.00523
2004,326,1,9.7039,13.29,0.03293,0.00686
2004,326,2,9.6439,13.949,0.04041,0.00861
2004,326,3,9.5642,14.238,0.0267,0.00889
2004,326,4,9.8803,14.316,0.04746,0.00627
2004,326,5,-99999,-99999,0,0
