Andropogon gerardii (Big Bluestem) by individual plant,,,,,,,,,,,,,,,,,,,,,,,
Incomplete plants were removed for curve fitting,,,,,,,,,,,,,,,,,,,,,,,
Fit Curves per plant,,,,Day of year 2003,,,,,,,,,,,,,,,,,,,
Heat?,Water?,Plot,Plant,191,195,199,206,213,218,225,231,239,247,253,260,267,276,281,288,297,303,310,320
y,y,1,1,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0.5,1.5,2,2,3,3.5,3.5,3.5
y,y,1,2,0,0,0,0,0,0,0,0,0,0,0.5,0.5,1.5,1.5,2,2,3,3,3,3.5
y,y,1,3,0,0,0,0,0,0,0,0,0,0,0.5,0.5,2,2,2,2.5,3,3.5,3.5,3.5
y,y,1,4,0,0,0,0,0,0,0,0,0,0,0,1,2,2,2,2,3,3,3,3.5
y,y,1,5,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,2,3,3,3.5,3.5
y,y,1,6,0,0,0,0,0,0,0,0,0,0,0,0,1,1.5,2,2,3,3.5,3.5,3.5
y,y,1,8,0,0,0,0,0,0,0,0,0,0.5,1,1.5,1.5,2,2,2,3,3.5,3.5,3.5
y,y,1,9,0,0,0,0,0,0,0,0,0,0,0,0.5,1.5,2,2,2,2.5,3,3,3.5
n,n,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1.5,1.75,2,3,3.5,3.5
n,n,2,3,0,0,0,0,0,0,0,0,0,0,0,0.5,1,1.25,1.5,2,2.5,3.5,3.5,3.5
n,n,2,8,0,0,0,0,0,0,0,0,0.5,0.5,0.5,1.5,1.5,2,2,3,3,3.5,3.5,3.5
y,n,3,1,0,0,0,0,0,0,0.5,1,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5
y,n,3,3,0,0,0,0,0,0,0,0,0,0.5,0.5,0.5,1,1.25,1.5,2,2.5,3,3,3.5
y,n,3,5,0,0,0,0,0,0,0,0,0,0,0.25,0.5,2,2,2,2,2,2.5,3,3.5
y,n,3,6,0,0,0,0,0,0,0,0,0.25,0.5,0.5,0.5,0.5,1.5,2,2,2,2.5,3,3.5
y,n,3,7,0,0,0,0,0,0,0,0,0,0,0,0.5,1,2,2,2,2,2.5,3,3.5
y,n,3,8,0,0,0,0,0,0,0,0,0,0,0,0.5,1.5,2,2,2,2.5,3,3,3.5
y,n,3,9,0,0,0,0,0,0,0,0.5,0.5,0.75,1,1,1,2,2,2,2,2.5,3,3.5
y,n,3,10,0,0,0,0,0,0,0,0.5,0.5,0.5,1.5,1.5,2,2,2.5,3,3,3,3.5,3.5
y,n,3,11,0,0,0,0,0,0,0,0,0,0.25,0.5,1.5,1.5,2,2,2,3,3,3.5,3.5
y,n,3,12,0,0,0,0,0,0,0,0,0,0.25,0.5,1,2,2,2,2,3,3.5,3.5,3.5
y,n,3,14,0,0,0,0,0,0,0,0,0,0.25,0.5,1,1.5,2,2,2,2,2.5,3,3.5
n,y,4,1,0,0,0,0,0,0,0,0.5,0.5,0.5,0.5,1,1.5,2.5,3.5,3.5,3.5,3.5,3.5,3.5
y,y,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0.5,0.5,0.5,3,3,3.5
y,y,5,4,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0.5,2,2,2,2.5,3,3.5,3.5
y,y,5,5,0,0,0,0,0.5,0.5,0.5,0.5,0.5,1.5,1.75,2,2,2,2.5,2.5,2.5,3,3.5,3.5
y,y,5,7,0.5,1,1,1.5,1.5,3,3,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5
y,y,5,8,0,0,0,0,0,0,0,0,0,0,1,1.5,1.5,2,3,2.75,2.5,3,3.5,3.5
y,y,5,9,0,0,0,0,0,0,0,0,0,0,0,0.5,1,2,2,2,2.5,3,3,3.5
y,y,5,10,0,0,0,0,0,0,0,0,0,0,0.5,0.5,1,2,2,2,2.5,3,3.5,3.5
n,n,6,1,0,0,0,0,0.25,0.5,1,1,1.5,2.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5
n,n,6,2,0,0,0,1.5,2,2,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,3,3.5,3.5
n,n,6,3,0,0,0,0,0,0,0,0.5,1,2.5,2.5,2.5,2.5,2.5,3,3.5,3.5,3.5,3.5,3.5
n,n,6,5,0,0,0,0,0,0,0,0,0.5,2.5,2.5,2.5,2.5,2.5,2.5,3.5,3.5,3.5,3.5,3.5
n,n,6,7,0,0,0,0,0,0,0,1,1.75,2.5,2.5,2.5,2.5,2.5,2.5,2.5,3,3.5,3.5,3.5
n,n,6,10,0,0,0,0,0,0,0,0,0.5,0.5,0.5,0.5,0.5,1,1.5,3,3,3,3.5,3.5
y,n,7,1,0,1,2,2,2.5,2.5,3,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,4,4
y,n,7,2,0,0,1.5,1,2.5,3,3,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5
y,n,7,3,0,0,0,0,0,0,0,0.5,0.5,0.5,0.5,0.5,1.5,2,2,2,2.5,3,3.5,3.5
y,n,7,4,0,0,0,0,0,0,0.5,0.5,0.5,0.5,0.5,1.5,2,2,2,3,3,3.5,3.5,3.5
y,n,7,8,0,0,0,0,0,0,0,0,0,0,0,0.5,1.5,2,2,3.5,3.5,3.5,3.5,3.5
y,n,7,9,0,0,0,0,0,0,0,0.5,0,0.5,0.5,1.5,1.5,2,2,2,3,3,3.5,3.5
