JULIAN DAY,TIME,Plot,air,7.5
36,15,1,2.1304,4.3721
36,15,2,-4.0736,4.9117
36,15,3,-7.2718,5.3261
36,15,4,-99999,5.9929
36,15,5,-99999,5.0062
36,15,6,-8.2048,4.477
36,15,7,1.0201,4.8814
36,15,8,0.19739,-11.075
36,15,9,-10.886,4.644
36,15,10,1.7506,4.8444
36,15,11,-0.34203,2.5612
36,15,12,4.7547,6.336
36,15,13,-0.11904,6.638
36,15,14,0.49074,3.8751
36,15,15,2.4768,2.2753
36,15,16,-4.8995,4.0884
36,15,17,-99999,-99999
36,15,18,-11.176,5.047
36,15,19,-1.0931,4.424
36,15,20,-5.7391,4.7024
36,30,1,2.0565,4.2952
36,30,2,-4.1258,4.8366
36,30,3,-7.3033,5.247
36,30,4,-99999,5.9341
36,30,5,-99999,4.9261
36,30,6,-8.2791,4.4068
36,30,7,0.91964,4.8179
36,30,8,0.12425,-11.214
36,30,9,-11.005,4.5711
36,30,10,1.6505,4.7649
36,30,11,-0.42041,2.4967
36,30,12,4.6786,6.3042
36,30,13,-0.21962,6.6271
36,30,14,0.38975,3.7961
36,30,15,2.4079,2.2066
36,30,16,-4.9769,4.0165
36,30,17,-99999,-99999
36,30,18,-11.37,4.9855
36,30,19,-1.1704,4.3532
36,30,20,-5.7994,4.6372
36,45,1,1.9803,4.2198
36,45,2,-4.2713,4.7651
36,45,3,-7.3724,5.1719
36,45,4,-99999,5.8755
36,45,5,-99999,4.8498
36,45,6,-8.3015,4.339
36,45,7,0.83453,4.7577
36,45,8,0.05925,-11.071
36,45,9,-10.985,4.5072
36,45,10,1.6036,4.6892
36,45,11,-0.47769,2.4256
36,45,12,4.6049,6.272
36,45,13,-0.31281,6.6171
36,45,14,0.29523,3.7209
36,45,15,2.3386,2.146
36,45,16,-4.9551,3.9448
36,45,17,-99999,-99999
36,45,18,-11.284,4.9241
36,45,19,-1.2857,4.2841
36,45,20,-5.8337,4.5719
36,100,1,1.9202,4.1455
36,100,2,-4.1734,4.6901
36,100,3,-7.1925,5.0956
36,100,4,-9.029,5.8186
36,100,5,-99999,4.7682
36,100,6,-8.1437,4.2706
36,100,7,0.75869,4.6921
36,100,8,0.05337,-10.778
36,100,9,-10.629,4.4208
36,100,10,1.5933,4.6138
36,100,11,-0.52379,2.3579
36,100,12,4.5329,6.2378
36,100,13,-0.38899,6.6021
36,100,14,0.21083,3.6419
36,100,15,2.276,2.1316
36,100,16,-4.7829,3.8763
36,100,17,-99999,-99999
36,100,18,-11.09,4.8624
36,100,19,-1.3274,4.2141
36,100,20,-5.7208,4.5082
36,115,1,1.8705,4.0808
36,115,2,-4.1111,4.6227
36,115,3,-7.1734,5.0234
36,115,4,-8.9798,5.7645
36,115,5,-99999,4.6965
36,115,6,-8.1292,4.2102
36,115,7,0.70079,4.6404
36,115,8,0.08387,-10.79
36,115,9,-10.506,4.3587
36,115,10,1.5691,4.5447
36,115,11,-0.55725,2.3085
36,115,12,4.4665,6.206
36,115,13,-0.43284,6.5928
36,115,14,0.15493,3.5772
36,115,15,2.2365,2.0872
36,115,16,-4.9404,3.8173
36,115,17,-99999,-99999
36,115,18,-11.251,4.8047
36,115,19,-1.2732,4.1484
36,115,20,-5.6905,4.4499
36,130,1,1.848,4.0165
36,130,2,-3.8443,4.5551
36,130,3,-6.7118,4.9537
36,130,4,-99999,5.7092
36,130,5,-99999,4.6261
36,130,6,-7.6946,4.1487
36,130,7,0.66033,4.588
36,130,8,0.16842,-10.247
36,130,9,-9.9261,4.2842
36,130,10,1.582,4.4797
36,130,11,-0.54376,2.2679
36,130,12,4.4025,6.1726
36,130,13,-0.46338,6.5792
36,130,14,0.11299,3.5105
36,130,15,2.2027,2.0782
36,130,16,-4.6688,3.7586
36,130,17,-99999,-99999
36,130,18,-10.651,4.7498
36,130,19,-1.2184,4.0872
36,130,20,-5.345,4.3937
36,145,1,1.8271,3.9591
36,145,2,-3.959,4.4908
36,145,3,-6.7311,4.8877
36,145,4,-99999,5.6573
36,145,5,-99999,4.5556
36,145,6,-7.6058,4.0916
36,145,7,0.63796,4.5378
36,145,8,0.17012,-10.144
36,145,9,-10.032,4.2095
36,145,10,1.5702,4.4186
36,145,11,-0.57634,2.238
36,145,12,4.3416,6.1391
36,145,13,-0.46139,6.5648
36,145,14,0.09658,3.4485
36,145,15,2.1899,2.0776
36,145,16,-4.606,3.7078
36,145,17,-99999,-99999
36,145,18,-10.479,4.696
36,145,19,-1.1426,4.028
36,145,20,-5.3108,4.3415
36,200,1,1.7646,3.9079
36,200,2,-4.1666,4.4402
36,200,3,-7.1825,4.8267
36,200,4,-99999,5.6086
36,200,5,-99999,4.4945
36,200,6,-8.1255,4.0398
36,200,7,0.54593,4.4962
36,200,8,0.04667,-10.712
36,200,9,-10.648,4.1644
36,200,10,1.4496,4.3647
36,200,11,-0.64634,2.1916
36,200,12,4.2868,6.1074
36,200,13,-0.52995,6.5535
36,200,14,0.03917,3.3967
36,200,15,2.139,1.986
36,200,16,-4.8865,3.6593
36,200,17,-99999,-99999
36,200,18,-10.978,4.6435
36,200,19,-1.2338,3.9787
36,200,20,-5.7256,4.2927
36,215,1,1.7016,3.8522
36,215,2,-4.3866,4.388
36,215,3,-7.2813,4.7686
36,215,4,-99999,5.5594
36,215,5,-99999,4.4419
36,215,6,-8.2602,3.9914
36,215,7,0.45785,4.4518
36,215,8,-0.04216,-10.973
36,215,9,-10.799,4.1264
36,215,10,1.3676,4.3089
36,215,11,-0.67606,2.1304
36,215,12,4.2341,6.0768
36,215,13,-0.62747,6.543
36,215,14,-0.03257,3.3431
36,215,15,2.0737,1.9117
36,215,16,-4.9875,3.6086
36,215,17,-99999,-99999
36,215,18,-11.096,4.5946
36,215,19,-1.2353,3.9299
36,215,20,-5.8603,4.2438
36,230,1,1.6772,3.8027
36,230,2,-4.2199,4.3356
36,230,3,-6.8756,4.7123
36,230,4,-99999,5.5109
36,230,5,-99999,4.3868
36,230,6,-7.9089,3.9385
36,230,7,0.42564,4.4092
36,230,8,-0.05056,-10.477
36,230,9,-10.159,4.0852
36,230,10,1.3991,4.2528
36,230,11,-0.6598,2.0889
36,230,12,4.181,6.0467
36,230,13,-0.68933,6.5287
36,230,14,-0.08571,3.2858
36,230,15,2.0234,1.9075
36,230,16,-4.8771,3.5525
36,230,17,-99999,-99999
36,230,18,-10.691,4.5458
36,230,19,-1.1567,3.8783
36,230,20,-5.5142,4.1925
36,245,1,1.6675,3.7562
36,245,2,-3.9387,4.2796
36,245,3,-6.5465,4.6543
36,245,4,-99999,5.4626
36,245,5,-99999,4.3306
36,245,6,-7.4648,3.8884
36,245,7,0.42699,4.3691
36,245,8,0.02279,-9.9151
36,245,9,-9.6353,4.0288
36,245,10,1.4327,4.1982
