JULIAN DAY,TIME,Plot,air,7.5,aa
1,245,6,-1.8941,4.1776,
1,245,7,2.1447,4.7984,
1,245,8,0.9162,-8.5665,
1,245,9,-5.6225,4.3183,
1,245,10,2.313,4.4771,
1,245,11,0.43635,2.6364,
1,245,12,4.5402,6.3274,
1,245,13,1.0098,6.899,
1,245,14,1.1506,3.4925,
1,245,15,2.6144,2.6135,
1,245,16,-2.9302,3.8143,
1,245,17,,,
1,245,18,-8.3504,4.7506,
1,245,19,-1.2034,3.9604,
1,245,20,-2.2947,4.175,
1,300,1,2.2288,3.8746,
1,300,2,-4.8487,4.2241,
1,300,3,-2.2575,4.7137,
1,300,4,,5.63,
1,300,5,,4.4979,
1,300,6,-1.921,4.1382,
1,300,7,2.0969,4.7636,
1,300,8,0.8964,-8.6302,
1,300,9,-5.6988,4.2874,
1,300,10,2.2705,4.432,
1,300,11,0.41278,2.6048,
1,300,12,4.5013,6.3008,
1,300,13,0.98781,6.8902,
1,300,14,1.1249,3.4512,
1,300,15,2.5804,2.5712,
1,300,16,-2.9624,3.7731,
1,300,17,,,
1,300,18,-8.4491,4.7134,
1,300,19,-1.0003,3.9175,
1,300,20,-2.3955,4.1335,
1,315,1,2.1787,3.8258,
1,315,2,-4.8129,4.1751,
1,315,3,-2.2699,4.6667,
1,315,4,,5.5918,
1,315,5,,4.454,
1,315,6,-1.9393,4.0974,
1,315,7,2.0491,4.7294,
1,315,8,0.87447,-8.5695,
1,315,9,-5.7285,4.2491,
1,315,10,2.2359,4.3853,
1,315,11,0.38443,2.5745,
1,315,12,4.4623,6.2728,
1,315,13,0.96428,6.8761,
1,315,14,1.0925,3.4075,
1,315,15,2.5431,2.5295,
1,315,16,-2.9827,3.7289,
1,315,17,,,
1,315,18,-8.2731,4.6781,
1,315,19,-1.0547,3.8768,
1,315,20,-2.399,4.0918,
1,330,1,2.1408,3.7782,
1,330,2,-4.804,4.1277,
1,330,3,-2.2822,4.6213,
1,330,4,,5.553,
1,330,5,,4.4097,
1,330,6,-1.9399,4.057,
1,330,7,2,4.6914,
1,330,8,0.83544,-8.6248,
1,330,9,-5.7373,4.207,
1,330,10,2.203,4.3404,
1,330,11,0.35334,2.5394,
1,330,12,4.4238,6.2444,
1,330,13,0.94028,6.8618,
1,330,14,1.0614,3.3649,
1,330,15,2.5033,2.4909,
1,330,16,-2.9739,3.6858,
1,330,17,,,
1,330,18,-8.2721,4.6414,
1,330,19,-0.89399,3.8358,
1,330,20,-2.4417,4.051,
1,345,1,2.1,3.7343,
1,345,2,-4.765,4.086,
1,345,3,-2.2809,4.5752,
1,345,4,,5.5147,
1,345,5,,4.3662,
1,345,6,-1.9508,4.0185,
1,345,7,1.9518,4.6553,
1,345,8,0.81127,-8.6441,
1,345,9,-5.7379,4.1685,
1,345,10,2.1727,4.2963,
1,345,11,0.32302,2.505,
1,345,12,4.386,6.2155,
1,345,13,0.9182,6.8473,
1,345,14,1.0317,3.3235,
1,345,15,2.4655,2.456,
