year,site,plot,date,rep,stage1,stage2,stage3,stage4,stage5,average,overall,, , 
8,3,2,202,1,0,,,,,0,0,,,
8,3,2,209,1,1,,,,,1,1,,,
8,3,2,216,1,1,2,,,,1.5,1.25,,,
8,3,2,224,1,2,3,4,5,,3.5,3.75,,,
8,3,2,230,1,2,3,4,5,,3.5,4.25,,,
8,3,2,237,1,5,6,,,,5.5,5.75,,,
8,3,2,245,1,5,6,,,,5.5,5.75,,,
8,3,2,251,1,5,6,,,,5.5,5.75,,,
8,3,2,257,1,5,6,,,,5.5,5.75,,,
8,3,2,202,2,0,,,,,0,0,,,
8,3,2,209,2,1, ,,,,1,1,,,
8,3,2,216,2,1,2,,,,1.5,1.25,,,
8,3,2,224,2,1,2,3,4,5,3,4.25,,,
8,3,2,230,2,2,3,4,5,,3.5,4.25,,,
8,3,2,237,2,5,6,,,,5.5,5.25,,,
8,3,2,245,2,5,6,,,,5.5,5.75,,,
8,3,2,251,2,5,6,,,,5.5,5.75,,,
8,3,2,257,2,5,6,,,,5.5,5.75,,,
8,3,2,202,3,0,,,,,0,0,,,
8,3,2,209,3,1,,,,,1,1,,,
8,3,2,216,3,1,,,,,1,1,,,
8,3,2,224,3,2,3,4,5,,3.5,2.75,,,
8,3,2,230,3,2,3,4,5,,3.5,3.75,,,
8,3,2,237,3,5,6,,,,5.5,5.5,,,
8,3,2,245,3,5,6,,,,5.5,5.75,,,
8,3,2,251,3,5,6,,,,5.5,5.75,,,
8,3,2,257,3,5,6,,,,5.5,5.75,,,
8,3,2,202,4,0,,,,,0,0,,,
8,3,2,209,4,1,,,,,1,1,,,
8,3,2,216,4,1,2,,,,1.5,1.25,,,
8,3,2,224,4,2,3,4,5,6,4,3.25,,,
8,3,2,230,4,4,5,6,,,5,4.75,,,
8,3,2,237,4,5,6,,,,5.5,5.25,,,
8,3,2,245,4,5,6,,,,5.5,5.75,,,
8,3,2,251,4,5,6,,,,5.5,5.75,,,
8,3,2,257,4,5,6,,,,5.5,5.75,,,
8,3,2,202,5,0,,,,,0,0,,,
8,3,2,209,5,1,,,,,1,1,,,
8,3,2,216,5,1,,,,,1,1,,,
8,3,2,224,5,2,3,4,,,3,3.75,,,
8,3,2,230,5,3,4,5,,,4,4.25,,,
8,3,2,237,5,5,6,,,,5.5,5.25,,,
8,3,2,245,5,5,6,,,,5.5,5.75,,,
8,3,2,251,5,5,6,,,,5.5,5.75,,,
8,3,2,257,5,5,6,,,,5.5,5.75,,,
8,3,3,202,1,0,,,,,0,0,,,
8,3,3,209,1,1,1,,,,1,1,,,
8,3,3,216,1,1,2,,,,1.5,1.25,,,
8,3,3,224,1,2,3,4,5,,3.5,4.25,,,
8,3,3,230,1,5,6,,,,5.5,5.5,,,
8,3,3,237,1,5,6,,,,5.5,5.75,,,
8,3,3,245,1,5,6,,,,5.5,5.75,,,
8,3,3,251,1,5,6,,,,5.5,5.75,,,
8,3,3,257,1,6,,,,,6,6,,,
8,3,3,202,2,0,,,,,0,0,,,
8,3,3,209,2,1,,,,,1,1,,,
8,3,3,216,2,1,,,,,1,1,,,
8,3,3,224,2,2,3,4,,,3,3.25,,,
8,3,3,230,2,3,4,5,6,,4.5,4.75,,,
8,3,3,237,2,5,6,,,,5.5,5.75,,,
8,3,3,245,2,5,6,,,,5.5,5.75,,,
8,3,3,251,2,5,6,,,,5.5,5.75,,,
8,3,3,257,2,6,,,,,6,6,,,
8,3,3,202,3,0,,,,,0,0,,,
8,3,3,209,3,1, ,,,,1,1,,,
8,3,3,216,3,1,2,,,,1.5,1.25,,,
8,3,3,224,3,4,5,,,,4.5,4.75,,,
8,3,3,230,3,5,6,,,,5.5,5.75,,,
8,3,3,237,3,5,6,,,,5.5,5.75,,,
8,3,3,245,3,5,6,,,,5.5,5.75,,,
8,3,3,251,3,5,6,,,,5.5,5.75,,,
8,3,3,257,3,6,,,,,6,6,,,
8,3,3,202,4,0,,,,,0,0,,,
8,3,3,209,4,1,,,,,1,1,,,
8,3,3,216,4,1,2,,,,1.5,1.25,,,
8,3,3,224,4,2,3,4,,,3,3.25,,,
8,3,3,230,4,5,6,,,,5.5,5.25,,,
8,3,3,237,4,5,6,,,,5.5,5.25,,,
8,3,3,245,4,5,6,,,,5.5,5.75,,,
8,3,3,251,4,5,6,,,,5.5,5.75,,,
8,3,3,257,4,5,6,,,,5.5,5.75,,,
8,3,3,202,5,0,,,,,0,0,,,
8,3,3,209,5,1,,,,,1,1,,,
8,3,3,216,5,1,,,,,1,1,,,
8,3,3,224,5,3,4,5,,,4,4.25,,,
8,3,3,230,5,3,4,5,6,,4.5,5.25,,,
8,3,3,237,5,5,6,,,,5.5,5.25,,,
8,3,3,245,5,5,6,,,,5.5,5.75,,,
8,3,3,251,5,5,6,,,,5.5,5.75,,,
8,3,3,257,5,5,6,,,,5.5,5.75,,,
8,3,4,202,1,0,,,,,0,0,,,
8,3,4,209,1,1, ,,,,1,1,,,
8,3,4,216,1,1,2,,,,1.5,1.5,,,
8,3,4,224,1,4,5,,,,4.5,4.25,,,
8,3,4,230,1,4,5,6,,,5,5.25,,,
8,3,4,237,1,5,6,,,,5.5,5.25,,,
8,3,4,245,1,5,6,,,,5.5,5.75,,,
8,3,4,251,1,5,6,,,,5.5,5.75,,,
8,3,4,257,1,6,,,,,6,6,,,
8,3,4,202,2,0,,,,,0,0,,,
8,3,4,209,2,1,,,,,1,1,,,
8,3,4,216,2,1,,,,,1,1,,,
8,3,4,224,2,2,3,4,,,3,3.5,,,
8,3,4,230,2,3,4,5,6,,4.5,4.75,,,
8,3,4,237,2,5,6,,,,5.5,5.75,,,
8,3,4,245,2,5,6,,,,5.5,5.75,,,
8,3,4,251,2,6,,,,,6,6,,,
8,3,4,202,3,0,,,,,0,0,,,
8,3,4,209,3,1, ,,,,1,1,,,
8,3,4,216,3,1,2,,,,1.5,1.25,,,
8,3,4,224,3,2,3,4,5,,3.5,3.25,,,
8,3,4,230,3,5,6,,,,5.5,5.25,,,
8,3,4,237,3,5,6,,,,5.5,5.75,,,
8,3,4,245,3,5,6,,,,5.5,5.75,,,
8,3,4,251,3,5,6,,,,5.5,5.75,,,
8,3,4,257,3,6,,,,,6,6,,,
8,3,4,202,4,0,,,,,0,0,,,
8,3,4,209,4,1,,,,,1,1,,,
8,3,4,216,4,1,2,,,,1.5,1.25,,,
8,3,4,230,4,2,3,4,5,6,4,5.25,,,
8,3,4,237,4,5,6,,,,5.5,5.25,,,
8,3,4,245,4,5,6,,,,5.5,5.75,,,
8,3,4,251,4,5,6,,,,5.5,5.75,,,
8,3,4,257,4,5,6,,,,5.5,5.75,,,
8,3,4,202,5,1,,,,,1,1,,,
8,3,4,209,5,1,2,,,,1.5,1.25,,,
8,3,4,216,5,1,2,,,,1.5,1.25,,,
8,3,4,224,5,2,3,4,5,,3.5,3.75,,,
8,3,4,230,5,5,6,,,,5.5,5.25,,,
8,3,4,237,5,5,6,,,,5.5,5.25,,,
8,3,4,245,5,5,6,,,,5.5,5.75,,,
8,3,4,251,5,6,,,,,6,6,,,
,,,,,,,,,,,,,,
8,4,1,218,1,1,,,,,1,1,,,
8,4,1,222,1,3,4,5,,,4,4.25,,,
8,4,1,231,1,5,6,,,,5.5,5.75,,,
8,4,1,236,1,5,6,,,,5.5,5.75,,,
8,4,1,244,1,6,,,,,6,6,,,
8,4,1,194,2,1,,,,,1,1,,,
8,4,1,208,2,1,2,,,,1.5,1.25,,,
8,4,1,222,2,4,5,,,,4.5,4.75,,,
8,4,1,231,2,5,6,,,,5.5,5.75,,,
8,4,1,236,2,5,6,,,,5.5,5.75,,,
8,4,1,244,2,6,,,,,6,6,,,
8,4,1,208,3,1,,,,,1,1,,,
8,4,1,218,3,1,2,,,,1.5,1,,,
8,4,1,222,3,4,5,,,,4.5,4.25,,,
8,4,1,231,3,5,6,,,,5.5,5.5,,,
8,4,1,236,3,5,6,,,,5.5,5.75,,,
8,4,1,244,3,6,,,,,6,6,,,
8,4,1,208,4,1,,,,,1,1,,,
8,4,1,218,4,1,2,,,,1.5,1.25,,,
8,4,1,222,4,3,4,5,,,4,4.25,,,
8,4,1,231,4,5,6,,,,5.5,5.5,,,
8,4,1,236,4,5,6,,,,5.5,5.75,,,
8,4,1,251,4,5,6,,,,5.5,5.75,,,
8,4,1,257,4,6,,,,,6,6,,,
8,4,1,208,5,1,,,,,1,1,,,
8,4,1,218,5,1,2,,,,1.5,1.5,,,
8,4,1,222,5,3,4,5,,,4,4.25,,,
8,4,1,231,5,5,6,,,,5.5,5.75,,,
8,4,1,236,5,5,6,,,,5.5,5.75,,,
8,4,1,244,5,6,,,,,6,6,,,
8,4,3,218,1,1,,,,,1,1,,,
8,4,3,222,1,3,4,5,,,4,3.75,,,
8,4,3,231,1,5,6,,,,5.5,5.75,,,
8,4,3,236,1,5,6,,,,5.5,5.75,,,
8,4,3,244,1,6,,,,,6,6,,,
8,4,3,218,2,1,,,,,1,1,,,
8,4,3,222,2,3,4,5,,,4,4.25,,,
8,4,3,231,2,5,6,,,,5.5,5.25,,,
8,4,3,236,2,5,6,,,,5.5,5.75,,,
8,4,3,244,2,5,6,,,,5.5,5.75,,,
8,4,3,251,2,6,,,,,6,6,,,
8,4,3,208,3,1,,,,,1,1,,,
8,4,3,218,3,1,2,,,,1.5,1.5,,,
8,4,3,222,3,2,3,4,5,,3.5,4.25,,,
8,4,3,231,3,5,6,,,,5.5,5.5,,,
8,4,3,236,3,5,6,,,,5.5,5.5,,,
8,4,3,244,3,5,6,,,,5.5,5.75,,,
8,4,3,251,3,6,,,,,6,6,,,
8,4,3,218,4,1,,,,,1,1,,,
8,4,3,222,4,2,3,4,5,,3.5,3.75,,,
8,4,3,231,4,5,6,,,,5.5,5.5,,,
8,4,3,236,4,5,6,,,,5.5,5.75,,,
8,4,3,244,4,6,,,,,6,6,,,
8,4,3,208,5,1,,,,,1,1,,,
8,4,3,218,5,1,3,,,,2,1.75,,,
