year,site,plot,date,rep,stage1,stage2,stage3,stage4,stage5,average, 
5.00,4.00,3.00,193.00,1.00,1.00,2.00,3.00,4.00,5.00,3.00,
5.00,4.00,1.00,179.00,1.00,0.00,,,,,0.00,
5.00,4.00,1.00,186.00,1.00,1.00,2.00,3.00,4.00,,2.50,
5.00,4.00,1.00,193.00,1.00,3.00,4.00,5.00,,,4.00,
5.00,4.00,1.00,200.00,1.00,5.00,6.00,,,,5.50,
5.00,4.00,1.00,207.00,1.00,6.00,,,,,6.00,
5.00,4.00,1.00,179.00,2.00,0.00,,,,,0.00,
5.00,4.00,1.00,186.00,2.00,1.00,,,,,1.00,
5.00,4.00,1.00,193.00,2.00,3.00,4.00,,,,3.50,
5.00,4.00,1.00,200.00,2.00,4.00,5.00,,,,4.50,
5.00,4.00,1.00,207.00,2.00,5.00,6.00,,,,5.50,
5.00,4.00,1.00,214.00,2.00,6.00,,,,,6.00,
5.00,4.00,1.00,179.00,3.00,0.00,,,,,0.00,
5.00,4.00,1.00,186.00,3.00,1.00,2.00,3.00,4.00,,2.50,
5.00,4.00,1.00,193.00,3.00,2.00,3.00,4.00,,,3.00,
5.00,4.00,1.00,200.00,3.00,4.00,5.00,,,,4.50,
5.00,4.00,1.00,207.00,3.00,5.00,6.00,,,,5.50,
5.00,4.00,1.00,214.00,3.00,6.00,,,,,6.00,
5.00,4.00,1.00,179.00,4.00,0.00,,,,,0.00,
5.00,4.00,1.00,186.00,4.00,1.00,2.00,3.00,4.00,,2.50,
5.00,4.00,1.00,193.00,4.00,3.00,4.00,,,,3.50,
5.00,4.00,1.00,200.00,4.00,4.00,5.00,,,, ,
5.00,4.00,1.00,207.00,4.00,5.00,6.00,,,,5.50,
5.00,4.00,1.00,214.00,4.00,6.00,,,,,6.00,
5.00,4.00,2.00,172.00,1.00,1.00,2.00,,,,1.50,
5.00,4.00,2.00,179.00,1.00,2.00,3.00,4.00,,,3.00,
5.00,4.00,2.00,186.00,1.00,2.00,3.00,4.00,,,3.00,
5.00,4.00,2.00,193.00,1.00,5.00,,,,,5.00,
5.00,4.00,2.00,200.00,1.00,6.00,,,,,6.00,
5.00,4.00,2.00,172.00,2.00,1.00,,,,,1.00,
5.00,4.00,2.00,179.00,2.00,1.00,2.00,3.00,,,2.00,
5.00,4.00,2.00,186.00,2.00,1.00,2.00,3.00,4.00,,2.50,
5.00,4.00,2.00,193.00,2.00,3.00,4.00,5.00,,,4.00,
5.00,4.00,2.00,200.00,2.00,3.00,4.00,5.00,6.00,,4.50,
5.00,4.00,2.00,207.00,2.00,5.00,6.00,,,,5.50,
5.00,4.00,2.00,214.00,2.00,6.00,,,,,6.00,
5.00,4.00,2.00,172.00,3.00,1.00,,,,,1.00,
5.00,4.00,2.00,179.00,3.00,1.00,2.00,3.00,,,2.00,
5.00,4.00,2.00,186.00,3.00,2.00,3.00,4.00,,,3.00,
5.00,4.00,2.00,193.00,3.00,3.00,4.00,,,,3.50,
5.00,4.00,2.00,200.00,3.00,4.00,5.00,,,,4.50,
5.00,4.00,2.00,207.00,3.00,6.00,,,,,6.00,
5.00,4.00,2.00,172.00,4.00,1.00,2.00,3.00,4.00,,2.50,
5.00,4.00,2.00,179.00,4.00,1.00,2.00,3.00,4.00,,2.50,
5.00,4.00,2.00,186.00,4.00,2.00,3.00,4.00,,,3.00,
5.00,4.00,2.00,193.00,4.00,4.00,5.00,6.00,,,5.00,
5.00,4.00,2.00,200.00,4.00,3.00,4.00,5.00,6.00,,4.50,
5.00,4.00,2.00,207.00,4.00,6.00,,,,,6.00,
5.00,4.00,2.00,172.00,5.00,1.00,2.00,,,,1.50,
5.00,4.00,2.00,179.00,5.00,1.00,2.00,3.00,,,2.00,
5.00,4.00,2.00,186.00,5.00,2.00,4.00,,,,3.00,
5.00,4.00,2.00,193.00,5.00,3.00,4.00,5.00,6.00,,4.50,
5.00,4.00,2.00,200.00,5.00,4.00,5.00,6.00,,,5.00,
5.00,4.00,2.00,207.00,5.00,6.00,,,,,6.00,
5.00,4.00,3.00,172.00,1.00,0.00,,,,,0.00,
5.00,4.00,3.00,179.00,1.00,1.00,2.00,3.00,4.00,,2.50,
5.00,4.00,3.00,186.00,1.00,1.00,2.00,3.00,4.00,,2.50,
5.00,4.00,3.00,200.00,1.00,2.00,4.00,5.00,6.00,,4.25,
5.00,4.00,3.00,207.00,1.00,5.00,6.00,,,,5.50,
5.00,4.00,3.00,214.00,1.00,6.00,,,,,6.00,
5.00,4.00,3.00,172.00,2.00,0.00,,,,,0.00,
5.00,4.00,3.00,179.00,2.00,1.00,2.00,,,,1.50,
5.00,4.00,3.00,186.00,2.00,1.00,2.00,3.00,4.00,,2.50,
5.00,4.00,3.00,193.00,2.00,1.00,2.00,3.00,4.00,5.00,3.00,
5.00,4.00,3.00,200.00,2.00,2.00,3.00,4.00,5.00,,3.50,
5.00,4.00,3.00,207.00,2.00,5.00,6.00,,,,5.50,
5.00,4.00,3.00,214.00,2.00,4.00,6.00,,,,5.00,
5.00,4.00,3.00,221.00,2.00,6.00,,,,,6.00,
5.00,4.00,3.00,172.00,3.00,0.00,,,,,0.00,
5.00,4.00,3.00,179.00,3.00,1.00,2.00,3.00,,,2.00,
5.00,4.00,3.00,186.00,3.00,1.00,2.00,3.00,4.00,,2.50,
5.00,4.00,3.00,193.00,3.00,3.00,4.00,5.00,,,4.00,
5.00,4.00,3.00,200.00,3.00,3.00,4.00,5.00,6.00,,4.50,
5.00,4.00,3.00,207.00,3.00,5.00,6.00,,,,5.50,
5.00,4.00,3.00,214.00,3.00,6.00,,,,,6.00,
5.00,4.00,3.00,172.00,4.00,0.00,,,,,0.00,
5.00,4.00,3.00,179.00,4.00,1.00,2.00,,,,1.50,
5.00,4.00,3.00,186.00,4.00,1.00,2.00,4.00,,,2.33,
5.00,4.00,3.00,193.00,4.00,3.00,4.00,,,,3.50,
5.00,4.00,3.00,200.00,4.00,4.00, ,,,,4.00,
5.00,4.00,3.00,207.00,4.00,6.00,,,,,6.00,
5.00,4.00,3.00,172.00,5.00,0.00,,,,,0.00,
5.00,4.00,3.00,179.00,5.00,1.00,,,,,1.00,
5.00,4.00,3.00,186.00,5.00,1.00,,,,,1.00,
5.00,4.00,3.00,193.00,5.00,2.00,6.00,,,,4.00,
5.00,4.00,3.00,200.00,5.00,3.00,4.00,,,,3.50,
5.00,4.00,3.00,207.00,5.00,6.00,,,,,6.00,
5.00,4.00,4.00,172.00,1.00,1.00,2.00,,,,1.50,
5.00,4.00,4.00,179.00,1.00,1.00,2.00,3.00,4.00,,2.50,
5.00,4.00,4.00,186.00,1.00,1.00,2.00,4.00,,,2.33,
5.00,4.00,4.00,193.00,1.00,3.00,4.00,5.00,6.00,,4.50,
5.00,4.00,4.00,200.00,1.00,4.00,5.00,6.00,,,5.00,
5.00,4.00,4.00,207.00,1.00,6.00,,,,,6.00,
5.00,4.00,4.00,172.00,2.00,1.00,2.00,,,,1.50,
5.00,4.00,4.00,179.00,2.00,2.00,3.00,4.00,,,3.00,
5.00,4.00,4.00,186.00,2.00,3.00,4.00,,,,3.50,
5.00,4.00,4.00,193.00,2.00,6.00,,,,,6.00,
5.00,4.00,4.00,172.00,3.00,1.00,2.00,,,,1.50,
5.00,4.00,4.00,179.00,3.00,2.00,3.00,4.00,,,3.00,
5.00,4.00,4.00,186.00,3.00,2.00,3.00,4.00,,,3.00,
5.00,4.00,4.00,193.00,3.00,3.00,4.00,5.00,6.00,,4.50,
5.00,4.00,4.00,200.00,3.00,5.00,6.00,,,,5.50,
