year,site,plot,date,rep,stage1,stage2,stage3,stage4,stage5,average,overall
6,1,5,133,2,1,,,,,1,1
6,1,5,137,2,1,2,,,,1.5,1.5
6,1,5,142,2,1,2,3,4,,2.5,2
6,1,5,148,2,1,2,3,4,,2.5,2.75
6,1,5,155,2,1,2,3,4,5,3,3.5
6,1,5,161,2,3,4,5,,,4,4.25
6,1,5,168,2,5,6,,,,5.5,5.75
6,1,5,175,2,6,,,,,6,6
6,1,5,133,3,1,,,,,1,1
6,1,5,137,3,1,2,,,,1.5,1.5
6,1,5,142,3,1,2,4,,,2.333333333,2.5
6,1,5,148,3,1,2,3,4,,2.5,2.75
6,1,5,155,3,2,3,4,5,,3.5,4
6,1,5,161,3,4,5,,,,4.5,4.5
6,1,5,168,3,5,6,,,,5.5,5.75
6,1,5,175,3,6,,,,,6,6
6,1,5,133,4,1,2,,,,1.5,1.25
6,1,5,137,4,1,2,3,4,,2.5,3
6,1,5,142,4,1,2,3,4,,2.5,2.25
6,1,5,148,4,2,3,4, ,,3,2.5
6,1,5,155,4,4,5,,,,4.5,4.5
6,1,5,133,5,1,,,,,1,1
6,1,5,137,5,1,2,3,4,,2.5,3
6,1,5,142,5,1,2,3,4,,2.5,2.75
6,1,5,148,5,1,2,3,4,,2.5,3
6,1,5,155,5,3,4,5,,,4,4.5
6,1,5,161,5,4,5,,,,4.5,4.5
6,1,5,168,5,5,6,,,,5.5,5.75
6,1,5,175,5,6,,,,,6,6
6,1,6,133,1,0,,,,,0,0
6,1,6,137,1,1,,,,,1,1
6,1,6,142,1,1,2,,,,1.5,1.75
6,1,6,148,1,1,2,3,4,,2.5,2
6,1,6,155,1,1,2,3,4,5,3,3.75
6,1,6,161,1,3,4,5,,,4,4.25
6,1,6,133,2,0,,,,,0,0
6,1,6,137,2,1,,,,,1,1
6,1,6,142,2,1,2,3,4,,2.5,2.5
6,1,6,148,2,1,2,3,4,,2.5,2.25
6,1,6,155,2,2,3,4,,,3,3.25
6,1,6,161,2,3,4,5,,,4,4.25
6,1,6,133,3,0,,,,,0,0
6,1,6,137,3,1,,,,,1,1
6,1,6,142,3,1,,,,,1,1
6,1,6,148,3,1,2,3,4,,2.5,2.25
6,1,6,155,3,1,2,3,4,,2.5,2.75
6,1,6,161,3,3,4,5,,,4,4.25
6,1,6,168,3,4,5,6,,,5,5
6,1,6,175,3,6,,,,,6,6
6,1,6,133,4,0,,,,,0,0
6,1,6,137,4,1,,,,,1,1
6,1,6,142,4,1,2,3,4,,2.5,2
6,1,6,148,4,1,2,3,,,2,1.75
6,1,6,155,4,1,2,3,4,5,3,3.5
