year,site,plot,date,rep,stage1,stage2,stage3,average,overall
6,2,1,176,1,0,,,0,0
6,2,1,183,1,1,,,1,1
6,2,1,191,1,1,2,,1.5,1.5
6,2,1,197,1,1,2,3,2,2
6,2,1,203,1,1,2,3,2,2.75
6,2,1,211,1,3,4,,3.5,3.25
6,2,1,218,1,3,4,5,4,4
6,2,1,225,1,3,5,,4,4.75
6,2,1,231,1,3,5,6,4.666666667,5.25
6,2,1,238,1,3,5,6,4.666666667,5.75
6,2,1,246,1,3,5,6,4.666666667,5.75
6,2,1,176,2,0,,,0,0
6,2,1,183,2,1,,,1,1
6,2,1,191,2,1,2,,1.5,1.5
6,2,1,197,2,1,2,3,2,2
6,2,1,203,2,1,2,3,2,2.75
6,2,1,211,2,2,3,,2.5,3
6,2,1,218,2,3,4,,3.5,3.5
6,2,1,225,2,3,5,,4,4.75
6,2,1,231,2,3,5,6,4.666666667,5.25
6,2,1,238,2,3,5,6,4.666666667,5.75
6,2,1,246,2,3,5,6,4.666666667,5.75
6,2,1,176,3,0,,,0,0
6,2,1,183,3,1,,,1,1
6,2,1,191,3,1,2,,1.5,1.5
6,2,1,197,3,1,2,3,2,2.25
6,2,1,203,3,2,3,,2.5,2.75
6,2,1,211,3,2,3,,2.5,3
6,2,1,218,3,3,4,,3.5,3.25
6,2,1,225,3,3,5,6,4.666666667,5
6,2,1,231,3,3,5,6,4.666666667,5.25
6,2,1,238,3,3,5,6,4.666666667,5.75
6,2,1,246,3,3,5,6,4.666666667,5.75
6,2,1,176,4,0,,,0,0
6,2,1,183,4,1,,,1,1
6,2,1,191,4,1,2,,1.5,1.5
6,2,1,197,4,1,2,3,2,2.25
6,2,1,203,4,1,2,3,2,2.75
6,2,1,211,4,2,3,,2.5,3
6,2,1,218,4,3,4,,3.5,3.25
6,2,1,225,4,3,5,,4,4.5
6,2,1,231,4,3,5,,4,4.75
6,2,1,238,4,3,5,6,4.666666667,5.75
6,2,1,246,4,3,5,6,4.666666667,5.75
6,2,1,176,5,0,,,0,0
6,2,1,183,5,1,,,1,1
6,2,1,191,5,1,2,,1.5,1.5
6,2,1,197,5,1,2,3,2,2.25
6,2,1,203,5,2,3,,2.5,2.75
6,2,1,211,5,3,,,3,3
6,2,1,218,5,3,4,,3.5,3.25
6,2,1,225,5,3,5,6,4.666666667,5
6,2,1,231,5,3,5,6,4.666666667,5.5
6,2,1,238,5,3,5,6,4.666666667,5.75
6,2,1,246,5,3,5,6,4.666666667,5.75
6,2,2,169,1,0,,,0,0
6,2,2,176,1,1,,,1,1
6,2,2,183,1,1,2,,1.5,1.25
6,2,2,191,1,1,2,,1.5,1.75
6,2,2,197,1,2,3,,2.5,2.75
6,2,2,203,1,2,3,,2.5,2.75
6,2,2,211,1,3,4,,3.5,3.5
6,2,2,218,1,3,4,5,4,4.25
6,2,2,225,1,3,5,6,4.666666667,5
6,2,2,231,1,3,5,6,4.666666667,5.75
6,2,2,238,1,6,,,6,6
6,2,2,169,2,0,,,0,0
6,2,2,176,2,1,,,1,1
6,2,2,183,2,1,2,,1.5,1.5
6,2,2,191,2,1,2,,1.5,1.75
6,2,2,197,2,2,3,,2.5,2.75
6,2,2,203,2,2,,,2,2
6,2,2,211,2,3,4,,3.5,3.25
6,2,2,218,2,3,4,5,4,4.25
6,2,2,225,2,3,5,6,4.666666667,5
6,2,2,231,2,3,5,6,4.666666667,5.75
