year,site,plot,date,rep,stage1,stage2,stage3,average,overall
6,2,2,238,2,3,5,6,4.666666667,5.75
6,2,2,246,2,6,,,6,6
6,2,2,169,3,0,,,0,0
6,2,2,176,3,1,,,1,1
6,2,2,183,3,1,2,,1.5,1.5
6,2,2,191,3,1,2,,1.5,1.75
6,2,2,197,3,2,3,,2.5,2.75
6,2,2,203,3,3,,,3,3
6,2,2,211,3,3,,,3,3
6,2,2,218,3,3,4,5,4,4.25
6,2,2,225,3,3,5,6,4.666666667,5
6,2,2,231,3,3,5,6,4.666666667,5.75
6,2,2,238,3,6,,,6,6
6,2,2,169,4,0,,,0,0
6,2,2,176,4,1,,,1,1
6,2,2,183,4,1,2,,1.5,1.5
6,2,2,191,4,1,2,,1.5,1.75
6,2,2,197,4,2,3,,2.5,2.75
6,2,2,203,4,3,,,3,3
6,2,2,211,4,3,4,,3.5,3.25
6,2,2,218,4,3,4,5,4,3.75
6,2,2,225,4,3,5,6,4.666666667,5
6,2,2,231,4,3,5,6,4.666666667,5.75
6,2,2,238,4,6,,,6,6
6,2,2,169,5,0,,,0,0
6,2,2,176,5,1,,,1,1
6,2,2,183,5,1,2,,1.5,1.25
6,2,2,191,5,1,2,,1.5,1.75
6,2,2,197,5,1,2,3,2,2.5
6,2,2,203,5,2,3,,2.5,2.75
6,2,2,211,5,3,,,3,3
6,2,2,218,5,3,4,,3.5,3.5
6,2,2,225,5,3,5,,4,4.75
6,2,2,231,5,3,5,6,4.666666667,5.75
6,2,2,238,5,6,,,6,6
6,2,3,162,1,1,,,1,1
6,2,3,169,1,1,,,1,1
6,2,3,176,1,1,,,1,1
6,2,3,183,1,1,2,,1.5,1.25
6,2,3,191,1,1,2,,1.5,1.75
6,2,3,197,1,1,2,3,2,2.75
6,2,3,203,1,1,2,3,2,1.75
6,2,3,211,1,2,3,4,3,3
6,2,3,218,1,3,4,5,4,3.5
6,2,3,225,1,3,5,6,4.666666667,5
6,2,3,231,1,3,5,6,4.666666667,5.75
6,2,3,238,1,6,,,6,6
6,2,3,162,2,1,,,1,1
6,2,3,169,2,1,,,1,1
6,2,3,176,2,1,,,1,1
6,2,3,183,2,1,2,,1.5,1.5
6,2,3,191,2,1,2,,1.5,1.75
6,2,3,197,2,2,3,,2.5,2.75
6,2,3,203,2,1,2,,1.5,1.75
6,2,3,211,2,3,4,,3.5,3.25
6,2,3,218,2,3,4,,3.5,3.25
6,2,3,225,2,3,5,,4,4.75
6,2,3,231,2,3,5,6,4.666666667,5.5
6,2,3,238,2,5,6,,5.5,5.75
6,2,3,246,2,3,5,6,4.666666667,5.75
6,2,3,162,3,1,,,1,1
6,2,3,169,3,1,,,1,1
6,2,3,176,3,1,,,1,1
6,2,3,183,3,1,2,,1.5,1.25
6,2,3,191,3,1,2,,1.5,1.75
6,2,3,197,3,1,2,3,2,2.75
6,2,3,203,3,2,3,,2.5,2.75
6,2,3,211,3,2,3,4,3,3
6,2,3,218,3,3,4,,3.5,3.5
6,2,3,225,3,3,5,,4,4.75
6,2,3,231,3,3,5,6,4.666666667,5.25
6,2,3,238,3,5,6,,5.5,5.75
6,2,3,246,3,3,5,6,4.666666667,5.75
6,2,3,162,4,1,,,1,1
6,2,3,169,4,1,,,1,1
6,2,3,176,4,1,,,1,1
6,2,3,183,4,1,2,,1.5,1.25
6,2,3,191,4,1,2,,1.5,1.75
6,2,3,197,4,2,3,,2.5,2.75
6,2,3,203,4,2,3,,2.5,2.75
6,2,3,211,4,2,3,4,3,3.25
6,2,3,218,4,3,4,5,4,3.75
6,2,3,225,4,3,5,,4,4.75
6,2,3,231,4,3,5,6,4.666666667,5.25
6,2,3,238,4,5,6,,5.5,5.75
6,2,3,246,4,3,5,6,4.666666667,5.75
6,2,3,162,5,1,,,1,1
6,2,3,169,5,1,,,1,1
6,2,3,176,5,1,,,1,1
6,2,3,183,5,1,2,,1.5,1.75
6,2,3,191,5,1,2,,1.5,1.75
6,2,3,197,5,2,3,,2.5,2.75
6,2,3,203,5,2,3,,2.5,2.75
6,2,3,211,5,3,4,,3.5,3.25
6,2,3,218,5,3,4,5,4,4
6,2,3,225,5,3,5,,4,4.75
6,2,3,231,5,3,5,6,4.666666667,5.25
6,2,3,238,5,5,6,,5.5,5.75
6,2,3,246,5,3,5,6,4.666666667,5.75
6,2,4,176,1,0,,,0,0
6,2,4,183,1,1,,,1,1
6,2,4,191,1,1,2,,1.5,1.25
6,2,4,197,1,1,2,3,2,1.75
6,2,4,203,1,1,2,3,2,2.75
6,2,4,211,1,2,3,4,3,3
6,2,4,218,1,3,4,5,4,4
6,2,4,225,1,3,5,,4,4.75
6,2,4,231,1,3,5,6,4.666666667,5.25
6,2,4,238,1,3,5,6,4.666666667,5.75
6,2,4,246,1,3,5,6,4.666666667,5.75
6,2,4,176,2,0,,,0,0
6,2,4,183,2,1,,,1,1
6,2,4,191,2,1,2,,1.5,1.25
6,2,4,197,2,1,2,3,2,1.75
6,2,4,203,2,1,2,3,2,2.75
6,2,4,211,2,3,4,,3.5,3.25
6,2,4,218,2,3,4,5,4,4.25
6,2,4,225,2,3,5,,4,4.75
6,2,4,231,2,3,5,6,4.666666667,5
6,2,4,238,2,3,5,6,4.666666667,5.25
6,2,4,246,2,3,5,6,4.666666667,5.25
6,2,4,176,3,0,,,0,0
6,2,4,183,3,1,,,1,1
6,2,4,191,3,1,2,,1.5,1.25
6,2,4,197,3,1,2,,1.5,1.5
6,2,4,203,3,1,2,3,2,2.5
6,2,4,211,3,2,3,4,3,3
6,2,4,218,3,3,4,5,4,4.25
6,2,4,225,3,3,5,,4,4.75
6,2,4,231,3,3,5,6,4.666666667,5
6,2,4,238,3,3,5,6,4.666666667,5.25
6,2,4,246,3,3,5,6,4.666666667,5.25
6,2,4,176,4,0,,,0,0
6,2,4,183,4,1,,,1,1
6,2,4,191,4,1,,,1,1
6,2,4,197,4,1,2,,1.5,1.5
6,2,4,203,4,1,2,3,2,2.5
6,2,4,211,4,1,3,,2,3
6,2,4,218,4,3,,,3,3
6,2,4,225,4,3,,,3,3
6,2,4,231,4,3,5,6,4.666666667,5.75
6,2,4,238,4,6,,,6,6
6,2,4,176,5,0,,,0,0
6,2,4,183,5,1,,,1,1
6,2,4,191,5,1,,,1,1
6,2,4,197,5,1,2,,1.5,1.5
6,2,4,203,5,1,2,3,2,2.5
6,2,4,211,5,1,3,,2,3
6,2,4,218,5,3,4,,3.5,3.25
6,2,4,225,5,3,,,3,3
6,2,4,231,5,3,5,6,4.666666667,5.75
6,2,4,238,5,6,,,6,6
6,2,5,169,1,0,,,0,0
6,2,5,176,1,1,2,,1.5,1.25
6,2,5,183,1,1,2,,1.5,1.75
6,2,5,191,1,1,2,,1.5,1.75
6,2,5,197,1,2,3,,2.5,2.75
6,2,5,203,1,2,3,,2.5,2.75
6,2,5,211,1,3,4,,3.5,3.5
6,2,5,218,1,3,4,5,4,4.25
6,2,5,225,1,3,5,6,4.666666667,5
6,2,5,231,1,3,5,6,4.666666667,5.75
6,2,5,238,1,6,,,6,6
6,2,5,169,2,0,,,0,0
6,2,5,176,2,1,2,,1.5,1.25
6,2,5,183,2,1,2,,1.5,1.75
6,2,5,191,2,1,2,,1.5,1.75
6,2,5,197,2,2,3,,2.5,2.75
6,2,5,203,2,3,,,3,3
6,2,5,211,2,3,4,,3.5,3.25
6,2,5,218,2,3,4,5,4,4.25
6,2,5,225,2,3,5,6,4.666666667,5
6,2,5,231,2,3,5,6,4.666666667,5.75
6,2,5,238,2,6,,,6,6
6,2,5,169,3,0,,,0,0
6,2,5,176,3,1,2,,1.5,1.25
6,2,5,183,3,1,2,,1.5,1.75
6,2,5,191,3,1,2,,1.5,1.75
6,2,5,197,3,2,3,,2.5,2.75
6,2,5,203,3,2,3,,2.5,2.75
6,2,5,211,3,2,3,4,3,3.5
6,2,5,218,3,3,4,5,4,4.5
6,2,5,225,3,3,5,,4,4.75
6,2,5,231,3,3,5,6,4.666666667,5.5
6,2,5,238,3,3,5,6,4.666666667,5.75
6,2,5,246,3,3,5,6,4.666666667,5.75
6,2,5,169,5,0,,,0,0
6,2,5,176,5,1,,,1,1
6,2,5,183,5,1,,,1,1
6,2,5,191,5,1,2,,1.5,1.75
6,2,5,197,5,1,2,3,2,2.5
6,2,5,203,5,2,3,,2.5,2.75
6,2,5,211,5,3,4,,3.5,3
6,2,5,218,5,3,4,,3.5,3.5
6,2,5,225,5,3,4,5,4,4
6,2,5,231,5,3,5,6,4.666666667,5.5
6,2,5,238,5,3,5,6,4.666666667,5.75
6,2,5,246,5,6,,,6,6
6,2,6,169,1,0,,,0,0
6,2,6,176,1,1,,,1,1
6,2,6,183,1,1,,,1,1
6,2,6,191,1,1,2,,1.5,1.75
6,2,6,197,1,1,2,3,2,2
6,2,6,203,1,2,3,,2.5,2.75
6,2,6,211,1,3,4,,3.5,3.5
6,2,6,218,1,3,4,5,4,4.5
6,2,6,225,1,3,5,,4,4.75
6,2,6,231,1,3,5,6,4.666666667,5
6,2,6,238,1,3,5,6,4.666666667,5.25
6,2,6,246,1,3,5,6,4.666666667,5.75
6,2,6,176,2,0,,,0,0
6,2,6,183,2,1,,,1,1
6,2,6,191,2,1,2,,1.5,1.5
6,2,6,197,2,1,2,,1.5,1.75
6,2,6,203,2,1,2,3,2,2.5
6,2,6,211,2,2,3,4,3,3
6,2,6,225,2,3,5,,4,4.75
6,2,6,231,2,3,5,6,4.666666667,5.25
6,2,6,238,2,3,5,6,4.666666667,5.5
6,2,6,246,2,3,5,6,4.666666667,5.75
6,2,6,169,3,0,,,0,0
6,2,6,176,3,1,,,1,1
6,2,6,183,3,1,,,1,1
6,2,6,191,3,1,2,,1.5,1.75
6,2,6,197,3,1,2,3,2,2
6,2,6,203,3,1,2,3,2,2.75
6,2,6,211,3,2,3,4,3,3.25
6,2,6,218,3,3,4,,3.5,3.5
6,2,6,225,3,3,5,,4,4.75
6,2,6,231,3,3,5,6,4.666666667,5.25
6,2,6,238,3,3,5,6,4.666666667,5.25
6,2,6,246,3,3,5,6,4.666666667,5.5
6,2,6,176,4,0,,,0,0
6,2,6,183,4,1,,,1,1
6,2,6,191,4,1,2,,1.5,1.75
6,2,6,197,4,1,2,3,2,2.25
6,2,6,203,4,2,3,,2.5,2.75
6,2,6,211,4,3,,,3,3
6,2,6,218,4,3,4,,3.5,3.5
6,2,6,218,4,3,4,,3.5,3.5
6,2,6,225,4,3,5,6,4.666666667,4.75
6,2,6,231,4,3,5,6,4.666666667,5.25
6,2,6,238,4,3,5,6,4.666666667,5.75
6,2,6,246,4,3,5,6,4.666666667,5.75
6,2,6,176,5,0,,,0,0
6,2,6,183,5,1,,,1,1
6,2,6,191,5,1,2,,1.5,1.25
6,2,6,197,5,1,2,,1.5,1.75
6,2,6,203,5,1,2,3,2,2.5
6,2,6,211,5,2,3,,2.5,3
6,2,6,218,5,3,4,,3.5,3.5
6,2,6,225,5,3,5,,4,4.75
6,2,6,231,5,3,5,6,4.666666667,5
6,2,6,238,5,3,5,6,4.666666667,5.25
6,2,6,246,5,3,5,6,4.666666667,5.5
6,2,7,176,1,0,,,0,0
6,2,7,183,1,1,,,1,1
6,2,7,191,1,1,2,,1.5,1.25
6,2,7,197,1,1,2,,1.5,1.5
6,2,7,203,1,1,2,3,2,2
6,2,7,211,1,1,2,3,2,2.75
6,2,7,218,1,3,4,,3.5,3.5
6,2,7,225,1,3,5,,4,4.25
6,2,7,231,1,3,5,6,4.666666667,5.25
6,2,7,238,1,3,5,6,4.666666667,5.75
6,2,7,246,1,3,5,6,4.666666667,5.75
6,2,7,176,2,0,,,0,0
6,2,7,183,2,1,,,1,1
6,2,7,191,2,1,2,,1.5,1.25
6,2,7,197,2,1,2,3,2,2
6,2,7,203,2,2,3,,2.5,2.75
6,2,7,211,2,2,3,,2.5,3
6,2,7,218,2,3,4,5,4,4.25
6,2,7,225,2,3,5,,4,4.75
6,2,7,231,2,3,5,,4,4.75
6,2,7,238,2,3,5,6,4.666666667,5.25
6,2,7,246,2,3,5,6,4.666666667,5.5
6,2,7,176,3,0,,,0,0
6,2,7,183,3,1,,,1,1
6,2,7,191,3,1,2,,1.5,1.25
6,2,7,197,3,1,2,3,2,2
6,2,7,203,3,2,3,,2.5,2.5
6,2,7,211,3,1,2,3,2,2.75
6,2,7,218,3,3,4,5,4,4.25
6,2,7,225,3,3,5,,4,4.75
6,2,7,231,3,3,5,,4,4.75
6,2,7,238,3,3,5,6,4.666666667,5.25
6,2,7,246,3,3,5,6,4.666666667,5.25
6,2,7,176,4,0,,,0,0
6,2,7,183,4,1,,,1,1
6,2,7,191,4,1,2,,1.5,1.5
6,2,7,197,4,1,2,3,2,2
6,2,7,203,4,1,2,3,2,2
6,2,7,211,4,2,3,,2.5,3
6,2,7,218,4,3,4,5,4,4.25
6,2,7,225,4,3,5,,4,4.75
6,2,7,231,4,3,5,,4,4.75
6,2,7,238,4,3,5,6,4.666666667,5.25
6,2,7,246,4,3,5,6,4.666666667,5.25
6,2,7,176,5,0,,,0,0
6,2,7,183,5,1,,,1,1
6,2,7,191,5,1,,,1,1
6,2,7,197,5,1,2,,1.5,1.5
6,2,7,203,5,2,3,,2.5,2.5
6,2,7,211,5,2,3,,2.5,2.5
6,2,7,218,5,3,4,,3.5,3.5
6,2,7,225,5,3,5,,4,4.75
6,2,7,231,5,3,5,,4,4.75
6,2,7,238,5,3,5,6,4.666666667,5.25
6,2,7,246,5,3,5,6,4.666666667,5.25
6,2,8,162,1,1,,,1,1
6,2,8,169,1,1,,,1,1
6,2,8,176,1,1,,,1,1
6,2,8,183,1,1,2,,1.5,1.25
6,2,8,191,1,1,2,,1.5,1.5
6,2,8,197,1,1,2,3,2,2.75
6,2,8,203,1,2,3,,2.5,2.75
6,2,8,211,1,3,,,3,3
6,2,8,218,1,3,4,5,4,4.25
6,2,8,225,1,3,5,6,4.666666667,4.75
6,2,8,231,1,3,5,6,4.666666667,5.25
6,2,8,238,1,3,5,6,4.666666667,5.75
6,2,8,246,1,6,,,6,6
6,2,8,162,2,0,,,0,0
6,2,8,169,2,1,,,1,1
6,2,8,176,2,1,,,1,1
6,2,8,183,2,1,2,,1.5,1.25
6,2,8,191,2,1,2,,1.5,1.75
6,2,8,197,2,1,2,3,2,2.5
6,2,8,203,2,1,2,3,2,2.75
6,2,8,211,2,1,3,4,2.666666667,3.25
6,2,8,218,2,3,4,,3.5,3.5
6,2,8,225,2,3,5,,4,4.75
6,2,8,231,2,3,5,,4,4.75
6,2,8,238,2,3,5,6,4.666666667,5.75
6,2,8,246,2,6,,,6,6
6,2,8,162,3,1,,,1,1
6,2,8,169,3,1,,,1,1
6,2,8,176,3,1,,,1,1
6,2,8,183,3,1,2,,1.5,1.25
6,2,8,191,3,1,2,,1.5,1.75
6,2,8,197,3,1,2,3,2,2.75
6,2,8,203,3,2,3,,2.5,2.75
6,2,8,211,3,3,4,,3.5,3.25
6,2,8,218,3,3,4,,3.5,3.5
6,2,8,225,3,3,5,6,4.666666667,4.75
6,2,8,231,3,3,5,6,4.666666667,5.5
6,2,8,238,3,6,,,6,6
6,2,8,162,4,1,,,1,1
6,2,8,169,4,1,,,1,1
6,2,8,176,4,1,,,1,1
6,2,8,183,4,1,2,,1.5,1.25
6,2,8,191,4,1,2,,1.5,1.75
6,2,8,197,4,1,2,,1.5,2.5
6,2,8,203,4,2,3,,2.5,2.75
6,2,8,211,4,3,4,,3.5,3.5
6,2,8,218,4,3,4,,3.5,3.5
6,2,8,225,4,3,5,,4,4.75
6,2,8,231,4,3,5,6,4.666666667,5.25
6,2,8,238,4,3,5,6,4.666666667,5.25
6,2,8,246,4,6,,,6,6
6,2,8,162,5,1,,,1,1
6,2,8,169,5,1,,,1,1
6,2,8,176,5,1,,,1,1
6,2,8,183,5,0,,,0,0
6,2,8,191,5,4,5,,4.5,4.5
6,2,8,197,5,1,2,3,2,2.25
6,2,8,203,5,2,3,,2.5,2.75
6,2,8,211,5,3,4,,3.5,3.25
6,2,8,218,5,3,4,5,4,4.25
6,2,8,225,5,3,5,,4,4.75
6,2,8,231,5,3,5,6,4.666666667,5.25
6,2,8,238,5,3,5,6,4.666666667,5.75
6,2,8,246,5,3,5,6,4.666666667,5.75
6,2,9,169,1,0,,,0,0
6,2,9,176,1,1,,,1,1
6,2,9,183,1,1,2,,1.5,1.5
6,2,9,191,1,1,2,,1.5,1.75
6,2,9,197,1,1,2,3,2,2.75
6,2,9,203,1,2,3,,2.5,2.75
6,2,9,211,1,3,,,3,3
6,2,9,218,1,3,4,,3.5,3.5
6,2,9,225,1,3,5,,4,4.75
6,2,9,231,1,3,5,6,4.666666667,5.25
6,2,9,238,1,3,5,6,4.666666667,5.75
6,2,9,246,1,3,5,6,4.666666667,5.75
6,2,9,169,2,0,,,0,0
6,2,9,176,2,1,,,1,1
6,2,9,183,2,1,,,1,1
6,2,9,191,2,1,2,,1.5,1.75
6,2,9,197,2,1,2,3,2,2.25
6,2,9,203,2,2,3,,2.5,2.75
6,2,9,211,2,2,3,4,3,3.25
6,2,9,218,2,3,4,,3.5,3.5
6,2,9,225,2,3,5,6,4.666666667,4.25
6,2,9,231,2,3,5,6,4.666666667,5.25
6,2,9,238,2,3,5,6,4.666666667,5.75
6,2,9,246,2,3,5,6,4.666666667,5.75
6,2,9,169,4,0,,,0,0
6,2,9,176,4,1,,,1,1
6,2,9,183,4,1,2,,1.5,1.5
6,2,9,191,4,1,2,,1.5,1.75
6,2,9,197,4,2,3,,2.5,2.5
6,2,9,203,4,2,3,,2.5,2.75
6,2,9,211,4,3,,,3,3
6,2,9,218,4,3,4,,3.5,3.5
6,2,9,225,4,3,5,6,4.666666667,4.75
6,2,9,231,4,3,5,6,4.666666667,5.5
6,2,10,169,1,0,,,0,0
6,2,10,176,1,1,,,1,1
6,2,10,183,1,1,,,1,1
6,2,10,191,1,1,2,,1.5,1.25
6,2,10,197,1,1,2,3,2,1.5
6,2,10,203,1,1,2,3,2,2
6,2,10,211,1,1,2,3,2,2.75
6,2,10,218,1,3,4,5,4,4
6,2,10,225,1,3,5,,4,4.75
6,2,10,231,1,3,5,6,4.666666667,5
6,2,10,238,1,5,6,,5.5,5.25
6,2,10,246,1,5,6,,5.5,5.75
6,2,10,169,2,0,,,0,0
6,2,10,176,2,1,,,1,1
6,2,10,183,2,1,,,1,1
6,2,10,191,2,1,2,,1.5,1.5
6,2,10,197,2,1,2,3,2,2.5
6,2,10,203,2,3,,,3,3
6,2,10,211,2,3,4,,3.5,3
6,2,10,218,2,3,4,5,4,4
6,2,10,225,2,3,5,6,4.666666667,4.75
6,2,10,231,2,3,5,6,4.666666667,5.5
6,2,10,238,2,5,6,,5.5,5.75
6,2,10,246,2,5,6,,5.5,5.5
6,2,10,169,3,0,,,0,0
6,2,10,176,3,1,,,1,1
6,2,10,183,3,1,,,1,1
6,2,10,191,3,1,2,,1.5,1.25
6,2,10,197,3,1,2,3,2,1.75
6,2,10,203,3,1,2,3,2,2.5
6,2,10,211,3,2,3,4,3,3
6,2,10,218,3,3,4,5,4,4
6,2,10,225,3,3,5,,4,4.75
6,2,10,231,3,3,5,6,4.666666667,5
6,2,10,238,3,5,6,,5.5,5.75
6,2,10,246,3,5,6,,5.5,5.5
6,2,10,169,4,0,,,0,0
6,2,10,176,4,1,,,1,1
6,2,10,183,4,1,,,1,1
6,2,10,191,4,1,2,,1.5,1.75
6,2,10,197,4,1,2,,1.5,1.25
6,2,10,203,4,2,3,,2.5,2.75
6,2,10,211,4,3,,,3,3
6,2,10,218,4,3,4,,3.5,3.5
6,2,10,225,4,3,5,6,4.666666667,4.75
6,2,10,231,4,3,5,6,4.666666667,5.5
6,2,10,238,4,5,6,,5.5,5.75
6,2,10,246,4,5,6,,5.5,5.5
6,2,10,176,5,0,,,0,0
6,2,10,183,5,1,,,1,1
6,2,10,191,5,1,2,,1.5,1.5
6,2,10,197,5,1,2,3,2,2
6,2,10,203,5,2,,,2,3
6,2,10,211,5,3,4,,3.5,3.25
6,2,10,218,5,3,4,5,4,4
6,2,10,225,5,3,5,,4,4.75
6,2,10,231,5,3,5,6,4.666666667,5.25
6,2,10,238,5,3,5,6,4.666666667,5.75
6,2,10,246,5,5,6,,5.5,5.5
6,3,1,178,1,1,,,1,1
6,3,1,186,1,1,2,,1.5,1.25
6,3,1,192,1,1,2,3,2,2
6,3,1,200,1,1,2,3,2,2.5
6,3,1,206,1,2,3,,2.5,2.25
6,3,1,214,1,2,3,,2.5,2.75
6,3,1,220,1,3,4,5,4,4.5
6,3,1,227,1,3,5,,4,4.5
6,3,1,234,1,3,5,6,4.666666667,5.5
6,3,1,241,1,3,5,6,4.666666667,5.75
6,3,1,247,1,6,,,6,6
6,3,1,178,2,1,,,1,1
6,3,1,186,2,1,2,,1.5,1.25
6,3,1,192,2,1,2,3,2,2
6,3,1,200,2,1,2,,1.5,2.5
6,3,1,206,2,1,2,3,2,2.75
6,3,1,214,2,2,3,,2.5,2.75
6,3,1,220,2,3,4,5,4,4.5
6,3,1,227,2,3,5,,4,4.5
6,3,1,234,2,3,5,6,4.666666667,5
6,3,1,241,2,3,5,6,4.666666667,5.25
6,3,1,247,2,3,5,6,4.666666667,5.75
6,3,1,178,3,1,,,1,1
6,3,1,186,3,1,2,,1.5,1.5
6,3,1,192,3,1,2,3,2,2.25
6,3,1,200,3,2,3,,2.5,2.75
6,3,1,206,3,2,3,,2.5,2.75
6,3,1,214,3,3,,,3,3
6,3,1,220,3,3,4,5,4,4.5
6,3,1,227,3,3,5,,4,4.75
6,3,1,234,3,3,5,6,4.666666667,5
6,3,1,241,3,6, , ,6,6
6,3,1,178,4,1,,,1,1
6,3,1,186,4,1,2,,1.5,1.5
6,3,1,192,4,1,2,3,2,2.25
6,3,1,200,4,2,3,,2.5,2.75
6,3,1,206,4,2,3,,2.5,2.75
6,3,1,214,4,2,3,,2.5,2.75
6,3,1,220,4,3,4,5,4,4.5
6,3,1,227,4,3,5,,4,4.5
6,3,1,178,5,1,,,1,1
6,3,1,186,5,1,2,,1.5,1.25
6,3,1,192,5,1,2,3,2,2
6,3,1,200,5,1,2,3,2,2.5
6,3,1,206,5,2,3,,2.5,2.25
6,3,1,214,5,2,3,,2.5,2.75
6,3,1,220,5,3,4,5,4,4.5
6,3,1,227,5,3,5,,4,4.5
6,3,1,234,5,3,5,6,4.666666667,5.25
6,3,1,241,5,3,5,6,4.666666667,5.5
6,3,1,247,5,3,5,6,4.666666667,5.75
6,3,2,178,1,0,,,0,0
6,3,2,186,1,1,,,1,1
6,3,2,192,1,1,2,,1.5,1.5
6,3,2,200,1,1,2,3,2,2
6,3,2,206,1,1,2,3,2,2.5
6,3,2,214,1,3,,,3,3
6,3,2,220,1,3,4,5,4,4.25
6,3,2,227,1,3,5,,4,4.5
6,3,2,234,1,3,5,6,4.666666667,5.25
6,3,2,247,1,6,,,6,6
6,3,2,178,2,0,,,0,0
6,3,2,186,2,1,,,1,1
6,3,2,192,2,1,2,,1.5,1.25
6,3,2,200,2,1,2,3,2,2
6,3,2,206,2,1,2,3,2,2.5
6,3,2,214,2,2,3,,2.5,2.75
6,3,2,220,2,3,4,5,4,4.5
6,3,2,227,2,3,5,,4,4.5
6,3,2,234,2,3,5,6,4.666666667,5
6,3,2,241,2,3,5,6,4.666666667,5.25
6,3,2,247,2,3,5,6,4.666666667,5.25
6,3,2,178,3,0,,,0,0
6,3,2,186,3,1,,,1,1
6,3,2,192,3,1,2,,1.5,1.25
6,3,2,200,3,1,2,3,2,1.75
6,3,2,206,3,1,2,3,2,2
6,3,2,214,3,2,3,,2.5,2.75
6,3,2,220,3,3,4,5,4,4.25
6,3,2,227,3,3,5,,4,4.75
6,3,2,234,3,3,5,6,4.666666667,5
6,3,2,241,3,3,5,6,4.666666667,5.25
6,3,2,247,3,3,5,6,4.666666667,5.75
6,3,2,178,4,0,,,0,0
6,3,2,186,4,1,,,1,1
6,3,2,192,4,1,,,1,1
6,3,2,200,4,1,2,,1.5,1.75
6,3,2,206,4,1,2,3,2,2.25
6,3,2,214,4,3,,,3,3
6,3,2,220,4,3,4,5,4,4
6,3,2,227,4,3,5,,4,4.5
6,3,2,234,4,3,5,6,4.666666667,5.25
6,3,2,241,4,3,5,6,4.666666667,5.5
6,3,2,247,4,3,5,6,4.666666667,5.75
6,3,2,178,5,0,,,0,0
6,3,2,186,5,1,,,1,1
