year,site,plot,date,rep,stage1,stage2,stage3,stage4,stage5,average,overall,
8,1,1,181,1,1,2,,,,1.5,1.5,
8,1,1,189,1,1,2,,,,1.5,1.25,
8,1,1,195,1,1,2,,,,1.5,1.5,
8,1,1,203,1,1,2,,,,1.5,1.5,
8,1,1,208,1,1,2,3,,,2,2.25,
8,1,1,217,1,2,3,,,,2.5,2.5,
8,1,1,222,1,1,2,3,4,5,3,4.5,
8,1,1,229,1,5,6,,,,5.5,5.75,
8,1,1,243,1,6,,,,,6,6, 
8,1,1,181,2,1,,,,,1,1,
8,1,1,189,2,1,2,,,,1.5,1.25,
8,1,1,195,2,1,2,,,,1.5,1.75,
8,1,1,203,2,1,2,,,,1.5,1.5,
8,1,1,208,2,2,3,,,,2.5,2.25,
8,1,1,217,2,2,3,,,,2.5,2.5,
8,1,1,222,2,1,2,3,4,5,3,4.25,
8,1,1,229,2,6,,,,,6,6,
8,1,1,181,3,1,,,,,1,1,
8,1,1,189,3,1,2,,,,1.5,1.5,
8,1,1,195,3,1,2,,,,1.5,1.5,
8,1,1,203,3,1,2,,,,1.5,1.25,
8,1,1,208,3,1,2,,,,1.5,1.75,
8,1,1,217,3,1,2,,,,1.5,1.75,
8,1,1,222,3,1,2,3,4,5,3,4.5,
8,1,1,229,3,5,6,,,,5.5,5.75,
8,1,1,243,3,6,,,,,6,6,
8,1,1,181,4,1,2,,,,1.5,1.25,
8,1,1,189,4,1,2,,,,1.5,1.25,
8,1,1,195,4,1,2,,,,1.5,1.25,
8,1,1,203,4,1,2,,,,1.5,1.5,
8,1,1,208,4,1,2,3,,,2,2.25,
8,1,1,217,4,2,3,,,,2.5,2.75,
8,1,1,222,4,1,2,3,4,5,3,4.25,
8,1,1,229,4,5,6,,,,5.5,5.75,
8,1,1,243,4,6,,,,,6,6,
8,1,1,181,5,1,2,,,,1.5,1.25,
8,1,1,189,5,1,2,,,,1.5,1.25,
8,1,1,195,5,1,2,,,,1.5,1.25,
8,1,1,203,5,1,2,,,,1.5,1.5,
8,1,1,208,5,1,2,3,,,2,2.5,
8,1,1,217,5,2,3,,,,2.5,2.75,
8,1,1,222,5,1,2,3,4,5,3,4.25,
8,1,1,229,5,5,6,,,,5.5,5.7,
8,1,1,243,5,6,,,,,6,6,
8,1,2,181,1,1,,,,,1,1,
8,1,2,189,1,1,2,,,,1.5,1.25,
8,1,2,195,1,1,2,,,,1.5,1.25,
8,1,2,203,1,1,2,,,,1.5,1.25,
8,1,2,208,1,1,2,,,,1.5,1.75,
8,1,2,217,1,1,2,,,,1.5,1.75,
8,1,2,222,1,1,2,3,4,5,3,3.25,
8,1,2,229,1,1,2,3,4,5,3,4.75,
8,1,2,243,1,5,6,,,,5.5,5.75,
8,1,2,251,1,6,,,,,6,6,
8,1,2,181,2,1,2,,,,1.5,1.25,
8,1,2,189,2,1,2,,,,1.5,1.25,
8,1,2,195,2,1,2,,,,1.5,1.25,
8,1,2,203,2,1,2,,,,1.5,1.25,
8,1,2,208,2,1,2,,,,1.5,1.75,
8,1,2,217,2,1,2,,,,1.5,1.75,
8,1,2,222,2,1,2,3,4,5,3,4.25,
8,1,2,229,2,1,2,3,4,,2.5,3.75,
8,1,2,243,2,5,6,,,,5.5,5.75,
8,1,2,251,2,6,,,,,6,6,
8,1,2,181,3,1,2,,,,1.5,1.25,
8,1,2,189,3,1,2,,,,1.5,1.5,
8,1,2,195,3,1,2,,,,1.5,1.5,
8,1,2,203,3,1,2,,,,1.5,1.25,
8,1,2,208,3,1,2,3,,,2,2.25,
8,1,2,217,3,1,2,3,,,2,2.25,
8,1,2,222,3,1,2,3,4,,2.5,3.75,
8,1,2,229,3,5,6,,,,5.5,5.75,
8,1,2,243,3,6,,,,,6,6,
8,1,2,181,4,1,2,,,,1.5,1.25,
8,1,2,189,4,1,2,,,,1.5,1.25,
8,1,2,195,4,1,2,,,,1.5,1.25,
8,1,2,203,4,1,2,,,,1.5,1.25,
8,1,2,208,4,1,2,3,,,2,1.75,
8,1,2,217,4,1,2,3,,,2,2.25,
8,1,2,222,4,1,2,3,4,,2.5,3.5,
8,1,2,229,4,2,3,4,5,6,4,5.75,
8,1,2,243,4,6,,,,,6,6,
8,1,2,181,5,1,,,,,1,1,
8,1,2,189,5,1,2,,,,1.5,1.25,
8,1,2,195,5,1,2,,,,1.5,1.75,
8,1,2,203,5,1,2,,,,1.5,1.5,
8,1,2,208,5,1,2,,,,1.5,1.75,
8,1,2,217,5,1,2,3,,,2,2.25,
8,1,2,222,5,1,2,3,4,,2.5,3.75,
8,1,2,229,5,4,5,6,,,5,5.5,
8,1,2,243,5,6,,,,,6,6,
8,1,3,181,1,1,2,,,,1.5,1.25,
8,1,3,189,1,1,2,,,,1.5,1.25,
8,1,3,195,1,1,2,,,,1.5,1.75,
8,1,3,203,1,1,2,,,,1.5,1.5,
8,1,3,208,1,1,2,,,,1.5,1.75,
8,1,3,217,1,1,2,,,,1.5,1.75,
8,1,3,222,1,1,2,3,4,5,3,4.25,
8,1,3,229,1,5,6,,,,5.5,5.25,
8,1,3,243,1,5,6,,,,5.5,5.75,
8,1,3,251,1,6,,,,,6,6,
8,1,3,181,2,1,2,,,,1.5,1.25,
8,1,3,189,2,1,2,,,,1.5,1.25,
8,1,3,195,2,1,2,,,,1.5,1.25,
8,1,3,203,2,1,2,3,,,2,2.25,
8,1,3,217,2,1,2,3,,,2,2.25,
8,1,3,222,2,1,2,3,4,,2.5,3.75,
8,1,3,229,2,5,6,,,,5.5,5.75,
