year,site,plot,date,rep,stage1,stage2,stage3,stage4,stage5,average,overall,, , 
8,2,6,136,1,1,2,,,,1.5,1.25,,,
8,2,6,145,1,1,2,3,4,,2.5,3,,,
8,2,6,152,1,3,4,,,,3.5,3.75,,,
8,2,6,160,1,6, , , , ,6,6,,,
8,2,6,136,2,1,2,,,,1.5,1.25,,,
8,2,6,145,2,3,,,,,3,3,,,
8,2,6,152,2,3,4,,,,3.5,3.75,,,
8,2,6,160,2,3,4,5,6,,4.5,5.75,,,
8,2,6,166,2,6,,,,,6,6,,,
8,2,6,136,3,1,2,,,,1.5,1.25,,,
8,2,6,145,3,2,3,,,,2.5,2.5,,,
8,2,6,152,3,3,4,,,,3.5,3.25,,,
8,2,6,160,3,3,4,5,6,,4.5,3.75,,,
8,2,6,166,3,6,,,,,6,6,,,
8,2,6,136,4,1,2,3,,,2,2.25,,,
8,2,6,145,4,1,2,3,4,,2.5,2,,,
8,2,6,152,4,3,4,5,6,,4.5,4.5,,,
8,2,6,160,4,3,4,5,6,,4.5,5.25,,,
8,2,6,166,4,6,,,,,6,6,,,
8,2,6,136,5,1,2,,,,1.5,1.25,,,
8,2,6,145,5,2,3,4,,,3,3.25,,,
8,2,6,152,5,3,4,5,6,,4.5,4.75,,,
8,2,6,160,5,6,,,,,6,6,,,
8,2,7,136,1,1,,,,,1,1,,,
8,2,7,145,1,1,2,3,,,2,2.25,,,
8,2,7,152,1,3,4,,,,3.5,3.25,,,
8,2,7,160,1,3,4,5,6,,4.5,4.75,,,
8,2,7,166,1,3,4,5,6,,4.5,5.25,,,
8,2,7,175,1,4,5,6, ,,5,5.25,,,
8,2,7,181,1,6,,,,,6,6,,,
8,2,7,136,2,1,2,,,,1.5,1.25,,,
8,2,7,145,2,1,2,3,,,2,2.5,,,
8,2,7,152,2,3,4,,,,3.5,3.75,,,
8,2,7,160,2,3,4,5,,,4,4.75,,,
8,2,7,166,2,3,4,5,,,4,4.75,,,
8,2,7,175,2,3,4,5,6,,4.5,4.25,,,
8,2,7,181,2,6,,,,,6,6,,,
8,2,7,136,3,1,,,,,1,1,,,
8,2,7,145,3,1,2,3,,,2,2.5,,,
8,2,7,152,3,3,,,,,3,3,,,
8,2,7,160,3,3,4,5,,,4,4.5,,,
8,2,7,166,3,6,,,,,6,6,,,
8,2,7,136,4,1,2,,,,1.5,1.25,,,
8,2,7,145,4,1,2,3,,,2,2.25,,,
8,2,7,152,4,3,,,,,3,3,,,
8,2,7,160,4,3,,,,,3,3,,,
8,2,7,166,4,6,,,,,6,6,,,
8,2,7,136,5,1,2,,,,1.5,1.25,,,
8,2,7,145,5,1,2,3,,,2,2.25,,,
8,2,7,152,5,1,3,,,,2,3,,,
8,2,7,160,5,3,4,5,,,4,4.25,,,
8,2,7,166,5,3,4,5,,,4,4.75,,,
8,2,7,175,5,6,,,,,6,6,,,
8,2,8,136,1,1,2,,,,1.5,1.25,,,
8,2,8,145,1,2,3,,,,2.5,2.5,,,
8,2,8,152,1,3,6, ,,,4.5,3.25,,,
