year,site,plot,date,rep,stage1,stage2,stage3,stage4,stage5,average,overall
7,3,1,213,1,1,3,,,,2,2
7,3,1,220,1,1,3,4,,,2.666666667,3.5
7,3,1,227,1,4,5,6,,,5,5
7,3,1,233,1,4,5,6,,,5,5
7,3,1,240,1,5,6,,,,5.5,5.25
7,3,1,247,1,5,6,,,,5.5,5.25
7,3,1,254,1,5,6,,,,5.5,5.5
7,3,1,213,2,1,3,,,,2,2
7,3,1,220,2,3,4,,,,3.5,3.5
7,3,1,227,2,5,6,,,,5.5,5.25
7,3,1,233,2,5,6,,,,5.5,5.25
7,3,1,240,2,4,5,6,,,5,5.25
7,3,1,247,2,5,6,,,,5.5,5.5
7,3,1,254,2,5,6,,,,5.5,5.5
7,3,1,213,3,1,3,,,,2,2
7,3,1,220,3,3,4,,,,3.5,3.25
7,3,1,227,3,4,5,6,,,5,5.25
7,3,1,233,3,5,6,,,,5.5,5.5
7,3,1,240,3,5,6,,,,5.5,5.5
7,3,1,247,3,5,6,,,,5.5,5.75
7,3,1,254,3,5,6,,,,5.5,5.75
7,3,1,213,4,1,3,,,,2,1.5
7,3,1,220,4,3,4,,,,3.5,3.5
7,3,1,227,4,4,5,6,,,5,4.75
7,3,1,233,4,4,5,6,,,5,5
7,3,1,240,4,5,6,,,,5.5,5.75
7,3,1,247,4,5,6,,,,5.5,5.5
7,3,1,254,4,6,,,,,6,6
7,3,1,213,5,1,3,,,,2,2
7,3,1,220,5,4,,,,,4,4
7,3,1,227,5,4,,,,,4,4
7,3,1,233,5,5,,,,,5,5
7,3,1,240,5,5,6,,,,5.5,5.75
7,3,1,247,5,5,6,,,,5.5,5.75
7,3,1,254,5,5,6,,,,5.5,5.75
7,3,2,213,1,1,2,,,,1.5,1.25
7,3,2,220,1,1,2,3,,,2,1.75
7,3,2,227,1,1,4,5,,,3.333333333,3
7,3,2,233,1,2,3,4,5,,3.5,3.5
7,3,2,240,1,5,6,,,,5.5,5.25
7,3,2,247,1,5,6,,,,5.5,5.25
7,3,2,254,1,5,6,,,,5.5,5.5
7,3,2,213,2,1,2,,,,1.5,1.25
7,3,2,220,2,4,,,,,4,4
7,3,2,227,2,3,5,,,,4,4.25
7,3,2,233,2,4,5,,,,4.5,4.5
7,3,2,240,2,5,6,,,,5.5,5.25
7,3,2,247,2,5,6,,,,5.5,5.25
7,3,2,254,2,5,6,,,,5.5,5.25
7,3,2,213,3,1,2,3,,,2,2
7,3,2,220,3,3,4,,,,3.5,3.25
7,3,2,227,3,1,4,5,,,3.333333333,4
7,3,2,233,3,3,4,5,,,4,4
7,3,2,240,3,5,6,,,,5.5,5.25
7,3,2,247,3,5,6,,,,5.5,5.25
7,3,2,254,3,5,6,,,,5.5,5.75
7,3,2,213,4,1,,,,,1,1
7,3,2,220,4,1,2,3,,,2,1.75
7,3,2,227,4,2,4,6,,,4,4
7,3,2,233,4,4,5,,,,4.5,4.5
7,3,2,240,4,1,4,5,,,3.333333333,3.75
7,3,2,247,4,3,4,5,,,4,4.25
7,3,2,254,4,4,5,6,,,5,5
7,3,2,213,5,1,2,,,,1.5,1.25
7,3,2,220,5,1,2,3,4,,2.5,2.25
7,3,2,227,5,1,3,5,,,3,4
7,3,2,233,5,4,5,,,,4.5,4.75
7,3,2,240,5,4,5,,,,4.5,4.75
7,3,2,247,5,5,6,,,,5.5,5.25
7,3,2,254,5,5,6,,,,5.5,5.25
7,3,3,213,1,1,2,,,,1.5,1
7,3,3,220,1,1,,,,,1,1
7,3,3,227,1,1,3,4,,,2.666666667,3.5
7,3,3,233,1,1,3,4,5,,3.25,3
7,3,3,240,1,3,4,5,,,4,4.25
7,3,3,247,1,1,3,4,5,,3.25,3.75
7,3,3,254,1,3,4,5,,,4,3.75
7,3,3,213,2,1,2,3,,,2,1.75
7,3,3,220,2,1,3,4,,,2.666666667,3
7,3,3,227,2,1,3,4,5,,3.25,3.25
7,3,3,233,2,2,3,4,5,,3.5,3.5
7,3,3,240,2,4,5,6,,,5,4.75
7,3,3,247,2,4,5,6,,,5,5
7,3,3,254,2,5,6,,,,5.5,5.25
7,3,3,213,3,1,2,3,,,2,1.75
7,3,3,220,3,1,2,4,,,2.333333333,2.5
7,3,3,227,3,1,2,4,5,,3,3.5
7,3,3,233,3,3,4,5,,,4,4.5
7,3,3,240,3,4,5,,,,4.5,4.75
7,3,3,247,3,5,6,,,,5.5,5.25
