year,site,plot,date,rep,stage1,stage2,stage3,stage4,stage5,average,overall,
7,1,1,219,1,3,4,,,,3.5,3.5,
7,1,1,225,1,2,3,4,,,3,3.5,
7,1,1,232,1,3,4,5,6,,4.5,4.25,
7,1,1,239,1,5,6,,,,5.5,5.5,
7,1,1,246,1,5,6,,,,5.5,5.75,
7,1,1,253,1,6, ,,,,6,6,
7,1,1,219,2,3,4,,,,3.5,3.5,
7,1,1,225,2,3,4,,,,3.5,3.75,
7,1,1,232,2,5,,,,,5,5,
7,1,1,239,2,5,6,,,,5.5,5.75,
7,1,1,246,2,5,6,,,,5.5,5.75,
7,1,1,253,2,5,6,,,,5.5,5.75,
7,1,1,219,3,3,4,,,,3.5,3.25,
7,1,1,225,3,3,4,5,6,,4.5,4.25,
7,1,1,232,3,4,5,6,,,5,5,
7,1,1,239,3,5,6,,,,5.5,5.25,
7,1,1,246,3,5,6,,,,5.5,5.5,
7,1,1,253,3,5,6,,,,5.5,5.75,
7,1,1,219,4,3,4,,,,3.5,3.75,
7,1,1,225,4,3,4,5,,,4,4.5,
7,1,1,232,4,5,6,,,,5.5,5.25,
7,1,1,239,4,5,6,,,,5.5,5.5,
7,1,1,246,4,5,6,,,,5.5,5.75,
7,1,1,253,4,5,6,,,,5.5,5.75,
7,1,1,219,5,3,4,,,,3.5,3.5,
7,1,1,225,5,2,3,4,,,3,3.5,
7,1,1,232,5,3,4,5,6,,4.5,4.5,
7,1,1,239,5,5,6,,,,5.5,5.25,
7,1,1,246,5,5,6,,,,5.5,5.75,
7,1,1,253,5,5,6,,,,5.5,5.75,
7,1,2,162,1,1,,,,,1,1,
7,1,2,169,1,1,,,,,1,1,
7,1,2,176,1,1,,,,,1,1,
7,1,2,184,1,1,,,,,1,1,
7,1,2,190,1,1,,,,,1,1,
7,1,2,197,1,1,2,,,,1.5,1.25,
7,1,2,204,1,1,2,3,,,2,2,
7,1,2,212,1,2,3,4,,,3,3.25,
7,1,2,219,1,3,4,,,,3.5,3.75,
7,1,2,225,1,3,4,5,,,4,4,
7,1,2,232,1,4,5,6,,,5,4.75,
7,1,2,239,1,5,6,,,,5.5,5.75,
7,1,2,246,1,6,,,,,6,6,
7,1,2,162,2,0,,,,,0,0,
7,1,2,169,2,1,,,,,1,1,
7,1,2,176,2,1,,,,,1,1,
7,1,2,184,2,1,,,,,1,1,
7,1,2,190,2,1,2,,,,1.5,1.25,
7,1,2,197,2,1,2,,,,1.5,1.75,
7,1,2,204,2,1,2,3,4,,2.5,2.5,
7,1,2,212,2,2,3,4,,,3,3.5,
7,1,2,219,2,3,4,,,,3.5,3.75,
7,1,2,225,2,3,4,5,,,4,3.75,
7,1,2,232,2,3,4,5,6,,4.5,4.5,
7,1,2,239,2,5,6,,,,5.5,5.5,
7,1,2,246,2,5,6,,,,5.5,5.5,
7,1,2,253,2,5,6,,,,5.5,5.75,
7,1,2,162,3,0,,,,,0,0,
7,1,2,169,3,1,,,,,1,1,
7,1,2,176,3,1,,,,,1,1,
7,1,2,184,3,1,,,,,1,1,
7,1,2,190,3,1,,,,,1,1,
7,1,2,197,3,1,2,,,,1.5,1.25,
7,1,2,204,3,2,3,,,,2.5,2.25,
7,1,2,212,3,2,3,4,,,3,3,
7,1,2,219,3,3,4,,,,3.5,3.75,
7,1,2,225,3,3,4,,,,3.5,3.5,
7,1,2,232,3,3,4,5,,,4,4.25,
7,1,2,239,3,5,,,,,5,5,
7,1,2,246,3,5,6,,,,5.5,5.5,
7,1,2,253,3,5,6,,,,5.5,5.75,
7,1,2,162,4,0,,,,,0,0,
7,1,2,169,4,1,,,,,1,1,
7,1,2,176,4,1,,,,,1,1,
7,1,2,184,4,1,,,,,1,1,
7,1,2,190,4,1,,,,,1,1,
7,1,2,197,4,2,,,,,2,2,
7,1,2,204,4,2,,,,,2,2,
7,1,2,212,4,2,3,4,,,3,3.75,
7,1,2,219,4,2,3,4,,,3,3.5,
7,1,2,225,4,3,4,,,,3.5,3.5,
7,1,2,232,4,4,5,,,,4.5,4.5,
7,1,2,239,4,5,,,,,5,5,
7,1,2,246,4,5,6,,,,5.5,5.25,
7,1,2,253,4,6,,,,,6,6,
7,1,2,169,5,0,,,,,0,0,
7,1,2,176,5,1,,,,,1,1,
7,1,2,184,5,1,,,,,1,1,
7,1,2,190,5,2,,,,,2,2,
7,1,2,197,5,2,,,,,2,2,
7,1,2,204,5,2,3,,,,2.5,2.5,
7,1,2,212,5,2,3,4,,,3,3.5,
7,1,2,219,5,3,4,,,,3.5,3.75,
7,1,2,225,5,5,,,,,5,5,
7,1,2,232,5,5,6,,,,5.5,5.5,
7,1,2,239,5,6,,,,,6,6,
7,1,3,176,1,0,,,,,0,0,
7,1,3,184,1,1,,,,,1,1,
7,1,3,190,1,1,,,,,1,1,
7,1,3,197,1,1,,,,,1,1,
7,1,3,204,1,1,2,,,,1.5,2.75,
7,1,3,212,1,2,3,4,,,3,2.75,
7,1,3,219,1,2,3,4,,,3,3.5,
7,1,3,225,1,2,3,4,,,3,3.5,
7,1,3,232,1,3,4,5,6,,4.5,4.5,
7,1,3,239,1,5,6,,,,5.5,5.25,
7,1,3,246,1,5,6,,,,5.5,5.25,
7,1,3,253,1,5,6,,,,5.5,5.75,
7,1,3,169,2,0,,,,,0,0,
7,1,3,176,2,1,,,,,1,1,
7,1,3,184,2,1,,,,,1,1,
7,1,3,190,2,1,,,,,1,1,
7,1,3,197,2,1,,,,,1,1,
7,1,3,204,2,1,,,,,1,1,
7,1,3,212,2,2,3,,,,2.5,2.5,
7,1,3,219,2,2,3,4,,,3,3.5,
7,1,3,225,2,2,3,4,,,3,3.5,
7,1,3,232,2,3,4,5,,,4,4.25,
7,1,3,239,2,5,6,,,,5.5,5.25,
7,1,3,246,2,5,6,,,,5.5,5.75,
7,1,3,253,2,6,,,,,6,6,
7,1,3,176,3,0,,,,,0,0,
7,1,3,184,3,1,,,,,1,1,
7,1,3,190,3,1,,,,,1,1,
7,1,3,197,3,1,,,,,1,1,
7,1,3,204,3,2,,,,,2,2,
7,1,3,212,3,2,3,4,,,3,3,
7,1,3,219,3,2,3,4,,,3,3.25,
7,1,3,225,3,2,3,4,,,3,3.5,
7,1,3,232,3,3,4,5,,,4,4.75,
7,1,3,239,3,5,6,,,,5.5,5.25,
7,1,3,246,3,5,6,,,,5.5,5.75,
7,1,3,253,3,5,6,,,,5.5,5.75,
7,1,3,176,4,0,,,,,0,0,
7,1,3,184,4,1,,,,,1,1,
7,1,3,190,4,1,,,,,1,1,
7,1,3,197,4,1,,,,,1,1,
7,1,3,204,4,1,2,,,,1.5,1.25,
7,1,3,212,4,2,3,4,,,3,2.75,
7,1,3,219,4,2,3,,,,2.5,2.25,
7,1,3,225,4,2,3,4,5,,3.5,3.5,
7,1,3,232,4,3,4,5,,,4,4,
7,1,3,239,4,5,6,,,,5.5,5.25,
7,1,3,246,4,5,6,,,,5.5,5.5,
7,1,3,253,4,5,6,,,,5.5,5.75,
7,1,3,176,5,0,,,,,0,0,
7,1,3,184,5,1,,,,,1,1,
7,1,3,190,5,1,,,,,1,1,
7,1,3,197,5,1,,,,,1,1,
7,1,3,204,5,2,,,,,2,2,
7,1,3,212,5,2,3,4,,,3,3.25,
7,1,3,219,5,2,3,4,,,3,3.5,
7,1,3,225,5,2,3,4,,,3,3.5,
7,1,3,232,5,5,6,,,,5.5,5.25,
7,1,3,239,5,5,6,,,,5.5,5.75,
7,1,3,246,5,5,6,,,,5.5,5.75,
7,1,3,253,5,5,6,,,,5.5,5.75,
7,1,5,176,1,0,,,,,0,0,
7,1,5,184,1,1,,,,,1,1,
7,1,5,190,1,1,,,,,1,1,
7,1,5,197,1,1,,,,,1,1,
7,1,5,204,1,2,,,,,2,2,
7,1,5,212,1,2,3,,,,2.5,2.25,
7,1,5,219,1,3,4,,,,3.5,3.5,
7,1,5,225,1,3,4,,,,3.5,3.75,
7,1,5,232,1,4,5,,,,4.5,4.5,
7,1,5,239,1,5,,,,,5,5,
7,1,5,246,1,5,6,,,,5.5,5.5,
7,1,5,253,1,6,,,,,6,6,
7,1,5,169,2,0,,,,,0,0,
7,1,5,176,2,1,,,,,1,1,
7,1,5,184,2,1,,,,,1,1,
7,1,5,190,2,1,,,,,1,1,
7,1,5,197,2,2,,,,,2,2,
7,1,5,204,2,2,3,,,,2.5,2.25,
7,1,5,212,2,2,3,,,,2.5,2.5,
7,1,5,219,2,3,4,,,,3.5,3.75,
7,1,5,225,2,3,4,5,,,4,4.75,
7,1,5,232,2,5,,,,,5,5,
7,1,5,239,2,5,6,,,,5.5,5.25,
7,1,5,246,2,5,6,,,,5.5,5.75,
7,1,5,253,2,6,,,,,6,6,
7,1,5,169,3,0,,,,,0,0,
7,1,5,176,3,1,,,,,1,1,
7,1,5,184,3,1,,,,,1,1,
7,1,5,190,3,1,,,,,1,1,
7,1,5,197,3,2,,,,,2,2,
7,1,5,204,3,2,3,,,,2.5,2.25,
7,1,5,212,3,3, ,,,,3,3,
7,1,5,219,3,3,,,,,3,3,
7,1,5,225,3,3,4,5,,,4,4.5,
7,1,5,232,3,5,,,,,5,5,
7,1,5,239,3,5,6,,,,5.5,5.5,
7,1,5,246,3,5,6,,,,5.5,5.75,
7,1,5,253,3,5,6,,,,5.5,5.75,
7,1,5,169,4,0,,,,,0,0,
7,1,5,176,4,1,,,,,1,1,
7,1,5,184,4,1,,,,,1,1,
7,1,5,190,4,1,,,,,1,1,
7,1,5,197,4,2,,,,,2,2,
7,1,5,204,4,2,3,,,,2.5,2.25,
7,1,5,212,4,2,3,4,,,3,3.5,
7,1,5,219,4,3,,,,,3,3,
7,1,5,225,4,3,4,5,,,4,4.5,
7,1,5,232,4,5,,,,,5,5,
7,1,5,239,4,5,6,,,,5.5,5.75,
7,1,5,246,4,6,,,,,6,6,
7,1,5,169,5,0,,,,,0,0,
7,1,5,176,5,1,,,,,1,1,
7,1,5,184,5,1,,,,,1,1,
7,1,5,190,5,1,,,,,1,1,
7,1,5,197,5,2,,,,,2,2,
7,1,5,204,5,2,3,,,,2.5,2.5,
7,1,5,212,5,2,3,4,,,3,3.5,
7,1,5,219,5,3,4,,,,3.5,3.75,
7,1,5,225,5,3,4,,,,3.5,3.75,
7,1,5,232,5,4,5,,,,4.5,4.75,
7,1,5,239,5,5,6,,,,5.5,5.75,
7,1,5,246,5,5,6,,,,5.5,5.25,
7,1,5,253,5,6,,,,,6,6,
7,1,6,169,1,0,,,,,0,0,
7,1,6,176,1,1,,,,,1,1,
7,1,6,184,1,1,,,,,1,1,
7,1,6,190,1,1,,,,,1,1,
7,1,6,197,1,1,,,,,1,1,
7,1,6,204,1,2,,,,,2,2,
7,1,6,212,1,2,3,,,,2.5,2.25,
7,1,6,219,1,3,4,5,,,4,4.5,
7,1,6,225,1,4,5,,,,4.5,4.5,
7,1,6,232,1,5,6,,,,5.5,5.5,
7,1,6,239,1,5,6,,,,5.5,5.5,
7,1,6,246,1,5,6,,,,5.5,5.75,
7,1,6,253,1,6,,,,,6,6,
7,1,6,169,2,0,,,,,0,0,
7,1,6,176,2,1,,,,,1,1,
7,1,6,184,2,1,,,,,1,1,
7,1,6,190,2,1,,,,,1,1,
7,1,6,197,2,1,2,,,,1.5,1.25,
7,1,6,204,2,2,3,,,,2.5,2.25,
7,1,6,212,2,2,3,,,,2.5,2.5,
7,1,6,219,2,2,3,4,,,3,3.5,
7,1,6,225,2,3,4,,,,3.5,3.75,
7,1,6,232,2,4,5,6,,,5,5.25,
7,1,6,239,2,5,6,,,,5.5,5.25,
7,1,6,246,2,5,6,,,,5.5,5.75,
7,1,6,253,2,5,6,,,,5.5,5.75,
7,1,6,169,3,0,,,,,0,0,
7,1,6,176,3,1,,,,,1,1,
7,1,6,184,3,1,,,,,1,1,
7,1,6,190,3,1,,,,,1,1,
7,1,6,197,3,2,,,,,2,2,
7,1,6,204,3,2,3,,,,2.5,2.25,
