year,site,plot,date,rep,stage1,stage2,stage3,stage4,stage5,average,overall
7,1,6,190,2,1,,,,,1,1
7,1,6,197,2,1,2,,,,1.5,1.25
7,1,6,204,2,1,2,,,,1.5,1.25
7,1,6,212,2,3,4,,,,3.5,3.75
7,1,6,219,2,3,4,,,,3.5,3.75
7,1,6,225,2,4,5,6,,,5,4.75
7,1,6,232,2,5,6,,,,5.5,5.25
7,1,6,169,3,0,,,,,0,0
7,1,6,176,3,1,,,,,1,1
7,1,6,184,3,1,,,,,1,1
7,1,6,190,3,1,,,,,1,1
7,1,6,197,3,1,,,,,1,1
7,1,6,204,3,1,2,,,,1.5,1.25
7,1,6,212,3,2,3,4,,,3,3.25
7,1,6,219,3,3,4,,,,3.5,3.75
7,1,6,225,3,3,4,5,,,4,4.5
7,1,6,232,3,4,5,,,,4.5,4.75
7,1,6,239,3,5,6,,,,5.5,5.25
7,1,6,246,3,5,6,,,,5.5,5.5
7,1,6,253,3,5,6,,,,5.5,5.5
7,1,9,176,1,0,,,,,0,0
7,1,9,184,1,1,2,,,,1.5,1.5
7,1,9,190,1,1,2,,,,1.5,1.5
7,1,9,197,1,1,2,,,,1.5,1.5
7,1,9,204,1,2,3,,,,2.5,2.5
7,1,9,212,1,2,3,4,,,3,3
7,1,9,219,1,2,3,4,,,3,3
7,1,9,225,1,3,4,,,,3.5,3.75
7,1,9,232,1,4,5,,,,4.5,4.5
7,1,9,239,1,4,5,,,,4.5,4.75
7,1,9,246,1,5,6,,,,5.5,5.25
7,1,9,253,1,5,6,,,,5.5,5.5
7,1,9,176,2,0,,,,,0,0
7,1,9,184,2,1,2,,,,1.5,1.5
7,1,9,190,2,1,2,,,,1.5,1.75
7,1,9,197,2,1,2,,,,1.5,1.75
7,1,9,204,2,2,3,,,,2.5,2.25
7,1,9,212,2,2,3,,,,2.5,2.75
7,1,9,219,2,2,3,4,,,3,3
7,1,9,225,2,3,4,,,,3.5,3.25
7,1,9,232,2,.,4,5,,,4.5,4
7,1,9,239,2,5,6,,,,5.5,5.25
7,1,9,246,2,5,6,,,,5.5,5.5
7,1,9,253,2,5,6,,,,5.5,5.5
7,1,9,212,4,0,,,,,0,0
7,1,9,219,4,1,2,,,,1.5,1.5
7,1,9,225,4,1,2,,,,1.5,1.5
7,1,9,232,4,1,2,,,,1.5,1.5
