"site","plot","temptreat","preciptreat","block","AG.type","AGtemp_max_dev","AGtemp_min_dev","AGtemp_mean_dev","BGtemp_max_dev","BGtemp_min_dev","BGtemp_mean_dev"
"chuine","a6","1","-1","a","air",NA,NA,NA,NA,NA,NA
"chuine","a2","2","-1","a","air",NA,NA,NA,NA,NA,NA
"chuine","a1","1","0","a","air",NA,NA,NA,NA,NA,NA
"chuine","a4","2","0","a","air",NA,NA,NA,NA,NA,NA
"chuine","b2","1","-1","b","air",NA,NA,NA,NA,NA,NA
"chuine","b3","2","-1","b","air",NA,NA,NA,NA,NA,NA
"chuine","b4","1","0","b","air",NA,NA,NA,NA,NA,NA
"chuine","b6","2","0","b","air",NA,NA,NA,NA,NA,NA
"sherry","10","0","0",NA,"air",-1.59162444148728,0.460660043835616,-0.565482198825832,0.475850691585127,-0.0327349878669276,0.2215578518591
"sherry","14","0","0",NA,"air",-0.864556410176125,0.613071609393346,-0.125742400391389,-0.315496349510763,-0.366923688454012,-0.341210018982387
"sherry","18","0","0",NA,"air",0.15715615146771,-0.916480764383562,-0.379662306457926,-0.493830684148728,0.495186153033268,0.000677734442270062
"sherry","2","0","0",NA,"air",1.7661380984375,-0.1323352375,0.81690143046875,0.49709433671875,0.1573481234375,0.327221230078125
"sherry","6","0","0",NA,"air",0.529430362818004,-0.0246566782778865,0.252386842270059,-0.164590781996086,-0.253183522113503,-0.208887152054795
"sherry","12","1","0",NA,"air",-9.17622164285714,9.33133085168067,0.0775546044117647,0.132831248739496,2.76575209285714,1.44929167079832
"sherry","15","1","0",NA,"air",-8.38020882309198,7.97018563091977,-0.205011596086106,9.76344480117417,-3.36030326183953,3.20157076966732
"sherry","19","1","0",NA,"air",0.39870395390625,3.425301496875,1.91200272539062,2.1714170359375,2.505510771875,2.33846390390625
"sherry","3","1","0",NA,"air",3.75264848070175,3.47261583859649,3.61263215964912,2.65434490292398,3.15415927875244,2.90425209083821
"sherry","7","1","0",NA,"air",-0.900536049295775,2.23491313661972,0.667188543661972,0.16042438028169,0.587862376056338,0.374143378169014
"sherry","11","0","1",NA,"air",-3.07020286418787,0.179648488062622,-1.44527718806262,0.533951126027397,-1.33836266692759,-0.402205770450098
"sherry","16","0","1",NA,"air",-0.273952104892368,0.368628016438356,0.0473379557729941,-0.221824421917808,-0.190693929158513,-0.206259175538161
"sherry","20","0","1",NA,"air",-0.517257567578125,-0.2448631984375,-0.381060383007812,-0.5911853390625,0.1303406234375,-0.2304223578125
"sherry","4","0","1",NA,"air",-0.057322001075269,0.126597382795699,0.034637690860215,-0.739955479569893,1.10669375376344,0.183369137096774
"sherry","8","0","1",NA,"air",-6.44648689941292,4.45634496947162,-0.995070964970646,10.8099990282353,-8.39555481174168,1.21198533882353
"sherry","1","1","1",NA,"air",-0.377741153515625,4.05680370195313,1.83953127421875,3.4960107703125,2.67752694375,3.08676885703125
"sherry","13","1","1",NA,"air",-1.28692299334638,3.28591096555773,0.999493986105675,-0.126026985518591,2.83102296908023,1.35249799178082
"sherry","17","1","1",NA,"air",0.921549953623189,-0.324176327536232,0.298686813043478,NA,NA,NA
"sherry","9","1","1",NA,"air",2.27904983248532,2.82612357808219,2.55258670528376,2.3083835409002,2.00255301213307,2.15546827651663
"ellison","11","0",NA,NA,"air",-0.16681255268926,0.29588669701568,0.0645370721632103,-0.0619536749482402,0.0142920548654244,-0.0238308100414079
"marchin","11","0",NA,NA,"air",0.159542432363451,0.229937531904033,0.194739982133742,0.705478221880605,-0.541546246477069,0.0819659877017679
"marchin","2","0",NA,NA,"air",-0.183650059952038,0.2545853117506,0.0354676258992805,0.545277338129496,-0.717371942446043,-0.0860473021582734
"ellison","4","0",NA,NA,"air",0.095122380952381,0.284737835497835,0.189930108225108,-0.137054033687943,0.227730939716312,0.0453384530141844
"marchin","5","0",NA,NA,"air",-0.0548760067550013,0.00424233567160301,-0.0253168355416992,-1.03691881008054,0.271483762016108,-0.382717524032216
"ellison","6","0",NA,NA,"air",-0.109267724196277,0.282922165820643,0.0868272208121827,-0.277781255479572,-0.302872654743118,-0.290326955111345
"clarkduke","G01","0",NA,NA,"air",1.87514218036355,0.00757422478180592,0.94135820257268,0.465485294027892,0.0550899402827366,0.260287617155314
"clarkharvard","G02","0",NA,NA,"air",0.531516791995305,-0.0373076076149967,0.247104592190154,0.0964704673119391,-0.107718893581391,-0.00562421313472566
"clarkduke","G04","0",NA,NA,"air",1.66939205448239,0.027898318437395,0.848645186459891,0.339263717995667,0.0198995576039856,0.179581637799826
"clarkharvard","G04","0",NA,NA,"air",1.39812030535834,0.0333918727205569,0.715756089039446,0.968548512054654,0.254729049751665,0.611638780903159
"clarkduke","G07","0",NA,NA,"air",1.40460997996074,0.0460818028281303,0.725345891394433,1.05769669886173,0.0077786109776009,0.532737654919665
"clarkharvard","G07","0",NA,NA,"air",0.443112510544847,0.0472940255840041,0.245203268064425,-0.49757395198115,-0.302573440077644,-0.400073696029397
"clarkharvard","S02","0",NA,NA,"air",-0.449633109254368,0.203878461481996,-0.122877323886186,-0.331368747648299,-0.217023641756478,-0.274196194702389
"clarkduke","S03","0",NA,NA,"air",-1.05923568972708,0.273856299303457,-0.392689695211811,-1.69697568280997,-0.307376474621593,-1.00217607871578
"clarkduke","S04","0",NA,NA,"air",-0.733980238804008,0.308888048207857,-0.212546095298076,-1.42175145254881,-0.15018075151938,-0.785966102034097
"clarkharvard","S05","0",NA,NA,"air",-0.276705625712661,0.466384648569245,0.0948395114282918,-0.507055172850794,0.105634285517035,-0.20071044366688
"clarkharvard","S07","0",NA,NA,"air",-0.270858181588979,0.422159118755247,0.0756504685831336,-0.551523891039854,-0.0904383366518714,-0.320981113845863
"clarkduke","S08","0",NA,NA,"air",-0.919147222536308,0.320598982172471,-0.299274120181919,-1.30932700550279,-0.0726146690788482,-0.690970837290819
"marchin","1","1",NA,NA,"air",3.43888208001928,2.46310948421306,2.95099578211617,2.47131321381142,0.667691035856574,1.569502124834
"marchin","10","1",NA,NA,"air",2.92563858891289,1.94459179265659,2.43511519078474,-0.482808333333333,1.33601240740741,0.426602037037037
"marchin","12","1",NA,NA,"air",3.99686720177499,3.12276383450796,3.55981551814148,1.1302264421822,1.58860884886453,1.35941764552336
"marchin","3","1",NA,NA,"air",4.649876558753,3.45994238609113,4.05490947242206,3.98706349782293,0.785136248185777,2.38609987300435
"marchin","4","1",NA,NA,"air",2.1126259760859,1.30404831625183,1.70833714616886,1.61645836648104,0.25222076372315,0.934339565102095
"marchin","6","1",NA,NA,"air",2.05257644733486,1.19209174955369,1.62233409844427,0.3292546692607,0.154581452658885,0.241918060959793
"marchin","7","1",NA,NA,"air",2.41369262503173,2.29543481848185,2.35456372175679,1.46209979019145,1.05442637031209,1.25826308025177
"ellison","8","1",NA,NA,"air",1.96600206646424,1.71637398785425,1.84118802715924,0.26924344664299,0.597900854050397,0.433572150346694
"marchin","8","1",NA,NA,"air",4.92308199745547,4.20982283715013,4.5664524173028,1.24967153380689,2.12290765588003,1.68628959484346
"marchin","9","1",NA,NA,"air",5.47816736518581,4.11541359318245,4.79679047918413,2.02233872377622,1.16327651515152,1.59280761946387
"clarkharvard","G01","1",NA,NA,"air",2.86980570973386,1.64286242057901,2.25633406515643,3.95693099287564,3.06451483110221,3.51072291198892
"clarkduke","G03","1",NA,NA,"air",3.23881629919538,2.16338998510406,2.70110314214972,3.25582630611248,3.0321453783492,3.14398584223084
"clarkduke","G05","1",NA,NA,"air",3.08960340896375,2.39088343928332,2.74024342412354,3.50533934740151,2.80830509637539,3.15682222188845
"clarkharvard","G06","1",NA,NA,"air",2.19153932972303,1.90896900418101,2.05025416695202,3.26310691602301,2.87321617085908,3.06816154344104
"clarkharvard","G08","1",NA,NA,"air",1.82758784396286,1.69624584776197,1.76191684586242,3.23935593985272,2.8232373128237,3.03129662633821
"clarkduke","G09","1",NA,NA,"air",2.75026836364654,2.72773610796408,2.73900223580531,3.16383864246697,2.739876068178,2.95185735532248
"clarkduke","S02","1",NA,NA,"air",0.863021133032236,2.10140921974656,1.4822151763894,1.45819035445085,2.66021345488495,2.0592019046679
"clarkharvard","S03","1",NA,NA,"air",1.39294816416957,1.97038638074765,1.68166727245861,2.73718374574709,2.81582068962164,2.77650221768437
"clarkduke","S05","1",NA,NA,"air",1.06147622551018,2.6159738237262,1.83872502461819,1.74159558692487,2.71208188305,2.22683873498743
"clarkharvard","S06","1",NA,NA,"air",1.60500267621852,2.08070139235514,1.84285203428683,2.66707483629892,2.7762469840631,2.72166091018101
"clarkharvard","S08","1",NA,NA,"air",1.89186326957072,2.72865547362385,2.31025937159729,2.62576847763094,2.77994774458846,2.7028581111097
"clarkduke","S09","1",NA,NA,"air",1.10939000142725,2.3848228568203,1.74710642912377,1.52236255761865,2.68248255091284,2.10242255426574
"ellison","3","2",NA,NA,"air",2.13399986924686,1.90316248256625,2.01858117590656,-0.0207055435565155,0.842563489920806,0.410928973182145
"clarkduke","G02","2",NA,NA,"air",4.00125436566063,3.10058323787345,3.55091880176704,4.95415578748207,4.3440533843915,4.64910458593678
"clarkharvard","G03","2",NA,NA,"air",2.54465667105192,2.72171257150324,2.63318462127758,5.01908118971577,4.81177787876665,4.91542953424121
"clarkharvard","G05","2",NA,NA,"air",3.42027566198615,1.90866885644662,2.66447225921638,5.31373317845432,4.55806157086074,4.93589737465753
"clarkduke","G06","2",NA,NA,"air",3.1101933384703,2.52386450675562,2.81702892261296,4.85050749946596,4.35547130986985,4.6029894046679
"clarkduke","G08","2",NA,NA,"air",2.72052707462337,2.99618787030044,2.85835747246191,4.75929476029174,4.28227986978928,4.52078731504051
"clarkharvard","G09","2",NA,NA,"air",2.67690528637884,2.56176581117711,2.61933554877797,5.02141147069715,4.62082911475631,4.82112029272673
"clarkduke","S01","2",NA,NA,"air",1.46188518137061,2.56797699416751,2.01493108776906,2.9637605961427,4.18929759385776,3.57652909500023
"clarkharvard","S01","2",NA,NA,"air",1.88468694879913,1.87602794881483,1.88035744880698,4.65526698372406,4.60855826852855,4.63191262612631
"clarkharvard","S04","2",NA,NA,"air",2.54629400022907,2.73652286654516,2.64140843338712,4.57015898964249,4.66869191226847,4.61942545095548
"clarkduke","S06","2",NA,NA,"air",2.30379481726469,3.75954721600332,3.031671016634,3.20586386514398,4.24519167420473,3.72552776967436
"clarkduke","S07","2",NA,NA,"air",1.45937674385149,2.87874410881392,2.1690604263327,3.06888680502694,4.20593652320151,3.63741166411423
