"","site","plot","temptreat","preciptreat"
"1","bace","1","0","-1"
"2","bace","10","2","1"
"3","bace","11","1","1"
"4","bace","12","0","1"
"5","bace","13","3","0"
"6","bace","14","2","0"
"7","bace","15","1","0"
"8","bace","16","0","0"
"9","bace","17","0","1"
"10","bace","18","1","1"
"11","bace","19","2","1"
"12","bace","2","1","-1"
"13","bace","20","3","1"
"14","bace","21","3","-1"
"15","bace","22","2","-1"
"16","bace","23","1","-1"
"17","bace","24","0","-1"
"18","bace","25","0","1"
"19","bace","26","1","1"
"20","bace","27","2","1"
"21","bace","28","3","1"
"22","bace","29","3","0"
"23","bace","3","2","-1"
"24","bace","30","2","0"
"25","bace","31","1","0"
"26","bace","32","0","0"
"27","bace","33","0","-1"
"28","bace","34","1","-1"
"29","bace","35","2","-1"
"30","bace","36","3","-1"
"31","bace","4","3","-1"
"32","bace","5","3","0"
"33","bace","6","2","0"
"34","bace","7","1","0"
"35","bace","8","0","0"
"36","bace","9","3","1"
"37","clarkduke","G01","sham",NA
"38","clarkduke","G02","2",NA
"39","clarkduke","G03","1",NA
"40","clarkduke","G04","sham",NA
"41","clarkduke","G05","1",NA
"42","clarkduke","G06","2",NA
"43","clarkduke","G07","sham",NA
"44","clarkduke","G08","2",NA
"45","clarkduke","G09","1",NA
"46","clarkduke","G10","0",NA
"47","clarkduke","G11","0",NA
"48","clarkduke","G12","0",NA
"49","clarkduke","S01","2",NA
"50","clarkduke","S02","1",NA
"51","clarkduke","S03","sham",NA
"52","clarkduke","S04","sham",NA
"53","clarkduke","S05","1",NA
"54","clarkduke","S06","2",NA
"55","clarkduke","S07","2",NA
"56","clarkduke","S08","sham",NA
"57","clarkduke","S09","1",NA
"58","clarkduke","S10","0",NA
"59","clarkduke","S11","0",NA
"60","clarkduke","S12","0",NA
"61","clarkharvard","G01","1",NA
"62","clarkharvard","G02","sham",NA
"63","clarkharvard","G03","2",NA
"64","clarkharvard","G04","sham",NA
"65","clarkharvard","G05","2",NA
"66","clarkharvard","G06","1",NA
"67","clarkharvard","G07","sham",NA
"68","clarkharvard","G08","1",NA
"69","clarkharvard","G09","2",NA
"70","clarkharvard","G10","0",NA
"71","clarkharvard","G11","0",NA
"72","clarkharvard","G12","0",NA
"73","clarkharvard","S01","2",NA
"74","clarkharvard","S02","sham",NA
"75","clarkharvard","S03","1",NA
"76","clarkharvard","S04","2",NA
"77","clarkharvard","S05","sham",NA
"78","clarkharvard","S06","1",NA
"79","clarkharvard","S07","sham",NA
"80","clarkharvard","S08","1",NA
"81","clarkharvard","S09","2",NA
"82","clarkharvard","S10","0",NA
"83","clarkharvard","S11","0",NA
"84","clarkharvard","S12","0",NA
"85","dunne","1","0",NA
"86","dunne","2","1",NA
"87","dunne","3","0",NA
"88","dunne","4","1",NA
"89","dunne","5","0",NA
"90","dunne","6","1",NA
"91","dunne","7","0",NA
"92","dunne","8","1",NA
"93","dunne","9","0",NA
"94","ellison","1","9",NA
"95","ellison","10","7",NA
"96","ellison","11","0",NA
"97","ellison","12","5",NA
"98","ellison","2","6",NA
"99","ellison","3","2",NA
"100","ellison","4","0",NA
"101","ellison","5","8",NA
"102","ellison","6","0",NA
"103","ellison","7","4",NA
"104","ellison","8","1",NA
"105","ellison","9","3",NA
"106","ellison","outside","outside","outside"
"107","farnsworth","1","1",NA
"108","farnsworth","10","sham",NA
"109","farnsworth","11","0",NA
"110","farnsworth","12","1",NA
"111","farnsworth","13","sham",NA
"112","farnsworth","14","0",NA
"113","farnsworth","15","1",NA
"114","farnsworth","16","1",NA
"115","farnsworth","17","sham",NA
"116","farnsworth","18","0",NA
"117","farnsworth","2","0",NA
"118","farnsworth","3","sham",NA
"119","farnsworth","4","0",NA
"120","farnsworth","5","sham",NA
"121","farnsworth","6","1",NA
"122","farnsworth","7","0",NA
"123","farnsworth","8","1",NA
"124","farnsworth","9","sham",NA
"125","force","1B","1","1"
"126","force","1H","1","0"
"127","force","1W","0","1"
"128","force","2A","0","0"
"129","force","2B","1","1"
"130","force","2H","1","0"
"131","force","2W","0","1"
"132","force","3A","0","0"
"133","force","3B","1","1"
"134","force","3H","1","0"
"135","force","3W","0","1"
"136","force","4A","0","0"
"137","force","4B","1","1"
"138","force","4W","0","1"
"139","marchin","1","1",NA
"140","marchin","10","1",NA
"141","marchin","11","0",NA
"142","marchin","12","1",NA
"143","marchin","2","0",NA
"144","marchin","3","1",NA
"145","marchin","4","1",NA
"146","marchin","5","0",NA
"147","marchin","6","1",NA
"148","marchin","7","1",NA
"149","marchin","8","1",NA
"150","marchin","9","1",NA
"151","marchin","outside","outside","outside"
"152","price","1","0",NA
"153","price","2","1",NA
"154","price","3","0",NA
"155","price","4","1",NA
"156","price","5","0",NA
"157","price","6","1",NA
"158","price","7","0",NA
"159","price","8","1",NA
"160","price","9","0",NA
"161","sherry","1","1","1"
"162","sherry","10","0","0"
"163","sherry","11","0","1"
"164","sherry","12","1","0"
"165","sherry","13","1","1"
"166","sherry","14","0","0"
"167","sherry","15","1","0"
"168","sherry","16","0","1"
"169","sherry","17","1","1"
"170","sherry","18","0","0"
"171","sherry","19","1","0"
"172","sherry","2","0","0"
"173","sherry","20","0","1"
"174","sherry","3","1","0"
"175","sherry","4","0","1"
"176","sherry","5","1","1"
"177","sherry","6","0","0"
"178","sherry","7","1","0"
"179","sherry","8","0","1"
"180","sherry","9","1","1"
