"site","temptreat","preciptreat","AG.type","AGtemp_max_dev","AGtemp_min_dev","AGtemp_mean_dev","BGtemp_max_dev","BGtemp_min_dev","BGtemp_mean_dev"
"exp02","1","-1","air",NA,NA,NA,NA,NA,NA
"exp02","2","-1","air",NA,NA,NA,NA,NA,NA
"exp12","0","0","air",-4.8859766025516e-17,1.15641656953355e-17,-1.25331395735504e-17,-3.16973249576271e-17,1.06716077096766e-17,-1.19451422920561e-17
"exp02","1","0","air",NA,NA,NA,NA,NA,NA
"exp12","1","0","air",-3.08672202163417,5.74143096555246,1.32735447195915,3.50444414456825,1.19951936490251,2.35198175473538
"exp02","2","0","air",NA,NA,NA,NA,NA,NA
"exp12","0","1","air",-2.36598644625728,1.10064488068131,-0.632670782787987,2.34631284188341,-2.15100716808606,0.10014230838565
"exp12","1","1","air",0.235284024329382,3.23017154123518,1.73272778278228,1.89383423350717,2.5038142904824,2.19882426199478
"exp03","0",NA,"air",0.368316650143284,0.164710417357076,0.26651353375018,-0.431066345581834,-0.0746923480059955,-0.252879346793915
"exp04","0",NA,"air",0.268805094343162,0.176989559085462,0.222897326714312,-0.113958112904394,-0.0590185703619409,-0.0864883416331674
"exp07","0",NA,"air",-0.0616374744550408,0.287882322888283,0.113122424216621,-0.158483852616839,-0.0210072641344302,-0.0897455583756345
"exp10","0",NA,"air",-0.0184865571165746,0.173337472821542,0.0774254578524836,0.134905085029739,-0.360359721873167,-0.112727318421714
"exp03","1",NA,"air",2.01557778657629,2.39772080335166,2.20664929496397,2.43843086753728,2.77226068144563,2.60534577449145
"exp04","1",NA,"air",1.98671950719289,1.98649769884633,1.98660860301961,3.11036317372507,2.86009901938857,2.98523109655682
"exp07","1",NA,"air",1.96600206646424,1.71637398785425,1.84118802715924,0.26924344664299,0.597900854050397,0.433572150346694
"exp10","1",NA,"air",2.05360641418006,1.19391736801836,1.62376189109921,0.346314078041316,0.160926931905126,0.253620504973221
"exp03","2",NA,"air",2.50730134129074,2.97257505817176,2.73993819973125,3.96401876862839,4.27021129652094,4.11711503257467
"exp04","2",NA,"air",2.62982812660389,2.45518341642865,2.54250577151627,4.88870265375077,4.66187141517353,4.77528703446215
"exp07","2",NA,"air",2.13399986924686,1.90316248256625,2.01858117590656,-0.0207055435565155,0.842563489920806,0.410928973182145
"exp10","2",NA,"air",2.13946794403893,1.32093619221411,1.73020206812652,1.92922148800783,0.300040565345081,1.11463102667646
"exp07","3",NA,"air",2.49749558470508,1.97508650548697,2.23629104509602,0.466306143134144,0.719524193548387,0.592915168341266
"exp10","3",NA,"air",2.18925025464731,1.81887394957983,2.00406210211357,-0.225597052067381,1.4070191424196,0.59071104517611
"exp07","4",NA,"air",3.5507693329904,2.47114831961591,3.01095882630315,1.19999914000688,1.0019229876161,1.10096106381149
"exp10","4",NA,"air",2.41544141914191,2.29805940594059,2.35675041254125,1.45451108562691,1.05241399082569,1.2534625382263
"exp07","5",NA,"air",3.23871876600102,2.83560343061956,3.03716109831029,0.589486830629688,1.63418908076051,1.1118379556951
"exp10","5",NA,"air",3.46570722501797,2.48618991133477,2.97594856817637,2.67927818448023,0.684773487066862,1.68202583577355
"exp07","6",NA,"air",4.47348277467412,3.29808887760284,3.88578582613848,2.23749842682488,1.28675696691837,1.76212769687163
"exp10","6",NA,"air",3.97408231318541,3.10117291507269,3.53762761412905,1.09980604437643,1.57239671002295,1.33610137719969
"exp07","7",NA,"air",4.62217460924227,3.13523114169215,3.87870287546721,1.65648906755147,1.59693683001531,1.62671294878339
"exp10","7",NA,"air",4.67677624011503,3.47682254972442,4.07679939491972,4.09627989456027,0.761208483105679,2.42874418883297
"exp07","8",NA,"air",5.28654734655816,3.73518006103764,4.5108637037979,2.04278702290076,2.07670856658185,2.05974779474131
"exp10","8",NA,"air",4.9248653307888,4.21214809160305,4.56850671119593,1.24822838561591,2.127980489671,1.68810443764346
"exp07","9",NA,"air",5.75347791624279,4.02375279755849,4.88861535690064,1.96737591274188,1.76936500547645,1.86837045910916
"exp10","9",NA,"air",5.40945630943202,4.18385119506554,4.79665375224878,1.94279996141975,1.20181867283951,1.57230931712963
