1993 WARMED-MEADOW PHENOLOGY,,,,,,,,,,,,,
ERYTHRONIUM GRANDIFLORUM    X/Y=FRUITS/FLOWERS,,,,,,,,,,,,,
,,,,,,,,,,,,,
PLOT,#,SPE,DIST,05/31/93,06/05/93,06/09/93,comments,06/14/93,comments,06/21/93,comments,06/28/93,comments
1,1,EG,5.3,,1,2,,3,,,0 FR/1 FL,,
1,2,EG,6.2,,1,1,,2,,,0 FR/1 FL,,
1,3,EG,6.9,,1,1,,2,,,0 FR/1 FL,,
1,4,EG,7.8,,1,1,,2,,,0 FR/1 FL,,
1,5,EG,8.8,,1,1,,3,,,0 FR/1 FL,,
2,1,EG,5.3,,12,3,,3,,,0 FR/2 FL,,
2,2,EG,6.2,,2,3,,3,,,0 FR/1 FL,,
2,3,EG,7.0,,1,3,,3,,,0 FR/1 FL,,
2,4,EG,7.8,,1,12,,3,,,0 FR/2 FL,,
2,5,EG,8.9,,1,2,,3,,,0 FR/1 FL,,
3,1,EG,3.2,,1,1,,3,,,0 FR/1 FL,,
3,2,EG,4.7,,1,1,,2,,,0 FR/2 FL,,
3,3,EG,5.3,,1,1,,2,,,0 FR/1 FL,,
3,4,EG,7.3,,1,1,,2,,,0 FR/1 FL,,
3,5,EG,7.8,,1,1,,2,,,0 FR/1 FL,,
4,1,EG,3.2,1,,2,frost,3,frost,,0 FR/1 FL,,
4,2,EG,4.9,1,,3,frost,3,frost,,0 FR/1 FL,,
4,3,EG,6.0,2,,3,frost,3,frost,,0 FR/1 FL,,
4,4,EG,6.8,2,,2,frost,3,frost,,0 FR/1 FL,,
4,5,EG,7.8,1,,2,frost,2,frost,,0 FR/3 FL,,
5,1,EG,4.5,,,1,,2,,,0 FR/1 FL,,
5,2,EG,5.2,,,1,,3,,,0 FR/1 FL,,
5,3,EG,5.7,,,1,,2,,,0 FR/1 FL,,
5,4,EG,7.1,1,,2,,3,,,0 FR/1 FL,,
5,5,EG,7.6,1,,2,,3,,,0 FR/1 FL,,
6,1,EG,4.0,12,,3,,23,eaten,,eaten,,
6,2,EG,5.2,12,,3,,3,,,0 FR/2 FL,,
6,3,EG,6.2,2,,3,,3,frost,,0 FR/1 FL,,
6,4,EG,6.9,1,,2,,23,,,0 FR/3 FL,,
6,5,EG,7.5,2,,3,,3,frost,,0 FR/1 FL,,
7,1,EG,6.1,1,,2,,3,,,0 FR/1 FL,,
7,2,EG,6.5,1,,2,,23,,,0 FR/2 FL,,
7,3,EG,7.0,1,,2,,23,,5,,5,0 fr/2 fl
7,4,EG,7.1,1,,2,,3,,,0 FR/1 FL,,
7,5,EG,7.6,1,,1,,2,,,0 FR/1 FL,,
8,1,EG,6.2,2,,3,,3,,,0 FR/1 FL,,
8,2,EG,6.4,1,,3,,,eaten,,eaten,,
8,3,EG,6.9,1,,3,,3,,,0 FR/1 FL,,
8,4,EG,7.1,1,,3,,3,,,0 FR/1 FL,,
8,5,EG,7.7,12,,3,,3,,,0 FR/2 FL,,
9,1,EG,6.7,1,,2,,3,,,eaten,,
9,2,EG,7.2,1,,2,,3,,,0 FR/1 FL,,
9,3,EG,7.6,1,,2,,3,,,0 FR/2 FL,,
9,4,EG,7.8,1,,2,,3,newplnt,,0 FR/2 FL,,
9,5,EG,8.2,1,,12,,3,newplnt,,0 FR/2 FL,,
10,1,EG,,,,,,,,,,,
10,2,EG,,,,,,,,,,,
10,3,EG,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
PLOT,,,,,,,,,,,,,
