1991 WARMED-MEADOW PHENOLOGY,,,,,,,,,,
CLAYTONIA LANCEOLATA,,,,TOTAL=# FRUITS/# FLOWERS,,,,,,
,,,,,,,,,,
PLOT,SP,IND,05/27/91,06/04/91,06/10/91,06/17/91,COMMENTS,06/24/91,COMMENTS,06/27/91(TOTAL)
1,CL,1,1,12,15,45,,456,,2/5
1,CL,2,1,12,1234,45,,45,,2/8
1,CL,3,1,1234,1234,45,,56,,3/8
1,CL,4,1,124,12345,345,,456,,3/7
1,CL,5,1,1235,235,45,,456,,5/7
2,CL,1,1,1245,12345,456,,6,,4/10
2,CL,2,12,12345,45,456,,6,,4/6
2,CL,3,12,12345,1345,45,,56,,7/11
2,CL,4,1,123,134,45,,56,,4/6
2,CL,5,1,123,124,5,,56,,1/10
3,CL,1,1,123,345,45,,6,,6/7
3,CL,2,1,124,2345,456,,6,,6/8
3,CL,3,1,1235,12345,45,,6,,4/7
3,CL,4,1,12,12345,45,,56,,7/7
3,CL,5,1,12,2345,45,,6,,6/7
4,CL,1,1,5,5,6,,6,,1/1
4,CL,2,12,1234,345,45,,6,,?GONE
4,CL,3,12,245,345,456,,6,,2/6
4,CL,4,12,1234,345,45,,6,,1/5
4,CL,5,12,1234,1234,45,,45,,6/8
5,CL,1,1,123,12345,45,,56,,5/14
5,CL,2,1,123,1234,45,,56,,3/5
5,CL,3,1,12,1234,245,,456,,6/9
5,CL,4,1,12,12345,45,,56,,8/10
5,CL,5,1,123,12345,45,,6,,5/7
6,CL,1,12,345,45,45,,6,,1/4
6,CL,2,12,12345,45,456,,6,,7/11
6,CL,3,1,245,45,45,,6,,1/4
6,CL,4,1,1245,1345,45,,6,,1/5
6,CL,5,12,12345,1345,45,,6,,3/6
7,CL,1,12,1245,345,456,,6,,1/3
7,CL,2,12,1234,34,4,,0,SHRIV.,0/2
7,CL,3,12,245,345,456,,6,,3/5
7,CL,4,12,35,34,0,ABORTED(0/3),6,,2/3
7,CL,5,12,345,45,46,,0,,3/5
8,CL,1,123,1245,2345,456,,6,,8/11
8,CL,2,123,12345,345,456,,56,,8/10
8,CL,3,12,1245,45,456,,6,,6/8
8,CL,4,12,12345,1345,456,,6,,8/11
8,CL,5,12,1245,345,6,,6,,2/7
9,CL,1,1,1,0,0,,0,SHRIV.,0/MANY?
9,CL,2,12,34,3,0,,0,SHRIV.,0/2
9,CL,3,12,1234,345,4,,6,,2/8
9,CL,4,1,12345,345,45,,6,,4/7
9,CL,5,12,1234,2345,45,,56,,1/7
10,CL,1,12,345,345,0,ABORTED,0,SHRIV.,?
10,CL,2,1,34,34,45,,0,SHRIV.,?
10,CL,3,12,345,345,46,,6,,2/8
10,CL,4,12,45,3456,46,,56,,5/9
10,CL,5,123,45,345,456,,6,,4/5
